type,anchor_p,p,E,A,B,C,sum_X,mean_X,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,symmetry_cv,prime_density,is_quadruplet,p_times_abs_K_tilde
prime,16061,16061,16061.0,16063.0,16067.0,16069.0,64260.0,16065.0,-2064673744.0,-2064673736.0,-0.3333333242923571,9.04097618992239e-09,9.04097618992239e-09,0.00019684268037151444,0.14634146341463414,1,0.0001452071185863435
control_ap,16061,16061,16061.0,16063.666666666666,16066.333333333334,16069.0,64260.0,16065.0,-2064673771.5555556,-2064673763.5555556,-0.33333332874109145,4.59224186455387e-09,4.59224186455387e-09,0.0001855850588235204,0.14634146341463414,1,7.37559965865997e-05
control_consecutive,16061,16061,16061.0,16062.0,16063.0,16064.0,64250.0,16062.5,-2064031246.0,-2064031238.0,-0.33333333268734827,6.459850432349867e-10,6.459850432349867e-10,6.960522887158879e-05,0.14634146341463414,1,1.0375165779397122e-05
control_random,16061,34688,34688.0,695.0,19972.0,8905.0,64260.0,16065.0,-3650734892.027604,-3650734884.027604,-0.5938402316952321,-0.26050689836189883,0.26050689836189883,0.7932438116045181,0.12195121951219512,0,9036.463290377547
prime,18041,18041,18041.0,18043.0,18047.0,18049.0,72180.0,18045.0,-2604976143.9999995,-2604976135.9999995,-0.33333332616756084,7.165772475392629e-09,7.165772475392629e-09,0.00017524398227588693,0.14634146341463414,1,0.00012927770122855842
control_ap,18041,18041,18041.0,18043.666666666668,18046.333333333332,18049.0,72180.0,18045.0,-2604976171.555556,-2604976163.555556,-0.33333332969357593,3.6397573843771625e-09,3.6397573843771625e-09,0.00016522161097253803,0.14634146341463414,1,6.566486297154839e-05
control_consecutive,18041,18041,18041.0,18042.0,18043.0,18044.0,72170.0,18042.5,-2604254446.0,-2604254438.0,-0.3333333328213506,5.11982733986116e-10,5.11982733986116e-10,6.19666891367546e-05,0.14634146341463414,1,9.23668050384352e-06
control_random,18041,2489,2489.0,15776.0,41715.0,12200.0,72180.0,18045.0,-1400150791.4976208,-1400150783.4976208,-0.19275921127160298,0.14057412206173034,0.14057412206173034,0.8038191519803349,0.07317073170731707,0,349.8889898116468
prime,18911,18911,18911.0,18913.0,18917.0,18919.0,75660.0,18915.0,-2862217743.999999,-2862217735.999999,-0.333333326811584,6.521749307264457e-09,6.521749307264457e-09,0.0001671835929245773,0.12195121951219512,1,0.00012333280114967815
control_ap,18911,18911,18911.0,18913.666666666668,18916.333333333332,18919.0,75660.0,18915.0,-2862217771.5555553,-2862217763.5555553,-0.3333333300206988,3.312634500041156e-09,3.312634500041156e-09,0.00015762220301345222,0.12195121951219512,1,6.26452310302783e-05
control_consecutive,18911,18911,18911.0,18912.0,18913.0,18914.0,75650.0,18912.5,-2861461245.9999995,-2861461237.9999995,-0.3333333328673709,4.659624353031688e-10,4.659624353031688e-10,5.91161395241187e-05,0.12195121951219512,1,8.811815614018226e-06
control_random,18911,1799,1799.0,15760.0,55326.0,2775.0,75660.0,18915.0,-650429786.8543842,-650429778.8543842,-0.10291339782729964,0.23041993550603368,0.23041993550603368,1.1489454484177448,0.12195121951219512,0,414.52546397535457
prime,19421,19421,19421.0,19423.0,19427.0,19429.0,77700.0,19425.0,-3018644944.0,-3018644936.0,-0.3333333271495434,6.183789924563143e-09,6.183789924563143e-09,0.00016279421673968492,0.1951219512195122,1,0.00012009538412494081
control_ap,19421,19421,19421.0,19423.666666666668,19426.333333333332,19429.0,77700.0,19425.0,-3018644971.555556,-3018644963.555556,-0.33333333019236067,3.140972648640883e-09,3.140972648640883e-09,0.00015348385945943108,0.1951219512195122,1,6.1000829809254586e-05
control_consecutive,19421,19421,19421.0,19422.0,19423.0,19424.0,77690.0,19422.5,-3017868046.0000005,-3017868038.0000005,-0.3333333328915204,4.4181291958267366e-10,4.4181291958267366e-10,5.756385577293834e-05,0.1951219512195122,1,8.580448711215105e-06
control_random,19421,10887,10887.0,17418.0,30632.0,18763.0,77700.0,19425.0,-2656513565.691398,-2656513557.691398,-0.29522909019370946,0.03810424313962385,0.03810424313962385,0.3667033107177999,0.12195121951219512,0,414.84089506108484
prime,21011,21011,21011.0,21013.0,21017.0,21019.0,84060.0,21015.0,-3533041743.9999995,-3533041735.9999995,-0.3333333280498785,5.283454840299129e-09,5.283454840299129e-09,0.00015047716679364166,0.17073170731707318,1,0.000111010669649525
control_ap,21011,21011,21011.0,21013.666666666668,21016.333333333332,21019.0,84060.0,21015.0,-3533041771.5555553,-3533041763.5555553,-0.33333333064967374,2.68365957234451e-09,2.68365957234451e-09,0.0001418712334046847,0.17073170731707318,1,5.63863712745305e-05
control_consecutive,21011,21011,21011.0,21012.0,21013.0,21014.0,84050.0,21012.5,-3532201246.0,-3532201238.0,-0.3333333329558539,3.7747943659738326e-10,3.7747943659738326e-10,5.320804229624723e-05,0.17073170731707318,1,7.93122044234762e-06
control_random,21011,13982,13982.0,4985.0,54412.0,10681.0,84060.0,21015.0,-3899826876.600735,-3899826868.600735,-0.4484581116417019,-0.11512477830836859,0.11512477830836859,0.9302164344249366,0.0975609756097561,0,1609.6746503076097
prime,22271,22271,22271.0,22273.0,22277.0,22279.0,89100.0,22275.0,-3969404944.0000005,-3969404936.0000005,-0.3333333286306974,4.70263589180675e-09,4.70263589180675e-09,0.00014196532705581952,0.17073170731707318,1,0.00010473240394642813
control_ap,22271,22271,22271.0,22273.666666666668,22276.333333333332,22279.0,89100.0,22275.0,-3969404971.555555,-3969404963.555555,-0.3333333309446928,2.3886405076112283e-09,2.3886405076112283e-09,0.0001338461939393692,0.17073170731707318,1,5.3197412745009665e-05
control_consecutive,22271,22271,22271.0,22272.0,22273.0,22274.0,89090.0,22272.5,-3968514046.0000005,-3968514038.0000005,-0.33333333299735535,3.3597796766926535e-10,3.3597796766926535e-10,5.019795661689953e-05,0.17073170731707318,1,7.482565317962209e-06
control_random,22271,7499,7499.0,4431.0,30124.0,47046.0,89100.0,22275.0,-1802562725.9451485,-1802562717.9451485,-0.15597166562931258,0.17736166770402073,0.17736166770402073,0.7814374859574079,0.14634146341463414,0,1330.0351461124515
