n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
385,5 * 7 * 11,1,385,385,0.0,1.0,1.0,A·B·C,1,5,7,11,0.0,0.270346401458936,0.32686554870818363,0.4027880498328803,1.085403275895584,1.085403275895584,9.322219001193337,6.461669817239511
386,2 * 193,2,193,2,0.11638114635461057,0.8836188536453894,0.11638114635461057,E,193,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,3^2 * 43,9,43,9,0.3687593098065924,0.6312406901934076,0.3687593098065924,B,1,1,43,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
388,2^2 * 97,4,97,4,0.23256049644932916,0.7674395035506708,0.23256049644932916,E,97,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,389,1,389,1,0.0,1.0,0.0,A,1,389,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
390,2 * 3 * 5 * 13,6,65,390,0.3003210526952659,0.699678947304734,1.0,E·A,13,5,1,1,0.6144493051612968,0.38555069483870325,0.0,0.0,0.6667161941484542,0.4664872848728091,1.4302467124896339,1.588536539333392
391,17 * 23,1,391,1,0.0,1.0,0.0,A·C,1,17,1,23,0.0,0.474677862097027,0.0,0.525322137902973,0.6918642104593025,0.6918642104593025,5.957659872634527,4.129535143451744
392,2^3 * 7^2,8,49,392,0.3482415605732013,0.6517584394267987,1.0,B,1,1,49,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
393,3 * 131,3,131,3,0.18390480447942226,0.8160951955205777,0.18390480447942226,C,1,1,1,131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
394,2 * 197,2,197,2,0.11598167361316675,0.8840183263868332,0.11598167361316675,A,1,197,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
395,5 * 79,1,395,5,0.0,1.0,0.26918693143164896,A·B,1,5,79,1,0.0,0.26918693143164896,0.730813068568351,0.0,0.5824484656946702,0.5824484656946702,5.024030881171847,3.4823928403303634
396,2^2 * 3^2 * 11,36,11,396,0.5991089752175078,0.40089102478249217,1.0,C,1,1,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
397,397,1,397,1,0.0,1.0,0.0,E,397,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,2 * 199,2,199,2,0.1157859747222698,0.8842140252777302,0.1157859747222698,B,1,1,199,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
399,3 * 7 * 19,3,133,21,0.18343953353411846,0.8165604664658815,0.5083556606555129,B,1,1,133,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
400,2^4 * 5^2,16,25,400,0.46275642631951835,0.5372435736804817,1.0,A,1,25,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
401,401,1,401,1,0.0,1.0,0.0,A,1,401,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
402,2 * 3 * 67,6,67,6,0.2988032661227676,0.7011967338772324,0.2988032661227676,B,1,1,67,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
403,13 * 31,1,403,13,0.0,1.0,0.4275673414738026,E·B,13,1,31,1,0.4275673414738026,0.0,0.5724326585261974,0.0,0.6826171880501417,0.6826171880501417,5.907803309391207,4.094977207207229
404,2^2 * 101,4,101,4,0.23099458866120814,0.7690054113387919,0.23099458866120814,A,1,101,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
405,3^4 * 5,81,5,405,0.73193401300772,0.2680659869922801,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
406,2 * 7 * 29,2,203,14,0.11540233518435108,0.8845976648156489,0.4393776488810805,A·B,1,29,7,1,0.0,0.6337597005026616,0.3662402994973384,0.0,0.6569243417287531,0.5811137386538124,3.1770756401085016,3.035029084940818
407,11 * 37,1,407,11,0.0,1.0,0.3990630426999616,E·C,37,1,1,11,0.6009369573000384,0.0,0.0,0.3990630426999616,0.6726299341036128,0.6726299341036128,5.830951535718805,4.041707616965172
408,2^3 * 3 * 17,24,17,24,0.5286828447552666,0.47131715524473344,0.5286828447552666,A,1,17,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
409,409,1,409,1,0.0,1.0,0.0,E,409,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,2 * 5 * 41,2,205,10,0.1152142741887247,0.8847857258112753,0.38273353435958046,A,1,205,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
411,3 * 137,3,137,3,0.18253639173054917,0.817463608269451,0.18253639173054917,A,1,137,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
412,2^2 * 103,4,103,4,0.23024231607898632,0.7697576839210136,0.23024231607898632,B,1,1,103,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
413,7 * 59,1,413,7,0.0,1.0,0.32305587772180383,B·C,1,1,7,59,0.0,0.0,0.32305587772180383,0.6769441222781961,0.6291514702535151,0.6291514702535151,5.467325000218609,3.789660909106431
414,2 * 3^2 * 23,18,23,18,0.47966081065379407,0.5203391893462059,0.47966081065379407,C,1,1,1,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
415,5 * 83,1,415,5,0.0,1.0,0.26698134584075395,A·C,1,5,1,83,0.0,0.26698134584075395,0.0,0.7330186541592462,0.5802332480370613,0.5802332480370613,5.046269715819767,3.4978076258655078
416,2^5 * 13,32,13,416,0.5746835978386945,0.4253164021613055,1.0,E,13,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,3 * 139,3,139,3,0.18209789289909267,0.8179021071009073,0.18209789289909267,B,1,1,139,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
418,2 * 11 * 19,2,209,22,0.11484538363826739,0.8851546163617325,0.5121451350510202,B·C,1,1,19,11,0.0,0.0,0.5511521444176823,0.4488478555823177,0.6879049299829808,0.6089022243924298,3.3451456054609587,3.1981987068325437
419,419,1,419,1,0.0,1.0,0.0,C,1,1,1,419,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
420,2^2 * 3 * 5 * 7,12,35,420,0.41139103706149566,0.5886089629385043,1.0,A·B,1,5,7,1,0.0,0.4526808302869428,0.5473191697130572,0.0,0.6886622640698201,0.40535278106901923,0.9545740302665067,0.7371726061363896
421,421,1,421,1,0.0,1.0,0.0,E,421,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,2 * 211,2,211,2,0.1146644451991653,0.8853355548008347,0.1146644451991653,B,1,1,211,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
423,3^2 * 47,9,47,9,0.36333543104051863,0.6366645689594814,0.36333543104051863,C,1,1,1,47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
424,2^3 * 53,8,53,8,0.3437244891973685,0.6562755108026315,0.3437244891973685,A,1,53,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
425,5^2 * 17,1,425,25,0.0,1.0,0.5318619298268307,A,1,425,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
426,2 * 3 * 71,6,71,6,0.2959414351606483,0.7040585648393516,0.2959414351606483,C,1,1,1,71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
427,7 * 61,1,427,7,0.0,1.0,0.3212777845148927,E·B,61,1,7,1,0.6787222154851072,0.0,0.3212777845148927,0.0,0.627828866460564,0.627828866460564,5.486026558385361,3.802623841421793
428,2^2 * 107,4,107,4,0.22879454937155783,0.7712054506284421,0.22879454937155783,C,1,1,1,107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
429,3 * 11 * 13,3,143,429,0.18124558226875956,0.8187544177312404,1.0,E·C,13,1,1,11,0.5168304769853754,0.0,0.0,0.4831695230146247,0.6925805436149368,0.5670533797194335,2.4793937913194903,2.6762921357940668
430,2 * 5 * 43,2,215,10,0.11430932275880595,0.885690677241194,0.3797273507800249,A·B,1,5,43,1,0.0,0.2996735032234504,0.7003264967765497,0.0,0.6105874081721778,0.5407915750589615,2.984896480450769,2.856017013365456
431,431,1,431,1,0.0,1.0,0.0,C,1,1,1,431,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
432,2^4 * 3^3,432,1,432,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,433,1,433,1,0.0,1.0,0.0,E,433,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,2 * 7 * 31,2,217,14,0.11413503995695967,0.8858649600430403,0.4345526061593717,B,1,1,217,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
435,3 * 5 * 29,3,145,15,0.1808312288791955,0.8191687711208044,0.4457441909060998,A,1,145,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
436,2^2 * 109,4,109,4,0.2280973946166309,0.7719026053833691,0.2280973946166309,E,109,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,19 * 23,1,437,1,0.0,1.0,0.0,B·C,1,1,19,23,0.0,0.0,0.48428804802355185,0.5157119519764481,0.6926533684012888,0.6926533684012888,6.075601726946023,4.21128620723777
