P_A,P_B,P_C,sigA,sigB,sigC,count,n_min,n_max,top_e (bis 5)
25,49,1177,5·5,7·7,11·107,27,18743725,970348225,"13×1, 37×1, 61×1, 73×1, 97×1"
265,49,121,5·53,7·7,11·11,25,20425405,963136405,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1357,5·5,7·7,23·59,24,21610225,999057325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,553,121,5·5,7·79,11·11,23,21746725,965220025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,517,5·5,7·19,11·47,23,22347325,991877425,"13×1, 37×1, 61×1, 73×1, 97×1"
289,49,121,17·17,7·7,11·11,23,22275253,988678537,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,253,5·29,7·7,11·23,22,23368345,972482665,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,529,5·5,7·19,23·23,22,22866025,951578425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,589,121,5·5,19·31,11·11,22,23162425,963913225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1441,5·5,7·7,11·131,22,22947925,954986725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,253,5·5,7·43,11·23,21,24749725,870048025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,721,121,5·5,7·103,11·11,21,28353325,996728425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,517,5·17,7·7,11·47,21,27992965,984060385,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1633,5·5,7·7,23·71,21,26005525,914194225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,649,5·5,7·19,11·59,21,28053025,986171725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,253,5·5,19·19,11·23,20,29683225,988679725,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,529,5·17,7·7,23·23,20,28642705,954022405,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1837,5·5,7·7,11·167,20,29254225,974390725,"13×1, 37×1, 61×1, 73×1, 97×1"
85,217,121,5·17,7·31,11·11,20,29013985,966388885,"13×1, 37×1, 61×1, 73×1, 97×1"
145,133,121,5·29,7·19,11·11,19,30335305,982397185,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1909,5·5,7·7,23·83,19,30400825,984519025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1969,5·5,7·7,11·179,18,31356325,986518225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,817,121,5·5,19·43,11·11,17,32128525,981155725,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,253,5·41,7·7,11·23,16,33038005,947936605,"13×1, 37×1, 61×1, 73×1, 97×1"
445,49,121,5·89,7·7,11·11,16,34299265,984125065,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,781,5·5,7·19,11·71,16,33758725,968615725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2101,5·5,7·7,11·191,16,33458425,959999425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,133,253,5·17,7·19,11·23,15,37182145,998197585,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,649,5·17,7·7,11·59,15,35140105,943376665,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,517,5·5,7·31,11·47,15,36461425,978849025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,889,121,5·5,7·127,11·11,15,34959925,938539525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2209,5·5,7·7,47·47,15,35178325,944402725,"13×1, 37×1, 61×1, 73×1, 97×1"
493,49,121,17·29,7·7,11·11,14,37998961,985049989,"13×1, 37×1, 61×1, 73×1, 97×1"
25,973,121,5·5,7·139,11·11,14,38263225,991900525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,961,121,5·5,31·31,11·11,14,37791325,979667425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,529,5·5,7·31,23·23,14,37307725,967131025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,469,253,5·5,7·67,11·23,14,38563525,999685225,"13×1, 37×1, 61×1, 73×1, 97×1"
85,301,121,5·17,7·43,11·11,13,40245205,968980705,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2497,5·5,7·7,11·227,13,39764725,957412225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2461,5·5,7·7,23·107,13,39191425,943608925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,913,5·5,7·19,11·83,13,39464425,950181925,"13×1, 37×1, 61×1, 73×1, 97×1"
505,49,121,5·101,7·7,11·11,13,38923885,937167385,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,649,5·5,7·31,11·59,12,45770725,975268525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2773,5·5,7·7,47·59,12,44160025,940948225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2893,5·5,7·7,11·263,12,46071025,981667225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1057,121,5·5,7·151,11·11,12,41566525,885686725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,553,253,5·5,7·79,11·23,12,45470425,968869825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1141,121,5·5,7·163,11·11,12,44869825,956072425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2761,5·5,7·7,11·251,12,43968925,936876325,"13×1, 37×1, 61×1, 73×1, 97×1"
565,49,121,5·113,7·7,11·11,12,43548505,927918145,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1081,5·5,7·19,23·47,12,46726225,995628025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,2629,5·5,7·7,11·239,12,41866825,892085425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,781,5·17,7·7,11·71,12,42287245,901043605,"13×1, 37×1, 61×1, 73×1, 97×1"
205,133,121,5·41,7·19,11·11,12,42887845,913841005,"13×1, 37×1, 61×1, 73×1, 97×1"
289,49,253,17·17,7·7,11·23,12,46575529,992417041,"13×1, 37×1, 61×1, 73×1, 97×1"
265,49,253,5·53,7·7,11·23,12,42707665,910001785,"13×1, 37×1, 61×1, 73×1, 97×1"
25,589,253,5·5,19·31,11·23,11,48430525,897827425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,913,5·17,7·7,11·83,11,49434385,916437445,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3013,5·5,7·7,23·131,11,47982025,889512925,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,517,5·29,7·7,11·47,11,47752705,885261685,"13×1, 37×1, 61×1, 73×1, 97×1"
145,217,121,5·29,7·31,11·11,11,49494445,917550865,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3337,5·5,7·7,47·71,11,53141725,985165825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,529,5·5,7·43,23·23,11,51749425,959354725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,517,5·5,7·43,11·47,11,50575525,937592425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1177,5·5,7·19,11·107,11,50875825,943159525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1273,121,5·5,19·67,11·11,11,50060725,928048825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1333,121,5·5,31·43,11·11,11,52420225,971790325,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,529,5·29,7·7,23·23,11,48861085,905809345,"13×1, 37×1, 61×1, 73×1, 97×1"
85,361,121,5·17,19·19,11·11,11,48267505,894805285,"13×1, 37×1, 61×1, 73×1, 97×1"
685,49,121,5·137,7·7,11·11,11,52797745,978788965,"13×1, 37×1, 61×1, 73×1, 97×1"
697,49,121,17·41,7·7,11·11,11,53722669,995935633,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1393,121,5·5,7·199,11·11,10,54779725,964965925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3421,5·5,7·7,11·311,10,54479425,959676025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,781,5·5,7·31,11·71,10,55080025,970255825,"13×1, 37×1, 61×1, 73×1, 97×1"
265,133,121,5·53,7·19,11·11,10,55440385,976603705,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3481,5·5,7·7,59·59,10,55434925,976507525,"13×1, 37×1, 61×1, 73×1, 97×1"
289,133,121,17·17,7·19,11·11,9,60461401,897619261,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,913,5·5,7·31,11·83,9,64389325,955933825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,721,253,5·5,7·103,11·23,9,59284225,880142725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3901,5·5,7·7,47·83,9,62123425,922293925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,817,253,5·5,19·43,11·23,9,67177825,997332325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3949,5·5,7·7,11·359,9,62887825,933642325,"13×1, 37×1, 61×1, 73×1, 97×1"
85,217,253,5·17,7·31,11·23,9,60665605,900650905,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,649,5·29,7·7,11·59,9,59944885,889950985,"13×1, 37×1, 61×1, 73×1, 97×1"
145,133,253,5·29,7·19,11·23,9,63428365,941667265,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1081,5·17,7·7,23·47,9,58530745,868956445,"13×1, 37×1, 61×1, 73×1, 97×1"
841,49,121,29·29,7·7,11·11,9,64821757,962353777,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,649,5·5,7·43,11·59,9,63488425,942558925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1561,121,5·5,7·223,11·11,9,61386325,911350825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1501,121,5·5,19·79,11·11,9,59026825,876321325,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1177,5·17,7·7,11·107,9,63728665,946125565,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3817,5·5,7·7,11·347,9,60785725,902434225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1477,121,5·5,7·211,11·11,9,58083025,862309525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,3841,5·5,7·7,23·167,9,61167925,908108425,"13×1, 37×1, 61×1, 73×1, 97×1"
745,49,121,5·149,7·7,11·11,9,57422365,852501265,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4117,5·5,7·7,23·179,9,65563225,973361725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4213,5·5,7·7,11·383,9,67092025,996058525,"13×1, 37×1, 61×1, 73×1, 97×1"
865,49,121,5·173,7·7,11·11,9,66671605,989816905,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4189,5·5,7·7,59·71,9,66709825,990384325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,517,5·5,19·19,11·47,9,60657025,900523525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1357,5·5,7·19,23·59,9,58656325,870820825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1441,5·5,7·19,11·131,9,62287225,924725725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,529,5·5,19·19,23·23,9,62064925,921425425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,469,121,5·17,7·67,11·11,9,62707645,930967345,"13×1, 37×1, 61×1, 73×1, 97×1"
205,217,121,5·41,7·31,11·11,8,69974905,974265985,"13×1, 37×1, 61×1, 73×1, 97×1"
145,301,121,5·29,7·43,11·11,8,68653585,955869145,"13×1, 37×1, 61×1, 73×1, 97×1"
901,49,121,17·53,7·7,11·11,8,69446377,966907249,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,517,5·41,7·7,11·47,8,67512445,939980965,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1633,5·5,7·19,23·71,8,70586425,982780225,"13×1, 37×1, 61×1, 73×1, 97×1"
445,49,253,5·89,7·7,11·23,8,71716645,998516365,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,529,5·41,7·7,23·23,8,69079465,961798705,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4393,5·5,7·7,23·191,8,69958525,974037925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4897,5·5,7·7,59·83,7,77984725,941815525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4609,5·5,7·7,11·419,7,73398325,886425925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,469,529,5·5,7·67,23·23,7,80632825,973796425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,553,121,5·17,7·79,11·11,7,73938865,892953985,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,1081,5·5,7·31,23·47,7,76237525,920714725,"13×1, 37×1, 61×1, 73×1, 97×1"
985,49,121,5·197,7·7,11·11,7,75920845,916890205,"13×1, 37×1, 61×1, 73×1, 97×1"
145,361,121,5·29,19·19,11·11,7,82338685,994397965,"13×1, 37×1, 61×1, 73×1, 97×1"
25,973,253,5·5,7·139,11·23,7,80004925,966213325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,649,5·5,19·19,11·59,7,76143925,919584325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1849,121,5·5,43·43,11·11,7,72711925,878136325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1837,5·5,7·19,11·167,7,79404325,958959925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4873,5·5,7·7,11·443,7,77602525,937199725,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1357,5·17,7·7,23·59,7,73474765,887349085,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5029,5·5,7·7,47·107,7,80086825,967202425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,133,517,5·17,7·19,11·47,7,75980905,917615545,"13×1, 37×1, 61×1, 73×1, 97×1"
493,49,253,17·29,7·7,11·23,7,79452373,959540197,"13×1, 37×1, 61×1, 73×1, 97×1"
85,133,529,5·17,7·19,23·23,7,77744485,938914165,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,781,5·5,7·43,11·71,7,76401325,922692925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,961,253,5·5,31·31,11·23,7,79018225,954297025,"13×1, 37×1, 61×1, 73×1, 97×1"
505,49,253,5·101,7·7,11·23,7,81386305,982896145,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2077,121,5·5,31·67,11·11,7,81678025,986419225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,469,517,5·5,7·67,11·47,7,78803725,951706525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5041,5·5,7·7,71·71,7,80277925,969510325,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,781,5·29,7·7,11·71,7,72137065,871193785,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1909,5·5,7·19,23·83,7,82516525,996545725,"13×1, 37×1, 61×1, 73×1, 97×1"
85,589,121,5·17,19·31,11·11,7,78752245,951084805,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1441,5·17,7·7,11·131,7,78022945,942277105,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1897,121,5·5,7·271,11·11,7,74599525,900932725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,4741,5·5,7·7,11·431,7,75500425,911812825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1957,121,5·5,19·103,11·11,7,76959025,929428225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1981,121,5·5,7·283,11·11,7,77902825,940826425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5137,5·5,7·7,11·467,7,81806725,987973525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,889,253,5·5,7·127,11·23,7,73098025,882799225,"13×1, 37×1, 61×1, 73×1, 97×1"
565,133,121,5·113,7·19,11·11,6,118203085,991087405,"13×1, 37×1, 61×1, 73×1, 97×1"
685,49,253,5·137,7·7,11·23,6,110395285,925622005,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2881,121,5·5,43·67,11·11,6,113295325,949937725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6457,5·5,7·7,11·587,6,102827725,862170925,"13×1, 37×1, 61×1, 73×1, 97×1"
265,49,517,5·53,7·7,11·47,6,87272185,731743705,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5269,5·5,7·7,11·479,6,83908825,703543225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2869,121,5·5,19·151,11·11,6,112823425,945981025,"13×1, 37×1, 61×1, 73×1, 97×1"
505,133,121,5·101,7·19,11·11,6,105650545,885839185,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2653,121,5·5,7·379,11·11,6,104329225,874760425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2641,121,5·5,19·139,11·11,6,103857325,870803725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2569,121,5·5,7·367,11·11,6,101025925,847063525,"13×1, 37×1, 61×1, 73×1, 97×1"
145,469,121,5·29,7·67,11·11,6,106971865,896917945,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5401,5·5,7·7,11·491,6,86010925,721168525,"13×1, 37×1, 61×1, 73×1, 97×1"
565,49,253,5·113,7·7,11·23,6,91055965,763469245,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2449,121,5·5,31·79,11·11,6,96306925,807496525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,589,517,5·5,19·31,11·47,6,98966725,829797925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2413,121,5·5,19·127,11·11,6,94891225,795626425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2149,121,5·5,7·307,11·11,6,84509425,708579025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,2317,121,5·5,7·331,11·11,6,91116025,763972825,"13×1, 37×1, 61×1, 73×1, 97×1"
205,301,121,5·41,7·43,11·11,6,97061965,813827245,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5497,5·5,7·7,23·239,6,87539725,733986925,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,2101,5·17,7·7,11·191,6,113758645,953822485,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7249,5·5,7·7,11·659,6,115440325,967922725,"13×1, 37×1, 61×1, 73×1, 97×1"
85,361,253,5·17,19·19,11·23,6,100922965,846200245,"13×1, 37×1, 61×1, 73×1, 97×1"
289,49,529,17·17,7·7,23·23,6,97385197,816537421,"13×1, 37×1, 61×1, 73×1, 97×1"
289,49,517,17·17,7·7,11·47,6,95176081,798014833,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6589,5·5,7·7,11·599,6,104929825,879796225,"13×1, 37×1, 61×1, 73×1, 97×1"
205,133,253,5·41,7·19,11·23,6,89674585,751886905,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1969,5·17,7·7,11·179,6,106611505,893896465,"13×1, 37×1, 61×1, 73×1, 97×1"
289,217,121,17·17,7·31,11·11,6,98647549,827121757,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1909,5·17,7·7,23·83,6,103362805,866657365,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1837,5·17,7·7,11·167,6,99464365,833970445,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,1633,5·17,7·7,23·71,6,88418785,741357505,"13×1, 37×1, 61×1, 73×1, 97×1"
265,217,121,5·53,7·31,11·11,6,90455365,758433445,"13×1, 37×1, 61×1, 73×1, 97×1"
205,361,121,5·41,19·19,11·11,6,116409865,976051945,"13×1, 37×1, 61×1, 73×1, 97×1"
265,133,253,5·53,7·19,11·23,6,115920805,971951365,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5533,5·5,7·7,11·503,6,88113025,738793825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,1177,5·5,7·31,11·107,6,83007925,695989525,"13×1, 37×1, 61×1, 73×1, 97×1"
493,133,121,17·29,7·19,11·11,6,103140037,864789541,"13×1, 37×1, 61×1, 73×1, 97×1"
265,49,529,5·53,7·7,23·23,6,89297845,748728085,"13×1, 37×1, 61×1, 73×1, 97×1"
85,133,781,5·17,7·19,11·71,6,114779665,962383345,"13×1, 37×1, 61×1, 73×1, 97×1"
85,133,649,5·17,7·19,11·59,6,95380285,799727005,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7117,5·5,7·7,11·647,6,113338225,950297425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6193,5·5,7·7,11·563,6,98623525,826920325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6313,5·5,7·7,59·107,6,100534525,842943325,"13×1, 37×1, 61×1, 73×1, 97×1"
445,133,121,5·89,7·19,11·11,6,93098005,780590965,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,649,5·41,7·7,11·59,6,84749665,710593345,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,1357,5·5,7·31,23·59,6,95702425,802428025,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,781,5·41,7·7,11·71,6,101986885,855120805,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,913,5·41,7·7,11·83,6,119224105,999648265,"13×1, 37×1, 61×1, 73×1, 97×1"
265,49,649,5·53,7·7,11·59,6,109554445,918571885,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6889,5·5,7·7,83·83,6,109707325,919853725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,1633,5·5,7·31,23·71,6,115167325,965633725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,1441,5·5,7·31,11·131,6,101626525,852099325,"13×1, 37×1, 61×1, 73×1, 97×1"
697,49,253,17·41,7·7,11·23,6,112329217,941837281,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7153,5·5,7·7,23·311,6,113911525,955104325,"13×1, 37×1, 61×1, 73×1, 97×1"
1465,49,121,5·293,7·7,11·11,6,112917805,946772365,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2497,5·5,7·19,11·227,6,107932825,904975225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,781,5·5,19·19,11·71,6,91630825,768289225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,553,517,5·5,7·79,11·47,6,92917825,779080225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,553,529,5·5,7·79,23·23,6,95074525,797163325,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,1081,5·29,7·7,23·47,6,99846565,837175045,"13×1, 37×1, 61×1, 73×1, 97×1"
25,553,649,5·5,7·79,11·59,6,116641525,977994325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,913,5·5,19·19,11·83,6,107117725,898140925,"13×1, 37×1, 61×1, 73×1, 97×1"
1405,49,121,5·281,7·7,11·11,6,108293185,907996705,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,913,5·5,7·43,11·83,6,89314225,748865425,"13×1, 37×1, 61×1, 73×1, 97×1"
1537,49,121,29·53,7·7,11·11,6,118467349,993303157,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1057,253,5·5,7·151,11·23,6,86911825,728722225,"13×1, 37×1, 61×1, 73×1, 97×1"
1345,49,121,5·269,7·7,11·11,6,103668565,869221045,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5893,5·5,7·7,71·83,6,93846025,786862825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,1081,5·5,7·43,23·47,6,105748825,886663225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6049,5·5,7·7,23·263,6,96330325,807692725,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,913,5·29,7·7,11·83,6,84329245,707068285,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,1177,5·5,7·43,11·107,6,115140025,965404825,"13×1, 37×1, 61×1, 73×1, 97×1"
1285,49,121,5·257,7·7,11·11,6,99043945,830445385,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,1969,5·5,7·19,11·179,6,85110025,713614825,"13×1, 37×1, 61×1, 73×1, 97×1"
1165,49,121,5·233,7·7,11·11,6,89794705,752894065,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,6157,5·5,7·7,47·131,6,98050225,822113425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2101,5·5,7·19,11·191,6,90815725,761454925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2629,5·5,7·19,11·239,6,113638525,952815325,"13×1, 37×1, 61×1, 73×1, 97×1"
1189,49,121,29·41,7·7,11·11,6,91644553,768404329,"13×1, 37×1, 61×1, 73×1, 97×1"
1513,49,121,17·89,7·7,11·11,6,116617501,977792893,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2209,5·5,7·19,47·47,6,95484025,800596825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2461,5·5,7·19,23·107,6,106376725,891927925,"13×1, 37×1, 61×1, 73×1, 97×1"
145,217,253,5·29,7·31,11·23,6,103488385,867710305,"13×1, 37×1, 61×1, 73×1, 97×1"
85,817,121,5·17,19·43,11·11,6,109236985,915910105,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1393,253,5·5,7·199,11·23,6,114539425,960369025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5773,5·5,7·7,23·251,6,91935025,770839825,"13×1, 37×1, 61×1, 73×1, 97×1"
85,889,121,5·17,7·127,11·11,6,118863745,996626785,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1333,253,5·5,31·43,11·23,6,109605925,919003525,"13×1, 37×1, 61×1, 73×1, 97×1"
