Index,E_Restklasse_1,,A_Restklasse_5,,B_Restklasse_7,,C_Restklasse_11,Mittel,Norm_Mittel_unter_1,Dreiteilungen_wie_oft_v3,Potenz_3_teilt_Mittel
266,1748473,,1748477,,1748479,,1748471,1748475,0.999997712297,2,9
267,1749493,,1749497,,1749499,,1749491,1749495,0.999997713631,1,3
268,1755829,,1755821,,1755823,,1755827,1755825,0.999997721874,1,3
269,1764229,,1764221,,1764223,,1764227,1764225,0.999997732721,2,9
270,1780489,,1780481,,1780483,,1780487,1780485,0.999997753426,1,3
271,1791733,,1791737,,1791739,,1791731,1791735,0.999997767532,1,3
272,1797373,,1797377,,1797379,,1797371,1797375,0.999997774537,1,3
273,1798633,,1798637,,1798639,,1798631,1798635,0.999997776096,1,3
274,1802653,,1802657,,1802659,,1802651,1802655,0.999997781056,4,81
275,1819849,,1819841,,1819843,,1819847,1819845,0.999997802015,2,9
276,1830349,,1830341,,1830343,,1830347,1830345,0.999997814624,1,3
277,1833529,,1833521,,1833523,,1833527,1833525,0.999997818415,2,9
278,1834033,,1834037,,1834039,,1834031,1834035,0.999997819021,1,3
279,1837393,,1837397,,1837399,,1837391,1837395,0.99999782301,2,9
280,1857673,,1857677,,1857679,,1857671,1857675,0.999997846775,1,3
281,1890529,,1890521,,1890523,,1890527,1890525,0.99999788419,1,3
282,1902613,,1902617,,1902619,,1902611,1902615,0.999997897635,1,3
283,1904473,,1904477,,1904479,,1904471,1904475,0.999997899688,1,3
284,1910269,,1910261,,1910263,,1910267,1910265,0.999997906054,1,3
285,1912069,,1912061,,1912063,,1912067,1912065,0.999997908025,1,3
286,1912453,,1912457,,1912459,,1912451,1912455,0.999997908452,2,9
287,1915933,,1915937,,1915939,,1915931,1915935,0.999997912251,1,3
288,1917733,,1917737,,1917739,,1917731,1917735,0.99999791421,1,3
289,1925389,,1925381,,1925383,,1925387,1925385,0.999997922498,1,3
290,1943653,,1943657,,1943659,,1943651,1943655,0.999997942026,1,3
291,1954153,,1954157,,1954159,,1954151,1954155,0.999997953084,1,3
292,1954369,,1954361,,1954363,,1954367,1954365,0.999997953304,1,3
293,1959313,,1959317,,1959319,,1959311,1959315,0.999997958474,1,3
294,1979149,,1979141,,1979143,,1979147,1979145,0.999997978929,2,9
295,1979893,,1979897,,1979899,,1979891,1979895,0.999997979695,1,3
296,2002333,,2002337,,2002339,,2002331,2002335,0.999998002336,1,3
297,2007613,,2007617,,2007619,,2007611,2007615,0.99999800759,1,3
298,2007913,,2007917,,2007919,,2007911,2007915,0.999998007888,1,3
299,2016409,,2016401,,2016403,,2016407,2016405,0.999998016275,2,9
300,2020729,,2020721,,2020723,,2020727,2020725,0.999998020516,2,9
301,2050333,,2050337,,2050339,,2050331,2050335,0.999998049103,2,9
302,2062009,,2062001,,2062003,,2062007,2062005,0.999998060144,1,3
303,2063773,,2063777,,2063779,,2063771,2063775,0.999998061808,1,3
304,2065573,,2065577,,2065579,,2065571,2065575,0.999998063497,1,3
305,2075833,,2075837,,2075839,,2075831,2075835,0.999998073068,1,3
306,2079193,,2079197,,2079199,,2079191,2079195,0.999998076182,1,3
307,2083513,,2083517,,2083519,,2083511,2083515,0.999998080171,1,3
308,2084449,,2084441,,2084443,,2084447,2084445,0.999998081028,2,9
309,2087389,,2087381,,2087383,,2087387,2087385,0.99999808373,1,3
310,2107669,,2107661,,2107663,,2107667,2107665,0.999998102169,2,9
311,2116573,,2116577,,2116579,,2116571,2116575,0.999998110158,2,9
312,2136133,,2136137,,2136139,,2136131,2136135,0.999998127463,1,3
313,2141809,,2141801,,2141803,,2141807,2141805,0.99999813242,1,3
314,2143489,,2143481,,2143483,,2143487,2143485,0.999998133884,2,9
315,2144509,,2144501,,2144503,,2144507,2144505,0.999998134771,1,3
316,2157733,,2157737,,2157739,,2157731,2157735,0.999998146208,1,3
317,2159233,,2159237,,2159239,,2159231,2159235,0.999998147495,2,9
318,2168653,,2168657,,2168659,,2168651,2168655,0.999998155542,1,3
