p,E,A,B,C,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,prime_density,is_quadruplet,symmetry_cv,p_times_abs_K_tilde
99131,99131.0,99133.0,99137.0,99139.0,-78621985744.00002,-78621985736.00002,-0.3333333330959104,2.374229146617779e-10,2.374229146617779e-10,0.14634146341463414,1,3.189870035979603e-05,2.3535970953336705e-05
101111,101111.0,101113.0,101117.0,101119.0,-81793945744.0,-81793945736.0,-0.3333333331051176,2.28215724096259e-10,2.28215724096259e-10,0.12195121951219512,1,3.127407071323127e-05,2.3075120079096845e-05
109841,109841.0,109843.0,109847.0,109849.0,-96527392144.00002,-96527392136.00002,-0.33333333313995134,1.9338197709828364e-10,1.9338197709828364e-10,0.17073170731707318,1,2.878854440501051e-05,2.1241269746452573e-05
116531,116531.0,116533.0,116537.0,116539.0,-108643249744.0,-108643249736.0,-0.33333333316151714,1.7181617240069613e-10,1.7181617240069613e-10,0.12195121951219512,1,2.713586184552606e-05,2.002191038602552e-05
119291,119291.0,119293.0,119297.0,119299.0,-113850376144.0,-113850376136.0,-0.33333333316937547,1.6395784729894558e-10,1.6395784729894558e-10,0.12195121951219512,1,2.6508048620381234e-05,1.9558695562138517e-05
122201,122201.0,122203.0,122207.0,122209.0,-119472496144.00002,-119472496136.00002,-0.333333333177091,1.5624229687816182e-10,1.5624229687816182e-10,0.12195121951219512,1,2.5876827136110466e-05,1.9092964920808253e-05
135461,135461.0,135463.0,135467.0,135469.0,-146806129744.0,-146806129736.0,-0.3333333332061815,1.2715178909772362e-10,1.2715178909772362e-10,0.14634146341463414,1,2.3343872292978846e-05,1.722410850296674e-05
144161,144161.0,144163.0,144167.0,144169.0,-166268377744.0,-166268377736.0,-0.33333333322106506,1.1226825025190124e-10,1.1226825025190124e-10,0.12195121951219512,1,2.193512752865383e-05,1.6184703224564334e-05
157271,157271.0,157273.0,157277.0,157279.0,-197883404944.00003,-197883404936.00003,-0.3333333332390017,9.433159808835967e-11,9.433159808835967e-11,0.17073170731707318,1,2.010667722249804e-05,1.4835624762954414e-05
165701,165701.0,165703.0,165707.0,165709.0,-219665176144.0,-219665176136.0,-0.3333333332483555,8.497780257243903e-11,8.497780257243903e-11,0.17073170731707318,1,1.9083779367963426e-05,1.408090686405572e-05
166841,166841.0,166843.0,166847.0,166849.0,-222698032144.0,-222698032136.0,-0.3333333332495128,8.382050609156977e-11,8.382050609156977e-11,0.17073170731707318,1,1.895338583816344e-05,1.3984697056823592e-05
171161,171161.0,171163.0,171167.0,171169.0,-234379657744.00003,-234379657736.00003,-0.3333333332536905,7.964279236105654e-11,7.964279236105654e-11,0.12195121951219512,1,1.8475025035307332e-05,1.3631739983310798e-05
187631,187631.0,187633.0,187637.0,187639.0,-281655145744.0,-281655145736.0,-0.33333333326705844,6.627487447730118e-11,6.627487447730118e-11,0.12195121951219512,1,1.6853346444791108e-05,1.2435220973050498e-05
194861,194861.0,194863.0,194867.0,194869.0,-303778945744.00006,-303778945736.00006,-0.3333333332718852,6.144812436659208e-11,6.144812436659208e-11,0.0975609756097561,1,1.622804331290062e-05,1.19738429621985e-05
195731,195731.0,195733.0,195737.0,195739.0,-306497521744.0,-306497521736.0,-0.3333333332724302,6.090311588380359e-11,6.090311588380359e-11,0.14634146341463414,1,1.6155913148738753e-05,1.1920627775052761e-05
201491,201491.0,201493.0,201497.0,201499.0,-324801880144.0,-324801880136.0,-0.33333333327586234,5.7470972425477385e-11,5.7470972425477385e-11,0.14634146341463414,1,1.569407508954753e-05,1.1579883704981864e-05
201821,201821.0,201823.0,201827.0,201829.0,-325866644944.0,-325866644936.0,-0.3333333332760502,5.728312268971081e-11,5.728312268971081e-11,0.14634146341463414,1,1.566841402288309e-05,1.1560937104360125e-05
217361,217361.0,217363.0,217367.0,217369.0,-377980345744.0,-377980345736.0,-0.33333333328394804,4.93852736482836e-11,4.93852736482836e-11,0.12195121951219512,1,1.4548237573520942e-05,1.0734432465464572e-05
225341,225341.0,225343.0,225347.0,225349.0,-406242952144.00006,-406242952136.00006,-0.33333333328738385,4.594946645397613e-11,4.594946645397613e-11,0.12195121951219512,1,1.4033050035138919e-05,1.0354298720205435e-05
240041,240041.0,240043.0,240047.0,240049.0,-460972816143.9999,-460972816135.9999,-0.33333333329283915,4.04941635778755e-11,4.04941635778755e-11,0.12195121951219512,1,1.317368685108367e-05,9.720259519396812e-06
243701,243701.0,243703.0,243707.0,243709.0,-475137016143.99994,-475137016135.99994,-0.33333333329404635,3.928696257204933e-11,3.928696257204933e-11,0.0975609756097561,1,1.297584235107355e-05,9.574272065770995e-06
247601,247601.0,247603.0,247607.0,247609.0,-490465888143.99994,-490465888135.99994,-0.3333333332952743,3.805900039566268e-11,3.805900039566268e-11,0.14634146341463414,1,1.2771461239346457e-05,9.423446556966475e-06
247991,247991.0,247993.0,247997.0,247999.0,-492012160143.99994,-492012160135.99994,-0.33333333329539383,3.793948488706178e-11,3.793948488706178e-11,0.0975609756097561,1,1.2751376681660434e-05,9.408650796627338e-06
257861,257861.0,257863.0,257867.0,257869.0,-531954865744.0,-531954865736.0,-0.33333333329824266,3.509065260587363e-11,3.509065260587363e-11,0.14634146341463414,1,1.2263307002378684e-05,9.04851077160318e-06
260411,260411.0,260413.0,260417.0,260419.0,-542527777743.99994,-542527777735.99994,-0.33333333329892645,3.4406866245006995e-11,3.4406866245006995e-11,0.12195121951219512,1,1.214322393167974e-05,8.959926445728517e-06
266681,266681.0,266683.0,266687.0,266689.0,-568967113744.0,-568967113736.0,-0.33333333330052534,3.2807978556093076e-11,3.2807978556093076e-11,0.1951219512195122,1,1.1857726006968445e-05,8.749264529317458e-06
268811,268811.0,268813.0,268817.0,268819.0,-578092033743.9999,-578092033735.9999,-0.33333333330104314,3.22901705374079e-11,3.22901705374079e-11,0.12195121951219512,1,1.1763769358735114e-05,8.679953032331156e-06
276041,276041.0,276043.0,276047.0,276049.0,-609606736144.0,-609606736136.0,-0.3333333333027125,3.062083919758152e-11,3.062083919758152e-11,0.12195121951219512,1,1.1455659983583761e-05,8.4526070729396e-06
