Isomer,Config,Kern,Schale,Defect,Nu,AB_Phase,Plateau_Level
1,"(32, 30, 28, 25)",1024,2309,0.5513673220832283,1.9166666666666667,2.5860201081971503,1.9
2,"(32, 32, 31, 18)",1024,2309,0.6180339887498949,1.8833333333333333,5.931905258852336,1.9
3,"(33, 28, 28, 26)",1089,2244,0.4394625601784663,1.9166666666666667,2.5860201081971503,1.9
4,"(33, 32, 32, 14)",1089,2244,0.5867839887498949,1.85,7.949056547792323,1.8
5,"(34, 33, 32, 8)",1156,2177,0.5877309584468646,1.7833333333333334,10.848386976873567,1.8
6,"(34, 34, 30, 11)",1156,2177,0.6180339887498949,1.8166666666666667,9.522998477370455,1.8
7,"(36, 31, 26, 20)",1296,2037,0.45674366616924966,1.8833333333333333,5.931905258852336,1.9
8,"(36, 32, 23, 22)",1296,2037,0.4930339887498949,1.8833333333333333,5.931905258852336,1.9
9,"(36, 34, 25, 16)",1296,2037,0.5592104593381302,1.85,7.949056547792323,1.8
10,"(37, 34, 22, 18)",1369,1964,0.5297986946322479,1.85,7.949056547792323,1.8
