n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,logR_A,logR_B,logR_C,logR_sum,excA,excB,excC,exc_combo,sigA,sigB,sigC,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum,shell,state_key
385349965,13,5,17,7,7,11,647,29642305,85,49,7117,3.4,1.0,58.81818181818182,1.2237754316221157,0.0,4.07445102170253,5.298226453324646,True,False,True,A+C,5·17,7·7,11·647,13 * 5 * 17 * 7 * 7 * 11 * 647,3.4157601047094523,12.0,1.0968325791855205,S7,5·17 | 7·7 | 11·647
385516285,73,5,29,7,43,11,11,5281045,145,301,121,5.8,6.142857142857143,1.0,1.7578579175523736,1.8152899666382492,0.0,3.5731478841906226,True,True,False,A+B,5·29,7·43,11·11,73 * 5 * 29 * 7 * 43 * 11 * 11,3.5094643240009464,36.0,1.073594709494568,S3,5·29 | 7·43 | 11·11
385757449,37,29,29,7,7,11,23,10425877,841,49,253,33.64,1.0,2.090909090909091,3.5157158351047473,0.0,0.7375989431307791,4.253314778235526,True,False,True,A+C,29·29,7·7,11·23,37 * 29 * 29 * 7 * 7 * 11 * 23,3.786227548745333,26.0,0.8518173345759553,S5,29·29 | 7·7 | 11·23
386082025,193,5,5,7,7,23,71,2000425,25,49,1633,1.0,1.0,13.49586776859504,0.0,0.0,2.602383547373724,2.602383547373724,False,False,True,C,5·5,7·7,23·71,193 * 5 * 5 * 7 * 7 * 23 * 71,3.257019313956718,88.0,1.2352331606217617,S2,5·5 | 7·7 | 23·71
386130325,97,5,5,7,43,23,23,3980725,25,301,529,1.0,6.142857142857143,4.371900826446281,0.0,1.8152899666382492,1.4751978862615585,3.2904878528998074,False,True,True,B+C,5·5,7·43,23·23,97 * 5 * 5 * 7 * 43 * 23 * 23,3.366869432803848,40.0,1.1711340206185568,S3,5·5 | 7·43 | 23·23
386287825,109,5,5,7,7,11,263,3543925,25,49,2893,1.0,1.0,23.90909090909091,0.0,0.0,3.174258759379394,3.174258759379394,False,False,True,C,5·5,7·7,11·263,109 * 5 * 5 * 7 * 7 * 11 * 263,3.4936369679052106,34.0,1.075229357798165,S3,5·5 | 7·7 | 11·263
386310925,13,5,5,7,43,11,359,29716225,25,301,3949,1.0,6.142857142857143,32.63636363636363,0.0,1.8152899666382492,3.4854271156899084,5.300717082328157,False,True,True,B+C,5·5,7·43,11·359,13 * 5 * 5 * 7 * 43 * 11 * 359,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·43 | 11·359
386358445,61,5,29,19,19,11,11,6333745,145,361,121,5.8,7.36734693877551,1.0,1.7578579175523736,1.9970576602222543,0.0,3.7549155777746277,True,True,False,A+B,5·29,19·19,11·11,61 * 5 * 29 * 19 * 19 * 11 * 11,3.1734967180748157,42.0,1.2366308648954212,S4,5·29 | 19·19 | 11·11
386370985,13,5,17,7,19,11,239,29720845,85,133,2629,3.4,2.7142857142857144,21.727272727272727,1.2237754316221157,0.9985288301111273,3.07856827913314,5.300872540866383,True,True,True,A+B+C,5·17,7·19,11·239,13 * 5 * 17 * 7 * 19 * 11 * 239,3.4157601047094523,12.0,1.0968325791855205,S7,5·17 | 7·19 | 11·239
386491105,13,5,53,7,31,11,47,29730085,265,217,517,10.6,4.428571428571429,4.2727272727272725,2.3608540011180215,1.488077055429833,1.452252328911688,5.3011833854595425,True,True,True,A+B+C,5·53,7·31,11·47,13 * 5 * 53 * 7 * 31 * 11 * 47,3.382439108831205,22.0,1.125689404934688,S7,5·53 | 7·31 | 11·47
386611225,13,5,5,7,7,11,2207,29739325,25,49,24277,1.0,1.0,200.63636363636363,0.0,0.0,5.301494133458366,5.301494133458366,False,False,True,C,5·5,7·7,11·2207,13 * 5 * 5 * 7 * 7 * 11 * 2207,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·7 | 11·2207
386695309,13,29,173,7,7,11,11,29745793,5017,49,121,200.68,1.0,1.0,5.301711599616052,0.0,0.0,5.301711599616052,True,False,False,A,29·173,7·7,11·11,13 * 29 * 173 * 7 * 7 * 11 * 11,3.5912306713294924,42.0,0.9566550650863986,S7,29·173 | 7·7 | 11·11
386779393,13,17,17,7,7,11,191,29752261,289,49,2101,11.56,1.0,17.363636363636363,2.4475508632442313,0.0,2.854378155248259,5.3019290184924905,True,False,True,A+C,17·17,7·7,11·191,13 * 17 * 17 * 7 * 7 * 11 * 191,3.6344290505833943,14.0,0.9321266968325792,S7,17·17 | 7·7 | 11·191
386802325,13,5,5,7,7,107,227,29754025,25,49,24289,1.0,1.0,200.73553719008265,0.0,0.0,5.301988306346567,5.301988306346567,False,False,True,C,5·5,7·7,107·227,13 * 5 * 5 * 7 * 7 * 107 * 227,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·7 | 107·227
386916985,13,5,29,7,7,59,71,29762845,145,49,4189,5.8,1.0,34.6198347107438,1.7578579175523736,0.0,3.544426775350294,5.302284692902667,True,False,True,A+C,5·29,7·7,59·71,13 * 5 * 29 * 7 * 7 * 59 * 71,3.2802323907239512,18.0,1.2063660477453582,S7,5·29 | 7·7 | 59·71
387091705,13,5,89,7,79,11,11,29776285,445,553,121,17.8,11.285714285714286,1.0,2.8791984572980396,2.423537703411708,0.0,5.302736160709747,True,True,False,A+B,5·89,7·79,11·11,13 * 5 * 89 * 7 * 79 * 11 * 11,3.1021394524927537,48.0,1.3109766637856526,S7,5·89 | 7·79 | 11·11
387096325,1249,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,0.0,0.0,0.7375989431307791,0.7375989431307791,False,False,True,C,5·5,7·7,11·23,1249 * 5 * 5 * 7 * 7 * 11 * 23,3.3467572025251195,484.0,1.1843074459567653,S1,5·5 | 7·7 | 11·23
387192925,61,5,5,7,19,23,83,6347425,25,133,1909,1.0,2.7142857142857144,15.776859504132231,0.0,0.9985288301111273,2.7585442781290066,3.757073108240134,False,True,True,B+C,5·5,7·19,23·83,61 * 5 * 5 * 7 * 19 * 23 * 83,3.0903554861863745,34.0,1.2918032786885245,S4,5·5 | 7·19 | 23·83
387193345,37,5,353,7,7,11,11,10464685,1765,49,121,70.6,1.0,1.0,4.257030144499196,0.0,0.0,4.257030144499196,True,False,False,A,5·353,7·7,11·11,37 * 5 * 353 * 7 * 7 * 11 * 11,3.6437501111535204,144.0,0.9474312839751933,S5,5·353 | 7·7 | 11·11
