family,prime,occurrences,first_n,first_shell,first_e,first_partner_in_family,first_partner_type,double_share_overall,top_shells (3),top_e (5),top_other_pairs (5)
A,2153,1,829733905,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2213,1,852857005,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2237,1,862106245,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2273,1,875980105,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2297,1,885229345,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2309,1,889853965,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2333,1,899103205,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2357,1,908352445,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2381,1,917601685,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2393,1,922226305,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2417,1,931475545,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2441,1,940724785,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2477,1,954598645,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2549,1,982346365,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
B,367,29,101025925,S4,13,7,baseline,0.0,"S4×6, S6×5, S7×5","13×20, 37×4, 61×2, 73×1, 97×1","5·5 | 11·11×11, 5·5 | 11·23×5, 5·17 | 11·11×3, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,379,26,104329225,S4,13,7,baseline,0.0,"S4×6, S8×6, S10×5","13×19, 37×3, 61×1, 73×1, 97×1","5·5 | 11·11×11, 5·5 | 11·23×4, 5·17 | 11·11×2, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,439,21,120845725,S5,13,7,baseline,0.0,"S5×5, S9×5, S7×3","13×15, 37×3, 61×1, 73×1, 97×1","5·5 | 11·11×9, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,463,20,127452325,S5,13,7,baseline,0.0,"S5×5, S9×5, S7×3","13×14, 37×3, 61×1, 73×1, 97×1","5·5 | 11·11×9, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,487,17,134058925,S5,13,7,baseline,0.0,"S5×4, S8×4, S9×4","13×13, 37×2, 61×1, 73×1","5·5 | 11·11×7, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,499,17,137362225,S5,13,7,baseline,0.0,"S5×4, S8×4, S9×3","13×13, 37×2, 61×1, 73×1","5·5 | 11·11×7, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,523,16,143968825,S5,13,7,baseline,0.0,"S5×4, S8×4, S7×3","13×12, 37×2, 61×1, 73×1","5·5 | 11·11×7, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,547,16,150575425,S5,13,7,baseline,0.0,"S5×4, S10×4, S7×3","13×12, 37×2, 61×1, 73×1","5·5 | 11·11×7, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,571,15,157182025,S5,13,7,baseline,0.0,"S5×4, S10×4, S7×3","13×11, 37×2, 61×1, 73×1","5·5 | 11·11×7, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,607,14,167091925,S5,13,7,baseline,0.0,"S5×4, S9×3, S10×3","13×10, 37×2, 61×1, 73×1","5·5 | 11·11×6, 5·5 | 11·23×3, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,619,13,170395225,S5,13,7,baseline,0.0,"S5×4, S9×3, S10×3","13×10, 37×1, 61×1, 73×1","5·5 | 11·11×6, 5·5 | 11·23×2, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,631,12,173698525,S5,13,7,baseline,0.0,"S5×4, S9×3, S8×2","13×9, 37×1, 61×1, 73×1","5·5 | 11·11×6, 5·5 | 11·23×2, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,643,11,177001825,S5,13,7,baseline,0.0,"S5×4, S9×3, S8×2","13×8, 37×1, 61×1, 73×1","5·5 | 11·11×6, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
