n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_units,min_resid_E8_rel_over_units,best_unit_abs_idx,best_unit_rel_idx,pol_E8_axial_mean_deg,pol_E8_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,H_balance_alpha_min,H_balance_alpha_max,H_balance_alpha_range,H_balance_alpha_absmax,improve_abs,improve_rel,stability_score
9829765,313,5,571,11,1,0.3291345627565164,0.27444793901633524,0.001635861107607974,0.05632248484778896,8,8,43.38582456602997,0.45463905378131264,0,0,-0.006747458414688055,0.0018804102082746346,0.00862786862296269,0.006747458414688055,0.32749870164890843,0.21812545416854628,0.2199542234967736
8227945,709,5,211,11,1,0.0016863128952012661,0.04189109758467041,0.0016863128952012661,0.04189109758467041,0,0,18.898362141804046,0.01335973105920596,0,0,-0.017960943204675145,0.007139052516062079,0.025099995720737223,0.017960943204675145,0.0,0.0,7.484620381689136
4144105,709,5,7,167,1,0.00592786884373732,0.006378369481449661,0.001725364615656299,0.001274863977943964,9,9,17.822133864307528,0.006246159084305369,0,0,-0.00486346496502549,0.10207733631274528,0.10694080127777077,0.10207733631274528,0.00420250422808102,0.005103505503505697,16.007276051482073
7504705,13,5,439,263,1,0.001879050212743054,0.03966152878721721,0.001879050212743054,0.03966152878721721,0,0,44.95042775734458,0.5933003186513683,8,8,-0.0012371179674454857,0.0003390621391192638,0.0015761801065647496,0.0012371179674454857,0.0,0.0,2.8653231445098846
9498445,373,5,463,11,1,0.3597715360338859,0.3072166832409991,0.0019598312393651848,0.050595021553521746,9,9,24.8327295810909,0.2419383008084669,8,0,-0.0073965377421654,0.00010113933262157881,0.007497677074786979,0.0073965377421654,0.35781170479452074,0.25662166168747735,3.7199413116949187
8703145,229,5,691,11,1,0.002165967460084652,0.04493146054955288,0.002165967460084652,0.04493146054955288,0,0,35.7807140982542,0.44006423863913935,4,0,-0.005415358140338476,0.00013151958813504698,0.005546877728473523,0.005415358140338476,0.0,0.0,1.136195173120702
5888245,709,5,151,11,1,0.007114875201731365,0.015226433734165198,0.002229463432165158,0.015226433734165198,9,0,17.48120093090848,0.004623105816633166,0,0,-0.021863204377649527,0.006925834204101053,0.02878903858175058,0.021863204377649527,0.004885411769566207,0.0,21.62580268822881
5315713,13,17,67,359,1,0.42081809075505416,0.40506036174496013,0.002284659134984865,0.018042388145078858,8,8,44.90390393372316,0.583179494811934,4,4,-0.005563816547603951,-0.00010707384681555524,0.005456742700788396,0.005563816547603951,0.4185334316200693,0.38701797359988127,1.5432614910933107
9067981,13,29,67,359,1,0.4208180796450802,0.37115403260713226,0.0022846639016063496,0.051948710939554346,8,8,44.900886390925585,0.583146344143225,4,4,-0.0072932001753363744,-0.0002774346646859777,0.007015765510650397,0.0072932001753363744,0.41853341574347386,0.3192053216675779,1.5433492221803786
8916565,373,5,7,683,1,0.002301737275586878,0.046310659523070376,0.002301737275586878,0.046310659523070376,0,0,30.817613647050575,0.328516546449069,4,0,-0.01776265153186336,0.0005307841588651819,0.01829343569072854,0.01776265153186336,0.0,0.0,1.5219887199465505
9009445,157,5,499,23,1,0.495420406182021,0.4461606893564536,0.002406816325661271,0.04685290049990626,8,8,39.899276264237436,0.5368238932972735,8,0,-0.0007742003051055987,0.011185930742829468,0.011960131047935066,0.011185930742829468,0.49301358985635974,0.39930778885654733,1.6765243401289396
4308865,157,5,499,11,1,0.49542815732278817,0.4933232082572267,0.0024159518663331337,0.00031100280077174297,8,8,39.89143401192596,0.5369631218202229,8,0,-0.005504620476395489,0.001143155521783981,0.0066477759981794695,0.005504620476395489,0.493012205456455,0.49301220545645497,1.6760896369558982
8695885,709,5,223,11,1,0.0024812984902387097,0.044563902162399346,0.0024812984902387097,0.044563902162399346,0,0,19.190430129432787,0.01534668161535302,0,0,-0.01292087237487004,0.003432593576535314,0.016353465951405355,0.01292087237487004,0.0,0.0,6.515642069351062
6228565,709,5,7,251,1,0.0040329369251657496,0.029972223268215737,0.0025192849434421236,0.028458571286491912,8,8,19.903348082182532,0.02131934930831847,0,0,-0.000457660540459266,0.027432804284084317,0.027890464824543583,0.027432804284084317,0.001513651981723626,0.001513651981723825,4.690354672612395
5551645,193,5,523,11,1,0.4256192664792995,0.4070612110793983,0.0025412531517958158,0.02109930855169702,9,9,39.316296263846624,0.523123778486142,8,0,-0.006942734151088581,0.0010310469658274652,0.007973781116916046,0.006942734151088581,0.42307801332750367,0.3859619025277013,1.720430836032061
5196505,73,5,619,23,1,0.002841651223595134,0.011450416412700812,0.002841651223595134,0.011450416412700812,0,0,43.428788426452336,0.5888267617938325,8,4,-0.0039781955507672655,0.0033191888131131526,0.007297384363880418,0.0039781955507672655,0.0,0.0,2.2077763386013234
2485285,73,5,619,11,1,0.0028452302446142067,0.037427661076750066,0.0028452302446142067,0.037427661076750066,0,0,43.42640744432035,0.5886664291704802,8,4,-0.0036842964016106476,5.434261324069107e-06,0.0036897306629347167,0.0036842964016106476,0.0,0.0,2.208377660425162
892177,13,17,367,11,1,0.3587628998103488,0.46545357205272275,0.0028722458596853935,0.10381842638268848,8,8,44.907291839332125,0.5953698859990693,4,4,-0.00409457012047536,0.00041406952623885694,0.004508639646714217,0.00409457012047536,0.35589065395066344,0.3616351456700343,1.511662765453746
2781493,13,53,367,11,1,0.3587627682010299,0.38572785848933655,0.0028723097116661912,0.02409278057664037,8,8,44.89168254282434,0.5951888736902629,4,4,-0.007116368594877946,0.0007820124321539742,0.00789838102703192,0.007116368594877946,0.35589045848936374,0.36163507791269617,1.5121225003709664
1865461,13,17,367,23,1,0.35873998312134503,0.41299594086907937,0.0029073718409568013,0.05134858590677776,8,8,44.90756524569895,0.5945355799612817,4,4,-0.0007016427957998742,0.004391496136350219,0.005093138932150094,0.004391496136350219,0.35583261128038823,0.3616473549623016,1.513784063646027
5815849,13,53,367,23,1,0.3587398515180581,0.3371924708068113,0.002907435688452001,0.024454816399698865,8,8,44.892001930310514,0.5943563493482924,4,4,-0.0013043981503469892,0.00785461901650559,0.009159017166852579,0.00785461901650559,0.3558324158296061,0.31273765440711243,1.5142405507172445
6526345,709,5,7,263,1,0.0029221786592303635,0.03184213302229283,0.0029221786592303635,0.03184213302229283,0,0,20.254126055405877,0.02526631748248087,0,0,0.0007219742992487038,0.04181998118087424,0.041098006881625536,0.04181998118087424,0.0,0.0,3.9576816996634143
7349965,373,5,7,563,1,0.19345632153435616,0.1569907701342365,0.0029899664090756394,0.033475584991043666,8,8,28.09986968760961,0.2964663515129783,4,0,-0.01562217774792275,-0.000964613408218522,0.014657564339704228,0.01562217774792275,0.1904663551252805,0.12351518514319285,1.6865263491859133
6267781,13,17,79,359,1,0.41974485542410256,0.393404463653084,0.003093893579616185,0.029434285350634883,8,8,44.90540182296376,0.5812005481075466,4,4,-0.0009449188655675985,0.0018445169915008814,0.00278943585706848,0.0018445169915008814,0.41665096184448636,0.36397017830244915,1.5485161781321721
3812029,13,17,367,47,1,0.35830887542505374,0.364256122993149,0.0031701117559708065,0.0027771358121244935,8,8,44.90982409451278,0.5951754533446376,4,4,-0.004203236779233462,0.00129592511339876,0.005499161892632222,0.004203236779233462,0.3551387636690829,0.3614789871810245,1.5121565964889643
8480605,337,5,7,719,1,0.0033021573662524446,0.0487772458206209,0.0033021573662524446,0.0487772458206209,0,0,36.355463375515505,0.42473828485727216,4,0,0.0007767837957408693,0.01665781834590895,0.01588103455016808,0.01665781834590895,0.0,0.0,1.177192734051003
4739665,709,5,7,191,1,0.004430129373976536,0.003893384520437756,0.0033298356078146868,0.003893384520437756,8,0,18.381418270786977,0.00947577239309172,0,0,-0.010361567193092083,0.050306620884300844,0.06066818807739292,0.050306620884300844,0.0011002937661618493,0.0,10.5521158314298
7144285,157,5,19,479,1,0.5754451753791759,0.5407764583759197,0.003392408239737412,0.03127630876351864,9,9,39.49247915011108,0.5184467778356201,8,0,-0.004924279840771063,0.0021061584157828477,0.007030438256553911,0.004924279840771063,0.5720527671394385,0.5095001496124011,1.73595111885185
2632105,157,5,7,479,1,0.5754499351274174,0.6061422806697075,0.0033946321080050327,0.03408697765029494,9,9,39.480226166705116,0.5184095187732773,8,0,-0.0007919967827868754,0.011784691155819416,0.012576687938606291,0.011784691155819416,0.5720553030194123,0.5720553030194127,1.7360758846670081
2809885,13,5,139,311,1,0.5304413658669026,0.556722273074147,0.0034036466489034472,0.029684553856148,9,9,44.91087134263473,0.636913440565184,4,4,-0.0009555554783197399,6.757816687119082e-05,0.0010231336451909307,0.0009555554783197399,0.5270377192179991,0.527037719217999,1.4130626386824574
7889965,109,5,31,467,1,0.5686801809749352,0.5277404523023921,0.0036646000417875284,0.011573494185931527,8,9,39.960247317362054,0.5388859014190117,8,0,-0.0038019980622642393,5.6199021352927397e-05,0.003858197083617167,0.0038019980622642393,0.5650155809331477,0.5161669581164605,1.6701092522941186
4835785,109,5,19,467,1,0.568794553376228,0.5591657702936219,0.003684831379991121,0.005943951702615169,8,8,39.92477231736979,0.5389881759193869,8,0,-0.0022781130290287525,0.004644472622714171,0.006922585651742924,0.004644472622714171,0.5651097219962369,0.5532218185910067,1.66979234502217
6965305,157,5,19,467,1,0.5775005396803161,0.5444407467551731,0.0036898478185390876,0.029369945106604005,9,9,39.55087423881775,0.5231492430749654,4,0,-0.004380463880155889,0.001630678997444082,0.0060111428775999716,0.004380463880155889,0.573810691861777,0.5150708016485691,0.9557483851314046
2566165,157,5,7,467,1,0.5775053190349553,0.6099153558608825,0.003692073010136047,0.03610210983606346,9,9,39.538455493369156,0.5231488084825606,4,0,-0.001611765743834975,0.015012801665503422,0.016624567409338396,0.015012801665503422,0.5738132460248192,0.5738132460248191,0.9557491790932533
1781605,109,5,7,467,1,0.568800009305193,0.6262464174546246,0.003695968474267761,0.06114237662369928,8,8,39.91178873920941,0.5389939463123501,8,0,-0.007692175957670062,0.0008041424047044393,0.008496318362374501,0.007692175957670062,0.5651040408309252,0.5651040408309254,1.6697744684946372
