N,W,channel,count,cluster_prob,random_prob,delta
200000000,1200,47,135510,0.5428052749263886,0.5691419148514891,-0.02633663992510049
200000000,1200,59,135336,0.5413529390032142,0.5705605183631102,-0.02920757935989593
200000000,1500,11,135622,0.6279484740563777,0.6550687680157601,-0.027120293959382424
200000000,1500,17,135709,0.6301176054469891,0.653779103343275,-0.02366149789628591
200000000,1500,29,135395,0.6267264428261223,0.6528193961454711,-0.0260929533193488
200000000,1500,41,135792,0.628664639040879,0.6538952042140316,-0.025230565173152586
200000000,1500,47,135510,0.6285707960356877,0.6513664852486394,-0.02279568921295172
200000000,1500,59,135336,0.628277976872206,0.6528768915766868,-0.024598914704480834
200000000,2000,11,135622,0.7472736523104829,0.7587331423314233,-0.011459490020940377
200000000,2000,17,135709,0.7474946208034898,0.7571143711437114,-0.009619750340221556
200000000,2000,29,135395,0.7460965773963396,0.7567170671706717,-0.010620489774332054
200000000,2000,41,135792,0.7482675582328726,0.7574815748157482,-0.009214016582875573
200000000,2000,47,135510,0.7468802810145452,0.7550755507555076,-0.008195269740962408
200000000,2000,59,135336,0.7470720803930986,0.7565979659796598,-0.0095258855865612
200000000,3000,11,135622,0.8721584415392897,0.8825946939204088,-0.010436252381119115
200000000,3000,17,135709,0.8729846434992778,0.880750911263669,-0.007766267764391155
200000000,3000,29,135395,0.8716560556597781,0.8812612189182838,-0.009605163258505689
200000000,3000,41,135792,0.8727087951336981,0.8810596158942384,-0.008350820760540278
200000000,3000,47,135510,0.8716173833472316,0.8793747906218593,-0.007757407274627703
200000000,3000,59,135336,0.8720065023829756,0.880302404536068,-0.008295902153092394
