m,R,a,b,N_slots,rho_rec,L,B_ptol,H_iso,frob_P,matrix_factor,alpha_direct,alpha_matrix,T_direct,T_matrix
10002879,500000,9502879,10502879,62023,0.00620587395482762,0.006207985510774172,0.016890060258926143,0.0031800439778582506,0.2562811814742906,1.0251247258971623,0.3674275792798258,0.37665909649628926,1.154307783791782,1.1833094504605113
10002879,1000000,9002879,11002879,124058,0.012445568288914764,0.012450235493433048,0.03387334383383273,0.003134707695424829,0.2561927159296783,1.0247708637187132,0.3674148129563789,0.37651599521635787,1.1542676772038278,1.1828598845307596
10007919,1000,10006919,10008919,115,1.149092856902404e-05,1.239798648056123e-05,3.3731189994339576e-05,0.01552400738688827,0.27932777768580097,1.1173111107432039,0.3406618198454407,0.38062523631931056,1.0702206705849662,1.1957694461916248
10007919,2000,10005919,10009919,240,2.398103169390462e-05,2.4795973232905055e-05,6.74623807281178e-05,0.005828635703156457,0.26139746690271587,1.0455898676108635,0.35547265653952104,0.37167860789043977,1.116750286336607,1.1676627840450868
10007919,5000,10002919,10012919,620,6.195056545837095e-05,6.1989937833129e-05,0.0001686559647459721,0.0029894417751284708,0.25590904981092105,1.0236361992436842,0.36731914908364055,0.37600117767740204,1.153967140284019,1.1812425375324367
10007919,10000,9997919,10017919,1234,0.00012330211201753028,0.00012397990961199312,0.00033731202184807336,0.002782982380323741,0.2555053470679699,1.0220213882718796,0.36554318859428625,0.3735929570804619,1.1483877958575979,1.173676889396866
10007919,20000,9987919,10027919,2485,0.00024829961966900144,0.0002479600907827617,0.0006746247825258481,0.0033770073721414474,0.25666516587207827,1.026660663488313,0.3680558824704722,0.3778684964979116,1.1562816564797438,1.1871088926208595
10007919,50000,9957919,10057919,6198,0.00061929369660967,0.0006199049793185196,0.001686574886060335,0.0031840753498005837,0.25628904648814116,1.0251561859525646,0.3671901566471657,0.3764272605077331,1.153561898593221,1.1825811162220257
10007919,100000,9907919,10107919,12374,0.0012364371999348967,0.0012398439061054312,0.0033732421329655503,0.002855563482714926,0.2556473420216117,1.0225893680864468,0.36654267651041583,0.37482264394950104,1.1515277797522625,1.1775400646308551
10007919,200000,9807919,10207919,24695,0.002467832731483985,0.0024799594554414384,0.006747223325409476,0.00312124567662756,0.25616644135527894,1.0246657654211158,0.36575530591826333,0.37477694049557164,1.1490541820843034,1.1773964829957468
10007919,500000,9507919,10507919,62027,0.006203049791423297,0.0062046595184028774,0.01688101123465339,0.0031876084145806725,0.25629593913010146,1.0251837565204058,0.36745723968773025,0.37671119334368647,1.1544009647113571,1.1834731175335695
10007919,1000000,9007919,11007919,124044,0.012438000630654599,0.012443530329451669,0.033855101100582964,0.00313677192389518,0.2561967445614701,1.0247869782458805,0.36738926266093547,0.3764957323222822,1.1541874085833657,1.1827962267715908
10113160,1000,10112160,10114160,122,1.2063493130093708e-05,1.226101161933002e-05,3.335852262001372e-05,0.012699781435694285,0.2742257855047448,1.0969031420189792,0.36163151670440336,0.396674746926149,1.136098916185088,1.24619047080778
10113160,2000,10111160,10115160,245,2.422591038840887e-05,2.452202350200494e-05,6.671704595650967e-05,0.00623152378392905,0.26216697691343405,1.0486679076537362,0.3631142542522166,0.38078626524591874,1.1407570735725,1.1962753334844727
10113160,5000,10108160,10118160,620,6.130669748780591e-05,6.130506335555452e-05,0.00016679262740796485,0.005087776417746066,0.2599764920483121,1.0399059681932483,0.36756239433685145,0.38223032755429204,1.154731317784527,1.200811989023784
10113160,10000,10103160,10123160,1237,0.00012231557312197827,0.0001226101595848128,0.00033358534425538414,0.005225516071260251,0.26024126512000406,1.0409650604800162,0.36666950520565045,0.38169014366257753,1.1519262238494758,1.1991149512779864
10113160,20000,10093160,10133160,2481,0.00024532508200449544,0.00024522058215259435,0.0006671714040082805,0.003961043184183142,0.2578003940729788,1.0312015762919151,0.3677092281392963,0.37918233567432574,1.1551926097795864,1.1912364401254807
10113160,50000,10063160,10163160,6200,0.0006130642880981521,0.000613056057654493,0.001667941031420483,0.0032005624681072336,0.25632120955571985,1.0252848382228794,0.3675575314410503,0.3768511641611382,1.154716040546803,1.1839128488253927
10113160,100000,10013160,10213160,12389,0.0012251431407277547,0.0012261449906114663,0.0033359715066450728,0.003062134822944158,0.25605103948811486,1.0242041579524594,0.36725227966945656,0.3761413118549769,1.153757063823669,1.1816827820352227
10113160,200000,9913160,10313160,24721,0.002444803632791403,0.0024525530438550547,0.00667265872754249,0.0029866118651878386,0.25590352061897825,1.023614082475913,0.36639122913630756,0.3750432218395835,1.1510519937943584,1.1782330305098825
10113160,500000,9613160,10613160,61951,0.006130893006929157,0.006135992960672798,0.016694190196520936,0.003146662119793814,0.2562160457890837,1.0248641831563348,0.3672471042175399,0.3763784034804384,1.1537408046619486,1.1824276273440002
10113160,1000000,9113160,11113160,124048,0.012308059781961441,0.01230511137984358,0.03347850479638729,0.0031122328223725363,0.256148848957735,1.02459539583094,0.36764066546035296,0.3766829331509005,1.1549772137711076,1.1833843355195242
