n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_units,min_resid_E8_rel_over_units,best_unit_abs_idx,best_unit_rel_idx,pol_E8_axial_mean_deg,pol_E8_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,H_balance_alpha_min,H_balance_alpha_max,H_balance_alpha_range,H_balance_alpha_absmax,improve_abs,improve_rel,stability_score
8935465,23209,5,7,11,1,5.704827994338763,5.753572692033425,5.704827994337023,5.753572692031685,9,9,0.8533193125918577,1.5876189252139739e-12,24,0,-0.32764806277864816,0.002631777437934924,0.3302798402165831,0.32764806277864816,1.7399415241925453e-12,1.7399415241925453e-12,2499996.0309589887
9683905,25153,5,7,11,1,5.719510728369474,5.773268415252105,5.719510728367811,5.773268415250443,9,9,2.6463407568868424,1.6062706720276765e-12,24,0,-0.3444975875903046,-0.0021718238318094983,0.3423257637584951,0.3444975875903046,1.6626700016786344e-12,1.6626700016786344e-12,2499995.9843297703
8237845,21397,5,7,11,1,5.69098999414063,5.734642920815515,5.690989994138812,5.734642920813697,9,9,0.005992328482874875,1.61393121089759e-12,24,0,-0.2943617957544161,0.012223019335948089,0.3065848150903642,0.2943617957544161,1.8181012251261564e-12,1.8181012251261564e-12,2499995.965178485
8376445,21757,5,7,11,1,5.689319706066244,5.734019845984247,5.689319706064426,5.734019845982429,9,9,0.1042339395792671,1.6194823260207158e-12,24,0,-0.30711581344332345,0.008368940115286994,0.31548475355861044,0.30711581344332345,1.8181012251261564e-12,1.8181012251261564e-12,2499995.9513007416
9281965,24109,5,7,11,1,5.701415093801053,5.752533965582195,5.701415093799314,5.752533965580457,9,9,1.766947414853395,1.634137269945768e-12,24,0,-0.3367097127818552,-0.0002875729803917371,0.33642213980146346,0.3367097127818552,1.7390533457728452e-12,1.738165167353145e-12,2499995.9146635015
9961105,25873,5,7,11,1,5.717702937086423,5.773213582639564,5.717702937084763,5.773213582637904,9,9,3.6591260095753784,1.6525669721545455e-12,24,0,-0.34939935973789943,-0.0038316536324138942,0.34556770610548554,0.34939935973789943,1.660005466419534e-12,1.660005466419534e-12,2499995.868589397
8108485,21061,5,7,11,1,5.670579939255156,5.713238432402347,5.6705799392532565,5.7132384324004475,9,9,0.0015382512274481827,1.6860957074982252e-12,24,0,-0.28925238200834713,0.013148013461162083,0.3024003954695092,0.28925238200834713,1.899813639738568e-12,1.899813639738568e-12,2499995.784767839
8150065,21169,5,7,11,1,5.670066322190353,5.7130462825740995,5.670066322188453,5.7130462825722,9,9,0.016292114973729368,1.6874279751277754e-12,24,0,-0.2957952300825625,0.011182187664419722,0.3069774177469822,0.2957952300825625,1.899813639738568e-12,1.899813639738568e-12,2499995.7814371805
8316385,21601,5,7,11,1,5.66804429888966,5.7122929245171035,5.66804429888776,5.712292924515204,9,9,0.16598474908751085,1.695532603207539e-12,24,0,-0.30838119098987726,0.007349913273528055,0.31573110426340534,0.30838119098987726,1.899813639738568e-12,1.899813639738568e-12,2499995.761175679
9208045,23917,5,7,11,1,5.680450723378281,5.731071096520503,5.680450723376465,5.731071096518686,9,9,1.926095410507677,1.7151835507434043e-12,24,0,-0.33578621293466926,-0.0006719704226162605,0.335114242512053,0.33578621293466926,1.816324868286756e-12,1.816324868286756e-12,2499995.712048478
9799405,25453,5,7,11,1,5.6974989946567005,5.751993476951909,5.697498994654967,5.751993476950175,9,9,3.5506517611765287,1.7209567104714552e-12,24,0,-0.34681231689225067,-0.0036623051498387805,0.3431500117424119,0.34681231689225067,1.7337242752546445e-12,1.7337242752546445e-12,2499995.697615628
8029945,20857,5,7,11,1,5.649405303757321,5.691451772360439,5.649405303755335,5.6914517723584535,9,9,0.012401053200131486,1.7633672300121361e-12,24,0,-0.29289457401959773,0.011443051001153512,0.30433762502075123,0.29289457401959773,1.98596694644948e-12,1.98596694644948e-12,2499995.5915896986
8307145,21577,5,7,11,1,5.646013955198844,5.690192809619812,5.646013955196859,5.690192809617826,9,9,0.31715586199901713,1.7809087538012136e-12,24,0,-0.3115996940213632,0.0057117517724730995,0.3173114457938363,0.3115996940213632,1.98507876802978e-12,1.98596694644948e-12,2499995.5477360445
8454985,21961,5,7,11,1,5.644285291442699,5.689570709312301,5.644285291440713,5.689570709310315,9,9,0.5886041830100632,1.7967849430533533e-12,24,0,-0.3174739927203763,0.003869964880322155,0.32134395760069845,0.3174739927203763,1.98596694644948e-12,1.98596694644948e-12,2499995.5080457134
7928305,20593,5,7,11,1,5.628377782679041,5.669622706098702,5.628377782676964,5.669622706096625,9,9,0.017032839743832854,1.8441914662048475e-12,24,0,-0.29214936066424446,0.01105067613679881,0.3032000368010433,0.29214936066424446,2.077449323678593e-12,2.0765611452588928e-12,2499995.3895298373
7997605,20773,5,7,11,1,5.6275026155452705,5.669295222385687,5.627502615543194,5.66929522238361,9,9,0.06663116111915311,1.8469670237664104e-12,24,0,-0.2985304201424304,0.009106158847807955,0.3076365789902384,0.2985304201424304,2.0765611452588928e-12,2.0765611452588928e-12,2499995.382590969
9147985,23761,5,7,11,1,5.637391573878861,5.6876037762968235,5.6373915738768785,5.687603776294842,9,9,2.572523021902343,1.9100276915651193e-12,24,0,-0.3356297939700596,-0.0020146985448873935,0.3336150954251722,0.3356297939700596,1.9824142327706795e-12,1.9815260543509794e-12,2499995.2249398916
7766605,20173,5,7,11,1,5.607986727028481,5.647933678858168,5.607986727026309,5.6479336788559955,9,9,0.00020180447045578463,1.9274581930517343e-12,24,0,-0.2804461621535946,0.013972547502720775,0.29441870965631534,0.2804461621535946,2.1724844145865063e-12,2.1724844145865063e-12,2499995.181363805
7849765,20389,5,7,11,1,5.606913020260829,5.64753105051418,5.606913020258657,5.647531050512009,9,9,0.03698584892929276,1.930011706008372e-12,24,0,-0.2935332168392156,0.010004709316407491,0.30353792615562314,0.2935332168392156,2.1724844145865063e-12,2.171596236166806e-12,2499995.174980047
8542765,22189,5,7,11,1,5.598721682623737,5.644654436060995,5.598721682621567,5.644654436058825,9,9,1.4004309049281969,2.0162760350217468e-12,24,0,-0.323207156677756,0.0006874825966272163,0.3238946392743832,0.323207156677756,2.170708057747106e-12,2.170708057747106e-12,2499994.959320076
9258865,24049,5,7,11,1,5.614732512869698,5.6656960582179,5.614732512867628,5.665696058215831,9,9,3.4873423582301317,2.0498047703654265e-12,24,0,-0.33800890402931083,-0.00352992284085847,0.3344789811884524,0.33800890402931083,2.0694557179012918e-12,2.0694557179012918e-12,2499994.8754985784
8270185,21481,5,7,11,1,5.579184884049581,5.623083826482356,5.579184884047309,5.623083826480084,9,9,0.9750752969579247,2.082223282684481e-12,24,0,-0.31676858929711343,0.002086603111520891,0.3188551924086343,0.31676858929711343,2.2719603975929203e-12,2.2719603975929203e-12,2499994.794452633
8399545,21817,5,7,11,1,5.577755235034863,5.622628118889349,5.577755235032592,5.622628118887077,9,9,1.3312156343766464,2.1053159215966843e-12,24,0,-0.32047622204321163,0.0008882309686769771,0.3213644530118886,0.32047622204321163,2.2710722191732202e-12,2.2719603975929203e-12,2499994.736721277
7549465,19609,5,7,11,1,5.565431393941028,5.603589427489351,5.565431393938648,5.6035894274869715,9,9,0.00021118181153573657,2.111089081324735e-12,24,0,-0.2767782491417962,0.01385637853776886,0.29063462767956505,0.2767782491417962,2.3794299863766355e-12,2.3794299863766355e-12,2499994.7222884386
7577185,19681,5,7,11,1,5.565060652797479,5.603450083564126,5.5650606527951005,5.603450083561747,9,9,0.0068539736120644375,2.11131112592966e-12,24,0,-0.283401875112432,0.011843332235516597,0.29524520734794857,0.283401875112432,2.3785418079569354e-12,2.3785418079569354e-12,2499994.7217333294
8468845,21997,5,7,11,1,5.577023921508237,5.622412023766074,5.577023921505966,5.622412023763803,9,9,1.5388833035584781,2.1188606424971113e-12,24,0,-0.3222968124190743,0.00029507013346253126,0.32259188255253685,0.3222968124190743,2.2710722191732202e-12,2.2710722191732202e-12,2499994.702859618
8616685,22381,5,7,11,1,5.57555475030867,5.622027169673544,5.5755547503064,5.622027169671274,9,9,2.0189145367872934,2.1506130210013907e-12,24,0,-0.3258704562257423,-0.0008791570940137639,0.32499129913172853,0.3258704562257423,2.27018404075352e-12,2.27018404075352e-12,2499994.6234790105
8131585,21121,5,7,11,1,5.558072616833026,5.600909918600105,5.558072616830647,5.600909918597727,9,9,0.9182634434071762,2.1752599721480692e-12,24,0,-0.31400328626727525,0.002296541394866264,0.3162998276621415,0.31400328626727525,2.3785418079569354e-12,2.3776536295372352e-12,2499994.561861899
9291205,24133,5,7,11,1,5.592723809050431,5.64390469645508,5.592723809048271,5.64390469645292,9,9,4.17570861782514,2.184030734042608e-12,24,0,-0.3386478072387564,-0.004474144843734562,0.3341736623950219,0.3386478072387564,2.1600499167107046e-12,2.1600499167107046e-12,2499994.53993509
8861545,23017,5,7,11,1,5.573436849952699,5.621662401260145,5.573436849950433,5.621662401257877,9,9,2.9172466674966335,2.2074564398621987e-12,24,0,-0.33105902183640656,-0.00261015297277038,0.32844886886363617,0.33105902183640656,2.2666313270747196e-12,2.2675195054944197e-12,2499994.481371083
9231145,23977,5,7,11,1,5.571158749931333,5.621935359229178,5.571158749929073,5.621935359226919,9,9,4.493670750062854,2.3040458430045874e-12,24,0,-0.33764838939483194,-0.004861276724785799,0.3327871126700461,0.33764838939483194,2.2595258997171186e-12,2.2586377212974185e-12,2499994.239898664
7341565,19069,5,7,11,1,5.522178513721374,5.558571734786358,5.522178513718766,5.558571734783749,9,9,0.0009800463205053324,2.314703984040989e-12,24,0,-0.27532205496099477,0.013059216126396071,0.2883812710873908,0.27532205496099477,2.608580018659268e-12,2.608580018659268e-12,2499994.2132534347
7397005,19213,5,7,11,1,5.521415578513935,5.558284562381196,5.521415578511326,5.558284562378589,9,9,0.02502370154021346,2.316702385485314e-12,24,0,-0.28405196371852465,0.010381201495955263,0.29443316521447993,0.28405196371852465,2.608580018659268e-12,2.6076918402395677e-12,2499994.2082574544
7443205,19333,5,7,11,1,5.520784999356698,5.558047565125401,5.52078499935409,5.558047565122792,9,9,0.061679247709937414,2.319477943046877e-12,24,0,-0.2883102798617141,0.009065251802854626,0.2973755316645687,0.2883102798617141,2.6076918402395677e-12,2.608580018659268e-12,2499994.2013185928
7803565,20269,5,7,11,1,5.516074746043167,5.556320893308476,5.51607474604056,5.556320893305868,9,9,0.6745339895401671,2.366218332383596e-12,24,0,-0.30652190813011954,0.0033387576410227543,0.3098606657711423,0.30652190813011954,2.6076918402395677e-12,2.6076918402395677e-12,2499994.0844681663
7281505,18913,5,7,11,1,5.499716986656775,5.535590467960191,5.499716986654042,5.535590467957459,9,9,0.019538923738286057,2.4266144649232047e-12,24,0,-0.28113168542945205,0.010643370538475192,0.29177505596792724,0.28113168542945205,2.7329249974172853e-12,2.7320368189975852e-12,2499993.933478559
8824585,22921,5,7,11,1,5.529029380965509,5.576993630905544,5.5290293809630295,5.576993630903065,9,9,3.8180474233394213,2.4805713039199873e-12,24,0,-0.33078220067086866,-0.003960347578420953,0.3268218530924477,0.33078220067086866,2.4797941478027496e-12,2.4789059693830495e-12,2499993.7985871234
7905205,20533,5,7,11,1,5.491645499452572,5.532706730220221,5.49164549944984,5.53270673021749,9,9,1.2540305045154714,2.525535336417306e-12,24,0,-0.3113243491572694,0.00110334904753924,0.31242769820480865,0.3113243491572694,2.7320368189975852e-12,2.731148640577885e-12,2499993.686177605
7018165,18229,5,7,11,1,5.456352541316093,5.489892047438091,5.45635254131309,5.489892047435088,9,9,0.00012277729527250506,2.6646462814028382e-12,24,0,-0.2664314628659862,0.01390116179405869,0.2803326246600449,0.2664314628659862,3.0029312370061234e-12,3.0029312370061234e-12,2499993.3384020473
7041265,18289,5,7,11,1,5.456017657751346,5.48976559502358,5.456017657748343,5.489765595020577,9,9,0.00515090232352188,2.6649793483102258e-12,24,0,-0.27308360400866477,0.01185078651531489,0.2849343905239797,0.27308360400866477,3.0029312370061234e-12,3.0029312370061234e-12,2499993.337569385
