n,e(E),a(A),b(B),c(C),k_ABC,e_share,resid_E8_abs,resid_E8_rel,bal_lam_alpha_std,bal_lam_alpha_min,bal_lam_alpha_max,bal_lam_alpha_argmin_u,bal_lam_alpha_argmax_u,blank_wedge_norm,P_E8_renorm_BC,pol_E8_deg,pol_BC_deg
7504705,13,5,439,263,1,0.1620202615616521,0.0027071054956242,0.0404895840700996,0.0004876416025726624,-0.0012371179674454857,0.0003390621391192638,9,15,34.828149534536,98.48225415241768,48.57439685749032,48.63470880901644
9878089,13,41,43,431,1,0.1592559598848435,0.0029900055635082,0.0520011533302235,0.0008335729239868473,-0.0028553138694190337,-2.9841938127769903e-05,1,0,58.34380858325929,97.92278500531708,22.215618557140974,22.240575653122363
8228245,37,5,79,563,1,0.2267725316336826,0.0035361025769079,0.0400435976910302,0.000822676869801315,-0.0023382470437803343,0.00022454685302801398,10,12,34.828149534536,137.77975578883093,40.90062050795542,41.64329315232613
7121413,13,41,31,431,1,0.1625585691813398,0.0036063264490123,0.0308591883419358,0.0019988370074090905,0.00014990780829518262,0.006658314554437786,0,1,24.33105012119288,97.8624517419865,23.327943651479952,23.356111149713566
4364737,13,41,19,431,1,0.1677636121888479,0.0036228234393424,0.0006748643308173,0.0011498203083044228,-0.002657516408426055,0.00039356779785306833,9,15,42.2965719651132,97.86083731938302,22.83699215351624,22.864044421604376
5843929,13,149,7,431,1,0.1646212393895013,0.0036491665352965,0.0182073945123016,0.009222245019130625,-0.019746311998931777,0.006113559555142339,13,8,10.04987562112089,97.85825939591076,22.97734617620552,23.01384967489788
4431973,13,113,7,431,1,0.1675960396797762,0.003649783702147,0.0002975354789722,0.008031207181177235,-0.017516204948106896,0.0040817417454274375,9,15,10.04987562112089,97.85819900105568,22.992360109400693,23.01384967489788
1608061,13,41,7,431,1,0.1794858289392804,0.0036500103329842,0.0682423903770163,0.004838721796681136,-0.010388636855136224,0.00276000332564612,9,15,10.04987562112089,97.8581768233726,22.98628391743281,23.01384967489788
7760005,709,5,199,11,1,0.4137450408634191,0.003661773036068,0.0362315917911287,0.006083478548190222,-0.016984549038817652,0.0023657408213387065,14,11,20.615528128088304,250.42185625745032,18.77013454894348,54.545223804177645
6978385,37,5,67,563,1,0.229143465982327,0.0039052924076921,0.0292735632551158,0.0005876865105388248,-0.0005647773172280375,0.0012710731627017585,8,13,48.75448697299562,137.7288982927186,42.304516989230805,43.07587007889573
6970705,277,5,7,719,1,0.3569167044946493,0.0040422213706432,0.0290667546906982,0.004753064992700433,0.0005529155752726256,0.014931948281859118,0,1,16.492422502470642,214.4838784305485,41.36040973203758,48.59584082069398
5730205,13,5,199,443,1,0.1648291365937187,0.0040646489480411,0.0165298268389605,0.00040939339106760633,-0.0006918819697997767,0.0005292901491958272,12,10,41.48493702538308,97.81760945544242,56.46334289377954,56.53969450673251
8480605,337,5,7,719,1,0.3648201764767291,0.0041302126491336,0.0496053011035036,0.005242573120485397,0.0007767837957408693,0.01665781834590895,0,1,16.492422502470642,223.78264686916816,37.24638313828601,48.59584082069398
4478665,37,5,43,563,1,0.2357790846918542,0.0042250789466609,0.0004067883006232,0.0008619428472064859,-0.0019474350515955947,0.0006611186964676808,10,12,33.24154027718932,137.6848614865818,41.45563516154381,42.22479966878271
3228805,37,5,31,563,1,0.2409266629613421,0.0042388130153917,0.0212042450709738,0.0005652987789182149,-0.0018094345614312092,2.8302888208111886e-06,1,0,50.68530358989675,137.68297052621625,41.25491186035613,42.023459644610064
1978945,37,5,19,563,1,0.2490618964252584,0.0043013461889359,0.0544756397233377,0.0030543116882606283,-0.0021877306756858967,0.007265594646111956,11,14,9.38083151964686,137.67436104231822,41.68310880975167,42.46308227006996
4228693,37,29,7,563,1,0.2366666063430873,0.0043043260315098,0.0034296004498351,0.0024320397811447227,-0.00598019405059965,0.0012898877223016514,14,11,28.372521918222212,137.67395079500713,41.64233303409343,42.42608912064663
729085,37,5,7,563,1,0.2674844042184757,0.0043043290590939,0.1258384396479918,0.0010098611105776691,-0.0023599737770295,0.000649612635756818,10,12,28.372521918222212,137.67395037818764,41.645079756810325,42.42608912064663
6228565,709,5,7,251,1,0.4195589411080842,0.004860992208047,0.0308002785510982,0.008162305557572842,-0.000457660540459266,0.027432804284084317,0,1,15.362291495737216,252.5652638559169,16.126137021061,19.845138399992933
5281885,229,5,7,659,1,0.3510203135856763,0.0050409012538641,0.0203862995879672,0.0028088478596544233,-0.005515280495809004,0.0038218315637769994,14,11,25.37715508089904,209.11739295376643,17.794890762474964,23.684658920578485
8402905,409,5,7,587,1,0.37717523523148,0.0052533419918144,0.0396446261883303,0.004835931405408538,-0.013356839177050085,0.0008607609266464571,10,12,19.697715603592208,229.0682304613564,22.39228246027192,49.06107476459866
6924049,61,17,607,11,1,0.2609993919028193,0.0053933008030315,0.0272893892856383,0.0022599156657216956,-0.0073591134706869656,-0.00019952911521356633,1,0,30.01666203960727,156.565249834699,40.53793704669213,40.80232025556494
7468321,97,17,7,647,1,0.2890596945725488,0.0055874156484015,0.0318880271949804,0.003009341847899473,-0.0025308928932267836,0.007566311955993761,8,13,28.42534080710379,174.19696430954605,45.237240593915566,47.82408463716963
6356185,709,5,163,11,1,0.419015711658124,0.0059547041358904,0.0212801842722991,0.005625690727421739,-0.01395925992355768,0.0053205332958709845,14,11,22.293496809607955,249.84831399289487,17.869982883128117,54.38849838034014
8045485,457,5,7,503,1,0.3851851541598819,0.0061552296784299,0.04832329751813,0.004093786251110861,-0.010588068674923436,0.0016179847678906526,14,11,24.596747752497688,235.9719222202853,18.816672919164915,53.487866113425454
5888245,709,5,151,11,1,0.4210712236469341,0.0062868199188502,0.0160544890170477,0.008512965992269767,-0.021863204377649527,0.006925834204101053,14,11,14.730919862656236,249.76534920219277,18.118577081920737,63.31969495172324
7853545,457,5,7,491,1,0.3857709703872126,0.0065886878267726,0.0340596661889496,0.004411488991734034,-0.011145657176788892,0.0035894595612411106,14,11,22.825424421026653,232.98379616697267,15.962708242046563,46.74277013503552
