m,nu2,nu3,core,omega_E,omega_A,omega_B,omega_C,E_part,A_part,B_part,C_part,profile_weight,channel_count,balance,is_valid,energy,state,profile,is_fullshell_1111
1321,0,0,1321,1,0,0,0,1321,1,1,1,1,1,1,True,6.996536076130582,"|0,0;1,0,0,0>","(1,0,0,0)",False
401,0,0,401,0,1,0,0,1,401,1,1,1,1,1,True,6.998490356826642,"|0,0;0,1,0,0>","(0,1,0,0)",False
128,7,0,1,0,0,0,0,1,1,1,1,0,0,0,True,7.0,"|7,0;0,0,0,0>","(0,0,0,0)",False
486,1,5,1,0,0,0,0,1,1,1,1,0,0,0,True,7.0,"|1,5;0,0,0,0>","(0,0,0,0)",False
1381,0,0,1381,1,0,0,0,1381,1,1,1,1,1,1,True,7.007640788352323,"|0,0;1,0,0,0>","(1,0,0,0)",False
127,0,0,127,0,0,1,0,1,1,127,1,1,1,1,True,7.011046771614648,"|0,0;0,0,1,0>","(0,0,1,0)",False
1429,0,0,1429,1,0,0,0,1429,1,1,1,1,1,1,True,7.016182544482467,"|0,0;1,0,0,0>","(1,0,0,0)",False
1453,0,0,1453,1,0,0,0,1453,1,1,1,1,1,1,True,7.020346415892571,"|0,0;1,0,0,0>","(1,0,0,0)",False
1489,0,0,1489,1,0,0,0,1489,1,1,1,1,1,1,True,7.0264650081710025,"|0,0;1,0,0,0>","(1,0,0,0)",False
449,0,0,449,0,1,0,0,1,449,1,1,1,1,1,True,7.026755721935563,"|0,0;0,1,0,0>","(0,1,0,0)",False
461,0,0,461,0,1,0,0,1,461,1,1,1,1,1,True,7.033349510749162,"|0,0;0,1,0,0>","(0,1,0,0)",False
139,0,0,139,0,0,1,0,1,1,139,1,1,1,1,True,7.033618483282673,"|0,0;0,0,1,0>","(0,0,1,0)",False
1549,0,0,1549,1,0,0,0,1549,1,1,1,1,1,1,True,7.036341210104217,"|0,0;1,0,0,0>","(1,0,0,0)",False
39,0,1,13,1,0,0,0,13,1,1,1,1,1,1,True,7.041237339365384,"|0,1;1,0,0,0>","(1,0,0,0)",False
