T_over_2pi,T,Delta_eff,sigma_t,N_active,N_trans,R8,R10,D_order,O_order_norm
0.513,3.223274062583128,9.492602854352,0.0034893534183931974,996,995,0.25829145728643216,0.264321608040201,0.006030150753768837,0.011538461538461523
0.5135,3.226415655236717,9.493214130293799,0.0034893534183931974,1000,999,0.25325325325325326,0.25425425425425424,0.0010010010010009784,0.0019723865877711586
0.514,3.229557247890307,9.493824490009025,0.0034893534183931974,1002,1001,0.2517482517482518,0.25574425574425574,0.003996003996003972,0.007874015748031447
0.5145,3.232698840543897,9.49443393487099,0.0034893534183931974,1001,1000,0.252,0.25,-0.0020000000000000018,-0.003984063745019924
0.515,3.235840433197487,9.495042466250947,0.0034893534183931974,1000,999,0.25225225225225223,0.25125125125125125,-0.0010010010010009784,-0.001988071570576496
0.5155,3.2389820258510764,9.495650085518086,0.0034893534183931974,1005,1004,0.24701195219123506,0.250996015936255,0.003984063745019917,0.007999999999999993
0.516,3.2421236185046665,9.496256794039558,0.0034893534183931974,996,995,0.25728643216080405,0.25326633165829143,-0.0040201005025126135,-0.007874015748031597
0.5165,3.245265211158256,9.496862593180452,0.0034893534183931974,996,995,0.2562814070351759,0.24623115577889448,-0.010050251256281395,-0.01999999999999998
0.517,3.248406803811846,9.497467484303819,0.0034893534183931974,999,998,0.25250501002004005,0.24749498997995992,-0.005010020040080138,-0.010020040080160275
0.5175,3.2515483964654357,9.49807146877066,0.0034893534183931974,997,996,0.2560240963855422,0.24799196787148595,-0.008032128514056242,-0.015936254980079712
0.518,3.2546899891190257,9.498674547939947,0.0034893534183931974,1001,1000,0.249,0.251,0.0020000000000000018,0.0040000000000000036
0.5185,3.2578315817726153,9.499276723168604,0.0034893534183931974,1001,1000,0.249,0.25,0.0010000000000000009,0.0020040080160320657
0.519,3.2609731744262054,9.499877995811527,0.0034893534183931974,1001,1000,0.252,0.253,0.0010000000000000009,0.001980198019801982
0.5195,3.264114767079795,9.500478367221579,0.0034893534183931974,999,998,0.24949899799599198,0.25250501002004005,0.0030060120240480714,0.005988023952095759
0.52,3.267256359733385,9.501077838749596,0.0034893534183931974,1000,999,0.24724724724724725,0.25225225225225223,0.0050050050050049755,0.010020040080160263
0.5205,3.2703979523869746,9.50167641174439,0.0034893534183931974,1002,1001,0.25574425574425574,0.25374625374625376,-0.001998001998001986,-0.003921568627450956
0.521,3.2735395450405647,9.502274087552749,0.0034893534183931974,1001,1000,0.246,0.254,0.008000000000000007,0.016000000000000014
0.5215,3.276681137694154,9.502870867519444,0.0034893534183931974,998,997,0.24974924774322968,0.25275827482447344,0.003009027081243759,0.005988023952095863
0.522,3.2798227303477443,9.503466752987233,0.0034893534183931974,1004,1003,0.24227318045862412,0.25822532402791626,0.015952143569292143,0.0318725099601594
0.5225,3.2829643230013335,9.504061745296855,0.0034893534183931974,1004,1003,0.24825523429710866,0.259222333000997,0.010967098703888345,0.021611001964636563
0.523,3.286105915654924,9.504655845787045,0.0034893534183931974,1000,999,0.24024024024024024,0.25725725725725723,0.017017017017016994,0.03420523138832993
0.5235,3.289247508308513,9.505249055794529,0.0034893534183931974,1000,999,0.24724724724724725,0.25825825825825827,0.011011011011011013,0.021782178217821784
0.524,3.292389100962103,9.505841376654027,0.0034893534183931974,1002,1001,0.25274725274725274,0.2597402597402597,0.006993006993006978,0.013645224171539933
0.5245,3.2955306936156927,9.506432809698266,0.0034893534183931974,1000,999,0.24624624624624625,0.25925925925925924,0.013013013013012997,0.02574257425742571
0.525,3.2986722862692828,9.507023356257967,0.0034893534183931974,1003,1002,0.23852295409181637,0.2624750499001996,0.023952095808383228,0.04780876494023903
0.5255,3.3018138789228724,9.507613017661864,0.0034893534183931974,997,996,0.2459839357429719,0.25903614457831325,0.013052208835341361,0.02584493041749502
0.526,3.3049554715764624,9.50820179523669,0.0034893534183931974,997,996,0.2419678714859438,0.2600401606425703,0.01807228915662651,0.036000000000000004
0.5265,3.308097064230052,9.508789690307198,0.0034893534183931974,994,993,0.23967774420946628,0.2588116817724068,0.019133937562940545,0.03838383838383831
0.527,3.311238656883642,9.509376704196152,0.0034893534183931974,1000,999,0.24824824824824826,0.26426426426426425,0.016016016016015988,0.031249999999999944
0.5275,3.3143802495372316,9.509962838224332,0.0034893534183931974,1005,1004,0.24203187250996017,0.2689243027888446,0.02689243027888444,0.052631578947368376
0.528,3.3175218421908217,9.510548093710543,0.0034893534183931974,1003,1002,0.2465069860279441,0.2684630738522954,0.021956087824351295,0.04263565891472868
0.5285,3.3206634348444113,9.511132471971607,0.0034893534183931974,1003,1002,0.2435129740518962,0.2694610778443114,0.02594810379241519,0.050583657587548674
0.529,3.3238050274980013,9.511715974322376,0.0034893534183931974,994,993,0.24269889224572003,0.2628398791540785,0.0201409869083585,0.03984063745019919
0.5295,3.326946620151591,9.512298602075731,0.0034893534183931974,1003,1002,0.2405189620758483,0.27045908183632733,0.029940119760479028,0.05859374999999998
0.53,3.330088212805181,9.512880356542585,0.0034893534183931974,1001,1000,0.244,0.27,0.026000000000000023,0.05058365758754868
0.5305,3.33322980545877,9.513461239031885,0.0034893534183931974,1005,1004,0.24701195219123506,0.2739043824701195,0.02689243027888444,0.051625239005736095
0.531,3.3363713981123606,9.514041250850617,0.0034893534183931974,1001,1000,0.245,0.272,0.027000000000000024,0.05222437137330759
0.5315,3.3395129907659498,9.514620393303808,0.0034893534183931974,994,993,0.24269889224572003,0.2678751258811682,0.02517623363544816,0.04930966469428012
0.532,3.3426545834195402,9.51519866769453,0.0034893534183931974,999,998,0.24248496993987975,0.2725450901803607,0.030060120240480964,0.05836575875486382
0.5325,3.3457961760731294,9.515776075323899,0.0034893534183931974,995,994,0.24245472837022133,0.26961770623742454,0.027162977867203203,0.05304518664047148
0.533,3.3489377687267194,9.516352617491082,0.0034893534183931974,998,997,0.23971915747241726,0.2728184553660983,0.03309929789368102,0.06457925636007823
0.5335,3.352079361380309,9.516928295493301,0.0034893534183931974,998,997,0.2547642928786359,0.27382146439317956,0.01905717151454367,0.036053130929791344
0.534,3.355220954033899,9.51750311062583,0.0034893534183931974,995,994,0.23943661971830985,0.272635814889336,0.03319919517102618,0.06483300589390968
0.5345,3.3583625466874887,9.518077064182004,0.0034893534183931974,992,991,0.23713420787083753,0.2714429868819374,0.03430877901109988,0.06746031746031743
0.535,3.3615041393410787,9.51865015745322,0.0034893534183931974,1002,1001,0.23476523476523475,0.27972027972027974,0.04495504495504499,0.08737864077669909
0.5355,3.3646457319946683,9.519222391728935,0.0034893534183931974,1000,999,0.24224224224224225,0.27927927927927926,0.03703703703703701,0.07101727447216885
0.536,3.3677873246482584,9.51979376829668,0.0034893534183931974,1001,1000,0.243,0.28,0.03700000000000003,0.07074569789674959
0.5365,3.370928917301848,9.52036428844205,0.0034893534183931974,1002,1001,0.24475524475524477,0.2817182817182817,0.03696303696303696,0.0702087286527514
0.537,3.374070509955438,9.520933953448715,0.0034893534183931974,997,996,0.23694779116465864,0.2791164658634538,0.04216867469879515,0.08171206225680928
0.5375,3.3772121026090276,9.521502764598424,0.0034893534183931974,991,990,0.22828282828282828,0.27575757575757576,0.047474747474747475,0.09418837675350701
0.538,3.3803536952626176,9.522070723171002,0.0034893534183931974,994,993,0.22860020140986909,0.27895266868076535,0.05035246727089626,0.09920634920634919
0.5385,3.3834952879162072,9.522637830444353,0.0034893534183931974,1004,1003,0.24626121635094717,0.28713858424725824,0.04087736789631108,0.0766355140186916
0.539,3.3866368805697973,9.523204087694472,0.0034893534183931974,1004,1003,0.24127617148554337,0.288135593220339,0.046859421734795625,0.08851224105461396
0.5395,3.3897784732233864,9.523769496195436,0.0034893534183931974,990,989,0.23559150657229525,0.2780586450960566,0.042467138523761355,0.08267716535433067
0.54,3.392920065876977,9.524334057219416,0.0034893534183931974,1004,1003,0.24426719840478564,0.28913260219341974,0.0448654037886341,0.08411214953271029
0.5405,3.396061658530566,9.524897772036676,0.0034893534183931974,998,997,0.23470411233701102,0.2858575727181545,0.05115346038114346,0.09826589595375727
0.5409999999999999,3.3992032511841557,9.525460641915569,0.0034893534183931974,1001,1000,0.24,0.289,0.04899999999999999,0.09262759924385633
0.5415,3.4023448438377457,9.526022668122557,0.0034893534183931974,1003,1002,0.2405189620758483,0.29141716566866266,0.050898203592814356,0.09568480300187615
0.542,3.4054864364913358,9.526583851922197,0.0034893534183931974,1006,1005,0.2417910447761194,0.2945273631840796,0.052736318407960225,0.0983302411873841
0.5425,3.4086280291449254,9.527144194577156,0.0034893534183931974,999,998,0.23847695390781562,0.2905811623246493,0.05210420841683369,0.09848484848484854
0.5429999999999999,3.411769621798515,9.527703697348201,0.0034893534183931974,999,998,0.24549098196392785,0.2905811623246493,0.04509018036072146,0.0841121495327103
0.5435,3.414911214452105,9.528262361494217,0.0034893534183931974,1005,1004,0.2300796812749004,0.2958167330677291,0.06573705179282871,0.12500000000000006
0.544,3.418052807105695,9.528820188272196,0.0034893534183931974,999,998,0.23046092184368738,0.2925851703406814,0.062124248496993995,0.11877394636015327
0.5445,3.4211943997592846,9.52937717893725,0.0034893534183931974,982,981,0.2854230377166157,0.28134556574923547,-0.004077471967380231,-0.0071942446043165575
0.5449999999999999,3.4243359924128742,9.529933334742607,0.0034893534183931974,1005,1004,0.21812749003984064,0.29880478087649404,0.0806772908366534,0.15606936416184974
0.5455,3.4274775850664643,9.530488656939617,0.0034893534183931974,996,995,0.23115577889447236,0.29246231155778896,0.06130653266331659,0.11708253358925144
0.5459999999999999,3.4306191777200534,9.53104314677776,0.0034893534183931974,1001,1000,0.234,0.298,0.06399999999999997,0.12030075187969919
