n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
4071301,13,53,19,311,1,0.6146012216238177,0.6162156209905968,0.006644590479102293,0.005030191112323488,9,0,9,0,1.026818206621688,1.026818206621688,44.877286119623044,0.6484560767434517,96,96,32,0,-0.0017744333133126466,-0.0017744333133126466,0.6079566311447154,0.6111854298782733,178.8145938244863
4475653,13,137,7,359,1,0.4226347887246902,0.4180468503104613,0.0005000102936411776,0.005087948707870274,8,0,8,0,83.5940403798943,83.5940403798943,44.838105084716034,0.6522396960269066,96,96,0,0,0.004998956662386261,0.004998956662386261,0.422134778431049,0.412958901602591,281.81213581472576
3215737,61,17,7,443,1,0.5236989625517284,0.5409350231961016,0.022371174471656787,0.005135113827283718,8,8,8,8,3.117291005389205,3.117291005389205,44.5466593006737,0.6130273825867417,96,96,32,0,-0.0007414766219892045,-0.0007414766219892045,0.5013277880800716,0.5357999093688179,97.25641797243264
7234885,421,5,7,491,1,0.4290450536381723,0.3935781588939164,0.008730470645644065,0.005161887205064808,0,9,9,0,75.22814340687613,12.025739086449214,42.712512298661665,0.336191248640337,0,0,96,0,-0.00670984197446411,0.011680663077726573,0.4203145829925282,0.38841627168885157,1.5880479586373588
9353341,37,29,379,23,1,0.6711477198220385,0.6195514916423732,0.043954304196316116,0.005187223291145181,8,0,9,8,87.26287756206472,1.5297743827031498,43.54528930341161,0.5009345317830163,160,96,0,0,0.0014939023431762065,-0.011564103298799689,0.6271934156257224,0.614364268351228,95.08788539862704
8363905,241,5,631,11,1,0.1507178901626085,0.1061117376629566,0.04988113164777102,0.005274979148119125,9,9,9,9,52.28512345465194,52.28512345465194,34.76468362197849,0.414149633061463,96,0,0,0,-0.00026127635995505254,-0.00026127635995505254,0.10083675851483748,0.10083675851483748,39.11320512240314
2573857,13,41,439,11,1,0.0374894672788993,0.0052822152250453,0.005881365350363031,0.005282215225045276,8,0,2,0,63.5589865701161,67.90542316208311,44.93123906665511,0.5008340228739643,96,96,96,0,-0.0016019167898106558,0.00020806195480576996,0.03160810192853627,2.42861286636753e-17,242.64691896401766
1571713,13,29,379,11,1,0.2355087569337134,0.3017022875970602,0.047583770273419465,0.005285141986948189,9,8,8,0,7.651629729255193,82.68642694171916,44.908861466376834,0.5585614542328513,96,96,32,0,0.001441422498615231,-0.0002635605586226772,0.18792498666029395,0.296417145610112,60.00472815885908
7617385,181,5,19,443,1,0.7354642722302285,0.6967408594638828,0.03341360161395965,0.005309811152386437,0,9,0,9,84.98681869938996,84.98681869938996,43.577678726275245,0.5145366062957127,64,0,32,0,-0.0018611062840758925,-0.0018611062840758925,0.7020506706162688,0.6914310483114963,29.098487681576866
8052577,13,17,439,83,1,0.0810515638470149,0.0388280846205273,0.036912309718734444,0.005311169507753093,0,8,0,8,29.25126280726457,29.25126280726457,44.93135754550206,0.5406100921495898,160,160,96,0,0.0011395484920400367,0.0011395484920400367,0.04413925412828045,0.03351691511277421,126.57072399337261
9353773,13,149,439,11,1,0.0828906678796722,0.0312915623173352,0.04007388528982408,0.0053278184733329265,0,8,8,9,58.93692148142958,55.93632266053957,44.893265039501955,0.5344194132563191,160,160,64,0,-4.8549637918705644e-05,-0.0017706959589978847,0.04281678258984812,0.025963743844002275,119.95288667671919
2222077,13,41,379,11,1,0.2355087550909105,0.2777221408998792,0.047583771319554824,0.005370385510586762,9,8,9,8,7.65405797524082,7.65405797524082,44.91103193561774,0.5585382384837883,96,96,32,0,0.002127892524308082,0.002127892524308082,0.18792498377135566,0.2723517553892924,60.007221172271514
7889965,109,5,31,467,1,0.5686801809749352,0.5277404523023921,0.0036646000417877495,0.0053785929275288625,8,0,9,8,82.28125521057642,3.0208130156952007,40.305598998253345,0.5453324095210619,160,32,64,0,-0.0008651838478523715,-0.0018775715306605047,0.5650155809331475,0.5223618593748632,258.9991144367757
9385309,37,17,43,347,1,0.8195503499418154,0.7677415758638665,0.02429886588347046,0.005382403616964474,2,9,9,8,0.02119789899903643,0.09256370760355621,43.38526779124768,0.42752739381645966,96,96,128,0,0.002895383235330108,0.000662939962370369,0.795251484058345,0.762359172246902,131.61718130816854
8286157,73,17,607,11,1,0.0494679346231367,0.0054478674306599,0.00042892141886775436,0.005447867430659912,0,8,0,0,28.305000629428513,39.857652835463156,43.30986583994756,0.4663514023904981,96,96,64,0,-0.004035143480673506,-1.0979263408420318e-05,0.04903901320426895,-1.214306433183765e-17,396.82926769510976
7916557,37,53,367,11,1,0.7201227886611631,0.6789712148790303,0.02463690525906521,0.005531197260657821,11,0,9,8,0.5930773516068037,0.8134897827643214,43.54171865745671,0.5193307523217112,96,96,64,0,-0.002849189947705654,-0.00265794520585691,0.6954858834020978,0.6734400176183725,107.29348474754346
1253245,61,5,7,587,1,0.0576247017845746,0.13981564396891,0.010346912980340007,0.005534582397660003,9,9,0,8,29.01717148775008,19.424579628475538,44.69383879237582,0.5197168963073373,96,96,32,0,0.0027617865990133225,-0.004614105941930033,0.0472777888042346,0.13428106157125,182.51186772407087
5708545,37,5,523,59,1,0.078259285330023,0.0579082083470266,0.01477920622500334,0.005571870757993157,0,8,0,8,66.87011054118183,66.87011054118183,44.253378231641,0.5857212711120017,128,128,32,0,0.0011818879823619808,0.0011818879823619808,0.06348007910501967,0.052336337589033444,177.07367287797288
9238765,97,5,43,443,1,0.6068136112216465,0.5559855553691274,0.05640455646554898,0.005576500613029814,9,0,9,0,2.337968075645161,2.337968075645161,41.29589036860028,0.5207571515466327,160,32,64,0,-0.0030342892184010662,-0.0030342892184010662,0.5504090547560975,0.5504090547560976,55.81145593395331
8876581,73,29,7,599,1,0.0427414462004909,0.0055900760587403,0.04274144620049099,0.005590076058740094,0,0,2,0,54.752801935390664,31.56384503449906,43.24151578707704,0.5124150690234276,160,160,0,0,8.422795923623842e-05,-0.003673320216247609,-9.020562075079397e-17,2.0643209364124004e-16,118.77642724705792
