e,exc_combo,count,share
241,A,11,0.12087912087912088
241,A+B,7,0.07692307692307693
241,A+B+C,1,0.01098901098901099
241,grundzustand,1,0.01098901098901099
277,C,22,0.2894736842105263
277,B+C,15,0.19736842105263158
277,B,14,0.18421052631578946
277,A,9,0.11842105263157894
277,A+C,9,0.11842105263157894
277,A+B,5,0.06578947368421052
277,A+B+C,1,0.013157894736842105
277,grundzustand,1,0.013157894736842105
313,C,18,0.2903225806451613
313,B,12,0.1935483870967742
313,B+C,12,0.1935483870967742
313,A,8,0.12903225806451613
313,A+C,6,0.0967741935483871
313,A+B,4,0.06451612903225806
313,A+B+C,1,0.016129032258064516
313,grundzustand,1,0.016129032258064516
337,C,16,0.2807017543859649
337,B,12,0.21052631578947367
337,B+C,11,0.19298245614035087
337,A,7,0.12280701754385964
337,A+C,6,0.10526315789473684
337,A+B,3,0.05263157894736842
337,A+B+C,1,0.017543859649122806
337,grundzustand,1,0.017543859649122806
349,C,16,0.3076923076923077
349,B,10,0.19230769230769232
349,B+C,9,0.17307692307692307
349,A,6,0.11538461538461539
349,A+C,6,0.11538461538461539
349,A+B,3,0.057692307692307696
349,A+B+C,1,0.019230769230769232
349,grundzustand,1,0.019230769230769232
373,C,15,0.3191489361702128
373,B,9,0.19148936170212766
373,B+C,8,0.1702127659574468
373,A,6,0.1276595744680851
373,A+C,5,0.10638297872340426
373,A+B,3,0.06382978723404255
373,grundzustand,1,0.02127659574468085
397,C,14,0.32558139534883723
397,B,9,0.20930232558139536
397,B+C,7,0.16279069767441862
397,A,5,0.11627906976744186
397,A+C,4,0.09302325581395349
397,A+B,3,0.06976744186046512
397,grundzustand,1,0.023255813953488372
409,C,14,0.3333333333333333
409,B,8,0.19047619047619047
409,B+C,7,0.16666666666666666
409,A,5,0.11904761904761904
409,A+C,4,0.09523809523809523
409,A+B,3,0.07142857142857142
409,grundzustand,1,0.023809523809523808
421,C,13,0.3170731707317073
421,B,8,0.1951219512195122
421,B+C,7,0.17073170731707318
421,A,5,0.12195121951219512
421,A+C,4,0.0975609756097561
421,A+B,3,0.07317073170731707
421,grundzustand,1,0.024390243902439025
433,C,12,0.3076923076923077
433,B,8,0.20512820512820512
433,B+C,7,0.1794871794871795
433,A,5,0.1282051282051282
433,A+C,4,0.10256410256410256
433,A+B,2,0.05128205128205128
433,grundzustand,1,0.02564102564102564
457,C,11,0.3142857142857143
457,B,8,0.22857142857142856
457,B+C,6,0.17142857142857143
457,A,5,0.14285714285714285
457,A+C,3,0.08571428571428572
457,A+B,1,0.02857142857142857
457,grundzustand,1,0.02857142857142857
541,C,10,0.3333333333333333
541,B,7,0.23333333333333334
541,A,5,0.16666666666666666
541,B+C,4,0.13333333333333333
541,A+C,2,0.06666666666666667
541,A+B,1,0.03333333333333333
541,grundzustand,1,0.03333333333333333
577,C,9,0.34615384615384615
577,B,6,0.23076923076923078
577,A,5,0.19230769230769232
577,B+C,3,0.11538461538461539
577,A+B,1,0.038461538461538464
577,A+C,1,0.038461538461538464
577,grundzustand,1,0.038461538461538464
601,C,9,0.391304347826087
601,B,5,0.21739130434782608
601,A,4,0.17391304347826086
601,B+C,2,0.08695652173913043
601,A+B,1,0.043478260869565216
601,A+C,1,0.043478260869565216
601,grundzustand,1,0.043478260869565216
613,C,8,0.36363636363636365
613,B,5,0.22727272727272727
613,A,4,0.18181818181818182
613,B+C,2,0.09090909090909091
613,A+B,1,0.045454545454545456
613,A+C,1,0.045454545454545456
613,grundzustand,1,0.045454545454545456
661,C,8,0.38095238095238093
661,B,5,0.23809523809523808
661,A,3,0.14285714285714285
661,B+C,2,0.09523809523809523
661,A+B,1,0.047619047619047616
661,A+C,1,0.047619047619047616
661,grundzustand,1,0.047619047619047616
673,C,8,0.38095238095238093
673,B,5,0.23809523809523808
673,A,3,0.14285714285714285
673,B+C,2,0.09523809523809523
673,A+B,1,0.047619047619047616
673,A+C,1,0.047619047619047616
673,grundzustand,1,0.047619047619047616
709,C,7,0.3684210526315789
709,B,4,0.21052631578947367
709,A,3,0.15789473684210525
709,B+C,2,0.10526315789473684
709,A+B,1,0.05263157894736842
709,A+C,1,0.05263157894736842
709,grundzustand,1,0.05263157894736842
733,C,7,0.4117647058823529
733,B,4,0.23529411764705882
733,A,3,0.17647058823529413
733,A+C,1,0.058823529411764705
733,B+C,1,0.058823529411764705
733,grundzustand,1,0.058823529411764705
757,C,6,0.375
757,B,4,0.25
757,A,3,0.1875
757,A+C,1,0.0625
757,B+C,1,0.0625
757,grundzustand,1,0.0625
769,C,6,0.375
769,B,4,0.25
769,A,3,0.1875
769,A+C,1,0.0625
769,B+C,1,0.0625
769,grundzustand,1,0.0625
829,C,6,0.4
829,B,4,0.26666666666666666
829,A,2,0.13333333333333333
829,A+C,1,0.06666666666666667
829,B+C,1,0.06666666666666667
829,grundzustand,1,0.06666666666666667
853,C,6,0.4
853,B,4,0.26666666666666666
853,A,2,0.13333333333333333
853,A+C,1,0.06666666666666667
853,B+C,1,0.06666666666666667
853,grundzustand,1,0.06666666666666667
877,C,6,0.4
877,B,4,0.26666666666666666
877,A,2,0.13333333333333333
877,A+C,1,0.06666666666666667
877,B+C,1,0.06666666666666667
877,grundzustand,1,0.06666666666666667
937,C,5,0.38461538461538464
937,B,3,0.23076923076923078
937,A,2,0.15384615384615385
937,A+C,1,0.07692307692307693
937,B+C,1,0.07692307692307693
937,grundzustand,1,0.07692307692307693
997,C,5,0.4166666666666667
997,B,3,0.25
997,A,2,0.16666666666666666
