N;label;rest235;nu2;nu3;nu5;theta;phase;radius;q0;qi;qj;qk;dir_i;dir_j;dir_k;amp_abs;amp_re;amp_im;x;y;z
154;a;77;1;0;0;-4.657763561463579;1.0471975511965976;6.052110140303096;1.0;1.0;0.0;4.356708826689592;0.22371358047074902;0.0;0.9746549306872445;0.2472564879350713;0.12362824396753568;0.2141303998022923;1.3539392288905328;0.0;5.8987189893086835
155;c;31;0;0;1;-3.290116644837102;3.141592653589793;6.059827208699445;1.0;0.0;0.0;4.465735902799727;0.0;0.0;1.0;0.372680053274156;-0.372680053274156;4.564014343482602e-17;0.0;0.0;6.059827208699445
156;e;13;2;1;0;-2.089394603002691;2.0943951023931953;6.067494966417969;1.0;2.0;1.0;2.6390573296152584;0.578203179644525;0.2891015898222625;0.7629556696238659;0.5342890037476926;-0.2671445018738462;0.462707850208181;3.5082448820600196;1.7541224410300098;4.629229685042857
157;e;157;0;0;0;-5.498518232911357;0.0;6.07511403963236;1.0;0.0;0.0;5.062595033026967;0.0;0.0;1.0;0.19213529956896383;0.19213529956896383;0.0;0.0;0.0;6.07511403963236
158;b;79;1;0;0;-4.3478233723029;1.5707963267948966;6.082685042664278;1.0;1.0;0.0;4.382026634673881;0.22248519898365932;0.0;0.9749360677671134;0.27134966536646227;1.661537495703717e-17;0.27134966536646227;1.3533073920720902;0.0;5.930229036960948
159;a;53;0;1;0;-3.758380305253086;1.5707963267948966;6.090208578280592;1.0;0.0;1.0;3.9889840465642745;0.0;0.24316585708831479;0.969984724594416;0.3238372864741306;1.9829314816255427e-17;0.3238372864741306;0.0;1.4809307887842071;5.90740929052605
160;a;1;5;0;1;1.0536572186199982;4.71238898038469;6.097685237981356;1.0;5.0;0.0;1.6931471805599454;0.9471676664217692;0.0;0.3207388527839123;1.3717635373586992;-2.5198887378200723e-16;-1.3717635373586992;5.775530297433271;0.0;1.9557645678675373
161;a;161;0;0;0;-5.312497822124991;0.5235987755982988;6.10511560227886;1.0;0.0;0.0;5.087596335232384;0.0;0.0;1.0;0.20316245549021875;0.17594384754975476;0.10158122774510936;0.0;0.0;6.10511560227886
162;e;1;1;4;0;1.0320336661640586;4.71238898038469;6.112500240968115;1.0;1.0;4.0;0.6931471805599453;0.23917933733638425;0.956717349345537;0.1657864833229108;1.3628936180965225;-2.5035949604703924e-16;-1.3628936180965225;1.4619837571032426;5.84793502841297;1.0133699192605485
163;b;163;0;0;0;-5.2925857617992715;1.0471975511965976;6.119839713389038;1.0;0.0;0.0;5.099866427824199;0.0;0.0;1.0;0.20437970247572643;0.10218985123786324;0.1769980143618844;0.0;0.0;6.119839713389038
164;a;41;2;0;0;-3.3987068127196753;1.5707963267948966;6.127134568680696;1.0;2.0;0.0;3.7376696182833684;0.47179556317143345;0.0;0.8817079712533792;0.3607348623501546;2.2088639725898896e-17;0.3607348623501546;2.890754904457867;0.0;5.402343390147905
165;b;11;0;1;1;-1.6078551596532695;3.665191429188092;6.134385346027853;1.0;0.0;1.0;3.4849066497880004;0.0;0.27582062373443456;0.9612091258008049;0.6173269159077419;-0.5346207916160045;-0.3086634579538708;0.0;1.6919899923687773;5.8964271757807
166;c;83;1;0;0;-4.476466161940571;2.0943951023931953;6.141592574900106;1.0;1.0;0.0;4.430816798843313;0.22015466286611965;0.0;0.9754649785708891;0.26107701238282466;-0.13053850619141227;0.22609932506767064;1.3521002427881965;0.0;5.9909084694660635
167;c;167;0;0;0;-5.586337347422522;1.5707963267948966;6.1487567752839105;1.0;0.0;0.0;5.123963979403259;0.0;0.0;1.0;0.18713945259901138;1.1458986580978356e-17;0.18713945259901138;0.0;0.0;6.1487567752839105
168;b;7;3;1;0;-1.3303214006483326;3.665191429188092;6.155878457907688;1.0;3.0;1.0;2.0794415416798357;0.7926618003721799;0.26422060012405996;0.5494312920655466;0.6709260074184649;-0.5810389664840574;-0.33546300370923227;4.879529701317427;1.6265099004391421;3.3822322549266857
169;e;169;0;0;0;-5.970117952830808;0.0;6.162958124460315;1.0;0.0;0.0;5.135798437050262;0.0;0.0;1.0;0.16678739093174436;0.16678739093174436;0.0;0.0;0.0;6.162958124460315
170;e;17;1;0;1;-2.8477377955945196;2.0943951023931953;6.169996267803192;1.0;1.0;0.0;3.8903717578961645;0.24895199862874803;0.0;0.9685158245370861;0.4255719122956856;-0.2127859561478427;0.36855608718518684;1.536032902401521;0.0;5.975739022702153
171;b;19;0;2;0;-3.0183185104782404;3.141592653589793;6.176993372176143;1.0;0.0;2.0;2.995732273553991;0.0;0.55524691687726;0.8316855543402789;0.4043414627642514;-0.4043414627642514;4.951754781367992e-17;0.0;3.4297565254720728;5.137316156894544
172;b;43;2;0;0;-4.139446643310192;2.0943951023931953;6.183949913397335;1.0;2.0;0.0;3.784189633918261;0.4672681506337479;0.0;0.8841156459441926;0.2888539756899575;-0.1444269878449787;0.2501548809316359;2.889562839644898;0.0;5.467326872169818
173;a;173;0;0;0;-6.15188597632425;0.5235987755982988;6.190866359057435;1.0;0.0;0.0;5.159055299214529;0.0;0.0;1.0;0.15793593657438867;0.13677653324390845;0.07896796828719432;0.0;0.0;6.190866359057435
174;a;29;1;1;0;-3.5842067084305445;2.0943951023931953;6.197743168708217;1.0;1.0;1.0;3.4011973816621555;0.2714812147988843;0.2714812147988843;0.9233611969444265;0.34120834272704836;-0.1706041713635241;0.29549509278481123;1.6825708444523935;1.6825708444523935;5.722755550612562
175;b;7;0;0;2;-1.6126921392873508;4.1887902047863905;6.204580794045781;1.0;0.0;0.0;4.079441541679836;0.0;0.0;1.0;0.6164317662219915;-0.308215883110996;-0.5338455692479547;0.0;0.0;6.204580794045781
