center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
9549105,91185406301009,12,91185406301021,49888669933687116388740181134,0.48644241413734,-0.51355758586266,9549109,4.0,6.093569770045136,0.0,-6.093569770045136
9541995,91049668580009,12,91049668580021,49740252891183424238744401134,0.48644180282487465,-0.5135581971751253,9541993,2.0,-6.042632833682381,0.0,6.042632833682381
9538095,90975256229009,12,90975256229021,49658983475609595348767221134,0.4864414672888867,-0.5135585327111133,9538093,2.0,-6.018593214496234,0.0,6.018593214496234
9511425,90467205530609,12,90467205530621,49105891659111223462213669134,0.48643916860873343,-0.5135608313912665,9511429,4.0,6.09807428216624,0.0,-6.09807428216624
9508065,90403300044209,12,90403300044221,49036539953306182925729797134,0.4864388784987916,-0.5135611215012084,9508069,4.0,6.111467339502679,0.0,-6.111467339502679
9503955,90325160642009,12,90325160642021,48951807870034893641899561134,0.48643852347584504,-0.513561476524155,9503953,2.0,-6.07993319509559,0.0,6.07993319509559
9494205,90139928582009,12,90139928582021,48751240348624588371488761134,0.4864376805791861,-0.5135623194208139,9494209,4.0,6.089044875446846,0.0,-6.089044875446846
9479415,89859308742209,12,89859308742221,48448172205772302751938637134,0.48643640011547007,-0.5135635998845299,9479413,2.0,-6.150602768446279,0.0,6.150602768446279
9463245,89553005930009,12,89553005930021,48118445226607810530467401134,0.48643499761091635,-0.5135650023890836,9463249,4.0,6.07993319509559,0.0,-6.07993319509559
9446865,89243258328209,12,89243258328221,47786154942219095739990517134,0.4864335741500067,-0.5135664258499932,9446869,4.0,6.075346031088684,0.0,-6.075346031088684
9440445,89122001798009,12,89122001798021,47656387226912333357147641134,0.4864330154817631,-0.5135669845182369,9440449,4.0,6.111467339502679,0.0,-6.111467339502679
9439275,89099912525609,12,89099912525621,47632766472433468608186769134,0.48643291362250546,-0.5135670863774946,9439273,2.0,-6.093569770045136,0.0,6.093569770045136
9426495,88858807985009,12,88858807985021,47375326539106593146787301134,0.4864318000833748,-0.5135681999166253,9426493,2.0,-6.066108090103747,0.0,6.066108090103747
9394965,88265367351209,12,88265367351221,46744650441869585190971857134,0.48642904557581795,-0.513570954424182,9394969,4.0,6.037870919922137,0.0,-6.037870919922137
9369555,87788560898009,12,87788560898021,46240988547266929339385641134,0.486426818167668,-0.513573181832332,9369553,2.0,-6.061456918928017,0.0,6.061456918928017
9365595,87714369704009,12,87714369704021,46162863915435746872242721134,0.48642647042918696,-0.513573529570813,9365593,2.0,-6.037870919922137,0.0,6.037870919922137
9353295,87484127357009,12,87484127357021,45920835236510521975618261134,0.48642538928023005,-0.51357461071977,9353293,2.0,-6.023447592961033,0.0,6.023447592961033
9324435,86945088069209,12,86945088069221,45356690036181315219784297134,0.48642284626492877,-0.5135771537350713,9324433,2.0,-6.102558594613569,0.0,6.102558594613569
9320325,86868458105609,12,86868458105621,45276774081881930366967169134,0.48642248339215516,-0.5135775166078449,9320329,4.0,6.18826412308259,0.0,-6.18826412308259
9299445,86479677308009,12,86479677308021,44872407523790427103099441134,0.48642063711721295,-0.513579362882787,9299449,4.0,6.089044875446846,0.0,-6.089044875446846
