u,v,weight,contexts
41,761,5.112287270068234,3
41,773,5.112287270068234,3
41,797,5.112287270068234,3
41,809,5.112287270068234,3
41,821,5.112287270068234,3
41,857,5.112287270068234,3
41,881,5.112287270068234,3
41,929,5.112287270068234,3
41,941,5.112287270068234,3
41,953,5.112287270068234,3
53,617,5.112287270068234,3
53,641,5.112287270068234,3
53,653,5.112287270068234,3
53,677,5.112287270068234,3
53,701,5.112287270068234,3
53,761,5.112287270068234,3
53,773,5.112287270068234,3
53,797,5.112287270068234,3
53,809,5.112287270068234,3
53,821,5.112287270068234,3
53,857,5.112287270068234,3
53,881,5.112287270068234,3
53,929,5.112287270068234,3
53,941,5.112287270068234,3
53,953,5.112287270068234,3
89,617,5.112287270068234,3
89,641,5.112287270068234,3
89,653,5.112287270068234,3
89,677,5.112287270068234,3
89,701,5.112287270068234,3
89,761,5.112287270068234,3
89,773,5.112287270068234,3
89,797,5.112287270068234,3
89,809,5.112287270068234,3
89,821,5.112287270068234,3
89,857,5.112287270068234,3
89,881,5.112287270068234,3
89,929,5.112287270068234,3
89,941,5.112287270068234,3
89,953,5.112287270068234,3
101,617,5.112287270068234,3
101,641,5.112287270068234,3
101,653,5.112287270068234,3
101,677,5.112287270068234,3
101,701,5.112287270068234,3
101,761,5.112287270068234,3
101,773,5.112287270068234,3
101,797,5.112287270068234,3
101,809,5.112287270068234,3
101,821,5.112287270068234,3
101,857,5.112287270068234,3
101,881,5.112287270068234,3
101,929,5.112287270068234,3
101,941,5.112287270068234,3
101,953,5.112287270068234,3
113,617,5.112287270068234,3
113,641,5.112287270068234,3
113,653,5.112287270068234,3
113,677,5.112287270068234,3
113,701,5.112287270068234,3
113,761,5.112287270068234,3
113,773,5.112287270068234,3
113,797,5.112287270068234,3
113,809,5.112287270068234,3
113,821,5.112287270068234,3
113,857,5.112287270068234,3
113,881,5.112287270068234,3
113,929,5.112287270068234,3
113,941,5.112287270068234,3
113,953,5.112287270068234,3
137,617,5.112287270068234,3
137,641,5.112287270068234,3
137,653,5.112287270068234,3
137,677,5.112287270068234,3
137,701,5.112287270068234,3
137,761,5.112287270068234,3
137,773,5.112287270068234,3
137,797,5.112287270068234,3
137,809,5.112287270068234,3
137,821,5.112287270068234,3
137,857,5.112287270068234,3
137,881,5.112287270068234,3
137,929,5.112287270068234,3
137,941,5.112287270068234,3
137,953,5.112287270068234,3
149,617,5.112287270068234,3
149,641,5.112287270068234,3
149,653,5.112287270068234,3
149,677,5.112287270068234,3
149,701,5.112287270068234,3
149,761,5.112287270068234,3
149,773,5.112287270068234,3
149,797,5.112287270068234,3
149,809,5.112287270068234,3
149,821,5.112287270068234,3
149,857,5.112287270068234,3
149,881,5.112287270068234,3
149,929,5.112287270068234,3
149,941,5.112287270068234,3
149,953,5.112287270068234,3
173,617,5.112287270068234,3
173,641,5.112287270068234,3
173,653,5.112287270068234,3
173,677,5.112287270068234,3
173,701,5.112287270068234,3
173,761,5.112287270068234,3
173,773,5.112287270068234,3
173,797,5.112287270068234,3
173,809,5.112287270068234,3
173,821,5.112287270068234,3
173,857,5.112287270068234,3
173,881,5.112287270068234,3
173,929,5.112287270068234,3
173,941,5.112287270068234,3
173,953,5.112287270068234,3
197,617,5.112287270068234,3
197,641,5.112287270068234,3
197,653,5.112287270068234,3
197,677,5.112287270068234,3
197,701,5.112287270068234,3
197,761,5.112287270068234,3
197,773,5.112287270068234,3
197,797,5.112287270068234,3
197,809,5.112287270068234,3
197,821,5.112287270068234,3
197,857,5.112287270068234,3
197,881,5.112287270068234,3
197,929,5.112287270068234,3
197,941,5.112287270068234,3
197,953,5.112287270068234,3
233,617,5.112287270068234,3
233,641,5.112287270068234,3
233,653,5.112287270068234,3
233,677,5.112287270068234,3
233,701,5.112287270068234,3
233,761,5.112287270068234,3
233,773,5.112287270068234,3
233,797,5.112287270068234,3
233,809,5.112287270068234,3
233,821,5.112287270068234,3
233,857,5.112287270068234,3
233,881,5.112287270068234,3
233,929,5.112287270068234,3
233,941,5.112287270068234,3
233,953,5.112287270068234,3
257,617,5.112287270068234,3
257,641,5.112287270068234,3
257,653,5.112287270068234,3
257,677,5.112287270068234,3
257,701,5.112287270068234,3
257,761,5.112287270068234,3
257,773,5.112287270068234,3
257,797,5.112287270068234,3
257,809,5.112287270068234,3
257,821,5.112287270068234,3
257,857,5.112287270068234,3
257,881,5.112287270068234,3
257,929,5.112287270068234,3
257,941,5.112287270068234,3
257,953,5.112287270068234,3
269,617,5.112287270068234,3
269,641,5.112287270068234,3
269,653,5.112287270068234,3
269,677,5.112287270068234,3
269,701,5.112287270068234,3
269,761,5.112287270068234,3
269,773,5.112287270068234,3
269,797,5.112287270068234,3
269,809,5.112287270068234,3
269,821,5.112287270068234,3
269,857,5.112287270068234,3
269,881,5.112287270068234,3
269,929,5.112287270068234,3
269,941,5.112287270068234,3
269,953,5.112287270068234,3
281,617,5.112287270068234,3
281,641,5.112287270068234,3
281,653,5.112287270068234,3
281,677,5.112287270068234,3
281,701,5.112287270068234,3
281,761,5.112287270068234,3
281,773,5.112287270068234,3
281,797,5.112287270068234,3
281,809,5.112287270068234,3
281,821,5.112287270068234,3
281,857,5.112287270068234,3
281,881,5.112287270068234,3
281,929,5.112287270068234,3
281,941,5.112287270068234,3
281,953,5.112287270068234,3
293,617,5.112287270068234,3
293,641,5.112287270068234,3
293,653,5.112287270068234,3
293,677,5.112287270068234,3
293,701,5.112287270068234,3
293,761,5.112287270068234,3
293,773,5.112287270068234,3
293,797,5.112287270068234,3
293,809,5.112287270068234,3
293,821,5.112287270068234,3
293,857,5.112287270068234,3
293,881,5.112287270068234,3
293,929,5.112287270068234,3
293,941,5.112287270068234,3
293,953,5.112287270068234,3
317,617,5.112287270068234,3
317,641,5.112287270068234,3
317,653,5.112287270068234,3
317,677,5.112287270068234,3
317,701,5.112287270068234,3
317,761,5.112287270068234,3
317,773,5.112287270068234,3
317,797,5.112287270068234,3
317,809,5.112287270068234,3
317,821,5.112287270068234,3
317,857,5.112287270068234,3
317,881,5.112287270068234,3
317,929,5.112287270068234,3
317,941,5.112287270068234,3
317,953,5.112287270068234,3
353,617,5.112287270068234,3
353,641,5.112287270068234,3
353,653,5.112287270068234,3
353,677,5.112287270068234,3
353,701,5.112287270068234,3
353,761,5.112287270068234,3
353,773,5.112287270068234,3
353,797,5.112287270068234,3
353,809,5.112287270068234,3
