center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
1571745,ABCE,1,29720,29816,29818,29828,96,2,10,-108,108,1920.75,216,212,20984,-4,212,1.944954128440367,-0.036697247706422,1.944954128440367,0.0008428791275656,-0.0009039393831789,-40.58529784200172,-2329.6736710106125,1.9495682027725731,-0.0298260387752524,1.9495682027725731,-24723.381221830285,157,1.670763302762409,-0.7471781462912859,-0.6854277748388328,1.670763302762409,-0.747178146291286,-0.7061781310924794
1573545,ABCE,1,29747,29852,29853,29858,105,1,5,-111,111,2165.25,222,220,23372,-2,220,1.9642857142857144,-0.0178571428571428,1.9642857142857144,0.0008600521033175,-0.0008849650977168,-37.62827306230352,-2086.9428444685877,1.968953022997468,-0.0109903837155302,1.968953022997468,-22354.65056442917,157,1.5185315645857482,-0.6662733791962152,-0.6063870558604977,1.5185315645857482,-0.6662733791962153,-0.6270680008375018
1573935,CEAB,-1,29755,29858,29861,29867,103,3,6,-112,112,2157.1875,224,-218,23198,6,-218,-1.9292035398230087,0.0530973451327433,-1.9292035398230087,0.0008870297550894,-0.0008575974337723,-36.63757788031552,-2095.3883986319506,-1.9245247050222627,0.0599631408242158,-1.9245247050222627,-22532.822683264956,157,1.510564494779255,-0.6061630138192212,0.5313556310767693,1.510564494779255,-0.6061630138192213,0.5106897147440072
1577295,CEAB,-1,29812,29924,29915,29923,112,-9,8,-111,112,2226.25,240,-240,25010,0,-240,-2.1238938053097347,0.0,-2.1238938053097347,0.0007674489346373,-0.0009738221466619,-36.71764709941766,-2029.6221315829723,-2.1191157869522828,0.0068575050725415,-2.1191157869522828,-20756.724330857884,157,1.4572555891442365,-0.625461488662743,0.5630318888626547,1.4572555891442365,-0.6254614886627431,0.5424952960488557
1584435,CEAB,-1,29932,30052,30032,30048,120,-20,16,-116,120,2408.0,272,-272,28512,0,-272,-2.2479338842975207,0.0,-2.2479338842975207,0.0007099588008795,-0.001024204226693,-28.88722936119956,-1854.8533741311403,-2.24294580054832,0.0068399459914657,-2.24294580054832,-17330.762072561614,158,1.2324137780919902,-0.527947626554347,0.47459085434910464,1.2324137780919902,-0.5279476265543471,0.454328161731827
1588755,CEAB,-1,30006,30123,30109,30116,117,-14,7,-110,117,2293.25,248,-248,26034,0,-248,-2.101694915254237,0.0,-2.101694915254237,0.0007081060995977,-0.0010217717933562,-31.989463087701267,-1973.812059838076,-2.096580192270592,0.0068293603896849,-2.096580192270592,-19854.60190042723,158,1.3590070892117225,-0.5828399021456231,0.5253309802526959,1.3590070892117225,-0.5828399021456232,0.5052334100809245
1592865,ABCE,1,30080,30199,30173,30183,119,-26,10,-103,119,2153.1875,258,258,25546,0,258,2.15,0.0,2.15,0.0005358043052084,-0.0011900075604736,-30.086469403036887,-2117.868047181303,2.155234886905385,0.0068193160505073,2.155234886905385,-20386.097847890214,159,1.3802741382473263,-0.5919062646661082,-0.5338969609112139,1.3802741382473263,-0.5919062646661083,-0.5538378516723261
1603335,CEAB,-1,30273,30379,30365,30364,106,-14,-1,-91,106,1775.1875,212,-210,19714,-2,-210,-1.9626168224299063,-0.0186915887850467,-1.9626168224299063,0.000532240961965,-0.0011832601403533,-43.33246115255608,-2505.9948614494724,-1.957077219968267,-0.011897743494443,-1.957077219968267,-26328.39627718728,160,1.7869427909226263,-0.7831501489534007,0.7124945150456359,1.7869427909226263,-0.7831501489534008,0.6929509369977045
1615845,ABCE,1,30495,30601,30570,30582,106,-31,12,-87,106,1618.5,236,236,19910,0,236,2.205607476635514,0.0,2.205607476635514,0.0003422394176901,-0.0013610298734913,-43.62428480471692,-2674.6959510526503,2.2115085676701254,0.0067636289512632,2.2115085676701254,-26263.24493584344,161,1.831564911002037,-0.7874363086479763,-0.7096849353117456,1.831564911002037,-0.7874363086479764,-0.7287571754093719
1616805,ABCE,1,30515,30616,30584,30601,101,-32,17,-86,101,1493.5,236,236,18910,0,236,2.313725490196078,0.0,2.313725490196078,0.0003243313527725,-0.0013780032021454,-48.64658552103416,-2800.6140111608984,2.3196542056335034,0.0067613198649133,2.3196542056335034,-27273.2441898298,161,1.9536685653102404,-0.8403627825400763,-0.7563381435994587,1.9536685653102404,-0.8403627825400765,-0.7753743647731853
