bits,n,sigma,ring,use_sigma,dir_kind,dir_count,lambdas,base_samples,T,S,score,use_score,B,neighbor_safety,shadow,success_prefilter,factor_prefilter,rank_hit,tested,t_prefilter,success_pipeline,factor_pipeline,t_total,fallback_used
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.14902615547180176,True,4162225801,0.16576814651489258,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.1514730453491211,True,4162225801,0.21921110153198242,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.14706897735595703,True,3895696853,0.17359328269958496,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.0346529483795166,True,4162225801,0.07241010665893555,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017927169799804688,True,4162225801,0.03555893898010254,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.012131690979003906,True,3895696853,0.039093971252441406,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017394065856933594,True,3895696853,0.09228396415710449,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.012978315353393555,True,3895696853,0.040711164474487305,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.03937888145446777,True,3895696853,0.11925911903381348,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.03679370880126953,True,4162225801,0.04877209663391113,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.0413210391998291,True,3895696853,0.1082003116607666,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.01813030242919922,True,3895696853,0.05892777442932129,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.17226076126098633,True,4162225801,0.18801403045654297,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.15192389488220215,True,4162225801,0.17581415176391602,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.16094493865966797,True,4162225801,0.17210102081298828,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.04105091094970703,True,3895696853,0.10043001174926758,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.009636163711547852,True,2748198667,0.05800890922546387,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.007515907287597656,True,3684211717,0.10165715217590332,True
64,10124945729605181239,B,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.008604049682617188,True,2748198667,0.10627889633178711,True
64,10124945729605181239,B,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.009299993515014648,True,3684211717,0.025859832763671875,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.014334917068481445,True,2748198667,0.021456241607666016,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.011412858963012695,True,2748198667,0.031052112579345703,True
