n,Omega_standard,Omega_resonance,S_entropy
14.459729217920195,3.619666444689129,3.6487249533521906,1.3356837451351846
14.627333562011298,3.558271966620726,3.5844544990749445,1.3414459700926271
14.796880626863963,3.497904446956515,3.521068594019288,1.3472081950500696
14.968392930772556,3.4385472788607423,3.4585630246997487,1.3529704200075123
15.14189325304352,3.3801841010857276,3.3969348572027545,1.3587326449649548
15.317404637020799,3.3227987952904985,3.3361824016089074,1.3644948699223973
15.494950393146317,3.2663754833459304,3.2763051686821756,1.37025709487984
15.67455410205595,3.2108985246288886,3.2173038186204765,1.3760193198372825
15.856239617711372,3.156352513307783,3.159180101704034,1.381781544794725
16.0400310705682,3.102722275621814,3.1035077605192245,1.3875437697521675
16.225952870780873,3.0499928671560244,3.0544081291837593,1.3933059947096103
16.414029711444666,2.9981495701142435,3.006192013362162,1.3990682196670527
16.604286571875296,2.947177890591808,2.958825073186141,1.4048304446244952
16.79674872092653,2.897063555849896,2.91227274153484,1.4105926695819377
16.99144172034626,2.847792511593201,2.866500327057395,1.4163548945393802
17.188391428171457,2.799350919252553,2.8214731248895157,1.422117119496823
17.387624002162504,2.7517251532740397,2.777156534730609,1.4278793444542655
17.589165903277326,2.7049017984160435,2.733516185866742,1.433641569411708
17.793043899185772,2.658867647055581,2.6905180686404306,1.4394037943691504
17.999285067824765,2.6136096965052062,2.6481286717813073,1.4451660193265932
18.207916800994624,2.569115146341686,2.6063151249227463,1.4509282442840357
18.41896680799711,2.525371395747565,2.565045345539148,1.4566904692414782
18.6324631193156,2.4823660408666965,2.524288189447524,1.4624526941989209
18.848434090337953,2.4400868721747075,2.484013603926018,1.4682149191563634
19.06690840512252,2.3985218718653347,2.444192782412037,1.4739771441138059
19.287915080207778,2.357659211253503,2.4047983196545935,1.4797393690712486
19.511483468466164,2.3174872481959303,2.3658043661103125,1.485501594028691
19.737643263002553,2.277994524530028,2.327186780291539,1.4912638189861336
19.966424501097933,2.2391697635317813,2.2889232776991038,1.497026043943576
20.197857568198785,2.20100186739327,2.2509935749029264,1.5027882689010188
20.431973201952704,2.163479914720402,2.2133795272719468,1.5085504938584613
20.66880249629082,2.1265931580514295,2.176065258802287,1.5143127188159038
20.9083769055575,2.090331021396753,2.1390372824503587,1.5200749437733463
21.150728248687948,2.054683097800465,2.1022846093472523,1.525837168730789
21.395888713434214,2.0196391469240695,2.0657988452536045,1.5315993936882315
21.643890860640205,1.985189092652754,2.0295742726115744,1.537361618645674
21.894767628566207,1.9513230207245804,1.993607916564029,1.5431238436031165
22.14855233726359,1.918031176382878,1.9578995933417134,1.548886068560559
22.40527869300018,1.8853039620521617,1.922451939468578,1.5546482935180017
22.664980792736927,1.8531319350377926,1.8872704203044386,1.5604105184754442
22.927693128656486,1.8215058052496191,1.8523633165340936,1.5661727434328867
23.193450592744274,1.7904164329497878,1.8177416873236867,1.5719349683903292
23.462288481422625,1.759854826524893,1.7834193089993322,1.577697193347772
23.73424250023866,1.729812140282598,1.7494125882603853,1.5834594183052144
24.009348768606518,1.7002796722728555,1.7157404491206356,1.589221643262657
24.287643824604505,1.671248862133812,1.6824241929752182,1.5949838682200996
24.569164629827903,1.6427112889624769,1.6494873314190626,1.6007460931775421
24.853948574297984,1.6146586692101987,1.6169553916937627,1.6065083181349846
25.142033481427966,1.5870828546029876,1.5893100142928833,1.6122705430924271
25.433457613046496,1.559975830086695,1.5667345526615613,1.61803276804987
25.728259674479336,1.5333297117970557,1.544589656917481,1.6237949930073126
26.02647881969006,1.5071367450545485,1.5228287092597212,1.629557217964755
26.328154656480212,1.4813893023840699,1.5014046980276232,1.6353194429221978
26.633327251749822,1.4560798815593547,1.4802705584692295,1.6410816678796403
26.942037136818836,1.4312011036720802,1.4593795330860995,1.6468438928370828
27.25432531281029,1.4067457112255772,1.4386855490139838,1.6526061177945253
27.57023325609584,1.382706566253067,1.4181436095229314,1.658368342751968
27.88980292380441,1.3590766484603125,1.3977101963476792,1.6641305677094105
28.21307675939472,1.3358490533925813,1.377343679194665,1.669892792666853
28.54009769829239,1.313016990625793,1.3570047284211293,1.6756550176242955
28.870909173592363,1.2905737819817258,1.336656726550408,1.6814172425817382
29.205555121827466,1.268512859767137,1.316266173981738,1.6871794675391807
29.544079988803812,1.2468277650366537,1.2958030839792383,1.6929416924966232
29.88652873550384,1.2255121458792761,1.275241361789739,1.6987039174540657
30.23294684405778,1.204559755728333,1.2545591625497086,1.7044661424115084
30.583380323784333,1.1839644516947143,1.2337392225044344,1.710228367368951
30.937875717301385,1.1637201929232128,1.2127691579847268,1.7159905923263934
31.29648010670752,1.143821038971788,1.1916417265743564,1.7217528172838361
31.659241119835222,1.1242611482135652,1.170355044961586,1.7275150422412786
32.02620693657652,1.1050347762613848,1.1489127581065495,1.733277267198721
32.397426295281974,1.0861362744146965,1.1273241545782078,1.7390394921561638
32.772948499233834,1.067560088128605,1.105604223225047,1.744801717113606
33.15282342319425,1.0493007555048595,1.083773646746349,1.7505639420710488
33.5371015200293,1.0313529058045856,1.061858728228769,1.7563261670284913
33.92583382740994,1.013711257982539,1.0398912473077162,1.762088391985934
34.31907197459044,0.9963706192426787,1.017908243305166,1.7678506169433765
34.71686818926561,0.9793258836148357,0.995951723483812,1.773612841900819
35.1192753045073,0.9625720305522663,0.9740682954392773,1.7793750668582615
35.52634676578141,0.946104123549864,0.9523087236228356,1.785137291815704
35.938136638046274,0.9299173087828146,0.9307274110403604,1.7908995167731467
36.354699612933196,0.9140068137654673,0.9186318192303788,1.7966617417305892
36.77609101601033,0.8983679460301979,0.9084041386840395,1.8024239666880317
37.20236681413068,0.8829960918260452,0.8983534369670917,1.8081861916454742
37.633583622865345,0.8678867148368857,0.8884082623040553,1.813948416602917
38.06979871402286,0.8530353549189281,0.878497271875626,1.8197106415603594
38.511070023255705,0.8384376268572965,0.8685501078136585,1.825472866517802
38.95745615775503,0.8240892191414778,0.8584983066292983,1.8312350914752447
39.409016404034496,0.8099858927594055,0.8482762310957767,1.8369973164326872
39.86581073580441,0.7961234800099501,0.8378220124478932,1.8427595413901297
40.32789982193707,0.7824978833335997,0.8270784896965494,1.8485217663475721
40.79534503452451,0.7691050741610868,0.8159941319160867,1.8542839913050149
41.26820845702954,0.7559410917797567,0.8045239285726177,1.8600462162624574
41.74655289253137,0.743002042217435,0.792630232351078,1.8658084412198999
42.23044187206674,0.7302840971435802,0.780283538535332,1.8715706661773424
42.71993966306779,0.7177834927874921,0.767463184826254,1.877332891134785
43.21511127789764,0.7054965288733612,0.754157955572847,1.8830951160922276
43.716022482485045,0.6934195675719254,0.740366574764452,1.88885734104967
44.22273980505899,0.6815490324685268,0.7260980728084534,1.8946195660071126
44.735330544984656,0.6698814075473428,0.7113720131143643,1.9003817909645553
45.25386278170169,0.6584132361915725,0.6962185658342758,1.9061440159219978
45.778405383766184,0.6471411201993668,0.6806784177786116,1.9119062408794403
46.30902801799739,0.6360617188152836,0.6648025095363155,1.9176684658368828
46.845801158730474,0.6251717477770586,0.6486515931747256,1.9234306907943255
47.38879609717654,0.6144679783774744,0.6322956065638864,1.929192915751768
47.938084950891096,0.6039472365411227,0.6158128633424377,1.9349551407092105
48.493740673352356,0.5936064019158501,0.5992890607886425,1.9407173656666532
49.05583706365048,0.5834424069786788,0.5840687026143703,1.9464795906240957
49.62444877628916,0.573452236155999,0.5804136651104556,1.9522418155815382
50.19965133110082,0.56363292495783,0.5768525187092493,1.9580040405389807
50.78152112327673,0.5539815591259485,0.5732774871151676,1.9637662654964234
51.37013543351341,0.5444952737956833,0.5695808692132537,1.969528490453866
51.9655724382766,0.5351712526711808,0.5656568696027641,1.9752907154113084
52.56791122018422,0.526006727213946,0.5614034916201815,1.981052940368751
53.17723177850969,0.5169989758444624,0.5567244611047076,1.9868151653261936
53.793615039807,0.5081453231567032,0.551531146163155,1.9925773902836361
54.4171428686589,0.49944313914534155,0.5457444356553767,1.9983396152410786
55.04789807854971,0.4908898384454724,0.539296537145842,2.0041018401985213
55.68596444286412,0.4824828795846632,0.532132653749525,2.0098640651559636
56.331426706013545,0.4742197642471443,0.5242124987341823,2.0156262901134063
56.98437059469139,0.4660980365499639,0.5155116070121945,2.021388515070849
57.64488282925876,0.4581152823309252,0.5060224038388577,2.0271507400282913
58.313051135262214,0.45026912844812567,0.4957549931922984,2.032912964985734
58.988964255084966,0.44255724209092934,0.48473763148837185,2.0386751899431768
59.672711959733135,0.4349773301021942,0.4730168565075384,2.044437414900619
60.36438506075867,0.42752713831158423,0.4606572466826358,2.0501996398580618
61.06407542232039,0.4202044508797998,0.44774079219398466,2.055961864815504
61.771875973384915,0.41300708965355387,0.43436586659067994,2.0617240897729467
62.48788072006891,0.4059329135311377,0.42064579582363404,2.0674863147303895
63.212184758124515,0.3989798178384032,0.4067070305247929,2.0732485396878317
63.94488428556943,0.3921457337150088,0.3926869369537587,2.0790107646452745
64.68607661546328,0.38542862751076795,0.3921260229402579,2.084772989602717
65.43586018883236,0.37882650019194,0.39266190180280175,2.09053521456016
66.19433458774395,0.3723373867573149,0.39305474769423987,2.096297439517602
66.96160054853222,0.3659593556639349,0.39314827831595944,2.102059664475045
67.73775997517753,0.3596905082623029,0.3927908762938368,2.1078218894324876
68.52291595284065,0.35352897824093155,0.39183919477463636,2.11358411438993
69.31717276155408,0.347472931080083,0.39016175879278164,2.1193463393473726
70.12063589007184,0.34152056351455673,0.38764247433344634,2.125108564304815
70.93341204987996,0.3356701030053833,0.38418395268445205,2.1308707892622576
71.75560918936928,0.3299198072202816,0.37971055539582205,2.1366330142197003
72.58733650817253,0.3242679635227417,0.37417106521702315,2.1423952391771426
73.42870447166766,0.31871288846959644,0.3675408909851642,2.1481574641345853
74.27982482564919,0.31325292731694765,0.3598237197706481,2.153919689092028
75.1408106111697,0.30788645353431204,0.3510525377674712,2.1596819140494703
76.01177617955331,0.30261186832685705,0.34128995248956595,2.165444139006913
76.89283720758313,0.29742760016559794,0.33062776276691014,2.1712063639643553
77.7841107128649,0.29233210432542656,0.3191857397000673,2.176968588921798
78.68571506936851,0.2873238624308481,0.3071096009068621,2.1827308138792407
79.59777002314986,0.28240138200930176,0.29456818175579863,2.1884930388366834
80.52039670825478,0.2775631960519417,0.28174983039991863,2.1942552637941257
81.45371766280745,0.27280786258176065,0.27675764739128406,2.2000174887515684
82.39785684528519,0.26813396422893576,0.2801612698052036,2.2057797137090107
83.35293965098195,0.2635401078132802,0.2833662308751587,2.2115419386664534
