n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,Excitation,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
23162425,13,5,5,19,31,11,11,1781725,25,589,121,1.0,12.020408163265307,1.0,B-excitation,13 * 5 * 5 * 19 * 31 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
23271325,157,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,157 * 5 * 5 * 7 * 7 * 11 * 11,3.2857470407029474,70.0,1.2203821656050957
23368345,13,5,29,7,7,11,23,1797565,145,49,253,5.8,1.0,2.090909090909091,A+C-multi,13 * 5 * 29 * 7 * 7 * 11 * 23,3.2802323907239512,18.0,1.2063660477453582
23433025,37,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 47,3.6199450849684505,10.0,0.9621621621621622
23976925,37,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,C-doppel,37 * 5 * 5 * 7 * 7 * 23 * 23,3.6199450849684505,10.0,0.9621621621621622
24287725,37,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,B-excitation,37 * 5 * 5 * 7 * 31 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
24541825,61,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,61 * 5 * 5 * 7 * 19 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245
24749725,13,5,5,7,43,11,23,1903825,25,301,253,1.0,6.142857142857143,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 43 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
26005525,13,5,5,7,7,23,71,2000425,25,49,1633,1.0,1.0,13.49586776859504,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 71,3.19709115883551,10.0,1.2615384615384615
26828725,181,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,181 * 5 * 5 * 7 * 7 * 11 * 11,3.0522786605965706,94.0,1.2972375690607736
27992965,13,5,17,7,7,11,47,2153305,85,49,517,3.4,1.0,4.2727272727272725,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 47,3.4157601047094523,12.0,1.0968325791855205
28053025,13,5,5,7,19,11,59,2157925,25,133,649,1.0,2.7142857142857144,5.363636363636363,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 59,3.19709115883551,10.0,1.2615384615384615
28353325,13,5,5,7,103,11,11,2181025,25,721,121,1.0,14.714285714285714,1.0,B-excitation,13 * 5 * 5 * 7 * 103 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
28607425,193,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,193 * 5 * 5 * 7 * 7 * 11 * 11,3.257019313956718,88.0,1.2352331606217617
28642705,13,5,17,7,7,23,23,2203285,85,49,529,3.4,1.0,4.371900826446281,A+C-multi,13 * 5 * 17 * 7 * 7 * 23 * 23,3.4157601047094523,12.0,1.0968325791855205
29013985,13,5,17,7,31,11,11,2231845,85,217,121,3.4,4.428571428571429,1.0,A+B-multi,13 * 5 * 17 * 7 * 31 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
29254225,13,5,5,7,7,11,167,2250325,25,49,1837,1.0,1.0,15.181818181818182,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 167,3.19709115883551,10.0,1.2615384615384615
29369725,73,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,73 * 5 * 5 * 7 * 19 * 11 * 11,3.426323092112505,28.0,1.1287671232876713
29415925,37,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 59,3.6199450849684505,10.0,0.9621621621621622
29683225,13,5,5,19,19,11,23,2283325,25,361,253,1.0,7.36734693877551,2.090909090909091,B+C-multi,13 * 5 * 5 * 19 * 19 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
30062725,97,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,97 * 5 * 5 * 7 * 7 * 11 * 23,3.366869432803848,40.0,1.1711340206185568
30335305,13,5,29,7,19,11,11,2333485,145,133,121,5.8,2.7142857142857144,1.0,A+B-multi,13 * 5 * 29 * 7 * 19 * 11 * 11,3.2802323907239512,18.0,1.2063660477453582
30400825,13,5,5,7,7,23,83,2338525,25,49,1909,1.0,1.0,15.776859504132231,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 83,3.19709115883551,10.0,1.2615384615384615
30741865,61,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,61 * 5 * 17 * 7 * 7 * 11 * 11,3.3090244320603164,36.0,1.1270973963355835
31125325,37,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,B+C-multi,37 * 5 * 5 * 7 * 19 * 11 * 23,3.6199450849684505,10.0,0.9621621621621622
31356325,13,5,5,7,7,11,179,2412025,25,49,1969,1.0,1.0,16.272727272727273,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 179,3.19709115883551,10.0,1.2615384615384615
31809085,37,5,29,7,7,11,11,859705,145,49,121,5.8,1.0,1.0,A-excitation,37 * 5 * 29 * 7 * 7 * 11 * 11,3.7030863168568917,18.0,0.9069897483690588
32128525,13,5,5,19,43,11,11,2471425,25,817,121,1.0,16.6734693877551,1.0,B-excitation,13 * 5 * 5 * 19 * 43 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
33038005,13,5,41,7,7,11,23,2541385,205,49,253,8.2,1.0,2.090909090909091,A+C-multi,13 * 5 * 41 * 7 * 7 * 11 * 23,2.9859978256127633,28.0,1.349343339587242
33458425,13,5,5,7,7,11,191,2573725,25,49,2101,1.0,1.0,17.363636363636363,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 191,3.19709115883551,10.0,1.2615384615384615
33689425,37,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,B-excitation,37 * 5 * 5 * 7 * 43 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
33758725,13,5,5,7,19,11,71,2596825,25,133,781,1.0,2.7142857142857144,6.454545454545454,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 71,3.19709115883551,10.0,1.2615384615384615
33781825,109,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,109 * 5 * 5 * 7 * 7 * 11 * 23,3.4936369679052106,34.0,1.075229357798165
33943525,229,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,229 * 5 * 5 * 7 * 7 * 11 * 11,3.6525422300864037,34.0,0.9310043668122271
34299265,13,5,89,7,7,11,11,2638405,445,49,121,17.8,1.0,1.0,A-excitation,13 * 5 * 89 * 7 * 7 * 11 * 11,3.1021394524927537,48.0,1.3109766637856526
34959925,13,5,5,7,127,11,11,2689225,25,889,121,1.0,18.142857142857142,1.0,B-excitation,13 * 5 * 5 * 7 * 127 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
35140105,13,5,17,7,7,11,59,2703085,85,49,649,3.4,1.0,5.363636363636363,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 59,3.4157601047094523,12.0,1.0968325791855205
35178325,13,5,5,7,7,47,47,2706025,25,49,2209,1.0,1.0,18.25619834710744,C-doppel,13 * 5 * 5 * 7 * 7 * 47 * 47,3.19709115883551,10.0,1.2615384615384615
35398825,37,5,5,7,7,11,71,956725,25,49,781,1.0,1.0,6.454545454545454,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 71,3.6199450849684505,10.0,0.9621621621621622
35722225,241,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,241 * 5 * 5 * 7 * 7 * 11 * 11,3.5244913706357366,64.0,1.0489626556016598
36461425,13,5,5,7,31,11,47,2804725,25,217,517,1.0,4.428571428571429,4.2727272727272725,B+C-multi,13 * 5 * 5 * 7 * 31 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
36789445,73,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,73 * 5 * 17 * 7 * 7 * 11 * 11,3.644992037986447,30.0,0.96406124093473
37182145,13,5,17,7,19,11,23,2860165,85,133,253,3.4,2.7142857142857144,2.090909090909091,A+B+C-multi,13 * 5 * 17 * 7 * 19 * 11 * 23,3.4157601047094523,12.0,1.0968325791855205
37307725,13,5,5,7,31,23,23,2869825,25,217,529,1.0,4.428571428571429,4.371900826446281,B+C-multi,13 * 5 * 5 * 7 * 31 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
37791325,13,5,5,31,31,11,11,2907025,25,961,121,1.0,19.612244897959183,1.0,B-excitation,13 * 5 * 5 * 31 * 31 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
37998961,13,17,29,7,7,11,11,2922997,493,49,121,19.72,1.0,1.0,A-excitation,13 * 17 * 29 * 7 * 7 * 11 * 11,3.498901336597893,20.0,1.041660165392417
38263225,13,5,5,7,139,11,11,2943325,25,973,121,1.0,19.857142857142858,1.0,B-excitation,13 * 5 * 5 * 7 * 139 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
38563525,13,5,5,7,67,11,23,2966425,25,469,253,1.0,9.571428571428571,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 67 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
38632825,61,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,61 * 5 * 5 * 7 * 7 * 11 * 47,3.0903554861863745,34.0,1.2918032786885245
38923885,13,5,101,7,7,11,11,2994145,505,49,121,20.2,1.0,1.0,A-excitation,13 * 5 * 101 * 7 * 7 * 11 * 11,3.5610701153451543,18.0,0.9605483625285606
38988565,37,5,17,7,7,11,23,1053745,85,49,253,3.4,1.0,2.090909090909091,A+C-multi,37 * 5 * 17 * 7 * 7 * 11 * 23,3.8386140308423924,12.0,0.7974562798092211
39025525,97,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,97 * 5 * 5 * 7 * 19 * 11 * 11,3.366869432803848,40.0,1.1711340206185568
39191425,13,5,5,7,7,23,107,3014725,25,49,2461,1.0,1.0,20.33884297520661,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 107,3.19709115883551,10.0,1.2615384615384615
39464425,13,5,5,7,19,11,83,3035725,25,133,913,1.0,2.7142857142857144,7.545454545454546,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 83,3.19709115883551,10.0,1.2615384615384615
39529525,61,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,C-doppel,61 * 5 * 5 * 7 * 7 * 23 * 23,3.0903554861863745,34.0,1.2918032786885245
39764725,13,5,5,7,7,11,227,3058825,25,49,2497,1.0,1.0,20.636363636363637,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 227,3.19709115883551,10.0,1.2615384615384615
40041925,61,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,B-excitation,61 * 5 * 5 * 7 * 31 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245
40245205,13,5,17,7,43,11,11,3095785,85,301,121,3.4,6.142857142857143,1.0,A+B-multi,13 * 5 * 17 * 7 * 43 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
40404925,37,5,5,19,19,11,11,1092025,25,361,121,1.0,7.36734693877551,1.0,B-excitation,37 * 5 * 5 * 19 * 19 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
41058325,277,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,277 * 5 * 5 * 7 * 7 * 11 * 11,3.2137562825494506,130.0,1.2548736462093864
41381725,37,5,5,7,7,11,83,1118425,25,49,913,1.0,1.0,7.545454545454546,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 83,3.6199450849684505,10.0,0.9621621621621622
41566525,13,5,5,7,151,11,11,3197425,25,1057,121,1.0,21.571428571428573,1.0,B-excitation,13 * 5 * 5 * 7 * 151 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
41866825,13,5,5,7,7,11,239,3220525,25,49,2629,1.0,1.0,21.727272727272727,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 239,3.19709115883551,10.0,1.2615384615384615
42287245,13,5,17,7,7,11,71,3252865,85,49,781,3.4,1.0,6.454545454545454,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 71,3.4157601047094523,12.0,1.0968325791855205
42707665,13,5,53,7,7,11,23,3285205,265,49,253,10.6,1.0,2.090909090909091,A+C-multi,13 * 5 * 53 * 7 * 7 * 11 * 23,3.382439108831205,22.0,1.125689404934688
42887845,13,5,41,7,19,11,11,3299065,205,133,121,8.2,2.7142857142857144,1.0,A+B-multi,13 * 5 * 41 * 7 * 19 * 11 * 11,2.9859978256127633,28.0,1.349343339587242
43548505,13,5,113,7,7,11,11,3349885,565,49,121,22.6,1.0,1.0,A-excitation,13 * 5 * 113 * 7 * 7 * 11 * 11,2.9419087682146916,64.0,1.3571136827773995
43853425,109,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,109 * 5 * 5 * 7 * 19 * 11 * 11,3.4936369679052106,34.0,1.075229357798165
43968925,13,5,5,7,7,11,251,3382225,25,49,2761,1.0,1.0,22.818181818181817,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 251,3.19709115883551,10.0,1.2615384615384615
44160025,13,5,5,7,7,47,59,3396925,25,49,2773,1.0,1.0,22.917355371900825,C-excitation,13 * 5 * 5 * 7 * 7 * 47 * 59,3.19709115883551,10.0,1.2615384615384615
44869825,13,5,5,7,163,11,11,3451525,25,1141,121,1.0,23.285714285714285,1.0,B-excitation,13 * 5 * 5 * 7 * 163 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
44971465,37,5,41,7,7,11,11,1215445,205,49,121,8.2,1.0,1.0,A-excitation,37 * 5 * 41 * 7 * 7 * 11 * 11,3.408851751745704,28.0,1.0499670402109427
45470425,13,5,5,7,79,11,23,3497725,25,553,253,1.0,11.285714285714286,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 79 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
45770725,13,5,5,7,31,11,59,3520825,25,217,649,1.0,4.428571428571429,5.363636363636363,B+C-multi,13 * 5 * 5 * 7 * 31 * 11 * 59,3.19709115883551,10.0,1.2615384615384615
46071025,13,5,5,7,7,11,263,3543925,25,49,2893,1.0,1.0,23.90909090909091,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 263,3.19709115883551,10.0,1.2615384615384615
46232725,73,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,73 * 5 * 5 * 7 * 7 * 11 * 47,3.426323092112505,28.0,1.1287671232876713
46394425,313,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,313 * 5 * 5 * 7 * 7 * 11 * 11,3.0396742861089194,160.0,1.2984025559105432
46575529,13,17,17,7,7,11,23,3582733,289,49,253,11.56,1.0,2.090909090909091,A+C-multi,13 * 17 * 17 * 7 * 7 * 11 * 23,3.6344290505833943,14.0,0.9321266968325792
46726225,13,5,5,7,19,23,47,3594325,25,133,1081,1.0,2.7142857142857144,8.933884297520661,B+C-multi,13 * 5 * 5 * 7 * 19 * 23 * 47,3.19709115883551,10.0,1.2615384615384615
47305825,73,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,C-doppel,73 * 5 * 5 * 7 * 7 * 23 * 23,3.426323092112505,28.0,1.1287671232876713
47752705,13,5,29,7,7,11,47,3673285,145,49,517,5.8,1.0,4.2727272727272725,A+C-multi,13 * 5 * 29 * 7 * 7 * 11 * 47,3.2802323907239512,18.0,1.2063660477453582
47919025,73,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,B-excitation,73 * 5 * 5 * 7 * 31 * 11 * 11,3.426323092112505,28.0,1.1287671232876713
47982025,13,5,5,7,7,23,131,3690925,25,49,3013,1.0,1.0,24.90082644628099,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 131,3.19709115883551,10.0,1.2615384615384615
48267505,13,5,17,19,19,11,11,3712885,85,361,121,3.4,7.36734693877551,1.0,A+B-multi,13 * 5 * 17 * 19 * 19 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
48430525,13,5,5,19,31,11,23,3725425,25,589,253,1.0,12.020408163265307,2.090909090909091,B+C-multi,13 * 5 * 5 * 19 * 31 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
48496525,61,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,C-excitation,61 * 5 * 5 * 7 * 7 * 11 * 59,3.0903554861863745,34.0,1.2918032786885245
48658225,157,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,157 * 5 * 5 * 7 * 7 * 11 * 23,3.2857470407029474,70.0,1.2203821656050957
48861085,13,5,29,7,7,23,23,3758545,145,49,529,5.8,1.0,4.371900826446281,A+C-multi,13 * 5 * 29 * 7 * 7 * 23 * 23,3.2802323907239512,18.0,1.2063660477453582
48884605,97,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,97 * 5 * 17 * 7 * 7 * 11 * 11,3.58553837867779,42.0,1.0064281382656155
48996325,37,5,5,7,7,23,47,1324225,25,49,1081,1.0,1.0,8.933884297520661,C-excitation,37 * 5 * 5 * 7 * 7 * 23 * 47,3.6199450849684505,10.0,0.9621621621621622
49434385,13,5,17,7,7,11,83,3802645,85,49,913,3.4,1.0,7.545454545454546,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 83,3.4157601047094523,12.0,1.0968325791855205
49494445,13,5,29,7,31,11,11,3807265,145,217,121,5.8,4.428571428571429,1.0,A+B-multi,13 * 5 * 29 * 7 * 31 * 11 * 11,3.2802323907239512,18.0,1.2063660477453582
49951825,337,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,337 * 5 * 5 * 7 * 7 * 11 * 11,3.2727043020723396,148.0,1.2272997032640949
50060725,13,5,5,19,67,11,11,3850825,25,1273,121,1.0,25.979591836734695,1.0,B-excitation,13 * 5 * 5 * 19 * 67 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
50575525,13,5,5,7,43,11,47,3890425,25,301,517,1.0,6.142857142857143,4.2727272727272725,B+C-multi,13 * 5 * 5 * 7 * 43 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
50612485,37,5,17,7,19,11,11,1367905,85,133,121,3.4,2.7142857142857144,1.0,A+B-multi,37 * 5 * 17 * 7 * 19 * 11 * 11,3.8386140308423924,12.0,0.7974562798092211
50783425,37,5,5,7,31,11,23,1372525,25,217,253,1.0,4.428571428571429,2.090909090909091,B+C-multi,37 * 5 * 5 * 7 * 31 * 11 * 23,3.6199450849684505,10.0,0.9621621621621622
50875825,13,5,5,7,19,11,107,3913525,25,133,1177,1.0,2.7142857142857144,9.727272727272727,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 107,3.19709115883551,10.0,1.2615384615384615
51314725,61,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,B+C-multi,61 * 5 * 5 * 7 * 19 * 11 * 23,3.0903554861863745,34.0,1.2918032786885245
51730525,349,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,349 * 5 * 5 * 7 * 7 * 11 * 11,3.514146912044657,94.0,1.0578796561604586
51749425,13,5,5,7,43,23,23,3980725,25,301,529,1.0,6.142857142857143,4.371900826446281,B+C-multi,13 * 5 * 5 * 7 * 43 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
52420225,13,5,5,31,43,11,11,4032325,25,1333,121,1.0,27.20408163265306,1.0,B-excitation,13 * 5 * 5 * 31 * 43 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
52442005,61,5,29,7,7,11,11,859705,145,49,121,5.8,1.0,1.0,A-excitation,61 * 5 * 29 * 7 * 7 * 11 * 11,3.1734967180748157,42.0,1.2366308648954212
