A-Paar,C-Paar,count,p(joint),p(A-Paar),p(C-Paar),lift
5·101,11·83,3,0.0003532736693358455,0.011069241639189827,0.02508243052284503,1.272400359604435
17·41,11·59,3,0.0003532736693358455,0.00706547338671691,0.03944889307583608,1.267462686567164
17·53,23·47,1,0.00011775788977861517,0.004592557701365992,0.02025435704192181,1.2659511031604054
5·41,23·59,6,0.000706547338671691,0.0380357983984927,0.014719736222326895,1.2619690402476782
5·17,23·107,9,0.0010598210080075365,0.12317475270843146,0.0068299576071596795,1.2597745104503197
5·29,11·131,9,0.0010598210080075365,0.06064531323598681,0.013895430993876589,1.2576600296198783
5·113,23·23,5,0.0005887894488930759,0.009420631182289214,0.049811587376354216,1.2547281323877069
17·17,11·23,32,0.0037682524729156855,0.024258125294394726,0.12388130004710315,1.2539407139429288
17·29,11·23,15,0.0017663683466792276,0.011422515308525671,0.12388130004710315,1.2482850535063308
5·137,11·59,3,0.0003532736693358455,0.007183231276495525,0.03944889307583608,1.2466846097381943
5·101,11·47,6,0.000706547338671691,0.011069241639189827,0.051224682053697596,1.246074834922964
5·89,23·23,7,0.0008243052284503062,0.013306641544983514,0.049811587376354216,1.2436243436055148
17·29,23·23,6,0.000706547338671691,0.011422515308525671,0.049811587376354216,1.2417927908166997
5·53,11·167,3,0.0003532736693358455,0.026966556759302873,0.010598210080075365,1.236098981077147
5·113,23·83,1,0.00011775788977861517,0.009420631182289214,0.010127178520960905,1.2343023255813952
5·53,11·23,35,0.004121526142251531,0.026966556759302873,0.12388130004710315,1.233748983014263
17·29,11·83,3,0.0003532736693358455,0.011422515308525671,0.02508243052284503,1.2330477711630607
17·17,11·59,10,0.0011775788977861517,0.024258125294394726,0.03944889307583608,1.2305462976380235
5·113,11·71,3,0.0003532736693358455,0.009420631182289214,0.030617051342439944,1.2248076923076925
5·101,11·191,1,0.00011775788977861517,0.011069241639189827,0.008714083843617522,1.2208165612420931
5·113,11·47,5,0.0005887894488930759,0.009420631182289214,0.051224682053697596,1.2201149425287356
5·53,11·107,5,0.0005887894488930759,0.026966556759302873,0.017899199246349504,1.2198345207998162
5·53,11·83,7,0.0008243052284503062,0.026966556759302873,0.02508243052284503,1.2186891362732437
5·53,11·59,11,0.0012953367875647669,0.026966556759302873,0.03944889307583608,1.2176497425536077
29·29,11·107,1,0.00011775788977861517,0.0054168629298162975,0.017899199246349504,1.2145308924485128
5·41,11·71,12,0.001413094677343382,0.0380357983984927,0.030617051342439944,1.2134317694689214
5·29,47·47,5,0.0005887894488930759,0.06064531323598681,0.00800753650494583,1.2124500285551114
17·17,23·71,3,0.0003532736693358455,0.024258125294394726,0.012011304757418746,1.2124500285551114
5·113,11·23,12,0.001413094677343382,0.009420631182289214,0.12388130004710315,1.2108365019011407
5·41,11·107,7,0.0008243052284503062,0.0380357983984927,0.017899199246349504,1.2107707348867527
5·89,11·47,7,0.0008243052284503062,0.013306641544983514,0.051224682053697596,1.2093174651612246
5·173,11·59,2,0.00023551577955723034,0.004945831370701837,0.03944889307583608,1.2071073205401566
5·17,11·191,11,0.0012953367875647669,0.12317475270843146,0.008714083843617522,1.2068110175184745
17·41,11·131,1,0.00011775788977861517,0.00706547338671691,0.013895430993876589,1.1994350282485877
17·17,23·47,5,0.0005887894488930759,0.024258125294394726,0.02025435704192181,1.1983517724091215
5·17,47·47,10,0.0011775788977861517,0.12317475270843146,0.00800753650494583,1.1939039478123947
5·29,11·107,11,0.0012953367875647669,0.06064531323598681,0.017899199246349504,1.1933060807358202
17·29,11·191,1,0.00011775788977861517,0.011422515308525671,0.008714083843617522,1.1830593480078015
5·137,11·131,1,0.00011775788977861517,0.007183231276495525,0.013895430993876589,1.179772158933037
5·113,11·167,1,0.00011775788977861517,0.009420631182289214,0.010598210080075365,1.1794444444444445
5·173,23·47,1,0.00011775788977861517,0.004945831370701837,0.02025435704192181,1.1755260243632337
5·17,11·131,17,0.0020018841262364577,0.12317475270843146,0.013895430993876589,1.1696211556534983
17·17,23·23,12,0.001413094677343382,0.024258125294394726,0.049811587376354216,1.169455346691455
17·17,11·11,72,0.008478568064060292,0.024258125294394726,0.29898728214790393,1.1689947498632975
17·17,11·83,6,0.000706547338671691,0.024258125294394726,0.02508243052284503,1.1612197456584166
5·41,47·47,3,0.0003532736693358455,0.0380357983984927,0.00800753650494583,1.1598980149335276
5·149,23·23,3,0.0003532736693358455,0.006123410268487989,0.049811587376354216,1.1582105837424985
5·89,11·71,4,0.0004710315591144607,0.013306641544983514,0.030617051342439944,1.1561606535057862
5·53,11·11,79,0.009302873292510599,0.026966556759302873,0.29898728214790393,1.1538222076222284
5·29,23·47,12,0.001413094677343382,0.06064531323598681,0.02025435704192181,1.1504177015127568
