n,e(E),a(A),b(B),c(C),k_ABC,R,ratio_e_over_R,resid_log,K_fit,alpha,K_over_alpha
8651485,157,5,103,107,1,47607.319211400405,0.003297812239812142,0.009000401056769455,0.0033276278475209225,0.0072973525693,0.45600480666375776
3737701,97,113,31,11,1,29418.619287965696,0.0032972315610909683,0.009176496543078451,0.0033276278475209225,0.0072973525693,0.45600480666375776
2818165,73,5,7,1103,1,22148.298194266572,0.0032959642930442926,0.00956091347541838,0.0033276278475209225,0.0072973525693,0.45600480666375776
159445,13,5,223,11,1,3868.001428047204,0.003360908790192244,0.009951718632378852,0.0033276278475209225,0.0072973525693,0.45600480666375776
3977485,97,5,139,59,1,29455.048414597095,0.003293153643296323,0.010414032191942419,0.0033276278475209225,0.0072973525693,0.45600480666375776
3827329,97,17,211,11,1,29460.56886186233,0.003292536558096462,0.01060143402312387,0.0033276278475209225,0.0072973525693,0.45600480666375776
8736265,157,5,31,359,1,46658.95287040971,0.003364841907962462,0.011121288661086135,0.0033276278475209225,0.0072973525693,0.45600480666375776
2073085,61,5,7,971,1,18126.702354878402,0.003365201171496215,0.011228052772356256,0.0033276278475209225,0.0072973525693,0.45600480666375776
1786141,61,89,7,47,1,18112.739641096243,0.0033677953312814296,0.011998633868755371,0.0033276278475209225,0.0072973525693,0.45600480666375776
2425717,73,101,7,47,1,22203.19669808158,0.0032878148580428243,0.012036524815513079,0.0033276278475209225,0.0072973525693,0.45600480666375776
4093885,97,5,367,23,1,29505.788426579016,0.003287490528896416,0.012135175487256955,0.0033276278475209225,0.0072973525693,0.45600480666375776
8934085,157,5,19,599,1,46584.47289488484,0.0033702216692300326,0.012718827377704202,0.0033276278475209225,0.0072973525693,0.45600480666375776
5444005,109,5,7,1427,1,33185.80848448371,0.0032845365226212234,0.01303413906454373,0.0033276278475209225,0.0072973525693,0.45600480666375776
4389757,109,17,103,23,1,32327.623603316355,0.0033717294329304844,0.013166105532867602,0.0033276278475209225,0.0072973525693,0.45600480666375776
2577265,73,5,307,23,1,22230.552295193185,0.0032837690683818264,0.013267823150113904,0.0033276278475209225,0.0072973525693,0.45600480666375776
4977049,109,593,7,11,1,33199.35769302051,0.003283196048787264,0.013442338953317565,0.0033276278475209225,0.0072973525693,0.45600480666375776
144001,13,53,19,11,1,3847.767592143254,0.0033785824347979496,0.015196531491286977,0.0033276278475209225,0.0072973525693,0.45600480666375776
8382073,157,29,7,263,1,46466.424792845275,0.0033787837282496127,0.015256108979576136,0.0033276278475209225,0.0072973525693,0.45600480666375776
931105,37,5,7,719,1,11294.948616791618,0.003275800648175947,0.015697380108825924,0.0033276278475209225,0.0072973525693,0.45600480666375776
3850609,97,53,7,107,1,29624.230147526145,0.0032743466924523693,0.01614132607579342,0.0033276278475209225,0.0072973525693,0.45600480666375776
2591281,73,461,7,11,1,22302.961909867743,0.0032731078632072547,0.016519741610980868,0.0033276278475209225,0.0072973525693,0.45600480666375776
9009445,157,5,499,23,1,47981.36493543366,0.003272103663813394,0.016826591709742187,0.0033276278475209225,0.0072973525693,0.45600480666375776
4545409,109,17,223,11,1,32174.182941083487,0.0033878094184892874,0.017923831242977264,0.0033276278475209225,0.0072973525693,0.45600480666375776
781033,37,101,19,11,1,10913.332629896335,0.0033903484164535596,0.018673001783071748,0.0033276278475209225,0.0072973525693,0.45600480666375776
4005421,97,17,7,347,1,29704.11020396956,0.0032655413454208515,0.01883414047914049,0.0033276278475209225,0.0072973525693,0.45600480666375776
809893,37,53,7,59,1,11330.745014036725,0.003265451649839772,0.018861608149416675,0.0033276278475209225,0.0072973525693,0.45600480666375776
2269789,73,17,31,59,1,21526.820482360105,0.0033911185379103697,0.018900127113122903,0.0033276278475209225,0.0072973525693,0.45600480666375776
4546717,109,101,7,59,1,32137.125312665827,0.0033917159341268497,0.019076276544599535,0.0033276278475209225,0.0072973525693,0.45600480666375776
893365,37,5,439,11,1,11333.22354565622,0.0032647375083483024,0.019080328151859872,0.0033276278475209225,0.0072973525693,0.45600480666375776
790801,37,29,67,11,1,11349.300398628755,0.0032601128440014164,0.020497882539032584,0.0033276278475209225,0.0072973525693,0.45600480666375776
8792785,157,5,487,23,1,46170.303911131865,0.0034004541166155634,0.021649294370803332,0.0033276278475209225,0.0072973525693,0.45600480666375776
9951445,157,5,7,1811,1,48217.44464966039,0.003256082962104998,0.021734764465266496,0.0033276278475209225,0.0072973525693,0.45600480666375776
834757,37,293,7,11,1,10875.338328403102,0.0034021930061124777,0.022160533452712537,0.0033276278475209225,0.0072973525693,0.45600480666375776
840085,37,5,19,239,1,10864.725229961297,0.003405516404406281,0.023136896677817355,0.0033276278475209225,0.0072973525693,0.45600480666375776
4198645,97,5,787,11,1,28478.1370108667,0.003406121684258584,0.023314616000546406,0.0033276278475209225,0.0072973525693,0.45600480666375776
3954205,97,5,31,263,1,28472.602887412035,0.0034067837206019714,0.02350896372919646,0.0033276278475209225,0.0072973525693,0.45600480666375776
4326685,97,5,811,11,1,29857.73031818213,0.003248739906426544,0.0239924919840723,0.0033276278475209225,0.0072973525693,0.45600480666375776
1883497,61,401,7,11,1,17886.86010289447,0.003410324654472415,0.024547801310782675,0.0033276278475209225,0.0072973525693,0.45600480666375776
2523829,73,449,7,11,1,21391.678593956058,0.003412541922756132,0.025197753449425375,0.0033276278475209225,0.0072973525693,0.45600480666375776
