n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score,u_a,u_b,u_c,u_d,v_a,v_b,v_c,v_d
7298065,37,5,103,383,1,0.5889175123740616,0.5529002723552107,0.0005430074024911618,0.035474232616359326,10,8,9,8,87.81575423664863,1.1105835904991517,43.93591301136804,0.6062063891065075,96,96,32,0,-0.00018456559349286348,-0.0006774076030021525,0.5883745049715705,0.5174260397388514,301.97540461649345,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5
4195633,13,29,31,359,1,0.4225374477342667,0.4221772762094219,0.0005440409420607206,0.0009042124669057796,8,0,8,0,83.51027468997178,83.51027468997178,44.91243655501628,0.6510690702809672,96,96,0,0,-0.00012058623118007561,-0.00012058623118007561,0.421993406792206,0.4212730637425161,281.1399052546861,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
7667881,13,53,31,359,1,0.4225373093689751,0.3833970205797375,0.0005441003088123193,0.036336237096830884,8,0,10,8,83.49604022553233,80.80921648973651,44.90080603353347,0.6508957818129375,96,96,0,0,-0.0008236234516945221,0.0013740186467356445,0.4219932090601628,0.34706078348290664,281.2131698942161,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
5930785,709,5,7,239,1,0.001243369839513,0.0240463617011957,0.0005473923731632931,0.022255599488519302,8,9,8,9,17.91589068139917,17.91589068139917,19.60828558257167,0.019056697465759886,0,0,0,0,-0.0067972580872017714,-0.0067972580872017714,0.0006959774663497069,0.0017907622126763986,49.74901302039894,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
2459509,13,17,31,359,1,0.4223390671610408,0.4576297262408101,0.0006025703021168405,0.03468808877765259,8,0,8,0,83.71823995221601,83.71823995221601,44.915270103936805,0.652296942588181,96,96,0,0,0.000982789257884533,0.000982789257884533,0.42173649685892395,0.4229416374631575,279.06163826904276,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
3316705,193,5,7,491,1,0.4728594400313275,0.4880343492133003,0.000627381307696715,0.014547527874275934,8,8,8,8,2.8578232026896115,2.8578232026896115,38.711745179575225,0.48372702816467716,128,0,64,0,-0.0022271101847364813,-0.0022271101847364813,0.4722320587236308,0.47348682133902437,250.9355517094713,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
9002485,193,5,19,491,1,0.4728558614056624,0.4236444054914689,0.0006294176763913049,0.012360972581641493,8,8,9,0,2.882199608233559,3.5174219654508234,38.72666834868874,0.4840822405239651,128,0,64,0,-0.003494632705605055,-0.002573337166451835,0.4722264437292711,0.41128343290982744,250.70338070882843,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
6204133,13,17,67,419,1,0.1483930117232072,0.1227049792243115,0.0007002719646173735,0.024987760534278623,8,9,8,9,19.019284144394113,19.019284144394113,44.93640966191975,0.6415834491976553,96,96,0,0,-0.00015501090121619482,-0.00015501090121619482,0.14769273975858985,0.09771721869003289,281.13095245731097,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
1824745,13,5,67,419,1,0.1460604986861313,0.0902750161350228,0.0007002731168145976,0.00830207374625037,11,9,9,9,70.85418404224409,72.86601107193219,44.93756422877718,0.5957285259970948,96,96,32,0,4.5541999959996686e-05,-0.00024033468188263874,0.14536022556931671,0.08197294238877242,302.7703345084714,-0.5,-0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5
4441885,709,5,7,179,1,0.0060101631887393,0.0019168845446088,0.0007518692898053882,0.0012098039995262978,8,0,0,8,22.20627842264968,16.172486610895845,18.099060579825256,0.007812803461481277,0,0,0,0,0.0026240836840223905,-0.008752895503660091,0.0052582938989339115,0.0007070805450825023,119.02920710813338,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
