level,W_shell,W_one,W_mix,W_full,W_25,W_AA,dominant_sector,eigenvalue
30,1.4354393691746768e-30,0.9766497932356718,0.02335020676432731,1.7678754723180947e-31,0.960010126216228,0.022603257086039205,W_one,10.711351410881141
31,6.090018086783711e-05,1.1975197446160287e-27,0.9999390630979806,3.67211500758348e-08,0.013534678369670339,0.002082477139373232,W_mix,10.801444288908286
32,5.976296717226357e-31,0.9113368645910811,0.08866313540891813,1.3643184164760614e-31,0.895609278434627,0.08651832634197677,W_one,11.176697850358533
33,2.1321082223846714e-05,2.7509480098791577e-28,0.9999785442747462,1.346430305583585e-07,0.013358635769050498,0.0008743239372392262,W_mix,11.224159577972289
34,1.6625925526310652e-32,8.391571552526113e-28,0.9999999999802972,1.9703917368189988e-11,0.013246464724398992,0.005795676222763261,W_mix,11.407974618910865
35,1.8573714763567288e-06,1.7613292332295708e-26,0.9999981422924193,3.3610299294642684e-10,0.0005091721022391299,0.0037666736556910513,W_mix,11.51131093717131
36,5.227741684642965e-31,0.9621913312017732,0.03780866879822508,2.698307069039999e-31,0.945944957494839,0.03550606625979357,W_one,11.528742466974043
37,8.482544948694878e-06,1.7147506903683645e-27,0.999991515058248,2.396800261299801e-09,0.0029757023101170516,0.003758173234302458,W_mix,11.800884930745491
38,1.556691299299463e-05,3.0763539574995155e-28,0.9999839645301637,4.685568409156473e-07,0.013464439010806246,0.0008628696546790005,W_mix,11.830645592816285
39,1.2413542682970082e-32,0.9480811931837688,0.05191880681622926,2.372598847439755e-31,0.9320724289295581,0.04770094601608625,W_one,12.08584108515864
40,8.220498545651332e-07,1.8999886083971525e-27,0.9999991738322159,4.117927465667005e-09,0.0005192535406776626,0.0021367690082990456,W_mix,12.15042264076644
41,1.0683528346337867e-29,0.995442272605879,0.004557727394120105,6.870102475296729e-31,0.9787234955788588,0.00455349350384371,W_one,12.433301531438056
42,3.7619466578318127e-06,3.4488626085952975e-24,0.9999962063324914,3.1720851756485786e-08,0.0030407995569147325,0.002171054867078733,W_mix,12.439834645577013
43,3.695793461724791e-31,2.892972945535317e-26,0.9999999997129714,2.870287446724618e-10,0.013247059352756085,0.0016848291425942043,W_mix,12.50273687341931
44,2.890805212692465e-07,1.19714249819819e-28,0.9999996970493318,1.3870147099736912e-08,0.0005098962357426028,0.0008912024618473783,W_mix,12.572929095694615
45,9.602823141614576e-32,0.014943968373281383,0.9850560316267174,1.9526231747539602e-30,0.02763669890319235,0.020921318749535865,W_mix,12.741536556880531
46,6.214425911737305e-32,3.584842511741639e-27,0.9999999999979468,2.0528323639290236e-12,0.000503881169407803,0.005768217047847965,W_mix,12.756596261351916
47,1.2985588024056619e-06,6.73610882073977e-28,0.9999985966323207,1.048088756033022e-07,0.002982230180203101,0.0009074243730523165,W_mix,12.862437821403754
48,9.869627933330677e-34,6.141802650562575e-30,0.99999999998465,1.5349769411308173e-11,0.0029446484857656077,0.005774533987081568,W_mix,13.046168513854024
49,1.0101716600744052e-30,0.019006680127251548,0.9809933198727455,9.71216381153177e-31,0.03162251916469418,0.041058064252504786,W_mix,13.06053351812318
50,2.6436109998846734e-05,2.239267563724746e-31,0.9999735634916733,3.983279040750685e-10,0.013352888127540109,0.0018936020975147431,W_mix,13.149447707417202
51,1.935153376917327e-07,1.7474165766730743e-28,0.9999997512123886,5.527227115192844e-08,0.0005171786960533912,0.0008230476112732652,W_mix,13.17976314635301
52,6.805310084024221e-07,7.293080459540854e-29,0.9999988827482342,4.367207556484079e-07,0.0030287406405775557,0.0008702124578404023,W_mix,13.46917569209675
53,8.049939273555235e-32,0.008384096893175996,0.9916159031068241,8.05285632006677e-30,0.0212589998406868,0.031973216830234255,W_mix,13.510105370154752
54,4.5036334763655133e-32,0.028731096499652265,0.9712689035003474,1.8518818482587154e-30,0.04117477753555868,0.12659451179660652,W_mix,13.534675413490271
55,2.4538341458296025e-31,0.010859664417411144,0.9891403355825885,4.381196513939885e-30,0.02368919812939355,0.06782452004138144,W_mix,13.787130194095374
56,0.01168066506082059,5.895377290493384e-29,0.9883193349355476,3.632166086793183e-12,0.02486540121810372,0.9764064891174405,W_mix,13.839500177330898
57,1.4101315900909004e-27,1.194187605285857e-28,0.9999999999674646,3.253504895014461e-11,0.0005039172221152844,0.0016569235084579084,W_mix,13.851360257262584
58,9.467456181393941e-30,3.667752007753416e-05,0.9999633224799218,1.3468201410298965e-29,0.013093415841541937,0.18079101237084852,W_mix,13.930717034451849
59,5.152967007201966e-07,2.52475413691251e-27,0.999871201990398,0.00012828271290123781,0.9676711263516545,0.016526964713947958,W_mix,13.950346152946603
60,1.2557765819739696e-29,0.06160702234588313,0.9383929776541167,2.1397989799420412e-29,0.07312266185818947,0.45429067107558235,W_mix,13.986893966342603
61,3.2768770857949075e-07,6.2364593832742845e-25,0.9998968770627736,0.00010279524951770124,0.9690141076542484,0.015149138729474227,W_mix,14.059755553673371
62,1.2586532817059331e-28,0.002150290309525606,0.9978497096904744,3.049494969295982e-26,0.0028357990983036933,0.08711775601771175,W_mix,14.060881678923886
63,5.677896051309665e-32,3.323799804062013e-28,0.9999999997497017,2.502974251559115e-10,0.0029448792888864283,0.0016633551592613348,W_mix,14.140932075673275
64,2.938411279395526e-30,0.006873930926156092,0.9931260690738428,8.120418466003008e-30,0.019634433722829272,0.07544114376172611,W_mix,14.276503744316557
65,6.882011856544021e-06,5.447676168568063e-29,0.9999925917847168,5.262034259523338e-07,0.015166516663791409,0.003854507907215067,W_mix,14.340849641687715
66,2.1489848192856653e-32,0.0020203779088133326,0.9979796220911867,4.565444815895944e-30,0.0050285657827987456,0.08048505725046831,W_mix,14.352812468170116
67,1.5816106282548792e-32,0.0013307926443428795,0.998669207355659,5.26034664739443e-29,0.002011389959338762,0.12961738152027139,W_mix,14.366161930523338
68,8.351001996614928e-31,0.003095888045885521,0.9969041119541149,1.4448484100095376e-29,0.01605899043413422,0.03604347257544539,W_mix,14.475379992382788
69,2.2767445096312475e-31,3.805241436785746e-05,0.9999619475856315,1.830676697522608e-29,0.013094856140075458,0.3896635565200746,W_mix,14.48036175445016
70,7.521243256702427e-07,6.362507521854886e-30,0.9999992478360785,3.959616978026164e-11,0.000509331045075963,0.0025195594530575743,W_mix,14.49808356807366
71,2.1726217832035676e-32,0.002254916156616321,0.9977450838433839,1.1379207365451462e-29,0.005317175111700661,0.12521085089971218,W_mix,14.659307179243925
72,4.312573972709073e-32,0.0011460554544179364,0.9988539445455816,3.2128492918765103e-29,0.0016869267317048864,0.3745892151459609,W_mix,14.766377875214925
73,4.376662847318258e-31,4.020528097494271e-06,0.999995979471903,8.539944265390575e-30,0.013061454544663365,0.06237060646975838,W_mix,14.76814103177553
74,3.2898174770263165e-06,1.9843535889395487e-29,0.9999967099032766,2.7924716348444416e-10,0.0029772838891404495,0.00246346607502094,W_mix,14.787620918680716
75,5.706208427958029e-32,5.378538088842345e-31,0.9999999999983159,1.684698875716206e-12,0.013204533781950023,0.9901467245382152,W_mix,14.843216852126092
76,6.334157437825318e-31,1.3116911325302503e-05,0.9999868830886749,9.276903615559505e-30,0.0005077968052078166,0.006101870850128861,W_mix,14.86382278219209
77,6.08039351668546e-32,2.3642612664347465e-05,0.9999763573873359,9.427215112634179e-30,0.013080751368999981,0.31460884076860296,W_mix,14.900166495702598
78,8.449741516281836e-09,7.42748973613142e-30,0.9999999648251467,2.6725110481239828e-08,0.013333451723906665,7.129138431243868e-05,W_mix,14.941576376132355
79,2.9139138802200044e-30,0.0038442084338533634,0.9961557915661469,6.474609420216865e-29,0.0070678391018075696,0.36053373922009774,W_mix,15.064883694378986
