Index,p,p+2
949,74099,74101
950,74159,74161
951,74201,74203
952,74381,74383
953,74411,74413
954,74507,74509
955,74609,74611
956,74717,74719
957,74729,74731
958,74759,74761
959,75011,75013
960,75167,75169
961,75209,75211
962,75389,75391
963,75401,75403
964,75539,75541
965,75617,75619
966,75707,75709
967,75989,75991
968,76001,76003
969,76079,76081
970,76157,76159
971,76259,76261
972,76367,76369
973,76421,76423
974,76541,76543
975,76649,76651
976,76829,76831
977,76871,76873
978,76961,76963
979,77237,77239
980,77261,77263
981,77267,77269
982,77417,77419
983,77477,77479
984,77489,77491
985,77549,77551
986,77687,77689
987,77711,77713
988,78137,78139
989,78191,78193
990,78437,78439
991,78509,78511
992,78539,78541
993,78569,78571
994,78779,78781
995,78887,78889
996,78977,78979
997,79151,79153
998,79229,79231
999,79397,79399
1000,79559,79561
