Index,Zwilling,V_Z,Anzahl_admissible_D,Anzahl_admissible_Q,bestes_m_D,bester_Drilling,Delta_Z_to_D_min,Z_to_D_beguenstigt,bestes_m_Q,bester_Vierling,Delta_Z_to_Q_min,Z_to_Q_beguenstigt,Delta_D_to_Q_best,D_to_Q_beguenstigt
145,"(6131, 6133)",-0.9999997340526205,26,8,3,"(6131, 6133, 6173)",-0.9999014023409403,1,5,"(6131, 6133, 6197, 6199)",-1.9997134728585861,1,-0.9998120705176459,1
146,"(6197, 6199)",-0.9999997396863968,30,10,0,"(6197, 6199, 6203)",-0.9999986417036874,1,8,"(6197, 6199, 6299, 6301)",-1.9993339054432462,1,-0.9993352637395589,1
147,"(6269, 6271)",-0.9999997456305648,30,11,1,"(6269, 6271, 6287)",-0.999983792649472,1,2,"(6269, 6271, 6299, 6301)",-1.9999430407303889,1,-0.9999592480809167,1
148,"(6299, 6301)",-0.9999997480473629,26,6,1,"(6299, 6301, 6317)",-0.9999839464305175,1,12,"(6299, 6301, 6449, 6451)",-1.9986157949521681,1,-0.9986318485216508,1
149,"(6359, 6361)",-0.9999997527787626,23,6,2,"(6359, 6361, 6389)",-0.9999540890522122,1,7,"(6359, 6361, 6449, 6451)",-1.9995063739635182,1,-0.9995522849113061,1
150,"(6449, 6451)",-0.9999997596298261,29,11,3,"(6449, 6451, 6491)",-0.9999108556342099,1,8,"(6449, 6451, 6551, 6553)",-1.9993845465086095,1,-0.9994736908743995,1
151,"(6551, 6553)",-0.9999997670556242,23,7,1,"(6551, 6553, 6569)",-0.9999851560328119,1,1,"(6551, 6553, 6569, 6571)",-1.999981183848619,1,-0.9999960278158071,1
152,"(6569, 6571)",-0.9999997683302833,30,11,2,"(6569, 6571, 6599)",-0.9999569708419069,1,7,"(6569, 6571, 6659, 6661)",-1.9995372186687081,1,-0.9995802478268012,1
153,"(6659, 6661)",-0.9999997745493208,25,7,2,"(6659, 6661, 6689)",-0.9999581234441584,1,2,"(6659, 6661, 6689, 6691)",-1.999949502162038,1,-0.9999913787178796,1
154,"(6689, 6691)",-0.9999997765667663,33,12,2,"(6689, 6691, 6719)",-0.9999584973686151,1,7,"(6689, 6691, 6779, 6781)",-1.999553563282657,1,-0.999595065914042,1
155,"(6701, 6703)",-0.9999997773661691,33,12,1,"(6701, 6703, 6719)",-0.9999858122304341,1,6,"(6701, 6703, 6779, 6781)",-1.999665275912652,1,-0.9996794636822179,1
156,"(6761, 6763)",-0.9999997812995516,34,12,1,"(6761, 6763, 6779)",-0.9999860625792341,1,1,"(6761, 6763, 6779, 6781)",-1.9999823328836945,1,-0.9999962703044605,1
157,"(6779, 6781)",-0.9999997824592515,23,4,4,"(6779, 6781, 6833)",-0.9998653323315436,1,7,"(6779, 6781, 6869, 6871)",-1.9995652601077132,1,-0.9996999277761696,1
158,"(6791, 6793)",-0.9999997832272677,23,4,3,"(6791, 6793, 6833)",-0.999919581436964,1,6,"(6791, 6793, 6869, 6871)",-1.9996740381011642,1,-0.9997544566642003,1
159,"(6827, 6829)",-0.9999997855070702,24,5,0,"(6827, 6829, 6833)",-0.9999988807073991,1,3,"(6827, 6829, 6869, 6871)",-1.9999059885051453,1,-0.9999071077977464,1
160,"(6869, 6871)",-0.9999997881216744,31,9,2,"(6869, 6871, 6899)",-0.9999606392310607,1,6,"(6869, 6871, 6947, 6949)",-1.9996813566576677,1,-0.999720717426607,1
161,"(6947, 6949)",-0.9999997928521708,27,5,2,"(6947, 6949, 6977)",-0.9999615161999237,1,33,"(6947, 6949, 7349, 7351)",-1.9920908486908213,1,-0.9921293324908977,1
162,"(6959, 6961)",-0.9999997935658579,27,5,1,"(6959, 6961, 6977)",-0.9999868433501734,1,32,"(6959, 6961, 7349, 7351)",-1.9925687056923471,1,-0.9925818623421736,1
163,"(7127, 7129)",-0.9999998031820865,27,7,5,"(7127, 7129, 7193)",-0.9998169461845356,1,18,"(7127, 7129, 7349, 7351)",-1.997648441319114,1,-0.9978314951345784,1
164,"(7211, 7213)",-0.9999998077401632,28,7,1,"(7211, 7213, 7229)",-0.9999877456744241,1,11,"(7211, 7213, 7349, 7351)",-1.9991018675048644,1,-0.9991141218304402,1
165,"(7307, 7309)",-0.999999812758148,27,7,3,"(7307, 7309, 7349)",-0.9999305073531894,1,3,"(7307, 7309, 7349, 7351)",-1.9999178994822888,1,-0.9999873921290994,1
166,"(7331, 7333)",-0.9999998139819477,28,7,1,"(7331, 7333, 7349)",-0.9999881430581692,1,1,"(7331, 7333, 7349, 7351)",-1.9999849698998264,1,-0.9999968268416572,1
167,"(7349, 7351)",-0.9999998148919409,26,7,8,"(7349, 7351, 7451)",-0.9995861362054559,1,11,"(7349, 7351, 7487, 7489)",-1.9991349707300903,1,-0.9995488345246344,1
168,"(7457, 7459)",-0.9999998202142578,27,8,2,"(7457, 7459, 7487)",-0.9999665900037739,1,2,"(7457, 7459, 7487, 7489)",-1.9999597110464942,1,-0.9999931210427202,1
169,"(7487, 7489)",-0.999999821651963,27,6,2,"(7487, 7489, 7517)",-0.9999668566608344,1,8,"(7487, 7489, 7589, 7591)",-1.9995423601109963,1,-0.9995755034501619,1
170,"(7547, 7549)",-0.9999998244761154,25,6,2,"(7547, 7549, 7577)",-0.9999673804861021,1,3,"(7547, 7549, 7589, 7591)",-1.999923023464961,1,-0.9999556429788587,1
171,"(7559, 7561)",-0.9999998250328918,26,6,1,"(7559, 7561, 7577)",-0.9999888466745656,1,2,"(7559, 7561, 7589, 7591)",-1.999960788744355,1,-0.9999719420697892,1
172,"(7589, 7591)",-0.9999998264132975,24,5,1,"(7589, 7591, 7607)",-0.9999889345705634,1,41,"(7589, 7591, 8087, 8089)",-1.9899035386337562,1,-0.989914604063193,1
173,"(7757, 7759)",-0.9999998338499584,22,6,5,"(7757, 7759, 7823)",-0.9998453556947821,1,27,"(7757, 7759, 8087, 8089)",-1.9956617605631823,1,-0.9958164048684002,1
174,"(7877, 7879)",-0.9999998388731,26,7,0,"(7877, 7879, 7883)",-0.9999991591046153,1,17,"(7877, 7879, 8087, 8089)",-1.9982698035796156,1,-0.9982706444750002,1
175,"(7949, 7951)",-0.999999841778409,24,7,7,"(7949, 7951, 8039)",-0.9997246333747135,1,11,"(7949, 7951, 8087, 8089)",-1.999259580862946,1,-0.9995349474882327,1
176,"(8009, 8011)",-0.9999998441398922,26,7,2,"(8009, 8011, 8039)",-0.9999710284163507,1,6,"(8009, 8011, 8087, 8089)",-1.9997652263224017,1,-0.999794197906051,1
177,"(8087, 8089)",-0.9999998471316003,25,7,0,"(8087, 8089, 8093)",-0.9999992021909807,1,28,"(8087, 8089, 8429, 8431)",-1.9957119402744872,1,-0.9957127380835065,1
178,"(8219, 8221)",-0.9999998520018218,26,7,1,"(8219, 8221, 8237)",-0.9999905641128635,1,17,"(8219, 8221, 8429, 8431)",-1.9984090548998128,1,-0.9984184907869493,1
179,"(8231, 8233)",-0.999999852432989,26,7,0,"(8231, 8233, 8237)",-0.9999992298500398,1,16,"(8231, 8233, 8429, 8431)",-1.9985877357438464,1,-0.9985885058938067,1
180,"(8291, 8293)",-0.99999985456082,26,7,0,"(8291, 8293, 8297)",-0.9999992409517517,1,11,"(8291, 8293, 8429, 8431)",-1.9993189171252908,1,-0.999319676173539,1
181,"(8387, 8389)",-0.9999998578708494,28,9,3,"(8387, 8389, 8429)",-0.9999472124472232,1,3,"(8387, 8389, 8429, 8431)",-1.9999376341589201,1,-0.9999904217116968,1
182,"(8429, 8431)",-0.999999859283555,22,5,1,"(8429, 8431, 8447)",-0.9999910279104686,1,16,"(8429, 8431, 8627, 8629)",-1.9986525515630786,1,-0.99866152365261,1
183,"(8537, 8539)",-0.9999998628209777,26,7,0,"(8537, 8539, 8543)",-0.9999992840488844,1,7,"(8537, 8539, 8627, 8629)",-1.9997251140617789,1,-0.9997258300128944,1
184,"(8597, 8599)",-0.9999998647288686,27,7,2,"(8597, 8599, 8627)",-0.9999748493237228,1,2,"(8597, 8599, 8627, 8629)",-1.999969670322643,1,-0.9999948209989202,1
185,"(8627, 8629)",-0.9999998656679226,29,8,3,"(8627, 8629, 8669)",-0.999950101564462,1,17,"(8627, 8629, 8837, 8839)",-1.9985542520034274,1,-0.9986041504389653,1
186,"(8819, 8821)",-0.9999998714527372,28,10,1,"(8819, 8821, 8837)",-0.9999918030873469,1,1,"(8819, 8821, 8837, 8839)",-1.9999896091430476,1,-0.9999978060557007,1
187,"(8837, 8839)",-0.9999998719758181,25,7,2,"(8837, 8839, 8867)",-0.9999761945581951,1,13,"(8837, 8839, 8999, 9001)",-1.9991751776905478,1,-0.9991989831323527,1
188,"(8861, 8863)",-0.9999998726683074,26,7,0,"(8861, 8863, 8867)",-0.9999993354285633,1,11,"(8861, 8863, 8999, 9001)",-1.9994030830842324,1,-0.999403747655669,1
189,"(8969, 8971)",-0.99999987571603,27,7,2,"(8969, 8971, 8999)",-0.9999768889178902,1,2,"(8969, 8971, 8999, 9001)",-1.9999721297587467,1,-0.9999952408408566,1
190,"(8999, 9001)",-0.9999998765432089,27,9,2,"(8999, 9001, 9029)",-0.9999770424880939,1,3,"(8999, 9001, 9041, 9043)",-1.9999458091181403,1,-0.9999687666300465,1
191,"(9011, 9013)",-0.9999998768717697,27,9,1,"(9011, 9013, 9029)",-0.9999921483135545,1,2,"(9011, 9013, 9041, 9043)",-1.9999723884982155,1,-0.9999802401846609,1
192,"(9041, 9043)",-0.9999998776874564,25,5,1,"(9041, 9043, 9059)",-0.9999922002797341,1,16,"(9041, 9043, 9239, 9241)",-1.9988269514578154,1,-0.9988347511780813,1
193,"(9239, 9241)",-0.9999998828732586,26,9,1,"(9239, 9241, 9257)",-0.9999925306709798,1,3,"(9239, 9241, 9281, 9283)",-1.9999485814466518,1,-0.999956050775672,1
194,"(9281, 9283)",-0.999999883930831,31,8,2,"(9281, 9283, 9311)",-0.9999784141508595,1,11,"(9281, 9283, 9419, 9421)",-1.9994555017405649,1,-0.9994770875897054,1
195,"(9341, 9343)",-0.9999998854169766,32,9,2,"(9341, 9343, 9371)",-0.9999786901085684,1,6,"(9341, 9343, 9419, 9421)",-1.9998271642486487,1,-0.9998484741400802,1
196,"(9419, 9421)",-0.9999998873066738,25,8,1,"(9419, 9421, 9437)",-0.999992813143084,1,1,"(9419, 9421, 9437, 9439)",-1.9999908894670035,1,-0.9999980763239196,1
197,"(9431, 9433)",-0.9999998875932428,25,8,0,"(9431, 9433, 9437)",-0.9999994133045846,1,0,"(9431, 9433, 9437, 9439)",-1.9999989890537826,1,-0.999999575749198,1
198,"(9437, 9439)",-0.9999998877361176,32,8,2,"(9437, 9439, 9467)",-0.9999791207592033,1,23,"(9437, 9439, 9719, 9721)",-1.9978329946519733,1,-0.99785387389277,1
199,"(9461, 9463)",-0.9999998883049014,32,8,0,"(9461, 9463, 9467)",-0.9999994170180125,1,21,"(9461, 9463, 9719, 9721)",-1.9981907302276483,1,-0.9981913132096358,1
200,"(9629, 9631)",-0.9999998921680575,30,10,7,"(9629, 9631, 9719)",-0.9998119670041334,1,7,"(9629, 9631, 9719, 9721)",-1.9997836647160891,1,-0.9999716977119557,1
201,"(9677, 9679)",-0.9999998932350337,32,10,3,"(9677, 9679, 9719)",-0.9999603211477092,1,3,"(9677, 9679, 9719, 9721)",-1.9999531206293386,1,-0.9999927994816296,1
202,"(9719, 9721)",-0.9999998941557005,22,6,2,"(9719, 9721, 9749)",-0.9999803129447467,1,11,"(9719, 9721, 9857, 9859)",-1.9995031393159426,1,-0.9995228263711959,1
203,"(9767, 9769)",-0.9999998951933834,22,7,5,"(9767, 9769, 9833)",-0.9999022838466843,1,7,"(9767, 9769, 9857, 9859)",-1.9997897066398185,1,-0.999887422793134,1
204,"(9857, 9859)",-0.9999998970983413,29,8,2,"(9857, 9859, 9887)",-0.999980859478462,1,12,"(9857, 9859, 10007, 10009)",-1.9994298659152627,1,-0.9994490064368007,1
205,"(9929, 9931)",-0.9999998985851609,30,9,6,"(9929, 9931, 10007)",-0.999867442758224,1,6,"(9929, 9931, 10007, 10009)",-1.999846951799419,1,-0.9999795090411949,1
206,"(10007, 10009)",-0.9999999001598076,24,7,2,"(10007, 10009, 10037)",-0.9999814281180285,1,2,"(10007, 10009, 10037, 10039)",-1.9999776034080705,1,-0.9999961752900419,1
207,"(10037, 10039)",-0.9999999007556892,30,8,2,"(10037, 10039, 10067)",-0.9999815388020146,1,2,"(10037, 10039, 10067, 10069)",-1.9999777368790326,1,-0.999996198077018,1
208,"(10067, 10069)",-0.999999901346252,23,6,5,"(10067, 10069, 10133)",-0.9999080023135093,1,19,"(10067, 10069, 10301, 10303)",-1.9986802637517007,1,-0.9987722614381915,1
209,"(10091, 10093)",-0.9999999018149153,23,6,3,"(10091, 10093, 10133)",-0.9999635035106276,1,17,"(10091, 10093, 10301, 10303)",-1.9989396148011005,1,-0.9989761112904729,1
210,"(10139, 10141)",-0.9999999027422781,25,8,2,"(10139, 10141, 10169)",-0.9999819078178716,1,13,"(10139, 10141, 10301, 10303)",-1.999371941056637,1,-0.9993900332387655,1
211,"(10271, 10273)",-0.9999999052258318,24,9,1,"(10271, 10273, 10289)",-0.9999939550068945,1,2,"(10271, 10273, 10301, 10303)",-1.9999787381997778,1,-0.9999847831928834,1
212,"(10301, 10303)",-0.9999999057770035,24,6,2,"(10301, 10303, 10331)",-0.9999824715599737,1,2,"(10301, 10303, 10331, 10333)",-1.9999788616704426,1,-0.9999963901104689,1
213,"(10331, 10333)",-0.999999906323381,23,8,0,"(10331, 10333, 10337)",-0.9999995110415497,1,10,"(10331, 10333, 10457, 10459)",-1.9996326826621482,1,-0.9996331716205986,1
214,"(10427, 10429)",-0.9999999080402128,24,8,0,"(10427, 10429, 10433)",-0.9999995200006148,1,2,"(10427, 10429, 10457, 10459)",-1.9999793686796572,1,-0.9999798486790423,1
215,"(10457, 10459)",-0.9999999085670509,24,5,0,"(10457, 10459, 10463)",-0.9999995227498638,1,3,"(10457, 10459, 10499, 10501)",-1.9999598397754612,1,-0.9999603170255973,1
216,"(10499, 10501)",-0.9999999092970516,23,7,2,"(10499, 10501, 10529)",-0.9999831255054249,1,2,"(10499, 10501, 10529, 10531)",-1.999979650251131,1,-0.9999965247457061,1
217,"(10529, 10531)",-0.9999999098131414,25,4,2,"(10529, 10531, 10559)",-0.9999832213876234,1,27,"(10529, 10531, 10859, 10861)",-1.9976194640431568,1,-0.9976362426555334,1
218,"(10709, 10711)",-0.9999999128191577,22,4,2,"(10709, 10711, 10739)",-0.9999837798857147,1,12,"(10709, 10711, 10859, 10861)",-1.9995163901216528,1,-0.9995326102359381,1
219,"(10859, 10861)",-0.9999999152108363,27,9,2,"(10859, 10861, 10889)",-0.9999842242717378,1,2,"(10859, 10861, 10889, 10891)",-1.999980975238532,1,-0.9999967509667942,1
220,"(10889, 10891)",-0.9999999156773507,21,5,7,"(10889, 10891, 10979)",-0.9998528053707063,1,22,"(10889, 10891, 11159, 11161)",-1.9985004768380894,1,-0.9986476714673831,1
221,"(10937, 10939)",-0.999999916415805,22,5,3,"(10937, 10939, 10979)",-0.9999689210884556,1,18,"(10937, 10939, 11159, 11161)",-1.9989906808079687,1,-0.999021759719513,1
222,"(11057, 11059)",-0.9999999182200517,24,6,2,"(11057, 11059, 11087)",-0.9999847834349026,1,8,"(11057, 11059, 11159, 11161)",-1.9997892366976204,1,-0.9998044532627179,1
223,"(11069, 11071)",-0.9999999183972564,24,6,1,"(11069, 11071, 11087)",-0.9999947945003326,1,7,"(11069, 11071, 11159, 11161)",-1.9998360886189013,1,-0.9998412941185686,1
224,"(11117, 11119)",-0.9999999191003462,24,7,3,"(11117, 11119, 11159)",-0.9999699174545672,1,3,"(11117, 11119, 11159, 11161)",-1.9999644578656324,1,-0.9999945404110653,1
225,"(11159, 11161)",-0.9999999197081225,27,6,1,"(11159, 11161, 11177)",-0.999994878057996,1,27,"(11159, 11161, 11489, 11491)",-1.9978769878805576,1,-0.9978821098225614,1
226,"(11171, 11173)",-0.9999999198805152,27,6,0,"(11171, 11173, 11177)",-0.999999581789407,1,26,"(11171, 11173, 11489, 11491)",-1.9980306889902129,1,-0.9980311072008059,1
227,"(11351, 11353)",-0.9999999224011585,27,7,1,"(11351, 11353, 11369)",-0.9999950497232933,1,11,"(11351, 11353, 11489, 11491)",-1.9996349945149885,1,-0.999639944791695,1
228,"(11489, 11491)",-0.9999999242539579,23,7,2,"(11489, 11491, 11519)",-0.999985904759249,1,17,"(11489, 11491, 11699, 11701)",-1.9991799126201435,1,-0.9991940078608945,1
229,"(11549, 11551)",-0.9999999250388857,25,7,2,"(11549, 11551, 11579)",-0.9999860506403152,1,12,"(11549, 11551, 11699, 11701)",-1.9995837563078203,1,-0.9995977056675052,1
230,"(11699, 11701)",-0.9999999269486446,28,6,1,"(11699, 11701, 11717)",-0.9999953396141921,1,1,"(11699, 11701, 11717, 11719)",-1.9999940920427808,1,-0.9999987524285887,1
231,"(11717, 11719)",-0.9999999271729003,29,8,5,"(11717, 11719, 11783)",-0.9999320249991106,1,9,"(11717, 11719, 11831, 11833)",-1.9997656670410484,1,-0.9998336420419378,1
232,"(11777, 11779)",-0.9999999279130083,29,8,0,"(11777, 11779, 11783)",-0.99999962370886,1,4,"(11777, 11779, 11831, 11833)",-1.99994768884114,1,-0.9999480651322801,1
233,"(11831, 11833)",-0.9999999285695016,25,4,5,"(11831, 11833, 11897)",-0.9999333250045652,1,11,"(11831, 11833, 11969, 11971)",-1.9996638447084325,1,-0.9997305197038673,1
234,"(11939, 11941)",-0.9999999298558675,25,5,2,"(11939, 11941, 11969)",-0.999986945953576,1,2,"(11939, 11941, 11969, 11971)",-1.9999842573088455,1,-0.9999973113552696,1
235,"(11969, 11971)",-0.9999999302070266,27,6,1,"(11969, 11971, 11987)",-0.9999955473399906,1,8,"(11969, 11971, 12071, 12073)",-1.999820003956694,1,-0.9998244566167034,1
236,"(12041, 12043)",-0.9999999310391261,27,6,2,"(12041, 12043, 12071)",-0.9999871658981137,1,2,"(12041, 12043, 12071, 12073)",-1.999984522541519,1,-0.9999973566434053,1
237,"(12071, 12073)",-0.9999999313814482,26,5,2,"(12071, 12073, 12101)",-0.9999872295303175,1,7,"(12071, 12073, 12161, 12163)",-1.9998620768339261,1,-0.9998748473036088,1
238,"(12107, 12109)",-0.9999999317888805,27,5,0,"(12107, 12109, 12113)",-0.9999996439365478,1,4,"(12107, 12109, 12161, 12163)",-1.999950495263279,1,-0.9999508513267312,1
239,"(12161, 12163)",-0.9999999323932586,26,5,3,"(12161, 12163, 12203)",-0.9999748524871136,1,6,"(12161, 12163, 12239, 12241)",-1.999897826211126,1,-0.9999229737240123,1
240,"(12239, 12241)",-0.9999999332521676,25,4,2,"(12239, 12241, 12269)",-0.9999875772773865,1,11,"(12239, 12241, 12377, 12379)",-1.9996857605404184,1,-0.9996981832630318,1
241,"(12251, 12253)",-0.9999999333828535,25,4,1,"(12251, 12253, 12269)",-0.9999957498127496,1,10,"(12251, 12253, 12377, 12379)",-1.9997382909566528,1,-0.9997425411439032,1
242,"(12377, 12379)",-0.9999999347321893,25,3,8,"(12377, 12379, 12479)",-0.9998532650586827,1,13,"(12377, 12379, 12539, 12541)",-1.9995773167395368,1,-0.9997240516808541,1
243,"(12539, 12541)",-0.999999936407642,25,6,2,"(12539, 12541, 12569)",-0.9999881638861559,1,23,"(12539, 12541, 12821, 12823)",-1.998763578532822,1,-0.9987754146466661,1
244,"(12611, 12613)",-0.9999999371316478,25,6,2,"(12611, 12613, 12641)",-0.9999882984872911,1,17,"(12611, 12613, 12821, 12823)",-1.9993182449730234,1,-0.9993299464857321,1
245,"(12821, 12823)",-0.9999999391741122,25,3,6,"(12821, 12823, 12899)",-0.9999203573472452,1,15,"(12821, 12823, 13007, 13009)",-1.9994814491248971,1,-0.9995610917776518,1
246,"(12917, 12919)",-0.999999940074807,25,3,0,"(12917, 12919, 12923)",-0.999999687180986,1,7,"(12917, 12919, 13007, 13009)",-1.999879491968947,1,-0.9998798047879611,1
247,"(13001, 13003)",-0.9999999408466046,25,4,0,"(13001, 13003, 13007)",-0.9999996912091033,1,0,"(13001, 13003, 13007, 13009)",-1.9999994678922879,1,-0.9999997766831845,1
248,"(13007, 13009)",-0.9999999409011615,27,9,2,"(13007, 13009, 13037)",-0.999988999327444,1,17,"(13007, 13009, 13217, 13219)",-1.999358801623268,1,-0.999369802295824,1
249,"(13217, 13219)",-0.9999999427641013,22,3,3,"(13217, 13219, 13259)",-0.9999787043829234,1,38,"(13217, 13219, 13679, 13681)",-1.997049272364103,1,-0.9970705679811795,1
250,"(13337, 13339)",-0.9999999437893541,22,3,2,"(13337, 13339, 13367)",-0.9999895363599045,1,28,"(13337, 13339, 13679, 13681)",-1.99839752286731,1,-0.9984079865074056,1
251,"(13397, 13399)",-0.9999999442916809,23,3,4,"(13397, 13399, 13451)",-0.9999653812138616,1,23,"(13397, 13399, 13679, 13681)",-1.9989153340622157,1,-0.9989499528483541,1
252,"(13679, 13681)",-0.9999999465647548,26,13,1,"(13679, 13681, 13697)",-0.9999965903265448,1,2,"(13679, 13681, 13709, 13711)",-1.9999880034997162,1,-0.9999914131731715,1
253,"(13691, 13693)",-0.9999999466583777,26,13,0,"(13691, 13693, 13697)",-0.9999997215420485,1,1,"(13691, 13693, 13709, 13711)",-1.9999956850718172,1,-0.9999959635297688,1
254,"(13709, 13711)",-0.9999999467983512,24,5,3,"(13709, 13711, 13751)",-0.9999802031975625,1,18,"(13709, 13711, 13931, 13933)",-1.9993549622417603,1,-0.9993747590441977,1
255,"(13721, 13723)",-0.9999999468913611,24,5,2,"(13721, 13723, 13751)",-0.9999901131992343,1,17,"(13721, 13723, 13931, 13933)",-1.9994233148406786,1,-0.9994332016414444,1
256,"(13757, 13759)",-0.9999999471689318,24,5,0,"(13757, 13759, 13763)",-0.9999997242067891,1,14,"(13757, 13759, 13931, 13933)",-1.999605121670051,1,-0.9996053974632619,1
257,"(13829, 13831)",-0.9999999477175848,27,5,2,"(13829, 13831, 13859)",-0.9999902668501112,1,8,"(13829, 13831, 13931, 13933)",-1.9998650100210376,1,-0.9998747431709263,1
258,"(13877, 13879)",-0.999999948078619,27,5,0,"(13877, 13879, 13883)",-0.9999997289547451,1,4,"(13877, 13879, 13931, 13933)",-1.9999622962693282,1,-0.9999625673145831,1
259,"(13901, 13903)",-0.9999999482577353,27,5,0,"(13901, 13903, 13907)",-0.9999997298896146,1,2,"(13901, 13903, 13931, 13933)",-1.9999883831750913,1,-0.9999886532854767,1
260,"(13931, 13933)",-0.9999999484803304,22,7,5,"(13931, 13933, 13997)",-0.9999518705905162,1,5,"(13931, 13933, 13997, 13999)",-1.999944159958024,1,-0.999992289367508,1
261,"(13997, 13999)",-0.9999999489650113,29,5,4,"(13997, 13999, 14051)",-0.9999682799970298,1,32,"(13997, 13999, 14387, 14389)",-1.9981121166118694,1,-0.9981438366148396,1
262,"(14009, 14011)",-0.9999999490524,29,5,3,"(14009, 14011, 14051)",-0.9999810407375384,1,31,"(14009, 14011, 14387, 14389)",-1.9982280189522914,1,-0.9982469782147532,1
263,"(14081, 14083)",-0.9999999495720491,28,5,0,"(14081, 14083, 14087)",-0.9999997367494973,1,25,"(14081, 14083, 14387, 14389)",-1.9988446835075584,1,-0.9988449467580611,1
264,"(14249, 14251)",-0.999999950754078,27,5,4,"(14249, 14251, 14303)",-0.9999693899201492,1,11,"(14249, 14251, 14387, 14389)",-1.9997677912121095,1,-0.9997984012919603,1
265,"(14321, 14323)",-0.9999999512479747,28,5,0,"(14321, 14323, 14327)",-0.9999997454968343,1,5,"(14321, 14323, 14387, 14389)",-1.9999471528967698,1,-0.9999474073999355,1
266,"(14387, 14389)",-0.9999999516942151,26,5,8,"(14387, 14389, 14489)",-0.9998912759535727,1,13,"(14387, 14389, 14549, 14551)",-1.999686598304747,1,-0.9997953223511742,1
267,"(14447, 14449)",-0.9999999520945929,28,5,3,"(14447, 14449, 14489)",-0.9999821712583313,1,8,"(14447, 14449, 14549, 14551)",-1.9998762723785122,1,-0.9998941011201807,1
268,"(14549, 14551)",-0.9999999527639021,27,5,3,"(14549, 14551, 14591)",-0.9999824200031266,1,3,"(14549, 14551, 14591, 14593)",-1.999979228988799,1,-0.9999968089856723,1
269,"(14561, 14563)",-0.9999999528417209,27,5,2,"(14561, 14563, 14591)",-0.9999912198599172,1,2,"(14561, 14563, 14591, 14593)",-1.9999894113023222,1,-0.999998191442405,1
270,"(14591, 14593)",-0.999999953035429,28,3,2,"(14591, 14593, 14621)",-0.9999912558895915,1,45,"(14591, 14593, 15137, 15139)",-1.9966264051522948,1,-0.9966351492627035,1
271,"(14627, 14629)",-0.9999999532663073,29,4,0,"(14627, 14629, 14633)",-0.9999997560314404,1,42,"(14627, 14629, 15137, 15139)",-1.9970638098463123,1,-0.9970640538148718,1
272,"(14867, 14869)",-0.9999999547628854,30,6,2,"(14867, 14869, 14897)",-0.9999915772060733,1,22,"(14867, 14869, 15137, 15139)",-1.9991902809875413,1,-0.999198703781468,1
273,"(15137, 15139)",-0.9999999563621847,24,7,7,"(15137, 15139, 15227)",-0.9999236514142834,1,12,"(15137, 15139, 15287, 15289)",-1.999756948069031,1,-0.9998332966547476,1
274,"(15269, 15271)",-0.9999999571133694,27,9,1,"(15269, 15271, 15287)",-0.9999972630734179,1,1,"(15269, 15271, 15287, 15289)",-1.999996530323819,1,-0.999999267250401,1
275,"(15287, 15289)",-0.9999999572142989,25,6,3,"(15287, 15289, 15329)",-0.9999840741584508,1,3,"(15287, 15289, 15329, 15331)",-1.9999811833290635,1,-0.9999971091706126,1
276,"(15329, 15331)",-0.99999995744842,25,8,2,"(15329, 15331, 15359)",-0.9999920767661596,1,2,"(15329, 15331, 15359, 15361)",-1.999990444679923,1,-0.9999983679137634,1
277,"(15359, 15361)",-0.9999999576144747,26,5,1,"(15359, 15361, 15377)",-0.9999972950351521,1,18,"(15359, 15361, 15581, 15583)",-1.9994852177219355,1,-0.9994879226867834,1
278,"(15581, 15583)",-0.999999958813622,23,8,5,"(15581, 15583, 15647)",-0.9999615049523797,1,5,"(15581, 15583, 15647, 15649)",-1.999955337450178,1,-0.9999938324977984,1
279,"(15641, 15643)",-0.9999999591289837,24,8,0,"(15641, 15643, 15647)",-0.9999997866321271,1,0,"(15641, 15643, 15647, 15649)",-1.9999996323175657,1,-0.9999998456854386,1
280,"(15647, 15649)",-0.9999999591603204,24,4,7,"(15647, 15649, 15737)",-0.9999285333956369,1,7,"(15647, 15649, 15737, 15739)",-1.999917773040381,1,-0.9999892396447441,1
281,"(15731, 15733)",-0.9999999595952778,27,5,0,"(15731, 15733, 15737)",-0.9999997890660302,1,0,"(15731, 15733, 15737, 15739)",-1.9999996365115393,1,-0.9999998474455092,1
282,"(15737, 15739)",-0.9999999596260799,24,8,2,"(15737, 15739, 15767)",-0.999992481884742,1,12,"(15737, 15739, 15887, 15889)",-1.9997750428666423,1,-0.9997825609819002,1
283,"(15887, 15889)",-0.9999999603848286,21,5,9,"(15887, 15889, 16001)",-0.9998883972083403,1,14,"(15887, 15889, 16061, 16063)",-1.9997034043772632,1,-0.9998150071689229,1
284,"(15971, 15973)",-0.9999999608004214,23,6,2,"(15971, 15973, 16001)",-0.999992700364546,1,7,"(15971, 15973, 16061, 16063)",-1.9999210660638491,1,-0.999928365699303,1
285,"(16061, 16063)",-0.9999999612384837,26,7,0,"(16061, 16063, 16067)",-0.9999997976430831,1,0,"(16061, 16063, 16067, 16069)",-1.999999651291093,1,-0.9999998536480099,1
286,"(16067, 16069)",-0.9999999612674264,23,5,0,"(16067, 16069, 16073)",-0.9999997977941564,1,13,"(16067, 16069, 16229, 16231)",-1.9997484146245923,1,-0.9997486168304359,1
