window,n_start,n_end,metric,corr_local_detrended_theta_log12,mean_metric,mean_theta_log12
35,35001,36000,r,0.17875201324824838,0.040255207313614226,0.005653420757250762
35,35001,36000,Delta,-0.17871658746488506,0.9804921685475747,0.005653420757250762
35,35001,36000,Lambda,-0.1789876873945997,0.3327931696743212,0.005653420757250762
36,36001,37000,r,-0.6587697168885378,0.039927716705189555,0.004783163371794339
36,36001,37000,Delta,0.658719342200782,0.9806457750104369,0.004783163371794339
36,36001,37000,Lambda,0.6591080928780614,0.3328019229378306,0.004783163371794339
37,37001,38000,r,-0.399808623472337,0.039611517228964756,0.003721617827347344
37,37001,38000,Delta,0.39975338516015546,0.9807941662721616,0.003721617827347344
37,37001,38000,Lambda,0.40018341011445663,0.332810306551464,0.003721617827347344
38,38001,39000,r,-0.7740000433912352,0.039305936099145254,0.005071649499748258
38,38001,39000,Delta,0.7740257257924258,0.9809376497792391,0.005071649499748258
38,38001,39000,Lambda,0.773823909413502,0.3328183452878384,0.005071649499748258
39,39001,40000,r,-0.29003993982084797,0.039010354845455744,0.004783932093163942
39,39001,40000,Delta,0.2900335800724339,0.9810765083949284,0.004783932093163942
39,39001,40000,Lambda,0.29008384977641344,0.332826061723102,0.004783932093163942
40,40001,41000,r,-0.2894052531643181,0.03872420702544105,0.0049954377540330445
40,40001,41000,Delta,0.2893388421341879,0.9812110013570527,0.0049954377540330445
40,40001,41000,Lambda,0.2898685245409226,0.3328334763939556,0.0049954377540330445
41,41001,42000,r,0.18534194241610302,0.03844697035303089,0.004147582779390011
41,41001,42000,Delta,-0.1853645607507029,0.9813413678744466,0.004147582779390011
41,41001,42000,Lambda,-0.18518270194350225,0.3328406080875723,0.004147582779390011
42,42001,43000,r,-0.17833762899598574,0.03817816320282818,0.0061716406884578905
42,42001,43000,Delta,0.17828797037388963,0.9814678286829587,0.0061716406884578905
42,42001,43000,Lambda,0.1786900983383056,0.3328474740046565,0.0061716406884578905
43,43001,44000,r,0.6548769790082539,0.037917341393270375,0.0067866032464099614
43,43001,44000,Delta,-0.6548586668448565,0.9815905874811228,0.0067866032464099614
43,43001,44000,Lambda,-0.6550079408732004,0.33285408990636284,0.0067866032464099614
44,44001,45000,r,0.4747207098748552,0.03766409252963684,0.006418449907127431
44,44001,45000,Delta,-0.47470118936723976,0.9817098335249759,0.006418449907127431
44,44001,45000,Lambda,-0.47486149690467566,0.3328604703142421,0.006418449907127431
45,45001,46000,r,-0.7229760504624059,0.03741803501261279,0.005589780494997048
45,45001,46000,Delta,0.7229524691929937,0.9818257420363603,0.005589780494997048
45,45001,46000,Lambda,0.7231474495919861,0.33286662858403326,0.005589780494997048
46,46001,47000,r,-0.5731598111606145,0.037178813199598565,0.005214859130939304
46,46001,47000,Delta,0.5731971356930408,0.9819384764299444,0.005214859130939304
46,46001,47000,Lambda,0.5728861155861542,0.3328725770704112,0.005214859130939304
47,47001,48000,r,0.7138936434714891,0.03694609772612883,0.004699008363885491
47,47001,48000,Delta,-0.713895307895341,0.9820481881161311,0.004699008363885491
47,47001,48000,Lambda,-0.7138812443205357,0.3328783271570715,0.004699008363885491
48,48001,49000,r,0.7254978562925156,0.03671957998492981,0.005324133352224763
48,48001,49000,Delta,-0.7255277867216434,0.9821550190627022,0.005324133352224763
48,48001,49000,Lambda,-0.7252750344114515,0.3328838894275193,0.005324133352224763
49,49001,50000,r,-0.3148625088170633,0.03649897379637683,0.0069377389402627745
49,49001,50000,Delta,0.31487479299934934,0.9822591009715663,0.0069377389402627745
49,49001,50000,Lambda,0.3147703908787252,0.33288927365363613,0.0069377389402627745
50,50001,51000,r,-0.7259037157519577,0.03628400954126862,0.008364874280864023
50,50001,51000,Delta,0.7259017439115008,0.9823605580143453,0.008364874280864023
50,50001,51000,Lambda,0.725918497386085,0.3328944889661001,0.008364874280864023
51,51001,52000,r,-0.0056387511535055624,0.03607443641865528,0.007654019901013349
51,51001,52000,Delta,0.005688643580282124,0.9824595057391959,0.007654019901013349
51,51001,52000,Lambda,0.005259484519523399,0.3328995438226278,0.007654019901013349
52,52001,53000,r,0.36820943623888164,0.035870019042452045,0.007873479851259732
52,52001,53000,Delta,-0.3682245052272717,0.9825560526512414,0.007873479851259732
52,52001,53000,Lambda,-0.36809405982796856,0.3329044461121813,0.007873479851259732
53,53001,54000,r,0.20652663765061283,0.03567053568148683,0.007101974134746834
53,53001,54000,Delta,-0.2065203255396622,0.9826503010215374,0.007101974134746834
53,53001,54000,Lambda,-0.20657525221733164,0.3329092032157943,0.007101974134746834
54,54001,55000,r,-0.7426206814603934,0.03547577985371137,0.007065893746727108
54,54001,55000,Delta,0.7425898754442023,0.9827423461133622,0.007065893746727108
54,54001,55000,Lambda,0.7428595220023986,0.332913821985715,0.007065893746727108
55,55001,56000,r,-0.16558978293914334,0.03528555529932004,0.005624115596668245
55,55001,56000,Delta,0.1655556397140165,0.9828322785391115,0.005624115596668245
55,55001,56000,Lambda,0.1658562902158662,0.3329183088804432,0.005624115596668245
56,56001,57000,r,-0.5695883033697868,0.035099678291880515,0.005994390960022434
56,56001,57000,Delta,0.5696173223533566,0.9829201831520422,0.005994390960022434
56,56001,57000,Lambda,0.5693602885735256,0.33292266992329245,0.005994390960022434
57,57001,58000,r,0.351492103890348,0.03491797574861029,0.004821653125646421
57,57001,58000,Delta,-0.351475807011289,0.9830061399242878,0.004821653125646421
57,57001,58000,Lambda,-0.3516208850924215,0.332926910759855,0.004821653125646421
58,58001,59000,r,0.8378985207663714,0.03474028393420961,0.005342424654860174
58,58001,59000,Delta,-0.8379044159174885,0.9830902245465787,0.005342424654860174
58,58001,59000,Lambda,-0.8378515510393428,0.3329310366995204,0.005342424654860174
59,59001,60000,r,0.791248686707808,0.03456644814580611,0.006061679360283797
59,59001,60000,Delta,-0.791237856839285,0.9831725085653293,0.006061679360283797
59,59001,60000,Lambda,-0.7913352507760398,0.3329350527328443,0.006061679360283797
60,60001,61000,r,0.329861477209596,0.03439632265116065,0.0049890713105671634
60,60001,61000,Delta,-0.32987164856698964,0.983253059400635,0.0049890713105671634
60,60001,61000,Lambda,-0.32977959040903915,0.3329389635424103,0.0049890713105671634
61,61001,62000,r,0.43393606892665637,0.0342297685230389,0.004731077567632058
61,61001,62000,Delta,-0.43392683331799065,0.9833319413615267,0.004731077567632058
