sector_S,sector_support,sector_type,log_mB,C_fam,kappa13,log_mult
"(0, 0, 0, 1)",1,C,7.715569534520208,0.0,0.21288822373917257,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.726212650507529,0.0,0.2126686946326942,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.757478766584179,0.0,0.21202641504209313,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.762596048540069,0.0,0.2119216656707515,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.782807262839695,0.0,0.21150896379705605,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.787796878181171,0.0,0.2114073274655275,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.792761720816526,0.0,0.2113062932716803,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.802618063442671,0.0,0.21110600511945843,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.807510042216193,0.0,0.21100673833001235,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.8083230503910555,0.0,0.2109902500786776,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.822845290279774,0.0,0.45263728453993934,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.836369760545124,0.0,0.2104230309442096,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.841099765422119,0.0,0.21032767322281853,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.8551570058813445,0.0,0.21004478945508134,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.85979918056211,0.0,0.2099515398177818,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.874358824729881,0.0,0.4503336182235426,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.887208585813932,0.0,0.20940264752368426,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.8961806086154915,0.0,0.20922360342897806,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.900636613018005,0.0,0.2091347946543749,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.905072849498666,0.0,0.20904645518695533,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.923348211930154,0.0,0.44816472436717486,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.927685045615778,0.0,0.2085973394196569,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.931284761525891,0.0,0.6839820244310434,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.9441374911141125,0.0,0.20038017258358784,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.952615111651,0.0,0.2002175190917764,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.965198290612176,0.0,0.19997658454989017,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.970049304976135,0.0,0.4406094333362712,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.97349996402463,0.0,0.19981794857085006,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.9817332866918855,0.0,0.19966086853361129,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.985824666418917,0.0,0.19958290320493474,2.5649493574615367
"(0, 0, 0, 1)",1,C,7.993957547573565,0.0,0.19942810475292233,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.00603417874901,0.0,0.1991986873958864,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.010027528481734,0.0,0.19912294327902605,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.0106915391303,0.0,0.19911035423181989,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.014004994779459,0.0,0.19904755800059307,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.03365842788615,0.0,0.1986759057876513,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.045267716607803,0.0,0.19845702577439364,2.5649493574615367
"(0, 0, 0, 1)",1,C,8.06054004653864,0.0,0.1896271957578196,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.068089626278244,0.0,0.18949012588508388,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.071843149609158,0.0,0.18942205117818298,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.086717920303906,0.0,0.1891527619644406,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.101374671228582,0.0,0.1888881715171519,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.108623268354595,0.0,0.18875759130013073,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.112827478751374,0.0,0.18868193746595482,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.115819701211327,0.0,0.1886281302090167,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.119398589612294,0.0,0.1885638138081466,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.12296471523406,0.0,0.18849977060645298,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.133587417660966,0.0,0.18830925889881767,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.137688184977605,0.0,0.4274346479866022,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.151044945685024,0.0,0.18799700816429743,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.15507488781144,0.0,0.18792507519664634,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.157943507105037,0.0,0.18787390511243718,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.168202930236053,0.0,0.18769112776749283,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.171599480345463,0.0,0.18763069507274652,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.195057690895077,0.0,0.18721438341278082,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.204945165019208,0.0,0.18703946667793236,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.208219383496834,0.0,0.18698161571708835,2.4849066497880004
"(0, 0, 0, 1)",1,C,8.22121009392507,0.0,0.1777144538988359,2.3978952727983707
