u,v,weight,contexts
547,811,5.819711066829638,4
547,823,5.819711066829638,4
571,691,5.819711066829638,4
571,727,5.819711066829638,4
571,739,5.819711066829638,4
571,751,5.819711066829638,4
571,787,5.819711066829638,4
571,811,5.819711066829638,4
571,823,5.819711066829638,4
607,691,5.819711066829638,4
607,727,5.819711066829638,4
607,739,5.819711066829638,4
607,751,5.819711066829638,4
607,787,5.819711066829638,4
607,811,5.819711066829638,4
607,823,5.819711066829638,4
619,691,5.819711066829638,4
619,727,5.819711066829638,4
619,739,5.819711066829638,4
619,751,5.819711066829638,4
619,787,5.819711066829638,4
619,811,5.819711066829638,4
619,823,5.819711066829638,4
631,691,5.819711066829638,4
631,727,5.819711066829638,4
631,739,5.819711066829638,4
631,751,5.819711066829638,4
631,787,5.819711066829638,4
631,811,5.819711066829638,4
631,823,5.819711066829638,4
643,691,5.819711066829638,4
643,727,5.819711066829638,4
643,739,5.819711066829638,4
643,751,5.819711066829638,4
643,787,5.819711066829638,4
643,811,5.819711066829638,4
643,823,5.819711066829638,4
691,727,5.819711066829638,4
691,739,5.819711066829638,4
691,751,5.819711066829638,4
691,787,5.819711066829638,4
691,811,5.819711066829638,4
691,823,5.819711066829638,4
727,739,5.819711066829638,4
727,751,5.819711066829638,4
727,787,5.819711066829638,4
727,811,5.819711066829638,4
727,823,5.819711066829638,4
739,751,5.819711066829638,4
739,787,5.819711066829638,4
739,811,5.819711066829638,4
739,823,5.819711066829638,4
751,787,5.819711066829638,4
751,811,5.819711066829638,4
751,823,5.819711066829638,4
787,811,5.819711066829638,4
787,823,5.819711066829638,4
811,823,5.819711066829638,4
7,859,4.045053774196793,3
7,883,4.045053774196793,3
7,907,4.045053774196793,3
7,919,4.045053774196793,3
7,967,4.045053774196793,3
7,991,4.045053774196793,3
7,1039,4.045053774196793,3
7,1051,4.045053774196793,3
7,1063,4.045053774196793,3
19,859,4.045053774196793,3
19,883,4.045053774196793,3
19,907,4.045053774196793,3
19,919,4.045053774196793,3
19,967,4.045053774196793,3
19,991,4.045053774196793,3
19,1039,4.045053774196793,3
19,1051,4.045053774196793,3
19,1063,4.045053774196793,3
31,859,4.045053774196793,3
31,883,4.045053774196793,3
31,907,4.045053774196793,3
31,919,4.045053774196793,3
31,967,4.045053774196793,3
31,991,4.045053774196793,3
31,1039,4.045053774196793,3
31,1051,4.045053774196793,3
31,1063,4.045053774196793,3
43,859,4.045053774196793,3
43,883,4.045053774196793,3
43,907,4.045053774196793,3
43,919,4.045053774196793,3
43,967,4.045053774196793,3
43,991,4.045053774196793,3
43,1039,4.045053774196793,3
43,1051,4.045053774196793,3
43,1063,4.045053774196793,3
67,859,4.045053774196793,3
67,883,4.045053774196793,3
67,907,4.045053774196793,3
67,919,4.045053774196793,3
67,967,4.045053774196793,3
67,991,4.045053774196793,3
67,1039,4.045053774196793,3
67,1051,4.045053774196793,3
67,1063,4.045053774196793,3
79,859,4.045053774196793,3
79,883,4.045053774196793,3
79,907,4.045053774196793,3
79,919,4.045053774196793,3
79,967,4.045053774196793,3
79,991,4.045053774196793,3
79,1039,4.045053774196793,3
79,1051,4.045053774196793,3
79,1063,4.045053774196793,3
103,859,4.045053774196793,3
103,883,4.045053774196793,3
103,907,4.045053774196793,3
103,919,4.045053774196793,3
103,967,4.045053774196793,3
103,991,4.045053774196793,3
103,1039,4.045053774196793,3
103,1051,4.045053774196793,3
103,1063,4.045053774196793,3
127,859,4.045053774196793,3
127,883,4.045053774196793,3
127,907,4.045053774196793,3
127,919,4.045053774196793,3
127,967,4.045053774196793,3
127,991,4.045053774196793,3
127,1039,4.045053774196793,3
127,1051,4.045053774196793,3
127,1063,4.045053774196793,3
139,859,4.045053774196793,3
139,883,4.045053774196793,3
139,907,4.045053774196793,3
139,919,4.045053774196793,3
139,967,4.045053774196793,3
139,991,4.045053774196793,3
139,1039,4.045053774196793,3
139,1051,4.045053774196793,3
139,1063,4.045053774196793,3
151,859,4.045053774196793,3
151,883,4.045053774196793,3
151,907,4.045053774196793,3
151,919,4.045053774196793,3
151,967,4.045053774196793,3
151,991,4.045053774196793,3
151,1039,4.045053774196793,3
151,1051,4.045053774196793,3
151,1063,4.045053774196793,3
163,859,4.045053774196793,3
163,883,4.045053774196793,3
