A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
5·113,7·19,13,0.0015308525671219972,0.009420631182289214,0.12823834196891193,1.2671717171717172
5·197,7·19,6,0.000706547338671691,0.004357041921808761,0.12823834196891193,1.2645372645372643
17·53,7·79,1,0.00011775788977861517,0.004592557701365992,0.020372114931700425,1.258633466725952
5·5,19·79,30,0.003532736693358455,0.5693593970796044,0.004945831370701837,1.2545427685034718
17·29,7·151,1,0.00011775788977861517,0.011422515308525671,0.008243052284503062,1.2506627393225331
5·101,7·31,8,0.0009420631182289214,0.011069241639189827,0.06818181818181818,1.24822695035461
5·89,7·7,61,0.007183231276495525,0.013306641544983514,0.4347621290626472,1.2416514060537491
5·5,31·43,36,0.004239284032030146,0.5693593970796044,0.006005652378709373,1.2397834418151956
5·17,19·67,8,0.0009420631182289214,0.12317475270843146,0.006241168158266604,1.2254410332263068
5·5,7·211,30,0.003532736693358455,0.5693593970796044,0.005063589260480453,1.2253673552824604
5·41,7·211,2,0.00023551577955723034,0.0380357983984927,0.005063589260480453,1.2228382172942616
29·41,7·31,2,0.00023551577955723034,0.002826189354686764,0.06818181818181818,1.2222222222222223
5·233,7·31,2,0.00023551577955723034,0.002826189354686764,0.06818181818181818,1.2222222222222223
5·257,7·31,2,0.00023551577955723034,0.002826189354686764,0.06818181818181818,1.2222222222222223
17·17,19·19,9,0.0010598210080075365,0.024258125294394726,0.03579839849269901,1.2204266734798161
5·53,19·19,10,0.0011775788977861517,0.026966556759302873,0.03579839849269901,1.2198345207998162
5·197,7·43,2,0.00023551577955723034,0.004357041921808761,0.04439472444653792,1.217578321026597
5·41,7·67,10,0.0011775788977861517,0.0380357983984927,0.025435704192180875,1.2171769292512329
29·29,19·19,2,0.00023551577955723034,0.0054168629298162975,0.03579839849269901,1.2145308924485128
17·29,7·31,8,0.0009420631182289214,0.011422515308525671,0.06818181818181818,1.209621993127148
5·5,7·199,33,0.0038860103626943004,0.5693593970796044,0.005652378709373528,1.2074974146845914
17·53,7·19,6,0.000706547338671691,0.004592557701365992,0.12823834196891193,1.1996891996891996
5·29,7·103,9,0.0010598210080075365,0.06064531323598681,0.01460197833254828,1.1968055120576262
5·89,7·43,6,0.000706547338671691,0.013306641544983514,0.04439472444653792,1.196028262247365
5·5,19·67,36,0.004239284032030146,0.5693593970796044,0.006241168158266604,1.1929991609919806
5·197,7·31,3,0.0003532736693358455,0.004357041921808761,0.06818181818181818,1.1891891891891893
5·17,31·31,12,0.001413094677343382,0.12317475270843146,0.009656146961846444,1.1880800261157487
5·17,7·139,12,0.001413094677343382,0.12317475270843146,0.009656146961846444,1.1880800261157487
5·17,7·199,7,0.0008243052284503062,0.12317475270843146,0.005652378709373528,1.1839547482472912
5·53,7·43,12,0.001413094677343382,0.026966556759302873,0.04439472444653792,1.1803597697288406
5·5,7·163,43,0.005063589260480453,0.5693593970796044,0.007536504945831371,1.180054291623578
5·113,7·127,1,0.00011775788977861517,0.009420631182289214,0.010598210080075365,1.1794444444444445
5·5,7·151,47,0.005534620819594913,0.5693593970796044,0.008243052284503062,1.1792702023932633
5·29,19·79,3,0.0003532736693358455,0.06064531323598681,0.004945831370701837,1.1778085991678227
5·89,7·163,1,0.00011775788977861517,0.013306641544983514,0.007536504945831371,1.1742256637168142
5·17,7·127,13,0.0015308525671219972,0.12317475270843146,0.010598210080075365,1.1726789887401743
17·17,7·7,105,0.012364578426754593,0.024258125294394726,0.4347621290626472,1.1723853201359011
5·173,7·79,1,0.00011775788977861517,0.004945831370701837,0.020372114931700425,1.168731076245527
29·29,19·31,1,0.00011775788977861517,0.0054168629298162975,0.018605746585021198,1.1684094661529996
