n,Faktorisierung,P_A,P_B,P_C,R_A,R_B,R_C,exc_combo,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
522781105,73 * 5 * 89 * 7 * 19 * 11 * 11,445,133,121,17.8,2.7142857142857144,1.0,A+B,3.331371385769749,66.0,1.1782053255348623
522818725,13 * 5 * 5 * 19 * 43 * 11 * 179,25,817,1969,1.0,16.6734693877551,16.272727272727273,B+C,3.19709115883551,10.0,1.2615384615384615
522881425,229 * 5 * 5 * 19 * 19 * 11 * 23,25,361,253,1.0,7.36734693877551,2.090909090909091,B+C,3.6525422300864037,34.0,0.9310043668122271
523086025,3529 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.1550598528371623,1684.0,1.2760555398129783
523470805,13 * 5 * 113 * 19 * 31 * 11 * 11,565,589,121,22.6,12.020408163265307,1.0,A+B,2.9419087682146916,64.0,1.3571136827773995
523594225,313 * 5 * 5 * 7 * 79 * 11 * 11,25,553,121,1.0,11.285714285714286,1.0,B,3.0396742861089194,160.0,1.2984025559105432
523603465,37 * 5 * 89 * 7 * 7 * 11 * 59,445,49,649,17.8,1.0,5.363636363636363,A+C,3.524993378625694,48.0,1.0116003644093532
523629925,13 * 5 * 5 * 7 * 7 * 131 * 251,25,49,32881,1.0,1.0,271.74380165289256,C,3.19709115883551,10.0,1.2615384615384615
523920925,37 * 5 * 5 * 31 * 151 * 11 * 11,25,4681,121,1.0,95.53061224489795,1.0,B,3.6199450849684505,10.0,0.9621621621621622
524004481,13 * 17 * 53 * 7 * 7 * 11 * 83,901,49,913,36.04,1.0,7.545454545454546,A+C,3.601108054705147,24.0,0.9609835225817467
524320225,13 * 5 * 5 * 67 * 199 * 11 * 11,25,13333,121,1.0,272.1020408163265,1.0,B,3.19709115883551,10.0,1.2615384615384615
524364925,37 * 5 * 5 * 7 * 7 * 23 * 503,25,49,11569,1.0,1.0,95.61157024793388,C,3.6199450849684505,10.0,0.9621621621621622
524448925,13 * 5 * 5 * 7 * 19 * 11 * 1103,25,133,12133,1.0,2.7142857142857144,100.27272727272727,B+C,3.19709115883551,10.0,1.2615384615384615
524508985,13 * 5 * 1361 * 7 * 7 * 11 * 11,6805,49,121,272.2,1.0,1.0,A,3.0877726249476103,628.0,1.3170858531622676
524641117,13 * 29 * 53 * 7 * 31 * 11 * 11,1537,217,121,61.48,4.428571428571429,1.0,A+B,3.4655803407196464,30.0,1.0705169911415846
524703025,1693 * 5 * 5 * 7 * 7 * 11 * 23,25,49,253,1.0,1.0,2.090909090909091,C,3.3323152905595412,670.0,1.1933845245126995
524864725,3541 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.351512278431316,1354.0,1.1812482349618754
525026425,829 * 5 * 5 * 7 * 7 * 11 * 47,25,49,517,1.0,1.0,4.2727272727272725,C,3.430388110372137,274.0,1.1256936067551266
525311605,13 * 5 * 101 * 7 * 7 * 23 * 71,505,49,1633,20.2,1.0,13.49586776859504,A+C,3.5610701153451543,18.0,0.9605483625285606
525349825,13 * 5 * 5 * 7 * 7 * 11 * 2999,25,49,32989,1.0,1.0,272.6363636363636,C,3.19709115883551,10.0,1.2615384615384615
525372925,577 * 5 * 5 * 7 * 43 * 11 * 11,25,301,121,1.0,6.142857142857143,1.0,B,3.7434511832844892,28.0,0.8415944540727903
525433909,13 * 17 * 401 * 7 * 7 * 11 * 11,6817,49,121,272.68,1.0,1.0,A,3.829449317988315,30.0,0.7467078909062186
525511525,661 * 5 * 5 * 7 * 7 * 11 * 59,25,49,649,1.0,1.0,5.363636363636363,C,3.5495487816622138,154.0,1.026928895612708
525627025,241 * 5 * 5 * 7 * 103 * 11 * 11,25,721,121,1.0,14.714285714285714,1.0,B,3.5244913706357366,64.0,1.0489626556016598
525638113,13 * 17 * 17 * 7 * 79 * 11 * 23,289,553,253,11.56,11.285714285714286,2.090909090909091,A+B+C,3.6344290505833943,14.0,0.9321266968325792
525717325,397 * 5 * 5 * 7 * 7 * 23 * 47,25,49,1081,1.0,1.0,8.933884297520661,C,3.4792148909782252,118.0,1.087153652392947
525779485,109 * 5 * 17 * 7 * 67 * 11 * 11,85,469,121,3.4,9.571428571428571,1.0,A+B,3.7123059137791525,36.0,0.910523475445224
525931945,157 * 5 * 113 * 7 * 7 * 11 * 11,565,49,121,22.6,1.0,1.0,A,3.030564650082129,124.0,1.3159573868440337
526171525,181 * 5 * 5 * 31 * 31 * 11 * 11,25,961,121,1.0,19.612244897959183,1.0,B,3.0522786605965706,94.0,1.2972375690607736
526190665,13 * 5 * 653 * 7 * 7 * 11 * 23,3265,49,253,130.6,1.0,2.090909090909091,A+C,3.127030576197055,294.0,1.2995170220285075
526287685,433 * 5 * 41 * 7 * 7 * 11 * 11,205,49,121,8.2,1.0,1.0,A,2.959337477238165,226.0,1.3589365177716441
526396585,13 * 5 * 17 * 31 * 127 * 11 * 11,85,3937,121,3.4,80.34693877551021,1.0,A+B,3.4157601047094523,12.0,1.0968325791855205
526683325,97 * 5 * 5 * 7 * 19 * 23 * 71,25,133,1633,1.0,2.7142857142857144,13.49586776859504,B+C,3.366869432803848,40.0,1.1711340206185568
526731205,13 * 5 * 29 * 7 * 19 * 11 * 191,145,133,2101,5.8,2.7142857142857144,17.363636363636363,A+B+C,3.2802323907239512,18.0,1.2063660477453582
526828225,73 * 5 * 5 * 7 * 163 * 11 * 23,25,1141,253,1.0,23.285714285714285,2.090909090909091,B+C,3.426323092112505,28.0,1.1287671232876713
526981525,73 * 5 * 5 * 7 * 7 * 71 * 83,25,49,5893,1.0,1.0,48.70247933884298,C,3.426323092112505,28.0,1.1287671232876713
526999165,613 * 5 * 29 * 7 * 7 * 11 * 11,145,49,121,5.8,1.0,1.0,A,3.1114004887128304,318.0,1.2440119255217417
527069725,13 * 5 * 5 * 7 * 7 * 23 * 1439,25,49,33097,1.0,1.0,273.5289256198347,C,3.19709115883551,10.0,1.2615384615384615
527083249,61 * 17 * 41 * 7 * 7 * 11 * 23,697,49,253,27.88,1.0,2.090909090909091,A+C,3.09793109883757,54.0,1.2149022743843638
527193205,37 * 5 * 17 * 7 * 7 * 11 * 311,85,49,3421,3.4,1.0,28.272727272727273,A+C,3.8386140308423924,12.0,0.7974562798092211
527194525,13 * 5 * 5 * 31 * 67 * 11 * 71,25,2077,781,1.0,42.38775510204081,6.454545454545454,B+C,3.19709115883551,10.0,1.2615384615384615
527290225,109 * 5 * 5 * 7 * 7 * 11 * 359,25,49,3949,1.0,1.0,32.63636363636363,C,3.4936369679052106,34.0,1.075229357798165
527338825,13 * 5 * 5 * 19 * 79 * 23 * 47,25,1501,1081,1.0,30.632653061224488,8.933884297520661,B+C,3.19709115883551,10.0,1.2615384615384615
527359525,277 * 5 * 5 * 7 * 43 * 11 * 23,25,301,253,1.0,6.142857142857143,2.090909090909091,B+C,3.2137562825494506,130.0,1.2548736462093864
527451925,13 * 5 * 5 * 7 * 7 * 11 * 3011,25,49,33121,1.0,1.0,273.72727272727275,C,3.19709115883551,10.0,1.2615384615384615
527706025,37 * 5 * 5 * 7 * 31 * 11 * 239,25,217,2629,1.0,4.428571428571429,21.727272727272727,B+C,3.6199450849684505,10.0,0.9621621621621622
527992465,13 * 5 * 41 * 7 * 31 * 11 * 83,205,217,913,8.2,4.428571428571429,7.545454545454546,A+B+C,2.9859978256127633,28.0,1.349343339587242
528025225,13 * 5 * 5 * 7 * 7 * 71 * 467,25,49,33157,1.0,1.0,274.02479338842977,C,3.19709115883551,10.0,1.2615384615384615
528124597,13 * 29 * 113 * 7 * 7 * 11 * 23,3277,49,253,131.08,1.0,2.090909090909091,A+C,3.025050000103133,72.0,1.3019412689842962
528292765,13 * 5 * 17 * 7 * 7 * 11 * 887,85,49,9757,3.4,1.0,80.63636363636364,A+C,3.4157601047094523,12.0,1.0968325791855205
528325525,13 * 5 * 5 * 7 * 439 * 23 * 23,25,3073,529,1.0,62.714285714285715,4.371900826446281,B+C,3.19709115883551,10.0,1.2615384615384615
528352825,13 * 5 * 5 * 7 * 43 * 11 * 491,25,301,5401,1.0,6.142857142857143,44.63636363636363,B+C,3.19709115883551,10.0,1.2615384615384615
528361405,13 * 5 * 89 * 19 * 19 * 11 * 23,445,361,253,17.8,7.36734693877551,2.090909090909091,A+B+C,3.1021394524927537,48.0,1.3109766637856526
528472945,13 * 5 * 29 * 7 * 331 * 11 * 11,145,2317,121,5.8,47.285714285714285,1.0,A+B,3.2802323907239512,18.0,1.2063660477453582
528524425,13 * 5 * 5 * 19 * 31 * 11 * 251,25,589,2761,1.0,12.020408163265307,22.818181818181817,B+C,3.19709115883551,10.0,1.2615384615384615
528953425,13 * 5 * 5 * 7 * 919 * 11 * 23,25,6433,253,1.0,131.28571428571428,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
528980725,13 * 5 * 5 * 7 * 7 * 59 * 563,25,49,33217,1.0,1.0,274.5206611570248,C,3.19709115883551,10.0,1.2615384615384615
529062457,181 * 17 * 29 * 7 * 7 * 11 * 11,493,49,121,19.72,1.0,1.0,A,3.354088838358954,104.0,1.077359272914729
529109581,13 * 17 * 17 * 7 * 31 * 11 * 59,289,217,649,11.56,4.428571428571429,5.363636363636363,A+B+C,3.6344290505833943,14.0,0.9321266968325792
529133605,13 * 5 * 1373 * 7 * 7 * 11 * 11,6865,49,121,274.6,1.0,1.0,A,3.606737267460348,82.0,0.9154350383775002
529184425,373 * 5 * 5 * 7 * 67 * 11 * 11,25,469,121,1.0,9.571428571428571,1.0,B,3.4142024735704153,130.0,1.1378016085790885
529402225,61 * 5 * 5 * 19 * 151 * 11 * 11,25,2869,121,1.0,58.55102040816327,1.0,B,3.0903554861863745,34.0,1.2918032786885245
529489345,337 * 5 * 53 * 7 * 7 * 11 * 11,265,49,121,10.6,1.0,1.0,A,3.4580522520680343,160.0,1.0914506466603213
529554025,13 * 5 * 5 * 7 * 7 * 11 * 3023,25,49,33253,1.0,1.0,274.8181818181818,C,3.19709115883551,10.0,1.2615384615384615
