run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
43,3824013298198080884707243072584758819411,2188546,2208715,4,4
44,3380340334943328519827001972528138731773,2077435,2086932,3,3
45,6751617603310037064432158620553858063029,2018717,1149144,5,6
46,1921547820638989057066072108764990593093,2396203,2444534,2,2
47,8814288850180543488955747867543491586871,2024489,1668003,5,6
48,7149464031875760043049237653563343510945,9051,2228,5,5
49,2479529112596767625319510897398808164459,10568,4123,3,3
50,2497574491953520451356260343823504302921,2410238,1648367,4,5
51,4294694701924159310884068469475248682015,2334527,2337488,4,4
52,1071503202571061540146014734782646740609,26415,25508,4,4
53,8924367723994133272339560172699911406383,9647,3945,5,5
54,2873206032429898983587415667202050957245,1380,2393,5,5
55,2697157896311460529193942125778000981519,2934,1114,3,3
56,4518539607278067073611366362797484588943,1993036,1987544,6,6
57,7719547736022042635530602713598816124139,2371541,2388130,3,3
58,1142161165748066783227389553562396446425,2629902,2626468,4,4
59,1361107758340618574088734991192632890537,118868,18757,5,5
60,8686980122262141248456180182611772887555,1113,1187,4,4
61,5918550506294312064716669066856961334591,1512,1414,5,5
62,1901789304694250132437979536150801868509,59829,82909,3,3
63,6517764994467199169856321930129308889567,201924,182061,4,4
64,6933988977498454864240269133255732879915,715009,1083969,6,6
65,3028354199428144453475281347970701537801,819915,2567663,4,3
66,5908484356698079326854445646712499584155,39147,119552,5,5
67,3550719639193614099864225497941806656743,1434,1791,5,5
68,7606377040505371610405220869329278443269,68229,10842,6,6
69,9148825775994899133973585478743286111231,3903,1278,2,2
70,1177268095514448572333738556405819614037,3709,1151,2,2
71,7010194435277262406013976889118182862373,2236513,2236941,7,7
72,7321569716596040757633489819056917974653,11336,4039,5,5
73,2539110597937954673929800919789585517429,36281,22755,7,7
74,4667045947004278920386601363092506174185,4062,2099,4,4
75,2767821376615471548438776814758217302225,863084,2175022,6,5
76,2248802149942476663010403316280668105227,2360233,2338905,3,3
77,2422567925225261487375362243920637293567,642511,1258000,3,3
78,2823004386992546092417616267273264048833,2086240,2044112,4,4
79,7861717668254305288189343155211510157749,429621,156394,4,4
80,5637933148857080193126377626686006755911,404554,1207790,3,3
81,8755513586393447877242914967760766507563,82958,45444,7,7
82,7569416960736824361867259873295250771479,136204,50410,2,2
83,8082337797008360925742238424090387960403,6269,3973,4,4
84,2337400929953488054393879650706965972469,2609865,2613068,2,2
85,3327230126342339678202445454617915601659,9691,3342,3,3
86,6470503368337881094436838988909667267591,67539,69627,5,5
87,9267128704644316659638841529507908470347,2261260,2312042,4,4
88,7485583799228324955953266474342260599019,3415023,3383185,2,2
89,7797473532308086703512096287878370142659,3937,1746,8,8
90,7862422832746751096975816137998733638869,2593668,2592572,3,3
91,2561203255116694973767108395755853422255,108748,82667,7,7
92,8126705570202299983741393589429197253183,3497995,3492518,1,1
93,8897009586947947279809580989311738425877,21548,22756,3,3
94,8807053009765677115022672985626030938829,553974,3525037,6,5
95,2950425239493400308824494842227927136701,12707,6922,4,4
96,7958800936930318701301685611663518516627,85582,1051027,4,4
97,1105645283681787619944514351496153521925,20474,22997,6,6
98,8627174335258498284329067521568811519163,2332728,2340810,3,3
99,8655527080741924807402363088912232721109,3716,2391,6,6
100,1338983730203748861181818833139283102037,161614,53882,4,4
