T_K,Korrelation
9.169565217391304031e+03,-4.704468518326167248e-02
9.219397993311036771e+03,-4.180596814033470110e-02
9.269230769230769511e+03,-3.219399808591114076e-02
9.319063545150502250e+03,-2.011964241721897126e-02
9.368896321070233171e+03,-7.444605592663280404e-03
9.418729096989965910e+03,3.615393932567038948e-03
9.468561872909698650e+03,1.087973699583480100e-02
9.518394648829431389e+03,1.257844288766883124e-02
9.568227424749164129e+03,7.683218869451091323e-03
9.618060200668896869e+03,-4.194853112605560416e-03
9.667892976588627789e+03,-2.239791261413084239e-02
9.717725752508360529e+03,-4.553654149888435032e-02
9.767558528428093268e+03,-7.127931182723454273e-02
9.817391304347826008e+03,-9.744749965794008428e-02
9.867224080267558747e+03,-1.210263526169856607e-01
9.917056856187291487e+03,-1.399361521661566798e-01
9.966889632107024227e+03,-1.518772880008055493e-01
1.001672240802675515e+04,-1.556061274881372636e-01
1.006655518394648789e+04,-1.509863999431427517e-01
1.011638795986622063e+04,-1.386059502469228488e-01
1.016622073578595337e+04,-1.199797234325258866e-01
1.021605351170568611e+04,-9.733803534624174691e-02
1.026588628762541884e+04,-7.309940430534248024e-02
1.031571906354514977e+04,-4.990471042301528048e-02
1.036555183946488251e+04,-3.002126590866550232e-02
1.041538461538461524e+04,-1.487007778965055392e-02
1.046521739130434798e+04,-5.652821256886876068e-03
1.051505016722408072e+04,-2.109114552202038910e-03
1.056488294314381346e+04,-3.723233549176230804e-03
1.061471571906354438e+04,-9.058767028289107723e-03
1.066454849498327712e+04,-1.665722507349949241e-02
1.071438127090300986e+04,-2.462184997264995831e-02
1.076421404682274260e+04,-3.176207387510687763e-02
1.081404682274247534e+04,-3.685580467780365937e-02
1.086387959866220808e+04,-3.929486113357492233e-02
1.091371237458193900e+04,-3.943789541787232067e-02
1.096354515050167174e+04,-3.704087462805159825e-02
1.101337792642140448e+04,-3.354463770374065817e-02
1.106321070234113722e+04,-2.931996608643559418e-02
1.111304347826086996e+04,-2.523174284208184320e-02
1.116287625418060270e+04,-2.197913080890081736e-02
1.121270903010033362e+04,-1.947785077972516779e-02
1.126254180602006636e+04,-1.794861451223178986e-02
1.131237458193979910e+04,-1.668339133894056192e-02
1.136220735785953184e+04,-1.539005622885153413e-02
1.141204013377926458e+04,-1.328185209194136275e-02
1.146187290969899732e+04,-1.001538906467659175e-02
1.151170568561872824e+04,-5.227576726639049549e-03
1.156153846153846098e+04,9.757588256175564901e-04
1.161137123745819372e+04,8.258434369309055820e-03
1.166120401337792646e+04,1.614162599455058397e-02
1.171103678929765920e+04,2.368973035297341698e-02
1.176086956521739194e+04,3.050023715614241793e-02
1.181070234113712286e+04,3.567881493695336526e-02
1.186053511705685560e+04,3.893362550089111973e-02
1.191036789297658834e+04,4.029712726142546664e-02
1.196020066889632108e+04,3.972058182618326549e-02
1.201003344481605382e+04,3.819634626635998870e-02
1.205986622073578656e+04,3.608038278992116432e-02
1.210969899665551748e+04,3.433049349752386598e-02
1.215953177257525022e+04,3.383478777019748029e-02
1.220936454849498296e+04,3.491002867394087800e-02
1.225919732441471569e+04,3.846062823667809744e-02
1.230903010033444843e+04,4.400328478528349463e-02
1.235886287625418117e+04,5.154797844136031065e-02
1.240869565217391209e+04,6.056884753572715913e-02
1.245852842809364483e+04,6.995330097419416582e-02
1.250836120401337757e+04,7.987638300466093355e-02
1.255819397993311031e+04,8.850682955521660400e-02
1.260802675585284305e+04,9.586114024586464555e-02
1.265785953177257579e+04,1.013343287010254890e-01
1.270769230769230671e+04,1.042837567592937303e-01
1.275752508361203945e+04,1.058985516842380625e-01
1.280735785953177219e+04,1.052036202634667322e-01
