e,state_key,count
1201,5·5 | 7·7 | 11·47,1
1213,5·5 | 7·7 | 11·11,1
1213,5·5 | 7·7 | 11·23,1
1213,5·5 | 7·19 | 11·11,1
1213,5·17 | 7·7 | 11·11,1
1213,5·5 | 7·7 | 11·47,1
1237,5·5 | 7·7 | 11·11,1
1237,5·5 | 7·7 | 11·23,1
1237,5·5 | 7·19 | 11·11,1
1237,5·17 | 7·7 | 11·11,1
1237,5·5 | 7·7 | 11·47,1
1249,5·5 | 7·7 | 11·11,1
1249,5·5 | 7·7 | 11·23,1
1249,5·5 | 7·19 | 11·11,1
1249,5·17 | 7·7 | 11·11,1
1249,5·5 | 7·7 | 11·47,1
1297,5·5 | 7·7 | 11·11,1
1297,5·5 | 7·7 | 11·23,1
1297,5·5 | 7·19 | 11·11,1
1297,5·17 | 7·7 | 11·11,1
1297,5·5 | 7·7 | 11·47,1
1321,5·5 | 7·7 | 11·11,1
1321,5·5 | 7·7 | 11·23,1
1321,5·5 | 7·19 | 11·11,1
1321,5·17 | 7·7 | 11·11,1
1321,5·5 | 7·7 | 11·47,1
1381,5·5 | 7·7 | 11·11,1
1381,5·5 | 7·7 | 11·23,1
1381,5·5 | 7·19 | 11·11,1
1381,5·17 | 7·7 | 11·11,1
1381,5·5 | 7·7 | 11·47,1
1429,5·5 | 7·7 | 11·11,1
1429,5·5 | 7·7 | 11·23,1
1429,5·5 | 7·19 | 11·11,1
1429,5·17 | 7·7 | 11·11,1
1429,5·5 | 7·7 | 11·47,1
1453,5·5 | 7·7 | 11·11,1
1453,5·5 | 7·7 | 11·23,1
1453,5·5 | 7·19 | 11·11,1
1453,5·17 | 7·7 | 11·11,1
1453,5·5 | 7·7 | 11·47,1
1489,5·5 | 7·7 | 11·11,1
1489,5·5 | 7·7 | 11·23,1
1489,5·5 | 7·19 | 11·11,1
1489,5·17 | 7·7 | 11·11,1
1489,5·5 | 7·7 | 11·47,1
1549,5·5 | 7·7 | 11·11,1
1549,5·5 | 7·7 | 11·23,1
1549,5·5 | 7·19 | 11·11,1
1549,5·17 | 7·7 | 11·11,1
1549,5·5 | 7·7 | 11·47,1
1597,5·5 | 7·7 | 11·11,1
1597,5·5 | 7·7 | 11·23,1
1597,5·5 | 7·19 | 11·11,1
1597,5·17 | 7·7 | 11·11,1
1609,5·5 | 7·7 | 11·11,1
1609,5·5 | 7·7 | 11·23,1
1609,5·5 | 7·19 | 11·11,1
1609,5·17 | 7·7 | 11·11,1
1621,5·5 | 7·7 | 11·11,1
1621,5·5 | 7·7 | 11·23,1
1621,5·5 | 7·19 | 11·11,1
1621,5·17 | 7·7 | 11·11,1
1657,5·5 | 7·7 | 11·11,1
1657,5·5 | 7·7 | 11·23,1
1657,5·5 | 7·19 | 11·11,1
1657,5·17 | 7·7 | 11·11,1
