a,b,total,distinct_c,entropy,top_c_list,entropy_norm
89,7,464,16,1.3553870937443464,11×290(0.625); 23×80(0.172); 47×28(0.060); 59×18(0.039); 71×12(0.026); 83×9(0.019); 107×7(0.015); 131×4(0.009); 167×2(0.004); 179×2(0.004),0.4888525596574683
5,331,106,7,0.9490240071248175,11×77(0.726); 23×17(0.160); 47×4(0.038); 59×2(0.019); 71×2(0.019); 83×2(0.019); 107×2(0.019),0.4877018641305422
17,67,130,9,1.0710278483180835,11×88(0.677); 23×25(0.192); 47×6(0.046); 59×4(0.031); 71×2(0.015); 83×2(0.015); 107×1(0.008); 131×1(0.008); 167×1(0.008),0.48744578017442897
5,127,476,16,1.3497158409886862,11×297(0.624); 23×84(0.176); 47×30(0.063); 59×15(0.032); 71×13(0.027); 83×9(0.019); 107×8(0.017); 131×4(0.008); 167×2(0.004); 179×2(0.004),0.4868070876009136
233,7,104,7,0.9464340885014038,11×76(0.731); 23×16(0.154); 47×4(0.038); 59×2(0.019); 71×2(0.019); 83×2(0.019); 107×2(0.019),0.48637090924309734
5,103,656,19,1.4190819241744363,11×400(0.610); 23×115(0.175); 47×38(0.058); 59×30(0.046); 71×17(0.026); 83×13(0.020); 107×9(0.014); 131×8(0.012); 179×4(0.006); 167×4(0.006),0.48195324617532853
293,7,78,6,0.8631609467447316,11×59(0.756); 23×11(0.141); 47×2(0.026); 59×2(0.026); 71×2(0.026); 83×2(0.026),0.48173929680226996
17,79,98,8,1.0014100223148885,11×68(0.694); 23×19(0.194); 47×4(0.041); 59×2(0.020); 71×2(0.020); 83×1(0.010); 107×1(0.010); 131×1(0.010),0.48157642436339865
41,31,98,8,1.0014100223148885,11×68(0.694); 23×19(0.194); 47×4(0.041); 59×2(0.020); 71×2(0.020); 83×1(0.010); 107×1(0.010); 131×1(0.010),0.48157642436339865
5,151,374,15,1.3038178521040011,11×241(0.644); 23×62(0.166); 47×21(0.056); 59×13(0.035); 71×9(0.024); 83×8(0.021); 107×4(0.011); 131×2(0.005); 167×2(0.005); 179×2(0.005),0.4814600008424257
53,7,962,26,1.562090675219475,11×554(0.576); 23×178(0.185); 47×53(0.055); 59×39(0.041); 71×34(0.035); 83×26(0.027); 107×14(0.015); 131×9(0.009); 167×7(0.007); 179×7(0.007),0.4794488613182939
29,67,52,6,0.85699889370422,11×39(0.750); 23×8(0.154); 47×2(0.038); 59×1(0.019); 71×1(0.019); 83×1(0.019),0.478300189518988
5,79,934,26,1.553385751817544,11×541(0.579); 23×171(0.183); 47×51(0.055); 59×40(0.043); 71×31(0.033); 83×24(0.026); 107×15(0.016); 131×9(0.010); 167×8(0.009); 179×6(0.006),0.4767770794050369
5,67,1186,28,1.5690089590811256,11×684(0.577); 23×212(0.179); 47×72(0.061); 59×52(0.044); 71×40(0.034); 83×29(0.024); 107×17(0.014); 131×13(0.011); 167×9(0.008); 179×8(0.007),0.4708621437519838
29,79,42,6,0.8411432919748071,11×32(0.762); 23×6(0.143); 47×1(0.024); 59×1(0.024); 71×1(0.024); 83×1(0.024),0.4694510097034383
53,43,42,6,0.8411432919748071,11×32(0.762); 23×6(0.143); 47×1(0.024); 59×1(0.024); 71×1(0.024); 83×1(0.024),0.4694510097034383
41,7,1376,32,1.6218698399940465,11×784(0.570); 23×243(0.177); 47×78(0.057); 59×56(0.041); 71×48(0.035); 83×41(0.030); 107×26(0.019); 131×14(0.010); 167×9(0.007); 179×9(0.007),0.4679727150253575
5,43,2138,39,1.695817776475891,11×1174(0.549); 23×390(0.182); 47×131(0.061); 59×97(0.045); 71×74(0.035); 83×53(0.025); 107×40(0.019); 131×30(0.014); 167×17(0.008); 191×15(0.007),0.4628877415690358
29,31,182,11,1.1090180192915666,11×123(0.676); 23×33(0.181); 47×10(0.055); 59×5(0.027); 71×4(0.022); 83×2(0.011); 107×1(0.005); 131×1(0.005); 167×1(0.005); 179×1(0.005),0.46249643671774293
5,7,30684,188,2.4155064086227624,11×13317(0.434); 23×5002(0.163); 47×2001(0.065); 59×1502(0.049); 71×1174(0.038); 83×989(0.032); 107×701(0.023); 131×546(0.018); 167×408(0.013); 179×370(0.012),0.46128772662217027
5,31,3446,52,1.8199632788440068,11×1815(0.527); 23×614(0.178); 47×225(0.065); 59×159(0.046); 71×118(0.034); 83×93(0.027); 107×63(0.018); 131×52(0.015); 167×35(0.010); 179×31(0.009),0.46060516851575245
101,19,58,6,0.8248281924507407,11×44(0.759); 23×9(0.155); 47×2(0.034); 59×1(0.017); 71×1(0.017); 83×1(0.017),0.46034537928581565
29,7,2208,42,1.7199898253784824,11×1209(0.548); 23×397(0.180); 47×141(0.064); 59×99(0.045); 71×69(0.031); 83×56(0.025); 107×39(0.018); 131×32(0.014); 167×23(0.010); 179×16(0.007),0.46017706245755263
53,19,162,11,1.0990861525261177,11×111(0.685); 23×29(0.179); 47×6(0.037); 59×5(0.031); 71×4(0.025); 83×2(0.012); 107×1(0.006); 131×1(0.006); 167×1(0.006); 179×1(0.006),0.4583545265692408
17,7,4796,68,1.915104042793967,11×2454(0.512); 23×843(0.176); 47×311(0.065); 59×222(0.046); 71×176(0.037); 83×135(0.028); 107×91(0.019); 131×71(0.015); 167×53(0.011); 179×44(0.009),0.4538690711346947
5,19,6882,82,1.982178536819034,11×3447(0.501); 23×1192(0.173); 47×445(0.065); 59×331(0.048); 71×250(0.036); 83×205(0.030); 107×139(0.020); 131×106(0.015); 167×71(0.010); 179×64(0.009),0.4498082191302737
17,127,48,6,0.8040065565074014,11×37(0.771); 23×7(0.146); 47×1(0.021); 59×1(0.021); 71×1(0.021); 83×1(0.021),0.4487246030036566
17,31,440,18,1.2966815441608026,11×282(0.641); 23×77(0.175); 47×23(0.052); 59×17(0.039); 71×10(0.023); 83×9(0.020); 107×6(0.014); 131×4(0.009); 179×2(0.005); 167×2(0.005),0.44862102621173805
41,43,62,7,0.867162565085114,11×47(0.758); 23×9(0.145); 47×2(0.032); 59×1(0.016); 71×1(0.016); 83×1(0.016); 107×1(0.016),0.44563340476234115
17,43,258,15,1.1997124629319371,11×172(0.667); 23×44(0.171); 47×14(0.054); 59×8(0.031); 71×6(0.023); 83×4(0.016); 107×2(0.008); 131×1(0.004); 167×1(0.004); 179×1(0.004),0.44301706904976845
41,19,244,14,1.167957525233482,11×166(0.680); 23×40(0.164); 47×11(0.045); 59×7(0.029); 71×6(0.025); 83×5(0.020); 107×2(0.008); 131×1(0.004); 167×1(0.004); 179×1(0.004),0.44256618154019245
29,19,422,18,1.2779824274179625,11×272(0.645); 23×74(0.175); 47×22(0.052); 59×18(0.043); 71×9(0.021); 83×7(0.017); 107×5(0.012); 131×4(0.009); 167×2(0.005); 251×1(0.002),0.4421515758056592
17,103,66,7,0.8561199607769155,11×50(0.758); 23×10(0.152); 47×2(0.030); 59×1(0.015); 71×1(0.015); 83×1(0.015); 107×1(0.015),0.4399586287129129
53,31,66,7,0.8561199607769155,11×50(0.758); 23×10(0.152); 47×2(0.030); 59×1(0.015); 71×1(0.015); 83×1(0.015); 107×1(0.015),0.4399586287129129
17,19,936,29,1.4747301080622655,11×557(0.595); 23×175(0.187); 47×53(0.057); 59×37(0.040); 71×27(0.029); 83×20(0.021); 107×14(0.015); 131×10(0.011); 167×7(0.007); 179×7(0.007),0.43795680050724534
113,19,50,6,0.7820175005792779,11×39(0.780); 23×7(0.140); 47×1(0.020); 59×1(0.020); 71×1(0.020); 83×1(0.020),0.43645227722234115
89,19,68,7,0.8389662543335394,11×52(0.765); 23×10(0.147); 47×2(0.029); 59×1(0.015); 71×1(0.015); 83×1(0.015); 107×1(0.015),0.4311433674061646
