e,count,n_min,n_max,mean_logR_sum,share_excA,share_excB,share_excC
3109,2,460831525,963556825,0.36879947156538956,0.0,0.0,0.5
2857,2,423478825,885455725,0.36879947156538956,0.0,0.0,0.5
2797,2,414585325,866860225,0.36879947156538956,0.0,0.0,0.5
2749,2,407470525,851983825,0.36879947156538956,0.0,0.0,0.5
2713,2,402134425,840826525,0.36879947156538956,0.0,0.0,0.5
2689,2,398577025,833388325,0.36879947156538956,0.0,0.0,0.5
2677,2,396798325,829669225,0.36879947156538956,0.0,0.0,0.5
2617,2,387904825,811073725,0.36879947156538956,0.0,0.0,0.5
2593,2,384347425,803635525,0.36879947156538956,0.0,0.0,0.5
2557,2,379011325,792478225,0.36879947156538956,0.0,0.0,0.5
2521,2,373675225,781320925,0.36879947156538956,0.0,0.0,0.5
2833,2,419921425,878017525,0.36879947156538956,0.0,0.0,0.5
5689,1,843252025,843252025,0.0,0.0,0.0,0.0
5569,1,825465025,825465025,0.0,0.0,0.0,0.0
5581,1,827243725,827243725,0.0,0.0,0.0,0.0
5641,1,836137225,836137225,0.0,0.0,0.0,0.0
5653,1,837915925,837915925,0.0,0.0,0.0,0.0
5821,1,862817725,862817725,0.0,0.0,0.0,0.0
5701,1,845030725,845030725,0.0,0.0,0.0,0.0
5737,1,850366825,850366825,0.0,0.0,0.0,0.0
5749,1,852145525,852145525,0.0,0.0,0.0,0.0
5521,1,818350225,818350225,0.0,0.0,0.0,0.0
5557,1,823686325,823686325,0.0,0.0,0.0,0.0
5233,1,775661425,775661425,0.0,0.0,0.0,0.0
5449,1,807678025,807678025,0.0,0.0,0.0,0.0
5437,1,805899325,805899325,0.0,0.0,0.0,0.0
5413,1,802341925,802341925,0.0,0.0,0.0,0.0
5281,1,782776225,782776225,0.0,0.0,0.0,0.0
5869,1,869932525,869932525,0.0,0.0,0.0,0.0
5209,1,772104025,772104025,0.0,0.0,0.0,0.0
5197,1,770325325,770325325,0.0,0.0,0.0,0.0
5113,1,757874425,757874425,0.0,0.0,0.0,0.0
5101,1,756095725,756095725,0.0,0.0,0.0,0.0
5077,1,752538325,752538325,0.0,0.0,0.0,0.0
5857,1,868153825,868153825,0.0,0.0,0.0,0.0
6121,1,907285225,907285225,0.0,0.0,0.0,0.0
5881,1,871711225,871711225,0.0,0.0,0.0,0.0
6397,1,948195325,948195325,0.0,0.0,0.0,0.0
6709,1,994441525,994441525,0.0,0.0,0.0,0.0
6673,1,989105425,989105425,0.0,0.0,0.0,0.0
6661,1,987326725,987326725,0.0,0.0,0.0,0.0
6637,1,983769325,983769325,0.0,0.0,0.0,0.0
6577,1,974875825,974875825,0.0,0.0,0.0,0.0
6553,1,971318425,971318425,0.0,0.0,0.0,0.0
6529,1,967761025,967761025,0.0,0.0,0.0,0.0
6481,1,960646225,960646225,0.0,0.0,0.0,0.0
6469,1,958867525,958867525,0.0,0.0,0.0,0.0
6421,1,951752725,951752725,0.0,0.0,0.0,0.0
6373,1,944637925,944637925,0.0,0.0,0.0,0.0
5953,1,882383425,882383425,0.0,0.0,0.0,0.0
6361,1,942859225,942859225,0.0,0.0,0.0,0.0
6337,1,939301825,939301825,0.0,0.0,0.0,0.0
6301,1,933965725,933965725,0.0,0.0,0.0,0.0
6277,1,930408325,930408325,0.0,0.0,0.0,0.0
6229,1,923293525,923293525,0.0,0.0,0.0,0.0
6217,1,921514825,921514825,0.0,0.0,0.0,0.0
6133,1,909063925,909063925,0.0,0.0,0.0,0.0
4969,1,736530025,736530025,0.0,0.0,0.0,0.0
6073,1,900170425,900170425,0.0,0.0,0.0,0.0
6037,1,894834325,894834325,0.0,0.0,0.0,0.0
4993,1,740087425,740087425,0.0,0.0,0.0,0.0
4813,1,713406925,713406925,0.0,0.0,0.0,0.0
4957,1,734751325,734751325,0.0,0.0,0.0,0.0
3889,1,576447025,576447025,0.0,0.0,0.0,0.0
3853,1,571110925,571110925,0.0,0.0,0.0,0.0
3793,1,562217425,562217425,0.0,0.0,0.0,0.0
3769,1,558660025,558660025,0.0,0.0,0.0,0.0
3733,1,553323925,553323925,0.0,0.0,0.0,0.0
3709,1,549766525,549766525,0.0,0.0,0.0,0.0
3697,1,547987825,547987825,0.0,0.0,0.0,0.0
3673,1,544430425,544430425,0.0,0.0,0.0,0.0
3637,1,539094325,539094325,0.0,0.0,0.0,0.0
3613,1,535536925,535536925,0.0,0.0,0.0,0.0
3541,1,524864725,524864725,0.0,0.0,0.0,0.0
3529,1,523086025,523086025,0.0,0.0,0.0,0.0
3517,1,521307325,521307325,0.0,0.0,0.0,0.0
3469,1,514192525,514192525,0.0,0.0,0.0,0.0
3457,1,512413825,512413825,0.0,0.0,0.0,0.0
3433,1,508856425,508856425,0.0,0.0,0.0,0.0
3373,1,499962925,499962925,0.0,0.0,0.0,0.0
3361,1,498184225,498184225,0.0,0.0,0.0,0.0
3313,1,491069425,491069425,0.0,0.0,0.0,0.0
3301,1,489290725,489290725,0.0,0.0,0.0,0.0
3253,1,482175925,482175925,0.0,0.0,0.0,0.0
3229,1,478618525,478618525,0.0,0.0,0.0,0.0
3877,1,574668325,574668325,0.0,0.0,0.0,0.0
4021,1,596012725,596012725,0.0,0.0,0.0,0.0
4933,1,731193925,731193925,0.0,0.0,0.0,0.0
4057,1,601348825,601348825,0.0,0.0,0.0,0.0
4909,1,727636525,727636525,0.0,0.0,0.0,0.0
4861,1,720521725,720521725,0.0,0.0,0.0,0.0
4801,1,711628225,711628225,0.0,0.0,0.0,0.0
4789,1,709849525,709849525,0.0,0.0,0.0,0.0
4729,1,700956025,700956025,0.0,0.0,0.0,0.0
4657,1,690283825,690283825,0.0,0.0,0.0,0.0
4621,1,684947725,684947725,0.0,0.0,0.0,0.0
4597,1,681390325,681390325,0.0,0.0,0.0,0.0
4561,1,676054225,676054225,0.0,0.0,0.0,0.0
4549,1,674275525,674275525,0.0,0.0,0.0,0.0
4513,1,668939425,668939425,0.0,0.0,0.0,0.0
4441,1,658267225,658267225,0.0,0.0,0.0,0.0
4357,1,645816325,645816325,0.0,0.0,0.0,0.0
4297,1,636922825,636922825,0.0,0.0,0.0,0.0
4273,1,633365425,633365425,0.0,0.0,0.0,0.0
4261,1,631586725,631586725,0.0,0.0,0.0,0.0
4201,1,622693225,622693225,0.0,0.0,0.0,0.0
4177,1,619135825,619135825,0.0,0.0,0.0,0.0
4153,1,615578425,615578425,0.0,0.0,0.0,0.0
4129,1,612021025,612021025,0.0,0.0,0.0,0.0
4093,1,606684925,606684925,0.0,0.0,0.0,0.0
6733,1,997998925,997998925,0.0,0.0,0.0,0.0
