n,e,a,b,c,abc_state,t_abc
11467225,37,5,7,11,5·5 | 7·7 | 11·23,385
11467225,37,5,7,23,5·5 | 7·7 | 11·23,805
11836825,13,5,7,11,5·5 | 7·43 | 11·11,385
11836825,13,5,7,11,5·5 | 7·43 | 11·11,385
11836825,13,5,43,11,5·5 | 7·43 | 11·11,2365
11836825,13,5,43,11,5·5 | 7·43 | 11·11,2365
11836825,13,5,7,11,5·5 | 7·43 | 11·11,385
11836825,13,5,7,11,5·5 | 7·43 | 11·11,385
11836825,13,5,43,11,5·5 | 7·43 | 11·11,2365
11836825,13,5,43,11,5·5 | 7·43 | 11·11,2365
12437425,13,5,7,11,5·5 | 7·7 | 11·71,385
12437425,13,5,7,71,5·5 | 7·7 | 11·71,2485
12437425,13,5,7,11,5·5 | 7·7 | 11·71,385
12437425,13,5,7,71,5·5 | 7·7 | 11·71,2485
12437425,13,5,7,11,5·5 | 7·7 | 11·71,385
12437425,13,5,7,71,5·5 | 7·7 | 11·71,2485
12437425,13,5,7,11,5·5 | 7·7 | 11·71,385
12437425,13,5,7,71,5·5 | 7·7 | 11·71,2485
13698685,13,5,7,11,5·17 | 7·7 | 11·23,385
13698685,13,5,7,23,5·17 | 7·7 | 11·23,805
13698685,13,5,7,11,5·17 | 7·7 | 11·23,385
13698685,13,5,7,23,5·17 | 7·7 | 11·23,805
13698685,13,17,7,11,5·17 | 7·7 | 11·23,1309
13698685,13,17,7,23,5·17 | 7·7 | 11·23,2737
13698685,13,17,7,11,5·17 | 7·7 | 11·23,1309
13698685,13,17,7,23,5·17 | 7·7 | 11·23,2737
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14196325,13,5,19,11,5·5 | 19·19 | 11·11,1045
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14377825,97,5,7,11,5·5 | 7·7 | 11·11,385
14539525,13,5,7,11,5·5 | 7·7 | 11·83,385
14539525,13,5,7,83,5·5 | 7·7 | 11·83,2905
14539525,13,5,7,11,5·5 | 7·7 | 11·83,385
14539525,13,5,7,83,5·5 | 7·7 | 11·83,2905
14539525,13,5,7,11,5·5 | 7·7 | 11·83,385
14539525,13,5,7,83,5·5 | 7·7 | 11·83,2905
14539525,13,5,7,11,5·5 | 7·7 | 11·83,385
14539525,13,5,7,83,5·5 | 7·7 | 11·83,2905
14886025,37,5,7,11,5·5 | 7·19 | 11·11,385
14886025,37,5,7,11,5·5 | 7·19 | 11·11,385
14886025,37,5,19,11,5·5 | 7·19 | 11·11,1045
14886025,37,5,19,11,5·5 | 7·19 | 11·11,1045
14886025,37,5,7,11,5·5 | 7·19 | 11·11,385
14886025,37,5,7,11,5·5 | 7·19 | 11·11,385
14886025,37,5,19,11,5·5 | 7·19 | 11·11,1045
14886025,37,5,19,11,5·5 | 7·19 | 11·11,1045
15800785,13,5,7,11,5·41 | 7·7 | 11·11,385
15800785,13,5,7,11,5·41 | 7·7 | 11·11,385
15800785,13,5,7,11,5·41 | 7·7 | 11·11,385
15800785,13,5,7,11,5·41 | 7·7 | 11·11,385
15800785,13,41,7,11,5·41 | 7·7 | 11·11,3157
15800785,13,41,7,11,5·41 | 7·7 | 11·11,3157
15800785,13,41,7,11,5·41 | 7·7 | 11·11,3157
15800785,13,41,7,11,5·41 | 7·7 | 11·11,3157
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
16156525,109,5,7,11,5·5 | 7·7 | 11·11,385
17214925,13,5,7,23,5·5 | 7·7 | 23·47,805
17214925,13,5,7,47,5·5 | 7·7 | 23·47,1645
17214925,13,5,7,23,5·5 | 7·7 | 23·47,805
17214925,13,5,7,47,5·5 | 7·7 | 23·47,1645
17214925,13,5,7,23,5·5 | 7·7 | 23·47,805
17214925,13,5,7,47,5·5 | 7·7 | 23·47,1645
17214925,13,5,7,23,5·5 | 7·7 | 23·47,805
17214925,13,5,7,47,5·5 | 7·7 | 23·47,1645
17782765,13,5,7,11,5·17 | 7·19 | 11·11,385
17782765,13,5,7,11,5·17 | 7·19 | 11·11,385
17782765,13,5,19,11,5·17 | 7·19 | 11·11,1045
17782765,13,5,19,11,5·17 | 7·19 | 11·11,1045
17782765,13,17,7,11,5·17 | 7·19 | 11·11,1309
17782765,13,17,7,11,5·17 | 7·19 | 11·11,1309
17782765,13,17,19,11,5·17 | 7·19 | 11·11,3553
17782765,13,17,19,11,5·17 | 7·19 | 11·11,3553
17842825,13,5,7,11,5·5 | 7·31 | 11·23,385
17842825,13,5,7,23,5·5 | 7·31 | 11·23,805
17842825,13,5,31,11,5·5 | 7·31 | 11·23,1705
17842825,13,5,31,23,5·5 | 7·31 | 11·23,3565
17842825,13,5,7,11,5·5 | 7·31 | 11·23,385
17842825,13,5,7,23,5·5 | 7·31 | 11·23,805
17842825,13,5,31,11,5·5 | 7·31 | 11·23,1705
17842825,13,5,31,23,5·5 | 7·31 | 11·23,3565
18443425,13,5,7,11,5·5 | 7·67 | 11·11,385
18443425,13,5,7,11,5·5 | 7·67 | 11·11,385
18443425,13,5,67,11,5·5 | 7·67 | 11·11,3685
18443425,13,5,67,11,5·5 | 7·67 | 11·11,3685
18443425,13,5,7,11,5·5 | 7·67 | 11·11,385
18443425,13,5,7,11,5·5 | 7·67 | 11·11,385
18443425,13,5,67,11,5·5 | 7·67 | 11·11,3685
18443425,13,5,67,11,5·5 | 7·67 | 11·11,3685
18646705,37,5,7,11,5·17 | 7·7 | 11·11,385
18646705,37,5,7,11,5·17 | 7·7 | 11·11,385
18646705,37,5,7,11,5·17 | 7·7 | 11·11,385
18646705,37,5,7,11,5·17 | 7·7 | 11·11,385
18646705,37,17,7,11,5·17 | 7·7 | 11·11,1309
18646705,37,17,7,11,5·17 | 7·7 | 11·11,1309
18646705,37,17,7,11,5·17 | 7·7 | 11·11,1309
18646705,37,17,7,11,5·17 | 7·7 | 11·11,1309
18743725,13,5,7,11,5·5 | 7·7 | 11·107,385
18743725,13,5,7,107,5·5 | 7·7 | 11·107,3745
18743725,13,5,7,11,5·5 | 7·7 | 11·107,385
18743725,13,5,7,107,5·5 | 7·7 | 11·107,3745
18743725,13,5,7,11,5·5 | 7·7 | 11·107,385
18743725,13,5,7,107,5·5 | 7·7 | 11·107,3745
18743725,13,5,7,11,5·5 | 7·7 | 11·107,385
18743725,13,5,7,107,5·5 | 7·7 | 11·107,3745
18905425,61,5,7,11,5·5 | 7·7 | 11·23,385
18905425,61,5,7,23,5·5 | 7·7 | 11·23,805
18905425,61,5,7,11,5·5 | 7·7 | 11·23,385
18905425,61,5,7,23,5·5 | 7·7 | 11·23,805
18905425,61,5,7,11,5·5 | 7·7 | 11·23,385
18905425,61,5,7,23,5·5 | 7·7 | 11·23,805
18905425,61,5,7,11,5·5 | 7·7 | 11·23,385
18905425,61,5,7,23,5·5 | 7·7 | 11·23,805
20425405,13,5,7,11,5·53 | 7·7 | 11·11,385
20425405,13,5,7,11,5·53 | 7·7 | 11·11,385
20425405,13,5,7,11,5·53 | 7·7 | 11·11,385
20425405,13,5,7,11,5·53 | 7·7 | 11·11,385
20425405,13,53,7,11,5·53 | 7·7 | 11·11,4081
20425405,13,53,7,11,5·53 | 7·7 | 11·11,4081
20425405,13,53,7,11,5·53 | 7·7 | 11·11,4081
20425405,13,53,7,11,5·53 | 7·7 | 11·11,4081
21610225,13,5,7,23,5·5 | 7·7 | 23·59,805
21610225,13,5,7,59,5·5 | 7·7 | 23·59,2065
21610225,13,5,7,23,5·5 | 7·7 | 23·59,805
21610225,13,5,7,59,5·5 | 7·7 | 23·59,2065
21610225,13,5,7,23,5·5 | 7·7 | 23·59,805
21610225,13,5,7,59,5·5 | 7·7 | 23·59,2065
21610225,13,5,7,23,5·5 | 7·7 | 23·59,805
21610225,13,5,7,59,5·5 | 7·7 | 23·59,2065
21746725,13,5,7,11,5·5 | 7·79 | 11·11,385
21746725,13,5,7,11,5·5 | 7·79 | 11·11,385
21746725,13,5,79,11,5·5 | 7·79 | 11·11,4345
21746725,13,5,79,11,5·5 | 7·79 | 11·11,4345
21746725,13,5,7,11,5·5 | 7·79 | 11·11,385
21746725,13,5,7,11,5·5 | 7·79 | 11·11,385
21746725,13,5,79,11,5·5 | 7·79 | 11·11,4345
21746725,13,5,79,11,5·5 | 7·79 | 11·11,4345
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22275253,13,17,7,11,17·17 | 7·7 | 11·11,1309
22347325,13,5,7,11,5·5 | 7·19 | 11·47,385
22347325,13,5,7,47,5·5 | 7·19 | 11·47,1645
22347325,13,5,19,11,5·5 | 7·19 | 11·47,1045
22347325,13,5,19,47,5·5 | 7·19 | 11·47,4465
22347325,13,5,7,11,5·5 | 7·19 | 11·47,385
22347325,13,5,7,47,5·5 | 7·19 | 11·47,1645
22347325,13,5,19,11,5·5 | 7·19 | 11·47,1045
22347325,13,5,19,47,5·5 | 7·19 | 11·47,4465
22624525,73,5,7,11,5·5 | 7·7 | 11·23,385
22624525,73,5,7,23,5·5 | 7·7 | 11·23,805
22624525,73,5,7,11,5·5 | 7·7 | 11·23,385
22624525,73,5,7,23,5·5 | 7·7 | 11·23,805
22624525,73,5,7,11,5·5 | 7·7 | 11·23,385
22624525,73,5,7,23,5·5 | 7·7 | 11·23,805
22624525,73,5,7,11,5·5 | 7·7 | 11·23,385
22624525,73,5,7,23,5·5 | 7·7 | 11·23,805
22866025,13,5,7,23,5·5 | 7·19 | 23·23,805
22866025,13,5,7,23,5·5 | 7·19 | 23·23,805
22866025,13,5,19,23,5·5 | 7·19 | 23·23,2185
22866025,13,5,19,23,5·5 | 7·19 | 23·23,2185
22866025,13,5,7,23,5·5 | 7·19 | 23·23,805
22866025,13,5,7,23,5·5 | 7·19 | 23·23,805
22866025,13,5,19,23,5·5 | 7·19 | 23·23,2185
22866025,13,5,19,23,5·5 | 7·19 | 23·23,2185
22947925,13,5,7,11,5·5 | 7·7 | 11·131,385
22947925,13,5,7,131,5·5 | 7·7 | 11·131,4585
22947925,13,5,7,11,5·5 | 7·7 | 11·131,385
22947925,13,5,7,131,5·5 | 7·7 | 11·131,4585
22947925,13,5,7,11,5·5 | 7·7 | 11·131,385
22947925,13,5,7,131,5·5 | 7·7 | 11·131,4585
22947925,13,5,7,11,5·5 | 7·7 | 11·131,385
22947925,13,5,7,131,5·5 | 7·7 | 11·131,4585
23162425,13,5,19,11,5·5 | 19·31 | 11·11,1045
23162425,13,5,19,11,5·5 | 19·31 | 11·11,1045
23162425,13,5,31,11,5·5 | 19·31 | 11·11,1705
23162425,13,5,31,11,5·5 | 19·31 | 11·11,1705
23162425,13,5,19,11,5·5 | 19·31 | 11·11,1045
23162425,13,5,19,11,5·5 | 19·31 | 11·11,1045
23162425,13,5,31,11,5·5 | 19·31 | 11·11,1705
23162425,13,5,31,11,5·5 | 19·31 | 11·11,1705
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23271325,157,5,7,11,5·5 | 7·7 | 11·11,385
23368345,13,5,7,11,5·29 | 7·7 | 11·23,385
23368345,13,5,7,23,5·29 | 7·7 | 11·23,805
23368345,13,5,7,11,5·29 | 7·7 | 11·23,385
23368345,13,5,7,23,5·29 | 7·7 | 11·23,805
23368345,13,29,7,11,5·29 | 7·7 | 11·23,2233
23368345,13,29,7,23,5·29 | 7·7 | 11·23,4669
23368345,13,29,7,11,5·29 | 7·7 | 11·23,2233
23368345,13,29,7,23,5·29 | 7·7 | 11·23,4669
23433025,37,5,7,11,5·5 | 7·7 | 11·47,385
23433025,37,5,7,47,5·5 | 7·7 | 11·47,1645
23433025,37,5,7,11,5·5 | 7·7 | 11·47,385
23433025,37,5,7,47,5·5 | 7·7 | 11·47,1645
23433025,37,5,7,11,5·5 | 7·7 | 11·47,385
23433025,37,5,7,47,5·5 | 7·7 | 11·47,1645
23433025,37,5,7,11,5·5 | 7·7 | 11·47,385
23433025,37,5,7,47,5·5 | 7·7 | 11·47,1645
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
23976925,37,5,7,23,5·5 | 7·7 | 23·23,805
24287725,37,5,7,11,5·5 | 7·31 | 11·11,385
24287725,37,5,7,11,5·5 | 7·31 | 11·11,385
24287725,37,5,31,11,5·5 | 7·31 | 11·11,1705
24287725,37,5,31,11,5·5 | 7·31 | 11·11,1705
24287725,37,5,7,11,5·5 | 7·31 | 11·11,385
24287725,37,5,7,11,5·5 | 7·31 | 11·11,385
24287725,37,5,31,11,5·5 | 7·31 | 11·11,1705
24287725,37,5,31,11,5·5 | 7·31 | 11·11,1705
24541825,61,5,7,11,5·5 | 7·19 | 11·11,385
24541825,61,5,7,11,5·5 | 7·19 | 11·11,385
24541825,61,5,19,11,5·5 | 7·19 | 11·11,1045
24541825,61,5,19,11,5·5 | 7·19 | 11·11,1045
24541825,61,5,7,11,5·5 | 7·19 | 11·11,385
24541825,61,5,7,11,5·5 | 7·19 | 11·11,385
24541825,61,5,19,11,5·5 | 7·19 | 11·11,1045
24541825,61,5,19,11,5·5 | 7·19 | 11·11,1045
24749725,13,5,7,11,5·5 | 7·43 | 11·23,385
24749725,13,5,7,23,5·5 | 7·43 | 11·23,805
24749725,13,5,43,11,5·5 | 7·43 | 11·23,2365
24749725,13,5,43,23,5·5 | 7·43 | 11·23,4945
24749725,13,5,7,11,5·5 | 7·43 | 11·23,385
24749725,13,5,7,23,5·5 | 7·43 | 11·23,805
24749725,13,5,43,11,5·5 | 7·43 | 11·23,2365
24749725,13,5,43,23,5·5 | 7·43 | 11·23,4945
26005525,13,5,7,23,5·5 | 7·7 | 23·71,805
26005525,13,5,7,71,5·5 | 7·7 | 23·71,2485
26005525,13,5,7,23,5·5 | 7·7 | 23·71,805
26005525,13,5,7,71,5·5 | 7·7 | 23·71,2485
26005525,13,5,7,23,5·5 | 7·7 | 23·71,805
26005525,13,5,7,71,5·5 | 7·7 | 23·71,2485
26005525,13,5,7,23,5·5 | 7·7 | 23·71,805
26005525,13,5,7,71,5·5 | 7·7 | 23·71,2485
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
26828725,181,5,7,11,5·5 | 7·7 | 11·11,385
27992965,13,5,7,11,5·17 | 7·7 | 11·47,385
27992965,13,5,7,47,5·17 | 7·7 | 11·47,1645
27992965,13,5,7,11,5·17 | 7·7 | 11·47,385
27992965,13,5,7,47,5·17 | 7·7 | 11·47,1645
27992965,13,17,7,11,5·17 | 7·7 | 11·47,1309
27992965,13,17,7,47,5·17 | 7·7 | 11·47,5593
27992965,13,17,7,11,5·17 | 7·7 | 11·47,1309
27992965,13,17,7,47,5·17 | 7·7 | 11·47,5593
28053025,13,5,7,11,5·5 | 7·19 | 11·59,385
28053025,13,5,7,59,5·5 | 7·19 | 11·59,2065
28053025,13,5,19,11,5·5 | 7·19 | 11·59,1045
28053025,13,5,19,59,5·5 | 7·19 | 11·59,5605
28053025,13,5,7,11,5·5 | 7·19 | 11·59,385
28053025,13,5,7,59,5·5 | 7·19 | 11·59,2065
28053025,13,5,19,11,5·5 | 7·19 | 11·59,1045
28053025,13,5,19,59,5·5 | 7·19 | 11·59,5605
28353325,13,5,7,11,5·5 | 7·103 | 11·11,385
28353325,13,5,7,11,5·5 | 7·103 | 11·11,385
28353325,13,5,103,11,5·5 | 7·103 | 11·11,5665
28353325,13,5,103,11,5·5 | 7·103 | 11·11,5665
28353325,13,5,7,11,5·5 | 7·103 | 11·11,385
28353325,13,5,7,11,5·5 | 7·103 | 11·11,385
28353325,13,5,103,11,5·5 | 7·103 | 11·11,5665
28353325,13,5,103,11,5·5 | 7·103 | 11·11,5665
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28607425,193,5,7,11,5·5 | 7·7 | 11·11,385
28642705,13,5,7,23,5·17 | 7·7 | 23·23,805
28642705,13,5,7,23,5·17 | 7·7 | 23·23,805
28642705,13,5,7,23,5·17 | 7·7 | 23·23,805
28642705,13,5,7,23,5·17 | 7·7 | 23·23,805
28642705,13,17,7,23,5·17 | 7·7 | 23·23,2737
28642705,13,17,7,23,5·17 | 7·7 | 23·23,2737
28642705,13,17,7,23,5·17 | 7·7 | 23·23,2737
28642705,13,17,7,23,5·17 | 7·7 | 23·23,2737
29013985,13,5,7,11,5·17 | 7·31 | 11·11,385
29013985,13,5,7,11,5·17 | 7·31 | 11·11,385
29013985,13,5,31,11,5·17 | 7·31 | 11·11,1705
29013985,13,5,31,11,5·17 | 7·31 | 11·11,1705
29013985,13,17,7,11,5·17 | 7·31 | 11·11,1309
29013985,13,17,7,11,5·17 | 7·31 | 11·11,1309
29013985,13,17,31,11,5·17 | 7·31 | 11·11,5797
29013985,13,17,31,11,5·17 | 7·31 | 11·11,5797
29254225,13,5,7,11,5·5 | 7·7 | 11·167,385
29254225,13,5,7,167,5·5 | 7·7 | 11·167,5845
29254225,13,5,7,11,5·5 | 7·7 | 11·167,385
29254225,13,5,7,167,5·5 | 7·7 | 11·167,5845
29254225,13,5,7,11,5·5 | 7·7 | 11·167,385
29254225,13,5,7,167,5·5 | 7·7 | 11·167,5845
29254225,13,5,7,11,5·5 | 7·7 | 11·167,385
29254225,13,5,7,167,5·5 | 7·7 | 11·167,5845
29369725,73,5,7,11,5·5 | 7·19 | 11·11,385
29369725,73,5,7,11,5·5 | 7·19 | 11·11,385
29369725,73,5,19,11,5·5 | 7·19 | 11·11,1045
29369725,73,5,19,11,5·5 | 7·19 | 11·11,1045
29369725,73,5,7,11,5·5 | 7·19 | 11·11,385
29369725,73,5,7,11,5·5 | 7·19 | 11·11,385
29369725,73,5,19,11,5·5 | 7·19 | 11·11,1045
29369725,73,5,19,11,5·5 | 7·19 | 11·11,1045
29415925,37,5,7,11,5·5 | 7·7 | 11·59,385
29415925,37,5,7,59,5·5 | 7·7 | 11·59,2065
29415925,37,5,7,11,5·5 | 7·7 | 11·59,385
29415925,37,5,7,59,5·5 | 7·7 | 11·59,2065
29415925,37,5,7,11,5·5 | 7·7 | 11·59,385
29415925,37,5,7,59,5·5 | 7·7 | 11·59,2065
29415925,37,5,7,11,5·5 | 7·7 | 11·59,385
29415925,37,5,7,59,5·5 | 7·7 | 11·59,2065
29683225,13,5,19,11,5·5 | 19·19 | 11·23,1045
29683225,13,5,19,23,5·5 | 19·19 | 11·23,2185
