Omega,P_E,P_A,P_B,P_C,P_total
0.4927561884289304,26895.929298582374,27888.927457090635,27224.93083935917,27555.910902193384,109565.69849722557
0.5050500931396537,26895.92572668189,27888.923792155612,27224.927345299588,27555.90640089123,109565.68326502832
0.5173439978503769,26895.92206676367,27888.920036910265,27224.92376514035,27555.90178866934,109565.66765748363
0.5296379025611001,26895.918318827746,27888.916191354598,27224.920098881474,27555.897065527795,109565.65167459162
0.5419318072718234,26895.91448287415,27888.91225548866,27224.916346522998,27555.89223146664,109565.63531635245
0.5542257119825467,26895.910558902942,27888.908229312507,27224.912508064972,27555.887286485955,109565.61858276637
0.5665196166932699,26895.906546914157,27888.90411282616,27224.90858350742,27555.882230585783,109565.60147383352
0.5788135214039932,26895.902446907836,27888.899906029652,27224.90457285039,27555.8770637662,109565.58398955407
0.5911074261147164,26895.898258884037,27888.895608923034,27224.900476093928,27555.871786027234,109565.56612992824
0.6034013308254397,26895.893982842794,27888.891221506354,27224.89629323806,27555.866397369005,109565.54789495622
0.615695235536163,26895.889618784153,27888.886743779647,27224.892024282828,27555.86089779154,109565.52928463818
0.6279891402468862,26895.885166708176,27888.882175742972,27224.887669228287,27555.85528729491,109565.51029897433
0.6402830449576095,26895.8806266149,27888.877517396337,27224.88322807447,27555.849565879187,109565.4909379649
0.6525769496683328,26895.875998504373,27888.87276873982,27224.878700821424,27555.843733544454,109565.47120161008
0.664870854379056,26895.871282376662,27888.86792977345,27224.874087469198,27555.837790290763,109565.45108991007
0.6771647590897792,26895.866478231794,27888.86300049729,27224.869388017825,27555.8317361182,109565.4306028651
0.6894586638005026,26895.861586069852,27888.85798091137,27224.864602467365,27555.825571026835,109565.40974047541
0.7017525685112258,26895.85660589086,27888.85287101575,27224.859730817858,27555.81929501674,109565.38850274122
0.714046473221949,26895.851537694896,27888.847670810475,27224.854773069357,27555.81290808799,109565.36688966272
0.7263403779326723,26895.846381481995,27888.8423802956,27224.849729221904,27555.80641024067,109565.34490124017
0.7386342826433956,26895.841137252235,27888.836999471154,27224.844599275555,27555.799801474855,109565.32253747381
0.7509281873541188,26895.835805005667,27888.83152833723,27224.83938323035,27555.793081790634,109565.29979836388
0.763222092064842,26895.830384742338,27888.825966893863,27224.834081086356,27555.78625118809,109565.27668391063
0.7755159967755654,26895.82487646233,27888.820315141093,27224.828692843632,27555.779309667283,109565.25319411434
0.7878099014862886,26895.819280165673,27888.81457307898,27224.823218502203,27555.772257228316,109565.22932897517
0.8001038061970118,26895.813595852458,27888.808740707587,27224.817658062133,27555.765093871276,109565.20508849346
0.8123977109077352,26895.807823522737,27888.802818026983,27224.812011523496,27555.757819596245,109565.18047266945
0.8246916156184584,26895.80196317657,27888.79680503719,27224.80627888632,27555.750434403333,109565.15548150342
0.8369855203291816,26895.796014814034,27888.7907017383,27224.800460150687,27555.74293829259,109565.13011499561
0.849279425039905,26895.789978435172,27888.78450813036,27224.79455531666,27555.735331264143,109565.10437314634
0.8615733297506282,26895.783854040063,27888.778224213438,27224.788564384253,27555.727613318064,109565.07825595583
0.8738672344613514,26895.777641628785,27888.771849987566,27224.782487353557,27555.719784454464,109565.05176342439
0.8861611391720746,26895.771341201395,27888.76538545283,27224.776324224636,27555.71184467342,109565.02489555228
0.898455043882798,26895.764952757952,27888.758830609288,27224.770074997534,27555.703793975048,109564.99765233982
0.9107489485935212,26895.75847629855,27888.752185457022,27224.763739672326,27555.69563235944,109564.97003378734
0.9230428533042444,26895.751911823234,27888.74544999606,27224.757318249078,27555.687359826676,109564.94203989505
0.9353367580149677,26895.7452593321,27888.73862422649,27224.750810727837,27555.678976376887,109564.91367066331
0.947630662725691,26895.73851882523,27888.73170814838,27224.744217108677,27555.670482010166,109564.88492609246
