center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
1117605,ABCE,1,21703,21769,21764,21767,66,-5,3,-64,66,763.1875,138,138,8486,0,138,2.0597014925373136,0.0,2.0597014925373136,0.0005454772665526,-0.0017380009141747,-69.78179858022733,-2960.1507737968736,2.04845558210506,0.0081969235385143,2.04845558210506,-31480.514461705214,111,2.374155244460306,-1.0218290359417614,-0.9169896028181227,2.3741552444603062,-1.0218290359417617,-0.958419486087806
1791735,CEAB,-1,33558,33647,33640,33641,89,-7,1,-83,89,1351.25,180,-180,14860,0,-180,-2.0,0.0,-2.0,0.0004686765637283,-0.0010719787886472,-64.50388963047618,-3101.6587771175355,-1.9892931545250871,0.0063619224581336,-1.9892931545250871,-33052.79237762113,179,2.3708680776111337,-1.0216780016684253,0.9199899725718412,2.3708680776111337,-1.0216780016684253,0.9071838626285987
1157835,CEAB,-1,22425,22470,22484,22497,45,14,13,-72,72,736.5,144,-116,7574,28,-116,-1.5890410958904109,0.3835616438356164,-1.5890410958904109,0.0008517948327437,-0.0013760280600857,-65.10960925312068,-3041.5006439534554,-1.5986422171434245,0.391621081678318,-1.5986422171434245,-32987.881712477894,115,2.3610883451144487,-0.7099905686889214,0.5234520832866829,2.361088345114449,-0.7099905686889216,0.4841668087775326
1117815,CEAB,-1,21708,21776,21766,21771,68,-10,5,-63,68,756.6875,146,-146,8718,0,-146,-2.1159420289855078,0.0,-2.1159420289855078,0.0004705277158981,-0.0018126547747895,-67.78885308314045,-2966.941188580684,-2.127179200845092,0.0081961930930815,-2.127179200845092,-31251.677578323197,111,2.34356715521042,-1.0085215123099778,0.9052998335324436,2.3435671552104202,-1.008521512309978,0.8638813443184472
1685445,ABCE,1,31720,31790,31793,31812,70,3,19,-92,92,1221.6875,184,178,13734,-6,178,1.913978494623656,-0.064516129032258,1.913978494623656,0.0006598711170514,-0.0009770289940632,-59.20770497865331,-3136.6935722661337,1.9218410041205891,-0.0579164523889719,1.9218410041205891,-33149.22304870218,168,2.309266719951707,-1.0461552218819703,-0.9628599949924104,2.309266719951707,-1.0461552218819703,-0.9793747795386144
1627605,ABCE,1,30713,30803,30780,30784,90,-23,4,-71,90,1158.5,188,188,13686,0,188,2.065934065934066,0.0,2.065934065934066,0.0002693596953198,-0.0014224971547578,-59.89656012075093,-3145.904788587538,2.072172430574568,0.0067354367081658,2.072172430574568,-32609.328460000692,162,2.309118217466679,-0.9944742250665861,-0.8960043524012781,2.309118217466679,-0.9944742250665862,-0.9146368279752686
1755825,ABCE,1,32940,33030,33025,33026,90,-5,1,-86,90,1422.6875,182,182,15522,0,182,2.0,0.0,2.0,0.0005192069965795,-0.0010533106483802,-62.74372660277115,-2998.9274235222665,2.009765214301168,0.0064406321303246,2.009765214301168,-32049.948474809597,175,2.299484012980962,-0.9907129406795839,-0.8920127127126073,2.299484012980962,-0.9907129406795839,-0.9060465973092174
1173585,ABCE,1,22718,22755,22751,22794,37,-4,43,-76,76,726.25,160,160,9010,0,160,2.0779220779220777,0.0,2.0779220779220777,0.0006734353066789,-0.0015331236735281,-61.61691864264867,-3072.635197904105,2.068949372309529,0.0080069094319609,2.068949372309529,-31779.350434262087,117,2.296579279751156,-0.9881040467945907,-0.8888281309330346,2.2965792797511564,-0.988104046794591,-0.9272940264574447
1230375,CEAB,-1,23716,23788,23791,23783,72,3,-8,-67,75,962.25,150,-128,9746,-10,-128,-1.6842105263157894,-0.131578947368421,-1.6842105263157894,0.0006191969949311,-0.0015129912676811,-64.39123760321712,-2909.679105276149,-1.6909853428117334,-0.123755756505581,-1.6909853428117334,-31838.924248445703,123,2.2958544937591894,-1.0931741721280859,1.0232054334029228,2.29585449375919,-1.093174172128086,0.9876053229369527
1163715,CEAB,-1,22539,22584,22584,22615,45,0,31,-76,76,734.25,152,-152,8762,0,-152,-1.974025974025974,0.0,-1.974025974025974,0.0007271412610447,-0.0014927094582273,-61.29980748109719,-3051.580590009036,-1.983391492422592,0.0080397441196057,-1.983391492422592,-31885.16329546553,116,2.2892493276198107,-0.9849181187376455,0.8862740505868217,2.289249327619811,-0.9849181187376457,0.847295974079829
2136135,CEAB,-1,39512,39594,39571,39614,82,-23,43,-102,102,1461.6875,250,-250,19506,0,-250,-2.4271844660194173,0.0,-2.4271844660194173,0.0004132451701025,-0.0008507165000514,-58.105181947029166,-3262.978607801532,-2.4083004501143197,0.0056784038768084,-2.4083004501143197,-31366.697233250103,213,2.2870029361477524,-0.9855513335331577,0.8867911636403958,2.287002936147752,-0.9855513335331576,0.8846471078754572
1233435,CEAB,-1,23769,23842,23846,23832,73,4,-14,-63,77,971.1875,154,-118,9510,-20,-118,-1.5128205128205128,-0.2564102564102564,-1.5128205128205128,0.0005835643137579,-0.0015447147211492,-62.48450303163565,-2904.581090434013,-1.5194797993161402,-0.2485967225433897,-1.5194797993161402,-32116.742847168596,123,2.2749339399633155,-1.1837323281972683,1.143223099015175,2.274933939963316,-1.1837323281972685,1.1077736258794544
1798635,CEAB,-1,33678,33760,33775,33758,82,15,-17,-80,97,1440.6875,194,-130,13638,-4,-130,-1.326530612244898,-0.0408163265306122,-1.326530612244898,0.0006191224610979,-0.0009154838443908,-56.64820635796645,-3018.162406029136,-1.3156449983682803,-0.0344693470806208,-1.3156449983682803,-34339.501492437295,179,2.270068833710631,-1.010549666574326,0.9264701372622689,2.270068833710631,-1.010549666574326,0.9138971199762744
1182285,ABCE,1,22874,22915,22916,22952,41,1,36,-78,78,762.1875,156,154,9062,-2,154,1.9493670886075949,-0.0253164556962025,1.9493670886075949,0.0007511275639685,-0.0014438076615251,-59.89423542871714,-3048.1140791097755,1.9407379015841484,-0.0173382605170123,1.9407379015841484,-31851.69446604708,118,2.2684804721062726,-0.9961492002563134,-0.9044195234672168,2.268480472106273,-0.9961492002563136,-0.9424375117553119
