a,c,total,distinct_b,entropy,top_b_list,entropy_norm
5,227,364,11,1.004459138195901,7×266(0.731); 19×48(0.132); 31×23(0.063); 43×9(0.025); 67×4(0.011); 79×4(0.011); 103×2(0.005); 127×2(0.005); 139×2(0.005); 151×2(0.005),0.4188919964897741
5,239,340,11,1.0036198474551719,7×250(0.735); 19×44(0.129); 31×19(0.056); 43×9(0.026); 67×4(0.012); 79×4(0.012); 103×2(0.006); 127×2(0.006); 139×2(0.006); 151×2(0.006),0.4185419850650676
5,191,454,12,1.0399521647946275,7×329(0.725); 19×56(0.123); 31×30(0.066); 43×15(0.033); 67×8(0.018); 79×4(0.009); 103×2(0.004); 127×2(0.004); 139×2(0.004); 151×2(0.004),0.41850753825434484
29,71,86,6,0.7466747169647132,7×69(0.802); 19×9(0.105); 31×4(0.047); 43×2(0.023); 67×1(0.012); 79×1(0.012),0.4167270941151513
5,131,786,16,1.1534651764725155,7×546(0.695); 19×106(0.135); 31×52(0.066); 43×30(0.038); 67×13(0.017); 79×9(0.011); 103×8(0.010); 127×4(0.005); 139×4(0.005); 151×2(0.003),0.41602462248375277
5,947,48,3,0.4563344322932884,7×42(0.875); 19×4(0.083); 31×2(0.042),0.4153735007338397
389,11,48,4,0.5727660041762092,7×41(0.854); 19×3(0.062); 31×2(0.042); 43×2(0.042),0.41316333690740215
401,11,48,4,0.5727660041762092,7×41(0.854); 19×3(0.062); 31×2(0.042); 43×2(0.042),0.41316333690740215
41,11,1164,21,1.2571803573334652,7×784(0.674); 19×166(0.143); 31×68(0.058); 43×47(0.040); 67×24(0.021); 79×15(0.013); 103×10(0.009); 127×9(0.008); 139×7(0.006); 151×7(0.006),0.41293187455486
5,479,118,6,0.7396108373733717,7×95(0.805); 19×13(0.110); 31×4(0.034); 43×2(0.017); 67×2(0.017); 79×2(0.017),0.41278466785054513
29,59,128,7,0.8029163324068813,7×99(0.773); 19×18(0.141); 31×5(0.039); 43×3(0.023); 67×1(0.008); 79×1(0.008); 103×1(0.008),0.41261737228549605
53,11,804,18,1.1853042187505327,7×554(0.689); 19×111(0.138); 31×50(0.062); 43×32(0.040); 67×14(0.017); 79×10(0.012); 103×7(0.009); 163×3(0.004); 151×3(0.004); 139×3(0.004),0.4100871161339082
5,83,1468,22,1.2618052753147626,7×989(0.674); 19×205(0.140); 31×93(0.063); 43×53(0.036); 67×29(0.020); 79×24(0.016); 103×13(0.009); 127×9(0.006); 139×9(0.006); 151×8(0.005),0.4082135054288409
5,107,1020,19,1.2013869336695038,7×701(0.687); 19×139(0.136); 31×63(0.062); 43×40(0.039); 67×17(0.017); 79×15(0.015); 103×9(0.009); 127×8(0.008); 163×4(0.004); 151×4(0.004),0.4080189612248687
5,179,512,14,1.0745076076608409,7×370(0.723); 19×64(0.125); 31×31(0.061); 43×15(0.029); 67×8(0.016); 79×6(0.012); 103×4(0.008); 127×2(0.004); 139×2(0.004); 151×2(0.004),0.4071558414449036
5,167,566,14,1.0744441154298616,7×408(0.721); 19×71(0.125); 31×35(0.062); 43×17(0.030); 67×9(0.016); 79×8(0.014); 103×4(0.007); 127×2(0.004); 139×2(0.004); 151×2(0.004),0.40713178276672835
17,107,116,7,0.7917637352086475,7×91(0.784); 19×14(0.121); 31×6(0.052); 43×2(0.017); 67×1(0.009); 79×1(0.009); 103×1(0.009),0.4068860710722062
29,11,1862,29,1.3629807199806934,7×1209(0.649); 19×272(0.146); 31×123(0.066); 43×69(0.037); 67×39(0.021); 79×32(0.017); 103×23(0.012); 127×14(0.008); 139×12(0.006); 151×9(0.005),0.4047701148925095
5,71,1782,26,1.3164904755220137,7×1174(0.659); 19×250(0.140); 31×118(0.066); 43×74(0.042); 67×40(0.022); 79×31(0.017); 103×17(0.010); 127×13(0.007); 139×9(0.005); 151×9(0.005),0.404067362694375
5,827,56,4,0.5586478569798259,7×48(0.857); 19×4(0.071); 31×2(0.036); 43×2(0.036),0.40297924643402083
5,839,56,4,0.5586478569798259,7×48(0.857); 19×4(0.071); 31×2(0.036); 43×2(0.036),0.40297924643402083
5,863,56,4,0.5586478569798259,7×48(0.857); 19×4(0.071); 31×2(0.036); 43×2(0.036),0.40297924643402083
41,71,58,5,0.6474343950280229,7×48(0.828); 19×6(0.103); 31×2(0.034); 43×1(0.017); 67×1(0.017),0.4022736074663785
149,23,50,4,0.5573693897627501,7×42(0.840); 19×6(0.120); 31×1(0.020); 43×1(0.020),0.40205702727701365
5,59,2328,31,1.3802696840329474,7×1502(0.645); 19×331(0.142); 31×159(0.068); 43×97(0.042); 67×52(0.022); 79×40(0.017); 103×30(0.013); 127×15(0.006); 139×15(0.006); 151×13(0.006),0.4019437469744124
5,11,24552,129,1.9505170744154479,7×13317(0.542); 19×3447(0.140); 31×1815(0.074); 43×1174(0.048); 67×684(0.028); 79×541(0.022); 103×400(0.016); 127×297(0.012); 139×263(0.011); 151×241(0.010),0.4013564541431399
353,11,50,4,0.5560223941668001,7×43(0.860); 19×3(0.060); 31×2(0.040); 43×2(0.040),0.4010853753438255
41,47,98,7,0.7775020879749628,7×78(0.796); 19×11(0.112); 31×4(0.041); 43×2(0.020); 67×1(0.010); 79×1(0.010); 103×1(0.010),0.39955703419935346
113,23,70,5,0.6424537774624469,7×58(0.829); 19×7(0.100); 31×3(0.043); 43×1(0.014); 67×1(0.014),0.3991789757772049
29,47,184,9,0.8766889458131404,7×141(0.766); 19×22(0.120); 31×10(0.054); 43×5(0.027); 67×2(0.011); 79×1(0.005); 103×1(0.005); 127×1(0.005); 139×1(0.005),0.3989983340146251
53,71,40,4,0.5528435720782101,7×34(0.850); 19×4(0.100); 31×1(0.025); 43×1(0.025),0.39879233991228696
17,131,88,6,0.713458409428736,7×71(0.807); 19×10(0.114); 31×4(0.045); 43×1(0.011); 67×1(0.011); 79×1(0.011),0.39818871990452814
5,47,3154,38,1.4388695531309224,7×2001(0.634); 19×445(0.141); 31×225(0.071); 43×131(0.042); 67×72(0.023); 79×51(0.016); 103×38(0.012); 127×30(0.010); 139×26(0.008); 151×21(0.007),0.39555614353864604
17,167,64,5,0.6364903205038976,7×53(0.828); 19×7(0.109); 31×2(0.031); 43×1(0.016); 67×1(0.016),0.3954736716381156
29,107,46,4,0.5476393582015577,7×39(0.848); 19×5(0.109); 31×1(0.022); 43×1(0.022),0.395038293136501
53,59,46,4,0.5476393582015577,7×39(0.848); 19×5(0.109); 31×1(0.022); 43×1(0.022),0.395038293136501
17,11,3950,47,1.5130965863929406,7×2454(0.621); 19×557(0.141); 31×282(0.071); 43×172(0.044); 67×88(0.022); 79×68(0.017); 103×50(0.013); 127×37(0.009); 139×31(0.008); 163×26(0.007),0.39299703359967103
5,23,8450,69,1.6639184179865492,7×5002(0.592); 19×1192(0.141); 31×614(0.073); 43×390(0.046); 67×212(0.025); 79×171(0.020); 103×115(0.014); 127×84(0.010); 139×76(0.009); 151×62(0.007),0.39297982140503995
137,23,52,4,0.5424956280473539,7×44(0.846); 19×6(0.115); 31×1(0.019); 43×1(0.019),0.39132787614393055
29,23,556,16,1.084351265882987,7×397(0.714); 19×74(0.133); 31×33(0.059); 43×20(0.036); 67×8(0.014); 79×6(0.011); 103×5(0.009); 127×3(0.005); 139×3(0.005); 151×1(0.002),0.39109704846776383
17,83,174,9,0.8554160258703151,7×135(0.776); 19×20(0.115); 31×9(0.052); 43×4(0.023); 67×2(0.011); 79×1(0.006); 103×1(0.006); 127×1(0.006); 139×1(0.006),0.3893166109161991
17,191,48,4,0.5315417547194092,7×41(0.854); 19×5(0.104); 31×1(0.021); 43×1(0.021),0.38342632677955474
41,83,48,4,0.5315417547194092,7×41(0.854); 19×5(0.104); 31×1(0.021); 43×1(0.021),0.38342632677955474
17,23,1236,24,1.216120450823257,7×843(0.682); 19×175(0.142); 31×77(0.062); 43×44(0.036); 67×25(0.020); 79×19(0.015); 103×10(0.008); 127×7(0.006); 139×7(0.006); 151×5(0.004),0.3826620050328447
29,83,68,6,0.6838112333279385,7×56(0.824); 19×7(0.103); 31×2(0.029); 43×1(0.015); 67×1(0.015); 79×1(0.015),0.3816423158754369
41,59,68,6,0.6838112333279385,7×56(0.824); 19×7(0.103); 31×2(0.029); 43×1(0.015); 67×1(0.015); 79×1(0.015),0.3816423158754369
53,47,64,6,0.6813467928166924,7×53(0.828); 19×6(0.094); 31×2(0.031); 43×1(0.016); 67×1(0.016); 79×1(0.016),0.38026688543760706
17,59,296,12,0.944650087663668,7×222(0.750); 19×37(0.125); 31×17(0.057); 43×8(0.027); 67×4(0.014); 79×2(0.007); 103×1(0.003); 127×1(0.003); 139×1(0.003); 151×1(0.003),0.38015516105776476
101,23,90,6,0.6795761643567751,7×74(0.822); 19×9(0.100); 31×4(0.044); 43×1(0.011); 67×1(0.011); 79×1(0.011),0.3792786788784532
41,23,326,13,0.9726903349720023,7×243(0.745); 19×40(0.123); 31×19(0.058); 43×9(0.028); 67×5(0.015); 79×3(0.009); 103×1(0.003); 127×1(0.003); 139×1(0.003); 151×1(0.003),0.37922399213941926
17,47,420,14,0.9872874129251377,7×311(0.740); 19×53(0.126); 31×23(0.055); 43×14(0.033); 67×6(0.014); 79×4(0.010); 103×2(0.005); 127×1(0.002); 139×1(0.002); 151×1(0.002),0.37410608774803383
53,23,232,11,0.8903524766968617,7×178(0.767); 19×29(0.125); 31×10(0.043); 43×6(0.026); 67×3(0.013); 79×1(0.004); 103×1(0.004); 127×1(0.004); 139×1(0.004); 151×1(0.004),0.37130582256739275
17,71,228,11,0.8874957387071594,7×176(0.772); 19×27(0.118); 31×10(0.044); 43×6(0.026); 67×2(0.009); 79×2(0.009); 103×1(0.004); 127×1(0.004); 139×1(0.004); 151×1(0.004),0.3701144702918747
173,23,40,4,0.4955539786605911,7×35(0.875); 19×3(0.075); 31×1(0.025); 43×1(0.025),0.35746663375321497
