quadruplet,log_p,mean_prime_index,index_span,log_interval_radical,v5_depth,direction_defect,relative_stretch
"(195731, 195733, 195737, 195739)",12.184496546562352,17632.5,3.0,102.20593289293308,0.0,0.0,4.0871586589235724e-05
"(201491, 201493, 201497, 201499)",12.213499994358957,18098.5,3.0,102.4669586653841,0.0,0.0,3.97032184470345e-05
"(201821, 201823, 201827, 201829)",12.21513644491656,18130.5,3.0,95.98944659324798,0.0,0.0,3.963830051273131e-05
"(217361, 217363, 217367, 217369)",12.289314844752141,19395.5,3.0,101.20336912527894,0.0,0.0,3.6804453342748854e-05
"(225341, 225343, 225347, 225349)",12.325370089446839,20049.5,3.0,99.19710449251087,0.0,0.0,3.550112050761147e-05
"(240041, 240043, 240047, 240049)",12.388565021067109,21226.5,3.0,103.34936803228922,0.0,0.0,3.332708450788054e-05
"(243701, 243703, 243707, 243709)",12.403697343010705,21525.5,3.0,103.08009156935042,0.0,0.0,3.282657311369685e-05
"(247601, 247603, 247607, 247609)",12.419573858556635,21841.5,3.0,104.32159017119443,0.0,0.0,3.230952525454834e-05
"(247991, 247993, 247997, 247999)",12.421147734166029,21874.5,3.0,103.23714253436209,0.0,0.0,3.2258714896068025e-05
"(257861, 257863, 257867, 257869)",12.460175959030682,22663.5,3.0,104.68700329047816,0.0,0.0,3.1023985421059684e-05
"(260411, 260413, 260417, 260419)",12.470016431127886,22866.5,3.0,100.498900053275,0.0,0.0,3.072019661152326e-05
"(266681, 266683, 266687, 266689)",12.493808466537475,23366.5,3.0,97.94740506884348,0.0,0.0,2.999793764389607e-05
"(268811, 268813, 268817, 268819)",12.501763809412871,23545.5,3.0,101.32361863874786,0.0,0.0,2.9760244036060284e-05
"(276041, 276043, 276047, 276049)",12.528304684391358,24127.5,3.0,101.31116857766467,0.0,0.0,2.898078212075904e-05
"(284741, 284743, 284747, 284749)",12.559335274137407,24822.5,3.0,100.71961154293909,0.0,0.0,2.8095313352274285e-05
"(285281, 285283, 285287, 285289)",12.561229938418922,24865.5,3.0,102.3006388205179,0.0,0.0,2.8042133307013953e-05
"(294311, 294313, 294317, 294319)",12.592392310349435,25561.5,3.0,105.87693316219047,0.0,0.0,2.718176103991227e-05
"(295871, 295873, 295877, 295879)",12.597678827502255,25679.5,3.0,100.62619380509183,0.0,0.0,2.7038445290940173e-05
"(299471, 299473, 299477, 299479)",12.609772863802759,25957.5,3.0,98.9349803971065,0.0,0.0,2.6713415144656495e-05
