Omega,P_E_centered,P_A_centered,P_B_centered,P_C_centered,P_total_centered
1.4147990417331746,0.0013560612973522158,0.0012854161119915115,0.0036462121648498766,0.003529850882846866,0.00981754045704047
1.427092946443898,0.0013797296277885086,0.0013078511611283735,0.003709855000019763,0.003591463807339575,0.00998889959627622
1.4393868511546213,0.0014036026975068928,0.0013304802722248995,0.003774048466027452,0.00365360983896184,0.010161741274721085
1.4516807558653444,0.0014276805055482777,0.0013533034441432872,0.0038387925628310523,0.0037162889786848245,0.010336065491207441
1.4639746605760677,0.0014519630509446941,0.0013763206757290587,0.0039040872903874885,0.0037795012274765565,0.010511872244537798
1.476268565286791,0.0014764503327217495,0.0013995319658227615,0.003969932648654998,0.0038432465863184316,0.01068916153351794
1.4885624699975142,0.0015011423498962504,0.0014229373132514675,0.004036328637593219,0.003907525056198835,0.010867933356939773
1.5008563747082375,0.0015260391014734274,0.0014465367168339832,0.004103275257158854,0.003972336638117518,0.011048187713583783
1.5131502794189609,0.001551140586455818,0.001470330175380869,0.004170772507307383,0.004037681333078769,0.01122992460222284
1.525444184129684,0.001576446803833719,0.0014943176876905822,0.0042388203879947005,0.004103559142095271,0.011413144021614273
1.5377380888404073,0.0016019577525903115,0.0015184992525520363,0.004307418899180076,0.004169970066192036,0.01159784597051446
1.5500319935511306,0.0016276734317008795,0.0015428748687459418,0.004376568040815768,0.004236914106396028,0.011784030447658618
1.5623258982618538,0.0016535938401336342,0.0015674445350422712,0.0044462678128618085,0.004304391263749086,0.0119716974517868
1.574619802972577,0.0016797189768442127,0.0015922082502003263,0.004516518215268813,0.004372401539297271,0.012160846981610622
1.5869137076833004,0.001706048840786226,0.0016171660129710918,0.0045873192479962445,0.004440944934096708,0.01235147903585027
1.5992076123940235,0.0017325834308998679,0.0016423178220944436,0.004658670910994043,0.004510021449207757,0.012543593613196112
1.6115015171047469,0.0017593227461200518,0.0016676636763035182,0.0047305732042165006,0.004579631085705252,0.012737190712345324
1.6237954218154702,0.0017862667853728049,0.0016932035743149844,0.004803026127621294,0.004649773844665861,0.012932270331974943
1.6360893265261933,0.0018134155475742037,0.0017189375148428101,0.004876029681158056,0.004720449727180005,0.013128832470755074
1.6483832312369167,0.001840769031635128,0.0017448654965889609,0.004949583864784243,0.00479165873434872,0.013326877127357051
1.66067713594764,0.0018683272364575518,0.0017709875182445522,0.005023688678445592,0.004863400867266875,0.013526404300414572
1.672971040658363,0.0018960901609313028,0.0017973035784897458,0.005098344122105512,0.004935676127060285,0.013727413988586845
1.6852649453690864,0.0019240578039415397,0.0018238136759986254,0.005173550195703198,0.00500848451484125,0.013929906190484613
1.6975588500798098,0.0019522301643668178,0.0018505178094320354,0.005249306899197055,0.005081826031739879,0.014133880904735788
1.709852754790533,0.0019806072410761314,0.001877415977442054,0.005325614232539063,0.005155700678892523,0.014339338129949772
1.7221466595012562,0.002009189032927686,0.0019045081786741068,0.00540247219567811,0.005230108457452383,0.014546277864732286
1.7344405642119796,0.0020379755387721263,0.001931794411757443,0.005479880788563172,0.005305049368566239,0.014754700107658981
1.7467344689227027,0.0020669667574528317,0.0019592746753187224,0.005557840011145129,0.00538052341340545,0.014964604857322133
1.759028373633426,0.002096162687806807,0.001986948967966573,0.005636349863379776,0.0054565305931350856,0.015175992112288242
1.7713222783441491,0.002125563328660324,0.0020148172883108126,0.005715410345207035,0.005533070908937561,0.015388861871115732
1.7836161830548725,0.0021551686788360376,0.0020428796349398265,0.005795021456585441,0.005610144361994519,0.015603214132355825
1.7959100877655958,0.002184978737138238,0.00207113600643894,0.005875183197454381,0.005687750953505412,0.01581904889453697
1.808203992476319,0.0022149935023709367,0.0020995864013823662,0.005955895567770108,0.005765890684678652,0.016036366156202065
1.8204978971870422,0.0022452129733322446,0.002128230818334531,0.006037158567477257,0.005844563556718734,0.016255165915862766
1.8327918018977656,0.0022756371488028807,0.0021570692558508762,0.006118972196522892,0.005923769570854128,0.016475448172030775
1.8450857066084887,0.002306266027568628,0.0021861017124724753,0.006201336454859572,0.006003508728300353,0.01669721292320103
1.857379611319212,0.002337099608390308,0.002215328186740347,0.006284251342426084,0.006083781030311434,0.016920460167868173
1.8696735160299354,0.002368137890031512,0.002244748677175862,0.006367716859172393,0.006164586478123543,0.01714518990450331
1.8819674207406585,0.0023993808712475086,0.0022743631822936374,0.006451733005048459,0.006245925072992691,0.017371402131582295
1.8942613254513818,0.002430828550783474,0.0023041717006022917,0.0065362997799943,0.006327796816177064,0.01759909684755713
1.9065552301621052,0.002462480927374091,0.002334174230591289,0.006621417183965997,0.006410201708950731,0.01782827405088211
1.9188491348728283,0.002494337999750202,0.002364370770756861,0.006707085216894786,0.006493139752590311,0.01805893373999216
1.9311430395835516,0.0025263997666255394,0.002394761319567785,0.006793303878729203,0.006576610948385528,0.018291075913308058
