pattern,degree,symmetry_index,M2,M3,M5,log_discriminant,factor_count,poly_expr
"(0, 4, 18)",3,0,178.66666666666666,782.2222222222222,116464.1975308642,13.831446897262628,3,y**3 - 268*y/3 - 7040/27
"(0, 6, 18)",3,0,168.0,480.0,67200.0,14.33407575382444,3,y**3 - 84*y - 160
"(0, 8, 18)",3,0,162.66666666666666,161.77777777777777,21929.876543209877,14.544796785140093,3,y**3 - 244*y/3 - 1456/27
"(0, 10, 18)",3,0,162.66666666666666,-161.77777777777777,-21929.876543209877,14.544796785140093,3,y**3 - 244*y/3 + 1456/27
"(0, 12, 18)",3,0,168.0,-480.0,-67200.0,14.33407575382444,3,y**3 - 84*y + 160
"(0, 14, 18)",3,0,178.66666666666666,-782.2222222222222,-116464.1975308642,13.831446897262628,3,y**3 - 268*y/3 + 7040/27
"(0, 16, 18)",3,0,194.66666666666666,-1057.7777777777778,-171595.06172839506,12.712215321391783,3,y**3 - 292*y/3 + 9520/27
"(0, 2, 20)",3,0,242.66666666666666,1486.2222222222222,300547.16049382713,13.158502424020202,3,y**3 - 364*y/3 - 13376/27
"(0, 4, 20)",3,0,224.0,1152.0,215040.0,14.309230713827326,3,y**3 - 112*y - 384
"(0, 6, 20)",3,0,210.66666666666666,785.7777777777778,137947.65432098764,14.85309814479461,3,y**3 - 316*y/3 - 7072/27
"(0, 8, 20)",3,0,202.66666666666666,398.22222222222223,67255.30864197531,15.120160930043655,3,y**3 - 304*y/3 - 3584/27
"(0, 10, 20)",3,1,200.0,0.0,0.0,15.201804919084164,3,y**3 - 100*y
"(0, 12, 20)",3,0,202.66666666666666,-398.22222222222223,-67255.30864197531,15.120160930043655,3,y**3 - 304*y/3 + 3584/27
"(0, 14, 20)",3,0,210.66666666666666,-785.7777777777778,-137947.65432098764,14.85309814479461,3,y**3 - 316*y/3 + 7072/27
"(0, 16, 20)",3,0,224.0,-1152.0,-215040.0,14.309230713827326,3,y**3 - 112*y + 384
"(0, 18, 20)",3,0,242.66666666666666,-1486.2222222222222,-300547.16049382713,13.158502424020202,3,y**3 - 364*y/3 + 13376/27
"(0, 2, 4, 6)",4,1,20.0,0.0,0.0,13.287579466295345,4,y**4 - 10*y**2 + 9
"(0, 2, 4, 8)",4,0,35.0,45.0,1312.5,16.060168188535126,4,y**4 - 35*y**2/2 - 15*y + 189/16
"(0, 2, 6, 8)",4,1,40.0,0.0,0.0,16.871098404751454,4,y**4 - 20*y**2 + 64
"(0, 4, 6, 8)",4,0,35.0,-45.0,-1312.5,16.060168188535126,4,y**4 - 35*y**2/2 + 15*y + 189/16
"(0, 2, 4, 10)",4,0,56.0,144.0,6720.0,17.892749652283435,4,y**4 - 28*y**2 - 48*y
"(0, 2, 6, 10)",4,0,59.0,63.0,3097.5,19.279044013403325,4,y**4 - 59*y**2/2 - 21*y + 1485/16
"(0, 2, 8, 10)",4,1,68.0,0.0,0.0,19.279044013403325,4,y**4 - 34*y**2 + 225
"(0, 4, 6, 10)",4,1,52.0,0.0,0.0,18.703679868499766,4,y**4 - 26*y**2 + 25
"(0, 4, 8, 10)",4,0,59.0,-63.0,-3097.5,19.279044013403325,4,y**4 - 59*y**2/2 + 21*y + 1485/16
