B-Paar,C-Paar,count,p(joint),p(B-Paar),p(C-Paar),lift
7·67,11·71,9,0.0010598210080075365,0.025435704192180875,0.030617051342439944,1.360897435897436
19·67,11·131,1,0.00011775788977861517,0.006241168158266604,0.013895430993876589,1.3578509753757597
19·79,11·11,17,0.0020018841262364577,0.004945831370701837,0.29898728214790393,1.3537763273879855
7·103,11·107,3,0.0003532736693358455,0.01460197833254828,0.017899199246349504,1.3516553480475384
7·151,11·167,1,0.00011775788977861517,0.008243052284503062,0.010598210080075365,1.347936507936508
19·79,11·23,7,0.0008243052284503062,0.004945831370701837,0.12388130004710315,1.3453738910012674
19·19,23·59,6,0.000706547338671691,0.03579839849269901,0.014719736222326895,1.340842105263158
7·127,23·23,6,0.000706547338671691,0.010598210080075365,0.049811587376354216,1.3383766745468872
7·43,11·107,9,0.0010598210080075365,0.04439472444653792,0.017899199246349504,1.3337288845455815
31·43,23·59,1,0.00011775788977861517,0.006005652378709373,0.014719736222326895,1.3320784313725493
19·79,11·107,1,0.00011775788977861517,0.004945831370701837,0.017899199246349504,1.330200501253133
7·127,11·83,3,0.0003532736693358455,0.010598210080075365,0.02508243052284503,1.3289514866979657
7·43,23·71,6,0.000706547338671691,0.04439472444653792,0.012011304757418746,1.3250117022936496
7·199,11·11,19,0.002237399905793688,0.005652378709373528,0.29898728214790393,1.3239136142838386
7·211,11·11,17,0.0020018841262364577,0.005063589260480453,0.29898728214790393,1.3222931569836136
7·79,11·59,9,0.0010598210080075365,0.020372114931700425,0.03944889307583608,1.3187473039427142
31·43,11·11,20,0.0023551577955723034,0.006005652378709373,0.29898728214790393,1.3116172030056608
7·67,11·167,3,0.0003532736693358455,0.025435704192180875,0.010598210080075365,1.310493827160494
7·127,11·47,6,0.000706547338671691,0.010598210080075365,0.051224682053697596,1.3014559386973181
7·163,23·71,1,0.00011775788977861517,0.007536504945831371,0.012011304757418746,1.300857843137255
7·19,11·239,9,0.0010598210080075365,0.12823834196891193,0.006358926048045219,1.2996632996632997
7·211,11·107,1,0.00011775788977861517,0.005063589260480453,0.017899199246349504,1.299265605875153
7·31,23·71,9,0.0010598210080075365,0.06818181818181818,0.012011304757418746,1.2941176470588238
7·31,47·47,6,0.000706547338671691,0.06818181818181818,0.00800753650494583,1.2941176470588236
19·43,11·71,4,0.0004710315591144607,0.011893546867640131,0.030617051342439944,1.2935262757044936
7·79,11·107,4,0.0004710315591144607,0.020372114931700425,0.017899199246349504,1.2917554000608458
19·31,23·59,3,0.0003532736693358455,0.018605746585021198,0.014719736222326895,1.2899240506329115
7·31,11·227,5,0.0005887894488930759,0.06818181818181818,0.0067121997173810646,1.2865497076023393
19·67,23·59,1,0.00011775788977861517,0.006241168158266604,0.014719736222326895,1.281811320754717
31·43,11·71,2,0.00023551577955723034,0.006005652378709373,0.030617051342439944,1.280844645550528
31·31,11·23,13,0.0015308525671219972,0.009656146961846444,0.12388130004710315,1.2797458963182788
7·139,11·23,13,0.0015308525671219972,0.009656146961846444,0.12388130004710315,1.2797458963182788
31·31,11·179,1,0.00011775788977861517,0.009656146961846444,0.009538389072067829,1.2785305630834085
7·139,11·179,1,0.00011775788977861517,0.009656146961846444,0.009538389072067829,1.2785305630834085
7·127,11·191,1,0.00011775788977861517,0.010598210080075365,0.008714083843617522,1.2750750750750752
19·31,23·23,10,0.0011775788977861517,0.018605746585021198,0.049811587376354216,1.270610766974893
7·151,11·23,11,0.0012953367875647669,0.008243052284503062,0.12388130004710315,1.2684953829440522
7·103,11·239,1,0.00011775788977861517,0.01460197833254828,0.006358926048045219,1.268219832735962
7·31,23·107,5,0.0005887894488930759,0.06818181818181818,0.0068299576071596795,1.2643678160919543
7·127,11·11,34,0.004003768252472915,0.010598210080075365,0.29898728214790393,1.2635245722287862
19·31,11·83,5,0.0005887894488930759,0.018605746585021198,0.02508243052284503,1.2616628038271824
7·43,23·59,7,0.0008243052284503062,0.04439472444653792,0.014719736222326895,1.2614111405835544
7·103,11·47,8,0.0009420631182289214,0.01460197833254828,0.051224682053697596,1.2594734890619208
19·43,11·11,38,0.004474799811587376,0.011893546867640131,0.29898728214790393,1.258373336348995
7·67,23·59,4,0.0004710315591144607,0.025435704192180875,0.014719736222326895,1.2580740740740741
7·163,23·23,4,0.0004710315591144607,0.007536504945831371,0.049811587376354216,1.2547281323877069
7·199,23·23,3,0.0003532736693358455,0.005652378709373528,0.049811587376354216,1.2547281323877066
7·163,11·11,24,0.002826189354686764,0.007536504945831371,0.29898728214790393,1.2542339503741629
7·43,11·239,3,0.0003532736693358455,0.04439472444653792,0.006358926048045219,1.2513999410551135
19·31,23·47,4,0.0004710315591144607,0.018605746585021198,0.02025435704192181,1.2499264056520458
7·79,11·131,3,0.0003532736693358455,0.020372114931700425,0.013895430993876589,1.2479670814147155
7·163,11·83,2,0.00023551577955723034,0.007536504945831371,0.02508243052284503,1.2458920187793427
7·31,11·131,10,0.0011775788977861517,0.06818181818181818,0.013895430993876589,1.2429378531073447
7·151,11·11,26,0.0030617051342439945,0.008243052284503062,0.29898728214790393,1.2422888651325041
7·127,11·107,2,0.00023551577955723034,0.010598210080075365,0.017899199246349504,1.2415204678362575
7·79,11·47,11,0.0012953367875647669,0.020372114931700425,0.051224682053697596,1.241273005115939
7·103,11·11,46,0.0054168629298162975,0.01460197833254828,0.29898728214790393,1.240747563811
19·31,11·71,6,0.000706547338671691,0.018605746585021198,0.030617051342439944,1.2403115871470303
31·31,11·59,4,0.0004710315591144607,0.009656146961846444,0.03944889307583608,1.2365489625045505
7·139,11·59,4,0.0004710315591144607,0.009656146961846444,0.03944889307583608,1.2365489625045505
19·43,47·47,1,0.00011775788977861517,0.011893546867640131,0.00800753650494583,1.2364589400116484
19·31,11·47,10,0.0011775788977861517,0.018605746585021198,0.051224682053697596,1.2355594354721373
19·67,11·71,2,0.00023551577955723034,0.006241168158266604,0.030617051342439944,1.2325108853410742
19·19,47·47,3,0.0003532736693358455,0.03579839849269901,0.00800753650494583,1.2323916408668731
7·19,11·227,9,0.0010598210080075365,0.12823834196891193,0.0067121997173810646,1.2312599681020733
7·103,11·59,6,0.000706547338671691,0.01460197833254828,0.03944889307583608,1.2265767934520946
7·163,11·47,4,0.0004710315591144607,0.007536504945831371,0.051224682053697596,1.2201149425287356
7·199,11·47,3,0.0003532736693358455,0.005652378709373528,0.051224682053697596,1.2201149425287356
7·43,11·191,4,0.0004710315591144607,0.04439472444653792,0.008714083843617522,1.217578321026597
7·19,23·107,9,0.0010598210080075365,0.12823834196891193,0.0068299576071596795,1.2100313479623823
7·67,23·23,13,0.0015308525671219972,0.025435704192180875,0.049811587376354216,1.208256720077051
19·79,11·59,2,0.00023551577955723034,0.004945831370701837,0.03944889307583608,1.2071073205401566
31·31,23·47,2,0.00023551577955723034,0.009656146961846444,0.02025435704192181,1.2041973908111172
7·139,23·47,2,0.00023551577955723034,0.009656146961846444,0.02025435704192181,1.2041973908111172
31·31,23·83,1,0.00011775788977861517,0.009656146961846444,0.010127178520960905,1.2041973908111172
7·139,23·83,1,0.00011775788977861517,0.009656146961846444,0.010127178520960905,1.2041973908111172
7·103,11·227,1,0.00011775788977861517,0.01460197833254828,0.0067121997173810646,1.2014714204867007
19·43,11·23,15,0.0017663683466792276,0.011893546867640131,0.12388130004710315,1.1988480216842978
31·31,11·71,3,0.0003532736693358455,0.009656146961846444,0.030617051342439944,1.1949343339587242
