b,c,total,distinct_a,entropy,top_a_list,entropy_norm
7,383,146,5,0.5644194643350011,5×125(0.856); 17×13(0.089); 29×4(0.027); 41×2(0.014); 53×2(0.014),0.3506935309367591
7,239,304,8,0.7276612260189858,5×250(0.822); 17×28(0.092); 29×9(0.030); 41×7(0.023); 53×4(0.013); 89×2(0.007); 101×2(0.007); 113×2(0.007),0.34993108074159135
7,971,42,3,0.3805062184775959,5×38(0.905); 17×2(0.048); 29×2(0.048),0.34635168603374933
7,983,42,3,0.3805062184775959,5×38(0.905); 17×2(0.048); 29×2(0.048),0.34635168603374933
607,11,42,3,0.3805062184775959,5×38(0.905); 17×2(0.048); 29×2(0.048),0.34635168603374933
151,11,292,8,0.7199124216224476,5×241(0.825); 17×26(0.089); 29×9(0.031); 41×7(0.024); 53×3(0.010); 89×2(0.007); 101×2(0.007); 113×2(0.007),0.34620469351635663
7,347,174,5,0.5569334749264818,5×149(0.856); 17×16(0.092); 29×5(0.029); 41×2(0.011); 53×2(0.011),0.3460422241975028
7,359,164,5,0.5538802970781885,5×141(0.860); 17×14(0.085); 29×5(0.030); 41×2(0.012); 53×2(0.012),0.34414517813893464
7,167,510,10,0.7923191382937763,5×408(0.800); 17×53(0.104); 29×23(0.045); 41×9(0.018); 53×7(0.014); 89×2(0.004); 101×2(0.004); 113×2(0.004); 137×2(0.004); 149×2(0.004),0.3440998296673265
7,11,20662,95,1.5669515385148831,5×13317(0.645); 17×2454(0.119); 29×1209(0.059); 41×784(0.038); 53×554(0.027); 89×290(0.014); 101×245(0.012); 113×213(0.010); 137×160(0.008); 149×136(0.007),0.3440917652835692
7,263,266,7,0.6692724413085895,5×221(0.831); 17×26(0.098); 29×9(0.034); 41×4(0.015); 53×2(0.008); 89×2(0.008); 101×2(0.008),0.3439379981822404
103,11,502,11,0.8216512666618139,5×400(0.797); 17×50(0.100); 29×23(0.046); 41×10(0.020); 53×7(0.014); 89×2(0.004); 101×2(0.004); 113×2(0.004); 137×2(0.004); 149×2(0.004),0.34265519265273736
7,191,408,10,0.7885712432397167,5×329(0.806); 17×41(0.100); 29×14(0.034); 41×9(0.022); 53×5(0.012); 89×2(0.005); 101×2(0.005); 113×2(0.005); 137×2(0.005); 149×2(0.005),0.34247213952659594
7,563,92,4,0.47456747602627386,5×81(0.880); 17×7(0.076); 29×2(0.022); 41×2(0.022),0.34232807211514865
7,683,70,4,0.47420812719914446,5×62(0.886); 17×4(0.057); 29×2(0.029); 41×2(0.029),0.34206885672972426
7,503,98,5,0.5502163467478804,5×85(0.867); 17×7(0.071); 29×2(0.020); 41×2(0.020); 53×2(0.020),0.341868637800223
7,599,78,4,0.47243796641239716,5×69(0.885); 17×5(0.064); 29×2(0.026); 41×2(0.026),0.34079195563541603
379,11,78,4,0.47243796641239716,5×69(0.885); 17×5(0.064); 29×2(0.026); 41×2(0.026),0.34079195563541603
7,107,898,14,0.8966489627280624,5×701(0.781); 17×91(0.101); 29×39(0.043); 41×26(0.029); 53×14(0.016); 89×7(0.008); 101×4(0.004); 113×4(0.004); 137×2(0.002); 149×2(0.002),0.33976107781591186
7,131,690,12,0.8417243056761732,5×546(0.791); 17×71(0.103); 29×32(0.046); 41×14(0.020); 53×9(0.013); 89×4(0.006); 101×4(0.006); 113×2(0.003); 137×2(0.003); 149×2(0.003),0.33873477933184526
139,23,88,5,0.5449170216241986,5×76(0.864); 17×7(0.080); 29×3(0.034); 41×1(0.011); 53×1(0.011),0.3385759819712901
7,83,1296,18,0.9781632074044955,5×989(0.763); 17×135(0.104); 29×56(0.043); 41×41(0.032); 53×26(0.020); 89×9(0.007); 101×9(0.007); 113×7(0.005); 149×4(0.003); 137×4(0.003),0.3384212445102488
7,743,64,3,0.37080235808948786,5×58(0.906); 17×4(0.062); 29×2(0.031),0.33751885165878304
7,71,1566,21,1.0255966335794409,5×1174(0.750); 17×176(0.112); 29×69(0.044); 41×48(0.031); 53×34(0.022); 89×12(0.008); 101×9(0.006); 113×9(0.006); 137×7(0.004); 173×4(0.003),0.33686617673487823
43,11,1562,21,1.0255209590494643,5×1174(0.752); 17×172(0.110); 29×69(0.044); 41×47(0.030); 53×32(0.020); 89×14(0.009); 101×9(0.006); 113×9(0.006); 137×7(0.004); 149×5(0.003),0.33684132077420637
79,11,682,12,0.8362618393953762,5×541(0.793); 17×68(0.100); 29×32(0.047); 41×15(0.022); 53×10(0.015); 89×3(0.004); 101×3(0.004); 113×2(0.003); 137×2(0.003); 149×2(0.003),0.336536521187515
7,179,456,10,0.7733925034191831,5×370(0.811); 17×44(0.096); 29×16(0.035); 41×9(0.020); 53×7(0.015); 89×2(0.004); 101×2(0.004); 113×2(0.004); 137×2(0.004); 149×2(0.004),0.335880096580293
439,11,64,4,0.46322139812821145,5×57(0.891); 17×3(0.047); 29×2(0.031); 41×2(0.031),0.33414360695661144
7,47,2734,28,1.110945909989339,5×2001(0.732); 17×311(0.114); 29×141(0.052); 41×78(0.029); 53×53(0.019); 89×28(0.010); 101×25(0.009); 113×18(0.007); 137×14(0.005); 149×9(0.003),0.333396676763674
67,11,876,15,0.9019129409670278,5×684(0.781); 17×88(0.100); 29×39(0.045); 41×24(0.027); 53×14(0.016); 89×7(0.008); 101×3(0.003); 113×3(0.003); 137×2(0.002); 149×2(0.002),0.3330488262735816
31,11,2468,27,1.0937579474807868,5×1815(0.735); 17×282(0.114); 29×123(0.050); 41×68(0.028); 53×50(0.020); 89×26(0.011); 101×22(0.009); 113×16(0.006); 137×10(0.004); 149×9(0.004),0.33186046274395614
19,167,82,5,0.5328419707466864,5×71(0.866); 17×7(0.085); 29×2(0.024); 41×1(0.012); 53×1(0.012),0.331073331024507
7,59,2008,23,1.0378344527011254,5×1502(0.748); 17×222(0.111); 29×99(0.049); 41×56(0.028); 53×39(0.019); 89×18(0.009); 101×14(0.007); 113×11(0.005); 137×9(0.004); 149×7(0.003),0.3309954926494996
19,11,4890,43,1.2428147423166935,5×3447(0.705); 17×557(0.114); 29×272(0.056); 41×166(0.034); 53×111(0.023); 89×52(0.011); 101×44(0.009); 113×39(0.008); 137×27(0.006); 149×26(0.005),0.33043036905456424
7,719,66,3,0.3625010217396757,5×60(0.909); 17×4(0.061); 29×2(0.030),0.32996264967976074
7,23,7228,53,1.3099458604532854,5×5002(0.692); 17×843(0.117); 29×397(0.055); 41×243(0.034); 53×178(0.025); 89×80(0.011); 101×74(0.010); 113×58(0.008); 137×44(0.006); 149×42(0.006),0.3299369137019724
67,23,256,8,0.6856198483319642,5×212(0.828); 17×25(0.098); 29×8(0.031); 41×5(0.020); 53×3(0.012); 89×1(0.004); 101×1(0.004); 113×1(0.004),0.32971345170785604
43,47,154,6,0.5886984733405457,5×131(0.851); 17×14(0.091); 29×5(0.032); 41×2(0.013); 53×1(0.006); 89×1(0.006),0.3285588738058547
7,647,74,4,0.4549437534681774,5×66(0.892); 17×4(0.054); 29×2(0.027); 41×2(0.027),0.3281725485059753
7,659,74,4,0.4549437534681774,5×66(0.892); 17×4(0.054); 29×2(0.027); 41×2(0.027),0.3281725485059753
19,179,74,5,0.52312065565814,5×64(0.865); 17×7(0.095); 29×1(0.014); 41×1(0.014); 53×1(0.014),0.3250331383501317
7,947,46,3,0.355712859746894,5×42(0.913); 17×2(0.043); 29×2(0.043),0.3237837983572334
571,11,46,3,0.355712859746894,5×42(0.913); 17×2(0.043); 29×2(0.043),0.3237837983572334
19,131,122,5,0.5179917631734275,5×106(0.869); 17×10(0.082); 29×4(0.033); 41×1(0.008); 53×1(0.008),0.32184637827377954
19,227,54,4,0.4452280101187498,5×48(0.889); 17×4(0.074); 29×1(0.019); 41×1(0.019),0.32116412113159076
103,23,132,5,0.5135577161175473,5×115(0.871); 17×10(0.076); 29×5(0.038); 41×1(0.008); 53×1(0.008),0.31909134993648
127,23,96,5,0.5111625767571085,5×84(0.875); 17×7(0.073); 29×3(0.031); 41×1(0.010); 53×1(0.010),0.3176031661787006
19,191,64,5,0.5109630170575021,5×56(0.875); 17×5(0.078); 29×1(0.016); 41×1(0.016); 53×1(0.016),0.3174791727658049
19,107,162,6,0.5673977966949139,5×139(0.858); 17×14(0.086); 29×5(0.031); 41×2(0.012); 53×1(0.006); 89×1(0.006),0.31667073981719557
79,47,58,5,0.5075415499702094,5×51(0.879); 17×4(0.069); 29×1(0.017); 41×1(0.017); 53×1(0.017),0.31535329573702403
7,887,48,3,0.3445982481028228,5×44(0.917); 17×2(0.042); 29×2(0.042),0.31366684285007645
7,911,48,3,0.3445982481028228,5×44(0.917); 17×2(0.042); 29×2(0.042),0.31366684285007645
523,11,48,3,0.3445982481028228,5×44(0.917); 17×2(0.042); 29×2(0.042),0.31366684285007645
547,11,48,3,0.3445982481028228,5×44(0.917); 17×2(0.042); 29×2(0.042),0.31366684285007645
223,23,46,3,0.3443379000998386,5×42(0.913); 17×3(0.065); 29×1(0.022),0.3134298638851863
79,23,202,7,0.609182536770067,5×171(0.847); 17×19(0.094); 29×6(0.030); 41×3(0.015); 53×1(0.005); 89×1(0.005); 101×1(0.005),0.3130578958467371
67,47,82,5,0.5035873967076165,5×72(0.878); 17×6(0.073); 29×2(0.024); 41×1(0.012); 53×1(0.012),0.3128964421783722
211,23,48,4,0.433129305890651,5×43(0.896); 17×3(0.062); 29×1(0.021); 41×1(0.021),0.31243675083606054
463,11,60,3,0.34292028864026536,5×55(0.917); 17×3(0.050); 29×2(0.033),0.31213949832656696
19,71,300,9,0.6857038736443597,5×250(0.833); 17×27(0.090); 29×9(0.030); 41×6(0.020); 53×4(0.013); 89×1(0.003); 101×1(0.003); 113×1(0.003); 137×1(0.003),0.3120772818205343
31,107,72,5,0.5021099443211262,5×63(0.875); 17×6(0.083); 29×1(0.014); 41×1(0.014); 53×1(0.014),0.3119784493964973
19,23,1564,22,0.9640438236184663,5×1192(0.762); 17×175(0.112); 29×74(0.047); 41×40(0.026); 53×29(0.019); 89×10(0.006); 101×9(0.006); 113×7(0.004); 137×6(0.004); 149×6(0.004),0.31188307445310703
31,23,772,15,0.836040186941576,5×614(0.795); 17×77(0.100); 29×33(0.043); 41×19(0.025); 53×10(0.013); 89×5(0.006); 101×4(0.005); 113×3(0.004); 137×1(0.001); 149×1(0.001),0.3087240356922842
31,71,136,6,0.5531099708648142,5×118(0.868); 17×10(0.074); 29×4(0.029); 41×2(0.015); 53×1(0.007); 89×1(0.007),0.30869655239110355
43,83,60,5,0.494833747843067,5×53(0.883); 17×4(0.067); 29×1(0.017); 41×1(0.017); 53×1(0.017),0.3074574943339595
43,71,84,5,0.49465408368144714,5×74(0.881); 17×6(0.071); 29×2(0.024); 41×1(0.012); 53×1(0.012),0.3073458627138567
19,59,404,11,0.7345822114628017,5×331(0.819); 17×37(0.092); 29×18(0.045); 41×7(0.017); 53×5(0.012); 89×1(0.002); 101×1(0.002); 113×1(0.002); 137×1(0.002); 149×1(0.002),0.3063445763440436
19,83,242,8,0.6369272048296986,5×205(0.847); 17×20(0.083); 29×7(0.029); 41×5(0.021); 53×2(0.008); 89×1(0.004); 101×1(0.004); 113×1(0.004),0.3062972399383584
43,23,478,12,0.7573981122004062,5×390(0.816); 17×44(0.092); 29×20(0.042); 41×9(0.019); 53×6(0.013); 89×3(0.006); 101×1(0.002); 113×1(0.002); 137×1(0.002); 149×1(0.002),0.3047994226523655
31,131,58,4,0.42234213449962993,5×52(0.897); 17×4(0.069); 29×1(0.017); 41×1(0.017),0.30465545150053785
67,59,58,4,0.42234213449962993,5×52(0.897); 17×4(0.069); 29×1(0.017); 41×1(0.017),0.30465545150053785
163,23,68,5,0.4885097155364518,5×60(0.882); 17×5(0.074); 29×1(0.015); 41×1(0.015); 53×1(0.015),0.30352815213457585
199,23,50,4,0.42011002731477165,5×45(0.900); 17×3(0.060); 29×1(0.020); 41×1(0.020),0.30304532651737404
31,83,106,5,0.4870893920328344,5×93(0.877); 17×9(0.085); 29×2(0.019); 41×1(0.009); 53×1(0.009),0.3026456555234023
31,47,268,9,0.6630157857425548,5×225(0.840); 17×23(0.086); 29×10(0.037); 41×4(0.015); 53×2(0.007); 89×1(0.004); 101×1(0.004); 113×1(0.004); 137×1(0.004),0.30175148802784396
19,47,546,12,0.7495577037769336,5×445(0.815); 17×53(0.097); 29×22(0.040); 41×11(0.020); 53×6(0.011); 89×2(0.004); 101×2(0.004); 113×1(0.002); 137×1(0.002); 149×1(0.002),0.3016442101923153
43,59,110,5,0.48522278293540577,5×97(0.882); 17×8(0.073); 29×3(0.027); 41×1(0.009); 53×1(0.009),0.30148586608200306
31,59,186,7,0.5829838837924329,5×159(0.855); 17×17(0.091); 29×5(0.027); 41×2(0.011); 53×1(0.005); 89×1(0.005); 101×1(0.005),0.29959445150921066
103,47,42,4,0.41351322707568855,5×38(0.905); 17×2(0.048); 29×1(0.024); 41×1(0.024),0.2982867410220439
151,23,70,5,0.47807350726412795,5×62(0.886); 17×5(0.071); 29×1(0.014); 41×1(0.014); 53×1(0.014),0.2970437713506411
7,827,52,3,0.32450838693107065,5×48(0.923); 17×2(0.038); 29×2(0.038),0.29538026315406024
7,839,52,3,0.32450838693107065,5×48(0.923); 17×2(0.038); 29×2(0.038),0.29538026315406024
7,863,52,3,0.32450838693107065,5×48(0.923); 17×2(0.038); 29×2(0.038),0.29538026315406024
43,107,44,4,0.3991561674255943,5×40(0.909); 17×2(0.045); 29×1(0.023); 41×1(0.023),0.2879303116425748
67,71,44,4,0.3991561674255943,5×40(0.909); 17×2(0.045); 29×1(0.023); 41×1(0.023),0.2879303116425748
79,59,44,4,0.3991561674255943,5×40(0.909); 17×2(0.045); 29×1(0.023); 41×1(0.023),0.2879303116425748
19,251,46,4,0.3858496936842829,5×42(0.913); 17×2(0.043); 29×1(0.022); 41×1(0.022),0.27833171980342025
19,239,48,4,0.3734793806261538,5×44(0.917); 17×2(0.042); 29×1(0.021); 41×1(0.021),0.26940842515181684
19,263,44,3,0.29230897264561323,5×41(0.932); 17×2(0.045); 29×1(0.023),0.2660710931970283
