n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
1865017,457,53,7,11,1,0.1317120901351386,0.1859845338482622,0.13171209013513863,0.185984533848262,0,0,0,0,0.25622325502362414,0.25622325502362414,0.22146538071233282,6.093360751524557e-07,576,0,0,0,-0.004380677952965514,-0.004380677952965514,-2.7755575615628914e-17,1.942890293094024e-16,25300095.644116335
1020481,457,29,7,11,1,0.1317121036998275,0.2286439141166047,0.13171210369982753,0.2286439141166045,0,0,0,0,0.2562541633112798,0.2562541633112798,0.22149208752144176,6.094835744985261e-07,576,0,0,0,0.00014316007708853806,0.00014316007708853806,-2.7755575615628914e-17,1.942890293094024e-16,25297774.623266112
598213,457,17,7,11,1,0.1317121047927491,0.2680102324153459,0.1317121047927491,0.2680102324153459,0,0,0,0,0.25617941956336754,0.25617941956336754,0.22141636282724497,6.095175165699018e-07,576,0,0,0,-0.0037531478030552266,-0.0037531478030552266,0.0,0.0,25297240.939799827
175945,457,5,7,11,1,0.13171210505536,0.3645226923646222,0.13171210505536002,0.3645226923646222,0,0,0,0,0.25618493264266873,0.25618493264266873,0.2214211262537922,6.095438342956783e-07,576,0,0,0,0.0014626684950689308,0.0014626684950689308,-2.7755575615628914e-17,0.0,25296827.256563343
8199037,457,233,7,11,1,0.1317112831975627,0.0883549339251851,0.1317110035402698,0.0883546542678921,9,8,9,8,0.19746711426246283,0.19746711426246283,0.2368574898026487,7.791911410537367e-07,576,0,0,0,0.42145509263170516,0.42145509263170516,2.7965729290646557e-07,2.796572930036101e-07,22884932.30740341
9465841,457,269,7,11,1,0.1317111435907324,0.0793703265197071,0.1317108639335174,0.07937004686249219,9,8,9,8,0.21576765621381214,0.21576765621381214,0.25517418450314294,7.796657602865409e-07,576,0,0,0,0.49752318083315555,0.49752318083315555,2.796572149965648e-07,2.796572149132981e-07,22878851.661731057
5243161,457,149,7,11,1,0.1317121922226777,0.1168422673065602,0.13171191256487613,0.11684198764875874,9,8,9,8,0.19175962952084932,0.19175962952084932,0.2311789103393789,7.80386723908677e-07,576,0,0,0,0.3806214580302596,0.3806214580302596,2.796578015551443e-07,2.796578014579998e-07,22869417.69291226
3131821,457,89,7,11,1,0.1317123453944965,0.1507146946370591,0.13171206573660907,0.15071441497917173,9,8,9,8,0.18491977622531935,0.18491977622531935,0.22434563353430267,7.807088380218374e-07,576,0,0,0,0.2874828953858223,0.2874828953858223,2.7965788743089526e-07,2.796578873753841e-07,22865256.10792142
3976357,457,113,7,11,1,0.1317123318298009,0.1348783514010601,0.13171205217192122,0.13487807174318037,9,8,9,8,0.19182095110585579,0.19182095110585579,0.23125290989428055,7.808883043525228e-07,576,0,0,0,0.36975145286541855,0.36975145286541855,2.7965787968708966e-07,2.796578797426008e-07,22862954.084694818
1442749,457,41,7,11,1,0.1317123830951248,0.2039246718716212,0.13171210343721662,0.20392439221371284,9,8,9,8,0.18329619928972982,0.18329619928972982,0.22272942970552953,7.810155585596945e-07,576,0,0,0,0.21748290104115062,0.21748290104115062,2.796579081920658e-07,2.7965790835859927e-07,22861312.248104338
8206429,541,197,7,11,1,0.1555692254411257,0.1121562703660632,0.15556922544112578,0.11215627036606321,0,0,0,0,4.672004187197631,4.672004187197631,4.697606456353698,6.921131360249078e-07,576,0,0,0,-0.0320438952539843,-0.0320438952539843,-8.326672684688674e-17,-1.3877787807814457e-17,20595237.244012948
7206661,541,173,7,11,1,0.1555699136370858,0.1203505246740787,0.15556991363708586,0.12035052467407874,0,0,0,0,4.674014074401357,4.674014074401357,4.69962803812798,6.927233301423641e-07,576,0,0,0,-0.019547402849053375,-0.019547402849053375,-5.551115123125783e-17,-4.163336342344337e-17,20587727.48433342
5707009,541,137,7,11,1,0.1555706309895856,0.1352368517269947,0.15557063098958568,0.13523685172699476,0,0,0,0,4.678173271680088,4.678173271680088,4.703805628745482,6.936725824857604e-07,576,0,0,0,0.005582484767787034,0.005582484767787034,-8.326672684688674e-17,-5.551115123125783e-17,20576099.536166158
4207357,541,101,7,11,1,0.1555707937578128,0.1550276541471792,0.15557079375781288,0.15502765414717928,0,0,0,0,4.677938427050664,4.677938427050664,4.703576552823252,6.939873524736129e-07,576,0,0,0,-0.01708602897972587,-0.01708602897972587,-8.326672684688674e-17,-8.326672684688674e-17,20572255.943186693
2207821,541,53,7,11,1,0.1555709553318928,0.1982248588838073,0.15557095533189289,0.19822485888380736,0,0,0,0,4.679987935517235,4.679987935517235,4.7056379974139855,6.946109605276973e-07,576,0,0,0,-0.0012736560648485878,-0.0012736560648485878,-8.326672684688674e-17,-5.551115123125783e-17,20564665.391324833
1208053,541,29,7,11,1,0.1555709688068486,0.2403809326378699,0.1555709688068486,0.24038093263786972,0,0,0,0,4.680549418051626,4.680549418051626,4.7062028732322565,6.947885213826055e-07,576,0,0,0,0.003029649966695144,0.003029649966695144,0.0,1.6653345369377348e-16,20562509.183804918
708169,541,17,7,11,1,0.1555709698925403,0.2792635963485129,0.15557096989254038,0.27926359634851294,0,0,0,0,4.6806032879008175,4.6806032879008175,4.706257518262608,6.948299089426513e-07,576,0,0,0,-0.0015152895616435539,-0.0015152895616435539,-8.326672684688674e-17,-5.551115123125783e-17,20562006.914760895
208285,541,5,7,11,1,0.1555709701534139,0.3745076464012066,0.15557097015341395,0.37450764640120665,0,0,0,0,4.742678027450275,4.742678027450275,4.706358305031011,6.948615940416403e-07,576,0,0,0,-0.0014422609295896306,-0.0014422609295896306,-5.551115123125783e-17,-5.551115123125783e-17,20561622.479751546
9706081,541,233,7,11,1,0.1555701537323839,0.1016702805946059,0.15556987592508206,0.10167000278730413,9,8,9,8,4.6721155905483265,4.6721155905483265,4.715198891415297,8.891709956104776e-07,576,0,0,0,0.3456955318485091,0.3456955318485091,2.778073018294691e-07,2.7780730176008017e-07,18446892.656080764
6206893,541,149,7,11,1,0.1555710567441006,0.1298545882580087,0.1555707789362972,0.12985431045020543,9,8,9,8,4.670280236482718,4.670280236482718,4.713399260573909,8.906621737914122e-07,576,0,0,0,0.33223358888946075,0.33223358888946075,2.7780780340047606e-07,2.778078032616982e-07,18432242.9370548
3707473,541,89,7,11,1,0.1555712089026533,0.163355412705637,0.15557093109476522,0.16335513489774903,9,8,9,8,4.664911581165715,4.664911581165715,4.708040302983596,8.911091641250479e-07,576,0,0,0,0.2616091461080556,0.2616091461080556,2.7780788808273726e-07,2.7780788797171496e-07,18427869.281274106
4707241,541,113,7,11,1,0.1555711954276913,0.1476943549308071,0.1555709176198107,0.14769407712292665,9,8,9,8,4.671767116975382,4.671767116975382,4.7149010859776235,8.91266966784876e-07,576,0,0,0,0.33929742384441425,0.33929742384441425,2.7780788058873185e-07,2.7780788044995397e-07,18426333.20484976
1707937,541,41,7,11,1,0.1555712463538837,0.2159559182046453,0.15557096854597502,0.21595564039673656,9,8,9,8,4.66429395292407,4.66429395292407,4.707431837100339,8.914931987069608e-07,576,0,0,0,0.21241274773313726,0.21241274773313726,2.7780790867737437e-07,2.778079087328855e-07,18424123.657578222
5482477,13,5477,7,11,1,0.0567236289001294,0.0389732139856476,0.056722256433091436,0.038971841518609704,9,8,9,8,0.029203763388756358,0.029203763388756358,0.11604225514904103,3.7957561684898167e-06,576,0,0,0,0.4199966020164394,0.4199966020164394,1.372467037963343e-06,1.372467037893954e-06,18032170.042758152
5506501,13,5501,7,11,1,0.0567236222476201,0.0386914677476659,0.056722249780600434,0.03869009528064609,9,8,9,8,0.0357739662876191,0.0357739662876191,0.12262533515070101,3.7965921672045155e-06,576,0,0,0,0.4089917310860394,0.4089917310860394,1.3724670196654798e-06,1.3724670198111966e-06,18029029.01090852
