center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
295875,87542015609,12,87542015621,45981626987621422969134,0.4828318068483579,-0.5171681931516421,295873,2.0,-4.74493212836325,0.0,4.74493212836325
299475,89685275609,12,89685275621,48260691972831081769134,0.48284770777622843,-0.5171522922237716,299473,2.0,-4.672828834461906,0.0,4.672828834461906
300495,90297245009,12,90297245021,48921554743793654101134,0.4828521729934319,-0.5171478270065681,300493,2.0,-4.61512051684126,0.0,4.61512051684126
301995,91200980009,12,91200980021,49905712534178576401134,0.4828587078376305,-0.5171412921623695,301993,2.0,-4.574710978503383,0.0,4.574710978503383
326145,106370561009,12,106370561021,67888177503875026981134,0.4829590428762632,-0.5170409571237369,326149,4.0,4.74493212836325,0.0,-4.74493212836325
334425,111840080609,12,111840080621,75049221791818192669134,0.48299148690991306,-0.517008513090087,334429,4.0,4.976733742420574,0.0,-4.976733742420574
340935,116236674209,12,116236674221,81065786595384275197134,0.48301635238136886,-0.5169836476186311,340933,2.0,-4.844187086458591,0.0,4.844187086458591
346395,119989496009,12,119989496021,86384874923602205281134,0.48303678931705696,-0.516963210682943,346393,2.0,-4.976733742420574,0.0,4.976733742420574
347985,121093560209,12,121093560221,87981901953262985077134,0.483042671065609,-0.516957328934391,347989,4.0,4.90527477843843,0.0,-4.90527477843843
354255,125496605009,12,125496605021,94496387221745538901134,0.4830655671855791,-0.516934432814421,354253,2.0,-4.90527477843843,0.0,4.90527477843843
358905,128812799009,12,128812799021,99556423140472709821134,0.4830822483247739,-0.5169177516752261,358909,4.0,5.003946305945459,0.0,-5.003946305945459
361215,130476276209,12,130476276221,102144351929597848357134,0.48309044284912844,-0.5169095571508715,361213,2.0,-4.90527477843843,0.0,4.90527477843843
375255,140816315009,12,140816315021,118975407446422286701134,0.4831389852089114,-0.5168610147910886,375253,2.0,-4.844187086458591,0.0,4.844187086458591
388695,151083803009,12,151083803021,136957893200851938541134,0.48318353419833415,-0.5168164658016658,388693,2.0,-4.9344739331306915,0.0,4.9344739331306915
389565,151760889209,12,151760889221,138188204971965019897134,0.4831863566827729,-0.5168136433172271,389569,4.0,4.962844630259907,0.0,-4.962844630259907
392265,153871830209,12,153871830221,142059240802282721677134,0.48319507016936125,-0.5168049298306387,392269,4.0,5.030437921392435,0.0,-5.030437921392435
394815,155878884209,12,155878884221,145789359264680256997134,0.48320323647082997,-0.51679676352917,394813,2.0,-5.081404364984463,0.0,5.081404364984463
397545,158042027009,12,158042027021,149863693818059938861134,0.4832119122588976,-0.5167880877411024,397549,4.0,5.056245805348308,0.0,-5.056245805348308
397755,158209040009,12,158209040021,150180602054807227201134,0.4832125767877866,-0.5167874232122134,397753,2.0,-5.030437921392435,0.0,5.030437921392435
402135,161712558209,12,161712558221,156905708906638583917134,0.48322634571754663,-0.5167736542824534,402133,2.0,-5.017279836814924,0.0,5.017279836814924
402765,162219645209,12,162219645221,157891279762082834377134,0.4832283119888785,-0.5167716880111215,402769,4.0,4.9344739331306915,0.0,-4.9344739331306915
412035,169772841209,12,169772841221,172936905685281616057134,0.4832568419958196,-0.5167431580041804,412033,2.0,-4.90527477843843,0.0,4.90527477843843
419055,175607093009,12,175607093021,185027106703073170741134,0.4832779606517632,-0.5167220393482368,419053,2.0,-4.9344739331306915,0.0,4.9344739331306915
420855,177118931009,12,177118931021,188226694343377973581134,0.4832833102382795,-0.5167166897617206,420853,2.0,-4.976733742420574,0.0,4.976733742420574
427245,182538290009,12,182538290021,199921363929601492201134,0.4833020910629392,-0.5166979089370608,427249,4.0,4.948759890378168,0.0,-4.948759890378168
442575,195872630609,12,195872630621,230196524544241411669134,0.4833458616396366,-0.5166541383603633,442573,2.0,-4.795790545596741,0.0,4.795790545596741
444345,197442479009,12,197442479021,233901195117532292221134,0.48335080298409583,-0.5166491970159042,444349,4.0,4.77912349311153,0.0,-4.77912349311153
