n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
870,0.7352794169691382,0.502504364754133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,145,6,A
871,1.0,0.3788899569920966,0.6635180909751843,0.6635180909751843,6.480268616887469,4.491779921066645,0.3788899569920966,0.0,0.6211100430079033,0.0,871,1,E·B
872,0.6928804883021584,0.3071195116978416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109,8,E
873,0.6755396504856724,0.3244603495143276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97,9,E
874,0.8976614565137419,0.1023385434862581,0.6926533684012888,0.6217682315382503,3.833277900380375,3.731175477825068,0.0,0.0,0.48428804802355185,0.5157119519764481,437,2,B·C
875,1.0,1.0,0.5996729008420384,0.5996729008420384,5.860686738426655,4.062318488885498,0.0,0.7127478834919942,0.2872521165080058,0.0,875,1,A·B
876,0.6332439286030412,0.3667560713969587,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73,12,E
877,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,877,1,E
878,0.8977304037642093,0.10226959623579066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,439,2,B
879,0.8379337439895366,0.16206625601046354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,293,3,A
880,0.5910589000761101,1.0,0.6736643248589924,0.39817529487167136,0.9528394359634583,0.8318032950353497,0.0,0.4016231838083946,0.0,0.5983768161916053,55,16,A·C
881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,881,1,A
882,0.5738292672888485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49,18,B
883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,883,1,B
884,0.7956661309341486,0.5823964514922103,0.6919118541943787,0.5505308279743141,2.3207187647277565,2.7758592621884093,0.4751522877849482,0.5248477122150519,0.0,0.0,221,4,E·A
885,0.8380962200854712,0.39908853039345654,0.5957683338486945,0.49931118864521,2.4440118402762128,2.7336014199196597,0.0,0.28300420022743805,0.0,0.7169957997725619,295,3,A·C
886,0.8978670857198271,0.10213291428017292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,443,2,C
