n,r1,r2,r3,r4
345565,5,11,1,7
345709,7,1,5,11
345805,5,11,7,1
348205,5,11,1,7
348425,5,7,11,1
348517,1,5,7,11
348565,5,7,11,1
348985,5,7,1,11
350581,7,11,5,1
351169,7,1,5,11
352165,5,11,7,1
353017,7,5,1,11
353353,7,11,1,5
353617,11,5,7,1
356125,5,7,11,1
356545,5,7,1,11
356785,5,11,1,7
357445,5,11,7,1
360685,5,1,7,11
360745,5,7,11,1
360985,5,11,7,1
361465,5,1,7,11
362089,7,1,11,5
362593,7,11,5,1
363265,5,7,1,11
364325,5,1,7,11
364585,5,1,11,7
364705,5,11,7,1
365449,7,5,1,11
365893,11,5,7,1
366145,5,1,7,11
366275,5,7,1,11
367081,11,1,5,7
367885,5,7,11,1
368225,5,11,1,7
369265,5,1,7,11
369721,11,7,5,1
369733,7,1,5,11
371305,5,11,7,1
371371,7,11,1,5
371525,5,7,11,1
372229,11,1,7,5
372853,1,11,5,7
373765,5,7,11,1
373885,5,1,7,11
373945,5,11,1,7
376105,5,7,1,11
376285,5,7,1,11
376705,5,7,11,1
377377,7,11,1,5
379925,5,7,1,11
380029,1,11,7,5
380653,7,1,11,5
381425,5,11,7,1
381745,5,7,1,11
382025,5,7,1,11
382165,5,7,1,11
383845,5,7,11,1
384085,5,1,7,11
384865,5,1,7,11
385385,5,7,11,1
387277,11,5,7,1
387985,5,1,11,7
388297,7,1,5,11
388465,5,7,11,1
388585,5,11,7,1
389389,7,11,1,5
389785,5,11,7,1
390145,5,7,11,1
390313,7,11,1,5
390425,5,7,11,1
390445,5,11,7,1
391105,5,11,1,7
392665,5,7,1,11
392821,11,1,5,7
393085,5,7,11,1
394537,11,1,7,5
395005,5,1,11,7
395485,5,7,11,1
395857,7,11,5,1
396253,11,1,5,7
396445,5,7,11,1
397705,5,7,11,1
398545,5,7,11,1
399217,7,1,5,11
399685,5,11,1,7
400309,7,1,5,11
401401,7,11,1,5
401557,1,5,11,7
401665,5,11,7,1
402661,7,11,5,1
402745,5,7,1,11
403585,5,7,1,11
404173,7,11,5,1
404209,1,5,7,11
404225,5,7,11,1
404833,11,1,7,5
404965,5,11,1,7
405145,5,1,11,7
406861,7,1,5,11
407185,5,7,1,11
407225,5,7,1,11
407785,5,7,1,11
408205,5,7,11,1
408265,5,11,1,7
408289,7,5,11,1
409165,5,7,11,1
409717,7,11,5,1
409849,11,7,1,5
410795,5,7,11,1
410905,5,11,7,1
411355,5,7,11,1
411445,5,7,1,11
411565,5,7,11,1
412321,7,1,11,5
413545,5,11,1,7
414505,5,7,1,11
414865,5,11,7,1
417235,5,7,1,11
418033,7,11,1,5
419965,5,7,1,11
420805,5,7,11,1
421465,5,11,7,1
421705,5,7,11,1
422617,1,7,5,11
423085,5,1,11,7
423115,5,7,11,1
423181,11,5,7,1
424501,7,11,1,5
424645,5,1,11,7
424879,7,1,11,5
425315,5,11,7,1
426055,5,7,1,11
426085,5,11,1,7
426205,5,1,7,11
426685,5,7,1,11
427141,11,1,5,7
427405,5,11,7,1
428065,5,11,7,1
428281,7,5,11,1
428545,5,1,7,11
429385,5,11,1,7
429709,7,5,11,1
430045,5,7,11,1
430885,5,7,1,11
430969,7,11,5,1
431977,7,1,11,5
433105,5,7,11,1
434005,5,11,1,7
434525,5,7,1,11
434665,5,7,11,1
435505,5,7,11,1
437525,5,11,1,7
438265,5,11,1,7
438425,5,1,7,11
438725,5,7,11,1
439945,5,11,7,1
440713,7,1,5,11
440825,5,7,11,1
441133,7,11,5,1
441805,5,7,1,11
442453,11,7,5,1
442585,5,11,1,7
443149,7,5,1,11
443365,5,1,7,11
443905,5,7,11,1
444385,5,7,11,1
444745,5,7,1,11
444829,7,11,5,1
446641,1,5,7,11
447265,5,7,1,11
447733,11,1,7,5
448477,5,11,7,1
449293,1,5,7,11
449365,5,7,1,11
449449,7,11,1,5
449785,5,7,11,1
451165,5,11,1,7
451451,7,11,1,5
452485,5,11,7,1
452893,7,11,5,1
453169,5,7,11,1
453805,5,11,1,7
454025,5,11,1,7
455455,5,7,11,1
455665,5,7,11,1
