group_mod12,value,factorization,indices_str,len,min_index,max_index
5,505,5*101,1 7,2,1,7
5,509,509,24,1,24,24
11,517,11*47,1 3,2,1,3
5,521,521,25,1,25,25
7,523,523,25,1,25,25
11,529,23^2,2 2,2,2,2
1,541,541,22,1,22,22
7,547,547,26,1,26,26
7,553,7*79,1 6,2,1,6
5,557,557,26,1,26,26
11,563,563,27,1,27,27
5,565,5*113,1 8,2,1,8
5,569,569,27,1,27,27
7,571,571,27,1,27,27
1,577,577,23,1,23,23
11,587,587,28,1,28,28
7,589,19*31,2 3,2,2,3
5,593,593,28,1,28,28
11,599,599,29,1,29,29
1,601,601,24,1,24,24
7,607,607,28,1,28,28
1,613,613,25,1,25,25
5,617,617,29,1,29,29
7,619,619,29,1,29,29
5,625,5^4,1 1 1 1,4,1,1
7,631,631,30,1,30,30
5,641,641,30,1,30,30
7,643,643,31,1,31,31
11,647,647,30,1,30,30
11,649,11*59,1 4,2,1,4
5,653,653,31,1,31,31
11,659,659,31,1,31,31
1,661,661,26,1,26,26
1,673,673,27,1,27,27
5,677,677,32,1,32,32
11,683,683,32,1,32,32
5,685,5*137,1 9,2,1,9
7,691,691,32,1,32,32
5,697,17*41,2 4,2,2,4
5,701,701,33,1,33,33
1,709,709,28,1,28,28
11,719,719,33,1,33,33
7,721,7*103,1 7,2,1,7
5,725,5^2*29,1 1 3,3,1,3
7,727,727,33,1,33,33
1,733,733,29,1,29,29
7,739,739,34,1,34,34
11,743,743,34,1,34,34
5,745,5*149,1 10,2,1,10
7,751,751,35,1,35,35
1,757,757,30,1,30,30
5,761,761,34,1,34,34
1,769,769,31,1,31,31
5,773,773,35,1,35,35
11,781,11*71,1 5,2,1,5
7,787,787,36,1,36,36
1,793,13*61,1 3,2,1,3
5,797,797,36,1,36,36
5,809,809,37,1,37,37
7,811,811,37,1,37,37
7,817,19*43,2 4,2,2,4
5,821,821,38,1,38,38
7,823,823,38,1,38,38
11,827,827,35,1,35,35
1,829,829,32,1,32,32
11,839,839,36,1,36,36
5,841,29^2,3 3,2,3,3
1,853,853,33,1,33,33
5,857,857,39,1,39,39
7,859,859,39,1,39,39
11,863,863,37,1,37,37
5,865,5*173,1 11,2,1,11
1,877,877,34,1,34,34
5,881,881,40,1,40,40
7,883,883,40,1,40,40
11,887,887,38,1,38,38
7,889,7*127,1 8,2,1,8
5,901,17*53,2 5,2,2,5
7,907,907,41,1,41,41
11,911,911,39,1,39,39
11,913,11*83,1 6,2,1,6
7,919,919,42,1,42,42
5,929,929,41,1,41,41
7,931,7^2*19,1 1 2,3,1,2
1,937,937,35,1,35,35
5,941,941,42,1,42,42
11,947,947,40,1,40,40
1,949,13*73,1 4,2,1,4
5,953,953,43,1,43,43
7,961,31^2,3 3,2,3,3
7,967,967,43,1,43,43
11,971,971,41,1,41,41
7,973,7*139,1 9,2,1,9
5,977,977,44,1,44,44
11,983,983,42,1,42,42
5,985,5*197,1 12,2,1,12
