bits,n,sigma,ring,use_sigma,dir_kind,dir_count,lambdas,base_samples,T,S,score,use_score,B,neighbor_safety,shadow,success_prefilter,factor_prefilter,rank_hit,tested,t_prefilter,success_pipeline,factor_pipeline,t_total,fallback_used
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.06757903099060059,True,3895696853,0.1423511505126953,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.059947967529296875,True,3895696853,0.07869720458984375,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.0516810417175293,True,4162225801,0.08328509330749512,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.026942968368530273,True,3895696853,0.04174494743347168,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.26880788803100586,True,4162225801,0.2927432060241699,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.27614617347717285,True,4162225801,0.38333797454833984,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.2593538761138916,True,3895696853,0.299177885055542,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.06502604484558105,True,4162225801,0.11984992027282715,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.03272080421447754,True,4162225801,0.06453728675842285,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.03448033332824707,True,3895696853,0.07100701332092285,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.02892279624938965,True,3895696853,0.14226698875427246,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017943143844604492,True,3895696853,0.05825400352478027,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.06640100479125977,True,3895696853,0.16605782508850098,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.062330007553100586,True,4162225801,0.07769322395324707,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.06682586669921875,True,3895696853,0.16040802001953125,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.02296280860900879,True,3895696853,0.0879371166229248,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.27831602096557617,True,4162225801,0.30376386642456055,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.2891409397125244,True,4162225801,0.321972131729126,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.2963571548461914,True,4162225801,0.31172609329223633,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.08028912544250488,True,3895696853,0.1671581268310547,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.01441192626953125,True,2748198667,0.08205604553222656,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.01673603057861328,True,3684211717,0.1561269760131836,True
64,10124945729605181239,B,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.014639139175415039,True,2748198667,0.14406919479370117,True
64,10124945729605181239,B,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.012791633605957031,True,3684211717,0.03946065902709961,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.025722980499267578,True,2748198667,0.03815317153930664,True
64,10124945729605181239,B,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.017848968505859375,True,2748198667,0.04352688789367676,True
64,10124945729605181239,B,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.0208890438079834,True,3684211717,0.1050560474395752,True
