M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
280560,6,9,1,0,0,2,0.055847097097,0.023809523810,{42: 1},{18: 1}
280770,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
280980,4,4,0,1,1,2,0.008308400242,0.000000000000,{},{}
281190,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
281400,7,10,0,1,1,2,0.031082790139,0.000000000000,{},{}
281610,7,12,4,0,0,1,0.097574212587,0.061391223156,"{42: 1, 72: 2, 102: 1}","{12: 1, 18: 2, 48: 1}"
281820,9,20,1,2,2,3,0.064796335342,0.008333333333,{120: 1},{84: 1}
282030,6,8,0,0,0,0,0.029570092747,0.000000000000,{},{}
282240,6,6,0,1,1,2,0.022484592766,0.000000000000,{},{}
282450,5,4,0,0,0,0,0.012191271386,0.000000000000,{},{}
282660,5,6,0,1,1,1,0.016499042146,0.000000000000,{},{}
282870,5,6,0,0,0,0,0.023826173826,0.000000000000,{},{}
283080,4,4,1,0,0,0,0.025938285338,0.011111111111,{90: 1},{54: 1}
283290,5,6,0,1,2,2,0.014362266604,0.000000000000,{},{}
283500,5,4,2,0,0,0,0.030450861196,0.020238095238,"{84: 1, 120: 1}","{60: 1, 96: 1}"
283710,6,8,0,0,0,2,0.036978354161,0.000000000000,{},{}
283920,6,9,0,0,0,1,0.027230826170,0.000000000000,{},{}
284130,6,6,1,0,0,0,0.028785438536,0.009803921569,{102: 1},{42: 1}
284340,7,10,0,0,0,1,0.027747316845,0.000000000000,{},{}
284550,8,12,1,2,2,2,0.048383635871,0.011904761905,{84: 1},{0: 1}
284760,8,12,3,0,0,0,0.074848054557,0.032819794585,"{84: 1, 90: 1, 102: 1}","{42: 1, 54: 1, 60: 1}"
284970,6,5,0,0,0,1,0.015874503979,0.000000000000,{},{}
285180,4,4,0,0,0,0,0.017293489689,0.000000000000,{},{}
285390,7,12,0,0,0,0,0.033035909728,0.000000000000,{},{}
285600,6,5,3,1,1,2,0.054524935270,0.044312169312,"{54: 1, 72: 1, 84: 1}","{0: 1, 12: 1, 30: 1}"
285810,8,15,0,2,2,3,0.051713856967,0.000000000000,{},{}
286020,3,2,1,1,1,1,0.016409266409,0.011904761905,{84: 1},{0: 1}
286230,4,4,0,0,0,0,0.010440662279,0.000000000000,{},{}
286440,4,3,1,0,0,0,0.021362742052,0.011111111111,{90: 1},{54: 1}
286650,5,4,0,0,1,1,0.016940271479,0.000000000000,{},{}
286860,3,2,0,0,0,0,0.005404725993,0.000000000000,{},{}
287070,3,2,0,0,0,0,0.010060060060,0.000000000000,{},{}
287280,4,2,0,1,1,1,0.006040131040,0.000000000000,{},{}
287490,4,4,0,0,0,0,0.013171300671,0.000000000000,{},{}
287700,3,2,0,0,0,0,0.008429118774,0.000000000000,{},{}
287910,3,2,0,0,0,0,0.004991087344,0.000000000000,{},{}
288120,3,2,0,0,0,0,0.004991087344,0.000000000000,{},{}
288330,3,2,0,0,0,0,0.008429118774,0.000000000000,{},{}
288540,4,4,1,0,0,1,0.019395688383,0.008333333333,{120: 1},{96: 1}
288750,8,15,1,1,1,1,0.052484869741,0.008333333333,{120: 1},{84: 1}
288960,11,24,3,1,1,1,0.118303058625,0.037581699346,"{60: 1, 90: 1, 102: 1}","{0: 1, 30: 1, 42: 1}"
289170,9,7,2,0,0,1,0.042591400409,0.018575851393,"{102: 1, 114: 1}","{30: 1, 42: 1}"
289380,5,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
289590,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
289800,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
290010,3,2,0,0,0,0,0.010606060606,0.000000000000,{},{}
290220,4,4,0,0,0,0,0.009405551607,0.000000000000,{},{}
290430,6,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
290640,7,12,2,2,2,3,0.096391535986,0.048611111111,"{36: 1, 48: 1}","{0: 1, 12: 1}"
290850,6,8,0,1,1,2,0.023013531063,0.000000000000,{},{}
291060,4,4,1,0,0,0,0.031421356421,0.016666666667,{60: 1},{24: 1}
291270,5,6,0,2,2,2,0.020841114223,0.000000000000,{},{}
291480,4,4,0,0,0,0,0.015498001224,0.000000000000,{},{}
291690,4,2,0,0,0,0,0.006132756133,0.000000000000,{},{}
291900,6,6,0,0,0,0,0.013523911321,0.000000000000,{},{}
292110,4,3,2,0,0,0,0.024461131971,0.020915032680,"{90: 1, 102: 1}","{42: 1, 54: 1}"
292320,4,3,0,0,0,1,0.008681827432,0.000000000000,{},{}
292530,2,1,0,0,0,0,0.004166666667,0.000000000000,{},{}
292740,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
292950,3,2,0,0,0,1,0.004419857160,0.000000000000,{},{}
293160,3,2,2,0,1,1,0.042105263158,0.042105263158,"{30: 1, 114: 1}","{6: 1, 90: 1}"
293370,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
293580,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
293790,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
294000,4,2,0,0,0,0,0.006412627944,0.000000000000,{},{}
294210,5,6,0,0,0,0,0.034783027792,0.000000000000,{},{}
294420,5,4,0,0,0,1,0.010226578977,0.000000000000,{},{}
294630,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
294840,5,4,0,0,1,1,0.011136227320,0.000000000000,{},{}
295050,5,6,2,0,0,0,0.057399390733,0.034920634921,"{42: 1, 90: 1}","{18: 1, 30: 1}"
295260,5,4,0,1,1,1,0.011654228856,0.000000000000,{},{}
295470,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
295680,5,4,0,0,0,0,0.008723206316,0.000000000000,{},{}
295890,4,4,4,1,2,2,0.101709401709,0.101709401709,"{24: 1, 30: 1, 72: 1, 78: 1}","{0: 1, 6: 1, 42: 1, 48: 1}"
296100,5,4,0,1,1,1,0.011540571240,0.000000000000,{},{}
296310,5,4,0,0,0,0,0.014497365140,0.000000000000,{},{}
296520,7,12,4,1,1,1,0.080012562067,0.054116090881,"{54: 1, 72: 1, 84: 1, 102: 1}","{0: 1, 18: 1, 30: 1, 48: 1}"
296730,10,20,0,1,1,3,0.059623408503,0.000000000000,{},{}
296940,6,8,2,1,1,2,0.062415929481,0.030555555556,"{60: 1, 72: 1}","{0: 1, 12: 1}"
297150,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
297360,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
297570,2,1,0,0,0,0,0.002923976608,0.000000000000,{},{}
297780,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
297990,5,3,0,1,1,2,0.008138903185,0.000000000000,{},{}
298200,5,6,2,1,1,1,0.057348419848,0.042328042328,"{42: 1, 54: 1}","{18: 1, 30: 1}"
298410,6,6,0,0,0,0,0.011884946584,0.000000000000,{},{}
298620,6,5,0,0,0,1,0.015138449169,0.000000000000,{},{}
298830,6,5,0,0,0,0,0.018701327072,0.000000000000,{},{}
299040,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
299250,5,4,0,1,2,2,0.010068880069,0.000000000000,{},{}
299460,7,10,4,0,1,1,0.077063394212,0.052290448343,"{54: 1, 60: 1, 114: 1, 120: 1}","{24: 1, 30: 1, 84: 1, 90: 1}"
299670,6,8,1,0,0,0,0.042236000442,0.008771929825,{114: 1},{90: 1}
299880,3,2,0,0,0,0,0.004358974359,0.000000000000,{},{}
300090,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
300300,7,8,0,0,0,0,0.031166653284,0.000000000000,{},{}
300510,7,12,2,1,1,1,0.063089624407,0.023015873016,"{84: 1, 90: 1}","{54: 1, 60: 1}"
300720,7,8,0,0,0,1,0.027048098234,0.000000000000,{},{}
300930,5,3,0,0,0,0,0.006814939118,0.000000000000,{},{}
301140,5,4,0,0,0,1,0.011975759177,0.000000000000,{},{}
301350,6,9,2,0,1,1,0.070531976791,0.041666666667,"{30: 1, 120: 1}","{6: 1, 96: 1}"
301560,6,9,1,0,1,1,0.035407691528,0.011111111111,{90: 1},{54: 1}
301770,6,9,1,0,0,0,0.034696878589,0.011111111111,{90: 1},{54: 1}
301980,6,8,0,0,0,0,0.031876554046,0.000000000000,{},{}
302190,5,3,0,0,0,0,0.014537815126,0.000000000000,{},{}
302400,4,3,0,0,0,0,0.008561182247,0.000000000000,{},{}
302610,2,1,0,0,0,0,0.003968253968,0.000000000000,{},{}
302820,5,4,0,0,0,0,0.010807955661,0.000000000000,{},{}
303030,4,3,2,1,1,1,0.025029815146,0.021153846154,"{78: 1, 120: 1}","{0: 1, 42: 1}"
303240,5,6,0,0,0,1,0.015142047386,0.000000000000,{},{}
303450,6,5,1,0,0,0,0.025594554837,0.008771929825,{114: 1},{30: 1}
303660,6,5,2,0,0,1,0.053200422766,0.037698412698,"{42: 1, 72: 1}","{12: 1, 18: 1}"
303870,5,6,0,0,0,0,0.013269965573,0.000000000000,{},{}
304080,3,2,1,0,0,0,0.016178266178,0.011904761905,{84: 1},{60: 1}
304290,6,8,0,0,0,0,0.028508834498,0.000000000000,{},{}
304500,4,3,1,0,0,0,0.019632271513,0.009803921569,{102: 1},{18: 1}
304710,5,6,0,0,0,1,0.015509214840,0.000000000000,{},{}
304920,5,6,2,0,0,1,0.043026513716,0.021153846154,"{78: 1, 120: 1}","{42: 1, 84: 1}"
305130,7,10,0,1,2,2,0.026037575618,0.000000000000,{},{}
305340,4,3,0,0,0,0,0.010232240437,0.000000000000,{},{}
305550,6,9,0,0,1,2,0.028419808244,0.000000000000,{},{}
305760,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
305970,5,6,0,0,1,3,0.013667362133,0.000000000000,{},{}
306180,5,4,1,1,1,1,0.057363315697,0.041666666667,{24: 1},{0: 1}
306390,6,8,2,1,1,2,0.046303059446,0.025000000000,"{72: 1, 90: 1}","{12: 1, 30: 1}"
306600,6,8,1,0,0,0,0.028540072436,0.008771929825,{114: 1},{90: 1}
306810,6,8,0,1,1,1,0.028776777862,0.000000000000,{},{}
307020,7,10,1,1,1,1,0.047431914498,0.011904761905,{84: 1},{60: 1}
307230,8,15,2,0,0,1,0.078429944949,0.025000000000,"{72: 1, 90: 1}","{12: 1, 30: 1}"
307440,7,10,0,1,1,2,0.027220661190,0.000000000000,{},{}
307650,4,4,1,0,0,0,0.026344398519,0.016666666667,{60: 1},{24: 1}
307860,3,2,0,0,0,0,0.009722222222,0.000000000000,{},{}
308070,3,2,0,0,0,0,0.004664057404,0.000000000000,{},{}
308280,5,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
308490,6,6,0,0,0,0,0.024731870603,0.000000000000,{},{}
308700,6,8,0,0,0,0,0.024081222196,0.000000000000,{},{}
308910,5,6,1,0,0,0,0.031166467721,0.012820512821,{78: 1},{42: 1}
309120,6,8,0,1,1,1,0.028357700436,0.000000000000,{},{}
309330,6,9,0,0,0,1,0.034952558855,0.000000000000,{},{}
309540,6,4,0,0,0,1,0.011306838776,0.000000000000,{},{}
309750,7,12,0,1,1,1,0.033480094763,0.000000000000,{},{}
309960,6,9,1,0,0,1,0.040978473606,0.011111111111,{90: 1},{30: 1}
310170,5,6,1,0,0,0,0.027411455360,0.009803921569,{102: 1},{18: 1}
310380,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
310590,3,2,0,0,0,1,0.004868992574,0.000000000000,{},{}
310800,2,1,1,0,0,0,0.009803921569,0.009803921569,{102: 1},{42: 1}
311010,3,2,0,1,1,1,0.003937551810,0.000000000000,{},{}
311220,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
311430,5,4,0,1,1,1,0.012633284001,0.000000000000,{},{}
311640,6,8,1,1,2,2,0.045089041831,0.008771929825,{114: 1},{30: 1}
311850,7,12,1,0,0,1,0.045594513004,0.008333333333,{120: 1},{84: 1}
312060,8,12,1,1,1,1,0.065464436360,0.023809523810,{42: 1},{18: 1}
312270,8,15,6,0,1,1,0.123893637719,0.094369502187,"{30: 1, 60: 1, 72: 1, 84: 1, 102: 1, 114: 1}","{6: 1, 18: 1, 24: 1, 30: 1, 48: 1, 60: 1}"
312480,10,25,0,1,2,2,0.069129476138,0.000000000000,{},{}
312690,8,16,3,1,1,2,0.111505590717,0.061904761905,"{24: 1, 84: 1, 120: 1}","{0: 1, 60: 1, 96: 1}"
312900,8,16,2,0,1,1,0.062927705816,0.020915032680,"{90: 1, 102: 1}","{18: 1, 30: 1}"
313110,6,9,0,0,0,0,0.033454793909,0.000000000000,{},{}
313320,3,2,0,0,0,0,0.010457516340,0.000000000000,{},{}
313530,3,2,0,0,0,1,0.005718954248,0.000000000000,{},{}
313740,5,3,0,0,0,0,0.009150195909,0.000000000000,{},{}
313950,5,6,2,1,1,2,0.052401837928,0.037500000000,"{48: 1, 60: 1}","{12: 1, 24: 1}"
314160,7,9,0,0,0,1,0.024973951858,0.000000000000,{},{}
314370,5,6,1,0,0,0,0.044648529453,0.023809523810,{42: 1},{18: 1}
314580,4,4,0,0,0,0,0.014243626744,0.000000000000,{},{}
314790,3,2,0,0,0,0,0.006688963211,0.000000000000,{},{}
315000,3,2,0,0,0,0,0.006761066463,0.000000000000,{},{}
315210,4,4,0,1,1,1,0.012898026164,0.000000000000,{},{}
315420,5,6,2,0,0,0,0.044037193421,0.032142857143,"{42: 1, 120: 1}","{18: 1, 96: 1}"
315630,5,6,0,0,0,0,0.020366119162,0.000000000000,{},{}
315840,3,2,0,0,0,0,0.008585858586,0.000000000000,{},{}
316050,3,2,0,0,0,0,0.007539682540,0.000000000000,{},{}
316260,4,4,0,0,0,1,0.012681791064,0.000000000000,{},{}
316470,5,3,0,1,1,1,0.008449903829,0.000000000000,{},{}
316680,6,9,1,2,2,2,0.060035106850,0.027777777778,{36: 1},{0: 1}
316890,5,4,0,0,1,1,0.013001189020,0.000000000000,{},{}
317100,6,9,0,0,0,1,0.026343949881,0.000000000000,{},{}
317310,6,8,2,1,1,1,0.050547276915,0.030423280423,"{54: 1, 84: 1}","{0: 1, 30: 1}"
317520,8,16,1,1,1,2,0.053344777994,0.009803921569,{102: 1},{42: 1}
317730,8,10,0,1,1,2,0.034679521879,0.000000000000,{},{}
317940,8,16,2,1,1,2,0.097413875713,0.048611111111,"{36: 1, 48: 1}","{0: 1, 12: 1}"
318150,8,15,0,0,1,1,0.049813524005,0.000000000000,{},{}
318360,6,5,0,0,0,0,0.017860643322,0.000000000000,{},{}
318570,7,12,1,0,0,0,0.038665110741,0.008333333333,{120: 1},{96: 1}
318780,6,9,1,2,2,2,0.056671641721,0.016666666667,{60: 1},{0: 1}
318990,5,4,0,0,0,0,0.014617102146,0.000000000000,{},{}
319200,3,2,0,0,0,0,0.005120837017,0.000000000000,{},{}
319410,4,3,0,0,0,1,0.007181224573,0.000000000000,{},{}
319620,6,8,1,0,0,0,0.039758613600,0.011111111111,{90: 1},{30: 1}
319830,8,12,0,0,0,1,0.038008140804,0.000000000000,{},{}
320040,9,15,1,0,1,3,0.060931827198,0.013888888889,{72: 1},{12: 1}
320250,8,15,2,0,1,1,0.111888309504,0.051851851852,"{30: 1, 54: 1}","{6: 1, 30: 1}"
320460,7,12,0,0,1,1,0.040580916767,0.000000000000,{},{}
320670,5,4,0,0,0,1,0.011033499169,0.000000000000,{},{}
320880,3,2,0,0,0,0,0.006576402321,0.000000000000,{},{}
321090,3,2,0,0,0,0,0.005252274607,0.000000000000,{},{}
321300,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
321510,6,9,1,1,1,1,0.040590841810,0.009803921569,{102: 1},{18: 1}
321720,6,8,1,1,1,1,0.032392809010,0.008771929825,{114: 1},{90: 1}
321930,6,8,0,1,1,1,0.030760957057,0.000000000000,{},{}
322140,6,9,1,1,2,2,0.053947900715,0.016666666667,{60: 1},{0: 1}
322350,7,9,0,1,1,1,0.021811124073,0.000000000000,{},{}
322560,6,5,0,1,1,2,0.016913037658,0.000000000000,{},{}
322770,7,9,0,0,0,1,0.033543631903,0.000000000000,{},{}
322980,5,6,1,0,0,0,0.029086495863,0.012820512821,{78: 1},{42: 1}
323190,8,12,0,1,1,3,0.030071808993,0.000000000000,{},{}
323400,9,20,5,0,0,2,0.136348846172,0.061274509804,"{60: 1, 72: 1, 90: 1, 102: 2}","{12: 1, 18: 1, 24: 1, 42: 1, 54: 1}"
323610,9,8,0,0,0,0,0.025476176001,0.000000000000,{},{}
323820,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
324030,3,2,0,0,0,0,0.004459012521,0.000000000000,{},{}
324240,4,3,1,0,0,0,0.019663742690,0.011111111111,{90: 1},{30: 1}
324450,6,6,0,0,0,1,0.023935581570,0.000000000000,{},{}
324660,6,8,0,1,1,2,0.027388908113,0.000000000000,{},{}
324870,7,9,0,0,0,0,0.028759269253,0.000000000000,{},{}
325080,9,16,0,0,1,1,0.055728709068,0.000000000000,{},{}
325290,7,10,3,0,0,0,0.053319762091,0.032264957265,"{78: 1, 90: 1, 120: 1}","{42: 1, 54: 1, 84: 1}"
325500,7,12,0,2,2,3,0.029178394434,0.000000000000,{},{}
325710,5,6,2,0,0,1,0.044630417475,0.027777777778,"{60: 1, 90: 1}","{24: 1, 54: 1}"
325920,7,12,0,1,2,3,0.036089903404,0.000000000000,{},{}
326130,5,6,2,0,0,1,0.058619836236,0.044642857143,"{42: 1, 48: 1}","{12: 1, 18: 1}"
326340,7,12,0,1,2,2,0.034227531724,0.000000000000,{},{}
326550,5,6,3,1,1,1,0.075794736499,0.063888888889,"{24: 1, 72: 1, 120: 1}","{0: 1, 48: 1, 96: 1}"
326760,7,12,0,0,1,1,0.036581304156,0.000000000000,{},{}
326970,4,4,1,1,1,1,0.030870104554,0.016666666667,{60: 1},{0: 1}
327180,6,8,0,1,1,2,0.023307783442,0.000000000000,{},{}
327390,7,10,2,0,0,2,0.053536948936,0.020915032680,"{90: 1, 102: 1}","{42: 1, 54: 1}"
327600,11,30,0,0,1,2,0.093325362659,0.000000000000,{},{}
327810,8,16,5,1,2,3,0.125692457140,0.085623781676,"{30: 1, 54: 1, 72: 1, 90: 1, 114: 1}","{6: 1, 30: 2, 48: 1, 54: 1}"
328020,7,10,0,0,0,0,0.037544937235,0.000000000000,{},{}
328230,5,6,0,1,1,1,0.020544961433,0.000000000000,{},{}
328440,6,8,0,0,0,1,0.036552018623,0.000000000000,{},{}
328650,8,15,0,2,2,2,0.056093070645,0.000000000000,{},{}
328860,7,10,1,1,1,2,0.045498521679,0.013888888889,{72: 1},{48: 1}
329070,7,12,0,0,1,2,0.036645014819,0.000000000000,{},{}
329280,5,6,2,0,2,2,0.060328016210,0.044444444444,"{30: 1, 90: 1}","{6: 1, 54: 1}"
329490,5,4,0,0,0,0,0.014599289599,0.000000000000,{},{}
