M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
555331,4,4,0,0,0,1,0.014384920635,0.000000000000,{},{}
555361,3,2,0,0,0,0,0.009656084656,0.000000000000,{},{}
555391,3,2,0,0,0,1,0.009656084656,0.000000000000,{},{}
555421,3,2,1,0,0,0,0.013507625272,0.009803921569,{102: 1},{100: 1}
555451,3,2,1,0,0,0,0.013507625272,0.009803921569,{102: 1},{40: 1}
555481,3,2,1,0,0,0,0.013507625272,0.009803921569,{102: 1},{20: 1}
555511,3,2,1,0,0,0,0.013507625272,0.009803921569,{102: 1},{80: 1}
555541,4,3,0,0,1,1,0.007455065359,0.000000000000,{},{}
555571,3,2,0,0,0,0,0.005718954248,0.000000000000,{},{}
555601,3,2,0,0,0,0,0.005718954248,0.000000000000,{},{}
555631,3,2,0,0,0,0,0.005718954248,0.000000000000,{},{}
555661,3,2,0,0,0,0,0.005718954248,0.000000000000,{},{}
555691,3,2,0,0,0,0,0.005718954248,0.000000000000,{},{}
555721,2,1,0,0,0,0,0.003267973856,0.000000000000,{},{}
555751,2,1,0,0,0,0,0.003267973856,0.000000000000,{},{}
555781,3,2,0,0,0,0,0.005099475688,0.000000000000,{},{}
555811,3,2,0,0,0,0,0.005099475688,0.000000000000,{},{}
555841,2,1,0,0,0,0,0.004166666667,0.000000000000,{},{}
555871,2,1,0,0,0,0,0.004166666667,0.000000000000,{},{}
555901,2,1,0,0,0,0,0.004166666667,0.000000000000,{},{}
555931,2,1,0,0,0,0,0.004166666667,0.000000000000,{},{}
555961,2,1,0,0,0,0,0.004166666667,0.000000000000,{},{}
555991,3,2,0,0,0,0,0.006418918919,0.000000000000,{},{}
556021,3,2,0,0,0,0,0.006418918919,0.000000000000,{},{}
556051,3,2,0,0,1,1,0.006418918919,0.000000000000,{},{}
556081,3,2,0,0,0,0,0.007154213037,0.000000000000,{},{}
556111,3,2,0,0,0,0,0.007154213037,0.000000000000,{},{}
556141,2,1,0,0,0,0,0.004901960784,0.000000000000,{},{}
556171,2,1,0,0,1,1,0.004901960784,0.000000000000,{},{}
556201,2,1,0,0,0,0,0.004901960784,0.000000000000,{},{}
556231,2,1,0,0,0,0,0.004901960784,0.000000000000,{},{}
556261,2,1,0,0,0,0,0.004901960784,0.000000000000,{},{}
556291,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
556321,3,2,0,0,0,0,0.004828042328,0.000000000000,{},{}
556351,3,2,0,0,0,0,0.004828042328,0.000000000000,{},{}
556381,2,1,0,0,0,0,0.002976190476,0.000000000000,{},{}
556411,3,2,0,0,0,0,0.005357142857,0.000000000000,{},{}
556441,3,2,0,0,1,1,0.005357142857,0.000000000000,{},{}
556471,3,2,0,0,0,0,0.005357142857,0.000000000000,{},{}
556501,3,2,0,0,0,0,0.005357142857,0.000000000000,{},{}
556531,4,3,0,0,0,0,0.007188644689,0.000000000000,{},{}
556561,5,4,0,0,0,1,0.008889324961,0.000000000000,{},{}
556591,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
556621,4,3,1,0,0,0,0.020634920635,0.011904761905,{84: 1},{58: 1}
556651,4,3,1,0,1,1,0.020634920635,0.011904761905,{84: 1},{2: 1}
556681,4,3,1,0,0,0,0.020634920635,0.011904761905,{84: 1},{62: 1}
556711,4,4,0,0,1,1,0.022619047619,0.000000000000,{},{}
556741,4,4,0,0,0,0,0.022619047619,0.000000000000,{},{}
556771,5,6,0,0,0,1,0.027573510278,0.000000000000,{},{}
556801,5,6,0,0,0,0,0.027573510278,0.000000000000,{},{}
556831,5,6,1,0,1,1,0.042851288056,0.023809523810,{42: 1},{16: 1}
556861,5,4,0,0,0,0,0.014171634377,0.000000000000,{},{}
556891,5,4,0,0,0,0,0.014171634377,0.000000000000,{},{}
556921,4,3,0,0,0,0,0.011949412154,0.000000000000,{},{}
556951,4,3,0,0,0,0,0.011949412154,0.000000000000,{},{}
556981,4,3,0,0,0,0,0.011949412154,0.000000000000,{},{}
557011,3,2,0,0,0,0,0.009217171717,0.000000000000,{},{}
557041,3,2,0,0,0,0,0.009217171717,0.000000000000,{},{}
557071,4,3,0,0,0,0,0.006977506722,0.000000000000,{},{}
557101,4,3,0,0,0,0,0.006977506722,0.000000000000,{},{}
557131,3,2,0,0,0,0,0.005165912519,0.000000000000,{},{}
557161,2,1,0,0,0,0,0.003205128205,0.000000000000,{},{}
557191,2,1,0,0,0,0,0.003205128205,0.000000000000,{},{}
557221,3,2,0,0,0,0,0.005369630370,0.000000000000,{},{}
557251,3,2,0,0,0,0,0.005369630370,0.000000000000,{},{}
557281,3,2,0,0,0,0,0.005369630370,0.000000000000,{},{}
557311,3,2,0,0,0,0,0.005369630370,0.000000000000,{},{}
557341,3,2,0,0,0,0,0.005369630370,0.000000000000,{},{}
557371,2,1,0,0,0,0,0.006666666667,0.000000000000,{},{}
557401,2,1,0,0,0,0,0.006666666667,0.000000000000,{},{}
557431,3,2,0,0,0,0,0.009444444444,0.000000000000,{},{}
557461,5,4,0,0,0,0,0.014696719052,0.000000000000,{},{}
557491,5,4,0,0,0,0,0.014696719052,0.000000000000,{},{}
557521,6,8,0,0,0,0,0.027324042424,0.000000000000,{},{}
557551,6,8,0,0,1,2,0.027324042424,0.000000000000,{},{}
557581,7,10,0,0,0,1,0.032280539357,0.000000000000,{},{}
557611,7,10,0,0,0,1,0.032280539357,0.000000000000,{},{}
557641,7,10,0,0,1,1,0.032280539357,0.000000000000,{},{}
557671,6,5,0,0,0,0,0.019903151832,0.000000000000,{},{}
557701,6,5,0,0,0,0,0.019903151832,0.000000000000,{},{}
557731,6,8,3,0,0,1,0.153272560201,0.130555555556,"{12: 1, 30: 1, 72: 1}","{10: 1, 28: 1, 70: 1}"
557761,6,8,5,0,0,1,0.086548167742,0.072502334267,"{42: 1, 60: 1, 72: 1, 102: 1, 120: 1}","{10: 1, 22: 1, 40: 1, 82: 1, 100: 1}"
557791,6,8,5,0,0,1,0.086548167742,0.072502334267,"{42: 1, 60: 1, 72: 1, 102: 1, 120: 1}","{20: 1, 22: 1, 38: 1, 40: 1, 50: 1}"
557821,5,4,3,0,0,0,0.042379679144,0.034803921569,"{60: 1, 102: 1, 120: 1}","{20: 1, 22: 1, 38: 1}"
557851,5,4,3,0,0,0,0.042379679144,0.034803921569,"{60: 1, 102: 1, 120: 1}","{38: 1, 80: 1, 98: 1}"
557881,5,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
557911,5,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
557941,5,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
557971,6,5,0,0,0,0,0.010695338238,0.000000000000,{},{}
558001,7,10,0,0,0,2,0.020617925167,0.000000000000,{},{}
558031,6,8,0,0,0,1,0.016910101660,0.000000000000,{},{}
558061,4,4,0,0,0,1,0.009191355795,0.000000000000,{},{}
